dc:identifier,dc:modified,ayto:medida,ayto:idSensor,ayto:intensidad,ayto:ocupacion,ayto:carga,uri
1019-19cacfb2-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1019,1019,2880,17,59,http://datos.santander.es/api/datos/mediciones/1019-19cacfb2-be5c-11e7-97fa-005056a43242.csv
1020-19cd0df0-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1020,1020,600,50,75,http://datos.santander.es/api/datos/mediciones/1020-19cd0df0-be5c-11e7-97fa-005056a43242.csv
1021-19cec449-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1021,1021,1980,22,73,http://datos.santander.es/api/datos/mediciones/1021-19cec449-be5c-11e7-97fa-005056a43242.csv
1022-19d05b85-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1022,1022,1620,6,57,http://datos.santander.es/api/datos/mediciones/1022-19d05b85-be5c-11e7-97fa-005056a43242.csv
1023-19d2674c-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1023,1023,1680,7,59,http://datos.santander.es/api/datos/mediciones/1023-19d2674c-be5c-11e7-97fa-005056a43242.csv
1024-19d419d1-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1024,1024,1560,17,103,http://datos.santander.es/api/datos/mediciones/1024-19d419d1-be5c-11e7-97fa-005056a43242.csv
1025-19d6081c-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1025,1025,720,7,29,http://datos.santander.es/api/datos/mediciones/1025-19d6081c-be5c-11e7-97fa-005056a43242.csv
1026-19d7cee6-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1026,1026,720,5,28,http://datos.santander.es/api/datos/mediciones/1026-19d7cee6-be5c-11e7-97fa-005056a43242.csv
1027-19d98500-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1027,1027,780,6,30,http://datos.santander.es/api/datos/mediciones/1027-19d98500-be5c-11e7-97fa-005056a43242.csv
1028-19dc1390-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1028,1028,266,24,40,http://datos.santander.es/api/datos/mediciones/1028-19dc1390-be5c-11e7-97fa-005056a43242.csv
1029-19de21e1-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1029,1029,600,6,23,http://datos.santander.es/api/datos/mediciones/1029-19de21e1-be5c-11e7-97fa-005056a43242.csv
1030-19e0fbd0-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1030,1030,0,0,0,http://datos.santander.es/api/datos/mediciones/1030-19e0fbd0-be5c-11e7-97fa-005056a43242.csv
1031-19e2c508-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1031,1031,3060,25,84,http://datos.santander.es/api/datos/mediciones/1031-19e2c508-be5c-11e7-97fa-005056a43242.csv
1032-19e4d5fd-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1032,1032,720,9,31,http://datos.santander.es/api/datos/mediciones/1032-19e4d5fd-be5c-11e7-97fa-005056a43242.csv
1033-19e69bb7-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1033,1033,540,19,34,http://datos.santander.es/api/datos/mediciones/1033-19e69bb7-be5c-11e7-97fa-005056a43242.csv
1034-19ebfecc-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1034,1034,1440,9,38,http://datos.santander.es/api/datos/mediciones/1034-19ebfecc-be5c-11e7-97fa-005056a43242.csv
1035-19edb42c-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1035,1035,360,4,12,http://datos.santander.es/api/datos/mediciones/1035-19edb42c-be5c-11e7-97fa-005056a43242.csv
1036-19ef4457-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1036,1036,840,6,32,http://datos.santander.es/api/datos/mediciones/1036-19ef4457-be5c-11e7-97fa-005056a43242.csv
1037-19f17085-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1037,1037,540,4,21,http://datos.santander.es/api/datos/mediciones/1037-19f17085-be5c-11e7-97fa-005056a43242.csv
1038-19f49ba7-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1038,1038,120,3,8,http://datos.santander.es/api/datos/mediciones/1038-19f49ba7-be5c-11e7-97fa-005056a43242.csv
1039-19f62e4d-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1039,1039,120,2,12,http://datos.santander.es/api/datos/mediciones/1039-19f62e4d-be5c-11e7-97fa-005056a43242.csv
1040-1a020bf3-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1040,1040,540,6,23,http://datos.santander.es/api/datos/mediciones/1040-1a020bf3-be5c-11e7-97fa-005056a43242.csv
1041-1a03b214-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1041,1041,180,5,16,http://datos.santander.es/api/datos/mediciones/1041-1a03b214-be5c-11e7-97fa-005056a43242.csv
1042-1a0e152f-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1042,1042,840,9,27,http://datos.santander.es/api/datos/mediciones/1042-1a0e152f-be5c-11e7-97fa-005056a43242.csv
1043-1a12493b-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1043,1043,1380,21,66,http://datos.santander.es/api/datos/mediciones/1043-1a12493b-be5c-11e7-97fa-005056a43242.csv
1044-1a154c19-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1044,1044,230,3,12,http://datos.santander.es/api/datos/mediciones/1044-1a154c19-be5c-11e7-97fa-005056a43242.csv
1045-1a1ba4fd-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1045,1045,180,2,9,http://datos.santander.es/api/datos/mediciones/1045-1a1ba4fd-be5c-11e7-97fa-005056a43242.csv
1500-1a226229-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1500,1500,1320,25,101,http://datos.santander.es/api/datos/mediciones/1500-1a226229-be5c-11e7-97fa-005056a43242.csv
1501-1a243896-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1501,1501,0,0,0,http://datos.santander.es/api/datos/mediciones/1501-1a243896-be5c-11e7-97fa-005056a43242.csv
1503-1a25f2c4-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,1503,1503,0,0,0,http://datos.santander.es/api/datos/mediciones/1503-1a25f2c4-be5c-11e7-97fa-005056a43242.csv
