dc:modified,dc:title,dc:description,dc:source,dc:date,uri
2017-10-31T16:32:07.358Z,"Drones\, robótica y programación de videojuegos en los talleres de Smart Weekend Santander","El encuentro se celebrará los días 16\, 17 y 18 de diciembre en las instalaciones del Espacio Joven",http://santander.es/ayuntamiento/drones-robotica-programacion-videojuegos-talleres-smart-weekend-santander,2016-12-11T16:05:00+01:00,http://datos.santander.es/api/datos/noticias_juventud/drones-robotica-y-programacion-de-videojuegos-en-los-talleres-de-smart-weekend-santander.csv
2017-10-31T16:32:07.356Z,La Noche es Joven registró casi 300 participantes diarios en su última edición,"Los usuarios puntúan con un sobresaliente el programa\, que incluyó medio centenar de cursos y talleres\, además de eventos especiales que obtuvieron una respuesta muy favorable por parte del público",http://santander.es/contenido/noticia/noche-es-joven-registro-casi-300-participantes-diarios-ultima-edicion,2017-01-12T10:35:00+01:00,http://datos.santander.es/api/datos/noticias_juventud/la-noche-es-joven-registro-casi-300-participantes-diarios-en-su-ultima-edicion.csv
2017-10-31T16:32:07.354Z,"El Espacio Joven acoge este sábado un encuentro de creadores\, emprendimiento y cultura alternativa","Organizado por la asociación juvenil Estela Octarina\, incluirá charlas\, talleres y encuentros con profesionales de este campo\, entre ellos\, el director de cine de serie B Manuel Ortega Lasaga",http://santander.es/contenido/noticia/espacio-joven-acoge-este-sabado-encuentro-creadores-emprendimiento-cultura-alternativa,2017-02-16T13:47:00+01:00,http://datos.santander.es/api/datos/noticias_juventud/el-espacio-joven-acoge-este-sabado-un-encuentro-de-creadores-emprendimiento-y-cultura-alternativa.csv
2017-10-31T16:32:07.352Z,El Ayuntamiento impulsa un nuevo ciclo de charlas sobre oportunidades para jóvenes,"Bajo el título ‘Flashes In-Formativos’\, se desarrollará en las instalaciones del Espacio Joven\, los jueves 20 y 27 de abril y 4\, 11\, 18 y 25 de mayo\, a las 17.00 horas",http://santander.es/educacion-juventud-patrimonio-contratacion-transparencia/ayuntamiento-impulsa-nuevo-ciclo-charlas-sobre-oportunidades-jovenes,2017-04-02T10:34:00+02:00,http://datos.santander.es/api/datos/noticias_juventud/el-ayuntamiento-impulsa-un-nuevo-ciclo-de-charlas-sobre-oportunidades-para-jovenes.csv
2017-10-31T16:32:07.351Z,Flashes In-formativos acerca mañana a los jóvenes las oportunidades laborales en oposiciones,"Con esta cita se cierra un ciclo que a lo largo de seis sesiones ha proporcionado a los jóvenes información práctica y útil sobre temas de interés como el acceso a la vivienda\, viajes\, voluntariado\, becas o emprendimiento",http://santander.es/educacion-juventud-patrimonio-contratacion-transparencia/flashes-formativos-acerca-manana-jovenes-oportunidades-laborales-oposiciones,2017-05-24T13:30:00+02:00,http://datos.santander.es/api/datos/noticias_juventud/flashes-in-formativos-acerca-manana-a-los-jovenes-las-oportunidades-laborales-en-oposiciones.csv
