dc:identifier,ayto:tipo_conducto,ayto:materiales,ayto:geometria,ayto:alto,ayto:ancho,ayto:profundidad,ayto:longitud,ayto:pendiente,ayto:tipo_saneamiento,dct:spatial,dc:modified,uri
10012,Colector,Hormigón masa,Circular,250,250,0,6.072,0,Unitaria,"LINESTRING ZM ( 4503203.96533563 4503247.74187261 3.82900000 0.00000000\, 4503203.96527823 4503247.74185282 3.82900000 0.00000000)",2017-10-30T23:08:01.476Z,http://datos.santander.es/api/datos/conductos/10012.csv
10011,Colector,P.V.C. liso,Circular,300,300,1.6,13.777,0,Unitaria,"LINESTRING ZM ( 4503203.96524674 4503247.74185310 0.00000000 0.00000000\, 4503203.96522629 4503247.74198934 0.00000000 0.00000000)",2017-10-30T23:08:01.475Z,http://datos.santander.es/api/datos/conductos/10011.csv
10009,Colector,Hormigón masa,Circular,300,300,1,6.241,0.01122,Unitaria,"LINESTRING ZM ( 4503203.96530053 4503247.74179453 3.77800000 0.00000000\, 4503203.96527823 4503247.74185282 3.77800000 0.00000000)",2017-10-30T23:08:01.474Z,http://datos.santander.es/api/datos/conductos/10009.csv
10010,Colector,Hormigón masa,Circular,300,300,0.8,4.178,0.02152,Unitaria,"LINESTRING ZM ( 4503203.96531234 4503247.74175445 3.77800000 0.00000000\, 4503203.96530053 4503247.74179453 3.77800000 0.00000000)",2017-10-30T23:08:01.474Z,http://datos.santander.es/api/datos/conductos/10010.csv
10008,Colector,Hormigón masa,Circular,300,300,0.95,14.607,0.009591,Unitaria,"LINESTRING ZM ( 4503203.96527823 4503247.74185282 3.77800000 0.00000000\, 4503203.96522629 4503247.74198934 3.77800000 0.00000000)",2017-10-30T23:08:01.473Z,http://datos.santander.es/api/datos/conductos/10008.csv
10006,Colector,P.V.C. liso,Circular,200,200,0,3.182,0,Unitaria,"LINESTRING ZM ( 4503203.96548904 4503247.74176176 4.01400000 0.00000000\, 4503203.96551872 4503247.74177323 4.01400000 0.00000000)",2017-10-30T23:08:01.472Z,http://datos.santander.es/api/datos/conductos/10006.csv
10007,Colector,Hormigón masa,Circular,300,300,0,15.154,0,Unitaria,"LINESTRING ZM ( 4503203.96543326 4503247.74163080 0.00000000 0.00000000\, 4503203.96557459 4503247.74168549 0.00000000 0.00000000)",2017-10-30T23:08:01.472Z,http://datos.santander.es/api/datos/conductos/10007.csv
10005,Colector,Hormigón masa,Circular,300,300,0.75,15.525,0.01675,Unitaria,"LINESTRING ZM ( 4503203.96508057 4503247.74194864 3.91600000 0.00000000\, 4503203.96515800 4503247.74197745 4.00000000 0.00000000\, 4503203.96522607 4503247.74200278 3.91600000 0.00000000)",2017-10-30T23:08:01.465Z,http://datos.santander.es/api/datos/conductos/10005.csv
10004,Colector,Hormigón masa,Circular,300,300,1.05,1.344,0.1712,Unitaria,"LINESTRING ZM ( 4503203.96522607 4503247.74200278 3.95500000 0.00000000\, 4503203.96522629 4503247.74198934 3.95500000 0.00000000)",2017-10-30T23:08:01.464Z,http://datos.santander.es/api/datos/conductos/10004.csv
10002,Colector,P.V.C. liso,Circular,300,300,0.6,6.678,0.1992,Unitaria,"LINESTRING ZM ( 4503203.96535494 4503247.74207014 0.00000000 0.00000000\, 4503203.96542172 4503247.74206989 0.00000000 0.00000000)",2017-10-30T23:08:01.463Z,http://datos.santander.es/api/datos/conductos/10002.csv
