dc:identifier,dc:modified,ayto:capacidad,ayto:direccion,ayto:latitud,ayto:longitud,ayto:estadoConservacion,uri
PAST010104,2017-10-31T01:22:06.042Z,,"Calle Rosalía de Castro\, 25",43.438171,-3.8534659999999996,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010104.csv
PAST010167,2017-10-31T01:22:06.041Z,,"Calle Universidad\, 80",43.470304,-3.7962369999999996,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010167.csv
PAST010166,2017-10-31T01:22:06.041Z,80,"Calle Estudiantes\, 2",43.47024,-3.796319,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010166.csv
PAST010164,2017-10-31T01:22:06.041Z,80,"Calle Universidad\, 82",43.470379,-3.79583,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010164.csv
PAST010163,2017-10-31T01:22:06.041Z,80,"Calle Estudiantes\, 2",43.470182,-3.796092,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010163.csv
PAST010162,2017-10-31T01:22:06.041Z,80,"Calle Universidad\, 86",43.470535999999996,-3.7960779999999996,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010162.csv
PAST010161,2017-10-31T01:22:06.041Z,80,"Calle Universidad\, 78-80",43.470714,-3.795464,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010161.csv
PAST010158,2017-10-31T01:22:06.041Z,80,"Calle Universidad\, 78-80",43.470636,-3.795865,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010158.csv
PAST010157,2017-10-31T01:22:06.041Z,80,"Calle Universidad\, 78-80",43.470467,-3.796007,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010157.csv
PAST010150,2017-10-31T01:22:06.041Z,80,"Calle Universidad\, 78",43.4705651,-3.7953998,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010150.csv
PAST010143,2017-10-31T01:22:06.041Z,80,"Calle Universidad\, 74-76",43.470195,-3.795483,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010143.csv
PAST010142,2017-10-31T01:22:06.041Z,80,"Calle Universidad\, 74",43.470227,-3.7955189999999996,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010142.csv
PAST010125,2017-10-31T01:22:06.041Z,80,"Calle Universidad\, 50-52",43.469972,-3.79621,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010125.csv
PAST010121,2017-10-31T01:22:06.041Z,90,"Calle Luis Quintanilla Isasi\, 4",43.455089,-3.8486559999999996,Buen Estado,http://datos.santander.es/api/datos/residuos_papeleras/past010121.csv
