dc:identifier,dc:modified,ayto:tarjeta,ayto:dia,uri
2016070116021VLA,2017-10-31T01:25:05.102Z,16021VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116021vla.csv
2016070116020VLA,2017-10-31T01:25:05.102Z,16020VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116020vla.csv
2016070116019VLA,2017-10-31T01:25:05.102Z,16019VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116019vla.csv
2016070116018VLA,2017-10-31T01:25:05.102Z,16018VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116018vla.csv
2016070116017VLA,2017-10-31T01:25:05.102Z,16017VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116017vla.csv
2016070116016VLA,2017-10-31T01:25:05.102Z,16016VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116016vla.csv
2016070116015VLA,2017-10-31T01:25:05.102Z,16015VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116015vla.csv
2016070116014VLA,2017-10-31T01:25:05.102Z,16014VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116014vla.csv
2016070116013VLA,2017-10-31T01:25:05.102Z,16013VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116013vla.csv
2016070116012VLA,2017-10-31T01:25:05.102Z,16012VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116012vla.csv
2016070116011VLA,2017-10-31T01:25:05.102Z,16011VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116011vla.csv
2016070116004VLA,2017-10-31T01:25:05.102Z,16004VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116004vla.csv
2016070116003VLA,2017-10-31T01:25:05.102Z,16003VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116003vla.csv
2016070116002VLA,2017-10-31T01:25:05.102Z,16002VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116002vla.csv
2016070116001VLA,2017-10-31T01:25:05.102Z,16001VLA,2016-06-30T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070116001vla.csv
2016070416051VLA,2017-10-31T01:25:05.101Z,16051VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416051vla.csv
2016070416031VLA,2017-10-31T01:25:05.101Z,16031VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416031vla.csv
2016070416023VLA,2017-10-31T01:25:05.101Z,16023VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416023vla.csv
2016070416021VLA,2017-10-31T01:25:05.101Z,16021VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416021vla.csv
2016070416020VLA,2017-10-31T01:25:05.101Z,16020VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416020vla.csv
2016070416019VLA,2017-10-31T01:25:05.101Z,16019VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416019vla.csv
2016070416018VLA,2017-10-31T01:25:05.101Z,16018VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416018vla.csv
2016070416017VLA,2017-10-31T01:25:05.101Z,16017VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416017vla.csv
2016070416016VLA,2017-10-31T01:25:05.101Z,16016VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416016vla.csv
2016070416015VLA,2017-10-31T01:25:05.101Z,16015VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416015vla.csv
2016070416014VLA,2017-10-31T01:25:05.101Z,16014VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416014vla.csv
2016070416013VLA,2017-10-31T01:25:05.101Z,16013VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416013vla.csv
2016070416012VLA,2017-10-31T01:25:05.101Z,16012VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416012vla.csv
2016070416011VLA,2017-10-31T01:25:05.101Z,16011VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416011vla.csv
2016070416004VLA,2017-10-31T01:25:05.101Z,16004VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416004vla.csv
2016070416003VLA,2017-10-31T01:25:05.101Z,16003VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416003vla.csv
2016070416002VLA,2017-10-31T01:25:05.101Z,16002VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416002vla.csv
2016070416001VLA,2017-10-31T01:25:05.101Z,16001VLA,2016-07-03T22:00:00.000Z,http://datos.santander.es/api/datos/programaTUS_horariosTarjetas/2016070416001vla.csv
