dc:identifier,dc:modified,ayto:linea,ayto:parada,gn:coordX,gn:coordY,wgs84_pos:lat,wgs84_pos:long,uri
70,2017-10-31T02:40:00.431Z,1,453,436187.7,4814251.5,43.476580300978824,-3.790331423868277,http://datos.santander.es/api/datos/lineas_bus_paradas/70.csv
71,2017-10-31T02:40:00.431Z,1,454,429706.94,4811675.0,43.45280183892173,-3.8701225018593344,http://datos.santander.es/api/datos/lineas_bus_paradas/71.csv
72,2017-10-31T02:40:00.431Z,1,455,430062.62,4811869.5,43.45458632771078,-3.8657518277884932,http://datos.santander.es/api/datos/lineas_bus_paradas/72.csv
73,2017-10-31T02:40:00.431Z,1,487,429354.34,4811405.5,43.45034222638689,-3.874445132652004,http://datos.santander.es/api/datos/lineas_bus_paradas/73.csv
74,2017-10-31T02:40:00.431Z,1,488,429159.28,4811516.0,43.45131864700098,-3.8768700221051184,http://datos.santander.es/api/datos/lineas_bus_paradas/74.csv
75,2017-10-31T02:40:00.431Z,1,489,429713.84,4811697.5,43.45300506221107,-3.8700401309569807,http://datos.santander.es/api/datos/lineas_bus_paradas/75.csv
33,2017-10-31T02:40:00.43Z,1,35,436709.6,4812894.0,43.46440243351389,-3.783721094477558,http://datos.santander.es/api/datos/lineas_bus_paradas/33.csv
34,2017-10-31T02:40:00.43Z,1,36,436339.12,4812815.5,43.46366420538056,-3.788291427047982,http://datos.santander.es/api/datos/lineas_bus_paradas/34.csv
35,2017-10-31T02:40:00.43Z,1,37,435952.47,4812737.5,43.46292891213499,-3.7930615771148126,http://datos.santander.es/api/datos/lineas_bus_paradas/35.csv
36,2017-10-31T02:40:00.43Z,1,38,435692.28,4812767.0,43.46317218195177,-3.796281188419013,http://datos.santander.es/api/datos/lineas_bus_paradas/36.csv
37,2017-10-31T02:40:00.43Z,1,39,435256.66,4812646.5,43.46204967022362,-3.8016514432606305,http://datos.santander.es/api/datos/lineas_bus_paradas/37.csv
38,2017-10-31T02:40:00.43Z,1,40,434825.03,4812601.0,43.461602515008515,-3.806981152884517,http://datos.santander.es/api/datos/lineas_bus_paradas/38.csv
39,2017-10-31T02:40:00.43Z,1,41,434559.75,4812607.5,43.46163786815858,-3.810260894862705,http://datos.santander.es/api/datos/lineas_bus_paradas/39.csv
40,2017-10-31T02:40:00.43Z,1,42,434354.6,4812631.0,43.46183146708055,-3.812799458440675,http://datos.santander.es/api/datos/lineas_bus_paradas/40.csv
41,2017-10-31T02:40:00.43Z,1,43,433783.5,4812476.5,43.46039008128449,-3.8198396996204194,http://datos.santander.es/api/datos/lineas_bus_paradas/41.csv
42,2017-10-31T02:40:00.43Z,1,44,433421.34,4812352.0,43.45923699805482,-3.8243008124425635,http://datos.santander.es/api/datos/lineas_bus_paradas/42.csv
43,2017-10-31T02:40:00.43Z,1,45,432923.0,4812177.0,43.457616867570515,-3.8304386655068132,http://datos.santander.es/api/datos/lineas_bus_paradas/43.csv
44,2017-10-31T02:40:00.43Z,1,46,432373.0,4812156.5,43.4573827658517,-3.8372338376339656,http://datos.santander.es/api/datos/lineas_bus_paradas/44.csv
45,2017-10-31T02:40:00.43Z,1,47,432091.12,4812260.5,43.4582935764209,-3.840730675676254,http://datos.santander.es/api/datos/lineas_bus_paradas/45.csv
46,2017-10-31T02:40:00.43Z,1,48,432030.44,4812432.0,43.45983214481081,-3.8415020545471803,http://datos.santander.es/api/datos/lineas_bus_paradas/46.csv
47,2017-10-31T02:40:00.43Z,1,49,431860.75,4812434.0,43.45983470915129,-3.8435996582394756,http://datos.santander.es/api/datos/lineas_bus_paradas/47.csv
48,2017-10-31T02:40:00.43Z,1,50,431613.22,4812399.0,43.45949699591656,-3.8466547113805443,http://datos.santander.es/api/datos/lineas_bus_paradas/48.csv
49,2017-10-31T02:40:00.43Z,1,51,431460.72,4812367.5,43.459199428591205,-3.8485356219360316,http://datos.santander.es/api/datos/lineas_bus_paradas/49.csv
50,2017-10-31T02:40:00.43Z,1,52,431143.53,4812283.5,43.458414008667106,-3.8524453959671967,http://datos.santander.es/api/datos/lineas_bus_paradas/50.csv
51,2017-10-31T02:40:00.43Z,1,53,430877.47,4812216.0,43.45778173853446,-3.8557252230163024,http://datos.santander.es/api/datos/lineas_bus_paradas/51.csv
52,2017-10-31T02:40:00.43Z,1,167,435752.5,4814704.5,43.480621581601696,-3.7957654905477636,http://datos.santander.es/api/datos/lineas_bus_paradas/52.csv
53,2017-10-31T02:40:00.43Z,1,168,435996.66,4814732.0,43.48089012967566,-3.792749857226134,http://datos.santander.es/api/datos/lineas_bus_paradas/53.csv
54,2017-10-31T02:40:00.43Z,1,169,436223.03,4814758.5,43.48114807673905,-3.7899540419155215,http://datos.santander.es/api/datos/lineas_bus_paradas/54.csv
55,2017-10-31T02:40:00.43Z,1,196,436125.53,4814444.0,43.47830815813616,-3.7911226554987825,http://datos.santander.es/api/datos/lineas_bus_paradas/55.csv
56,2017-10-31T02:40:00.43Z,1,197,436241.53,4814777.5,43.4813207214086,-3.7897275265437846,http://datos.santander.es/api/datos/lineas_bus_paradas/56.csv
57,2017-10-31T02:40:00.43Z,1,198,435957.3,4814742.0,43.48097679191991,-3.7932376953698292,http://datos.santander.es/api/datos/lineas_bus_paradas/57.csv
58,2017-10-31T02:40:00.43Z,1,199,435741.3,4814714.0,43.48070615137563,-3.7959050925562843,http://datos.santander.es/api/datos/lineas_bus_paradas/58.csv
59,2017-10-31T02:40:00.43Z,1,200,435554.47,4814589.0,43.47956463028124,-3.798200311774373,http://datos.santander.es/api/datos/lineas_bus_paradas/59.csv
60,2017-10-31T02:40:00.43Z,1,201,435637.62,4814542.5,43.47915313595213,-3.7971667390388193,http://datos.santander.es/api/datos/lineas_bus_paradas/60.csv
61,2017-10-31T02:40:00.43Z,1,326,435720.88,4814832.0,43.48176680265112,-3.796171511828019,http://datos.santander.es/api/datos/lineas_bus_paradas/61.csv
62,2017-10-31T02:40:00.43Z,1,327,435677.25,4815073.5,43.483937381318036,-3.796739527640995,http://datos.santander.es/api/datos/lineas_bus_paradas/62.csv
63,2017-10-31T02:40:00.43Z,1,328,435985.97,4815050.5,43.483756815758795,-3.7929195055289866,http://datos.santander.es/api/datos/lineas_bus_paradas/63.csv
64,2017-10-31T02:40:00.43Z,1,330,435737.53,4814926.5,43.48261906107555,-3.7959768039216835,http://datos.santander.es/api/datos/lineas_bus_paradas/64.csv
65,2017-10-31T02:40:00.43Z,1,333,435294.56,4814473.5,43.478502272241684,-3.8014001225415,http://datos.santander.es/api/datos/lineas_bus_paradas/65.csv
66,2017-10-31T02:40:00.43Z,1,338,430071.94,4811859.5,43.454497165721904,-3.865635360718341,http://datos.santander.es/api/datos/lineas_bus_paradas/66.csv
67,2017-10-31T02:40:00.43Z,1,341,430206.16,4811942.5,43.45525697918786,-3.8639871997192827,http://datos.santander.es/api/datos/lineas_bus_paradas/67.csv
68,2017-10-31T02:40:00.43Z,1,342,430427.5,4812057.0,43.456308483471844,-3.861266296811012,http://datos.santander.es/api/datos/lineas_bus_paradas/68.csv
69,2017-10-31T02:40:00.43Z,1,343,430436.12,4812048.0,43.456228255152354,-3.861158611972269,http://datos.santander.es/api/datos/lineas_bus_paradas/69.csv
