dc:identifier,dc:modified,ayto:numero,dc:name,uri
2,2017-10-30T23:59:59.669Z,2,CORBAN-CONSUELO BERGES,http://datos.santander.es/api/datos/lineas_bus/2.csv
1,2017-10-30T23:59:59.669Z,1,PCTCAN-VALDENOJA,http://datos.santander.es/api/datos/lineas_bus/1.csv
103,2017-10-30T23:59:59.668Z,N3,"PEÑACASTILLO-PLAZA DE ITALIA ",http://datos.santander.es/api/datos/lineas_bus/103.csv
102,2017-10-30T23:59:59.668Z,N2,CORBAN-COMPLEJO por G. Davila,http://datos.santander.es/api/datos/lineas_bus/102.csv
101,2017-10-30T23:59:59.668Z,N1,CORBAN-G. ATECA por Valdenoja,http://datos.santander.es/api/datos/lineas_bus/101.csv
72,2017-10-30T23:59:59.668Z,7C2,JOAQUIN BUSTAMANTE,http://datos.santander.es/api/datos/lineas_bus/72.csv
71,2017-10-30T23:59:59.668Z,7C1,LUIS QUINTANILLA,http://datos.santander.es/api/datos/lineas_bus/71.csv
62,2017-10-30T23:59:59.668Z,6C2,COMPLEJO C2,http://datos.santander.es/api/datos/lineas_bus/62.csv
61,2017-10-30T23:59:59.668Z,6C1,COMPLEJO C1,http://datos.santander.es/api/datos/lineas_bus/61.csv
52,2017-10-30T23:59:59.668Z,5C2,MIRANDA/PLZ. ITALIA C2,http://datos.santander.es/api/datos/lineas_bus/52.csv
51,2017-10-30T23:59:59.668Z,5C1,MIRANDA/PLZ. ITALIA C1,http://datos.santander.es/api/datos/lineas_bus/51.csv
49,2017-10-30T23:59:59.668Z,E9,SE ESTACIONES-CEMENTERIO LLUJA,http://datos.santander.es/api/datos/lineas_bus/49.csv
45,2017-10-30T23:59:59.668Z,E5,SE C/ALTA-INSTITUTOS,http://datos.santander.es/api/datos/lineas_bus/45.csv
44,2017-10-30T23:59:59.668Z,E4,SE SAN MARTIN-INSTITUTOS,http://datos.santander.es/api/datos/lineas_bus/44.csv
43,2017-10-30T23:59:59.668Z,E3,SE MIRANDA-INSTITUTOS,http://datos.santander.es/api/datos/lineas_bus/43.csv
42,2017-10-30T23:59:59.668Z,E2,S.E. INTERMODAL,http://datos.santander.es/api/datos/lineas_bus/42.csv
41,2017-10-30T23:59:59.668Z,E1,VALDECILLA-GREGORIO MARAÑON,http://datos.santander.es/api/datos/lineas_bus/41.csv
31,2017-10-30T23:59:59.668Z,E31,MANUEL LLANO-SARDINERO,http://datos.santander.es/api/datos/lineas_bus/31.csv
30,2017-10-30T23:59:59.668Z,E30,SE ESTACIONES-FERIAS,http://datos.santander.es/api/datos/lineas_bus/30.csv
23,2017-10-30T23:59:59.668Z,23,ESTACIONES-CAMARREAL,http://datos.santander.es/api/datos/lineas_bus/23.csv
21,2017-10-30T23:59:59.668Z,21,CENTRO DE SALUD-PUERTOCHICO,http://datos.santander.es/api/datos/lineas_bus/21.csv
20,2017-10-30T23:59:59.668Z,20,ESTACIONES-BARRIO LA TORRE,http://datos.santander.es/api/datos/lineas_bus/20.csv
19,2017-10-30T23:59:59.668Z,19,ESTACIONES-RICARDO L. ARANDA,http://datos.santander.es/api/datos/lineas_bus/19.csv
18,2017-10-30T23:59:59.668Z,18,PUERTOCHICO-MONTE,http://datos.santander.es/api/datos/lineas_bus/18.csv
17,2017-10-30T23:59:59.668Z,17,CIRIEGO-CORBAN-ESTACIONES,http://datos.santander.es/api/datos/lineas_bus/17.csv
16,2017-10-30T23:59:59.668Z,16,PLAZA DE LOS REMEDIOS,http://datos.santander.es/api/datos/lineas_bus/16.csv
15,2017-10-30T23:59:59.668Z,15,ESTACIONES-EL FARO,http://datos.santander.es/api/datos/lineas_bus/15.csv
14,2017-10-30T23:59:59.668Z,14,ESTACIONES-AV. VALDECILLA,http://datos.santander.es/api/datos/lineas_bus/14.csv
13,2017-10-30T23:59:59.668Z,13,LLUJA-CUETO,http://datos.santander.es/api/datos/lineas_bus/13.csv
12,2017-10-30T23:59:59.668Z,12,CARREFOUR-CANALEJAS,http://datos.santander.es/api/datos/lineas_bus/12.csv
11,2017-10-30T23:59:59.668Z,11,VALDECILLA-C/ ALTA,http://datos.santander.es/api/datos/lineas_bus/11.csv
4,2017-10-30T23:59:59.668Z,4,BARRIO PESQUERO-PIQUIO,http://datos.santander.es/api/datos/lineas_bus/4.csv
3,2017-10-30T23:59:59.668Z,3,OJAIZ-PIQUIO,http://datos.santander.es/api/datos/lineas_bus/3.csv
