dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:NO2,ayto:ozone,ayto:odometer,ayto:altitude,ayto:temperature,ayto:CO,ayto:particles,ayto:course,ayto:speed,uri
3021,2017-10-31T17:55:38Z,mobile,43.4636,-3.78783,114.0,119.0,,29.0,15.9,0.1,0.06,,11,http://datos.santander.es/api/datos/sensores_smart_mobile/3021.csv
3092,2017-10-31T17:55:33Z,mobile,43.4673,-3.8063,999.0,999.0,,74.0,200.0,99.9,0.99,,11,http://datos.santander.es/api/datos/sensores_smart_mobile/3092.csv
3196,2017-10-31T17:55:28Z,mobile,43.3557,-4.10813,0.0,65.0,,66.0,26.6,0.0,0.47,,4,http://datos.santander.es/api/datos/sensores_smart_mobile/3196.csv
3169,2017-10-31T17:55:18Z,mobile,43.4618,-3.80263,115.0,31.0,,8.0,28.2,0.1,0.01,,15,http://datos.santander.es/api/datos/sensores_smart_mobile/3169.csv
3012,2017-10-31T17:55:18Z,mobile,43.462,-3.86442,999.0,999.0,,37.0,200.0,99.9,0.99,,48,http://datos.santander.es/api/datos/sensores_smart_mobile/3012.csv
3167,2017-10-31T17:55:13Z,mobile,43.4531,-3.82277,67.0,35.0,,-8.0,23.7,0.1,0.38,,15,http://datos.santander.es/api/datos/sensores_smart_mobile/3167.csv
3017,2017-10-31T17:55:08Z,mobile,43.4566,-3.83983,115.0,119.0,,34.0,15.7,0.1,0.63,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3017.csv
3060,2017-10-31T17:55:08Z,mobile,43.4509,-3.83296,114.0,120.0,,23.0,14.1,0.1,0.2,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3060.csv
3072,2017-10-31T17:54:52Z,mobile,43.4738,-3.79362,116.0,120.0,,16.0,15.4,0.2,0.08,,29,http://datos.santander.es/api/datos/sensores_smart_mobile/3072.csv
3044,2017-10-31T17:54:52Z,mobile,43.4554,-3.83318,116.0,121.0,,18.0,15.1,0.1,0.09,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3044.csv
3048,2017-10-31T17:54:47Z,mobile,43.4545,-3.82086,114.0,120.0,,0.0,16.0,0.1,0.82,,6,http://datos.santander.es/api/datos/sensores_smart_mobile/3048.csv
3040,2017-10-31T17:54:27Z,mobile,43.4624,-3.79813,999.0,999.0,,4.0,200.0,99.9,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3040.csv
3080,2017-10-31T17:54:27Z,mobile,43.4556,-3.83378,107.0,42.0,,18.0,16.1,0.2,0.63,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3080.csv
3015,2017-10-31T17:54:17Z,mobile,43.4566,-3.83983,115.0,120.0,,26.0,14.8,0.1,0.1,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3015.csv
3041,2017-10-31T17:54:12Z,mobile,43.4618,-3.80416,999.0,999.0,,0.0,200.0,99.9,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3041.csv
3067,2017-10-31T17:53:52Z,mobile,43.4648,-3.84192,114.0,120.0,,17.0,14.1,0.1,0.2,,40,http://datos.santander.es/api/datos/sensores_smart_mobile/3067.csv
3057,2017-10-31T17:53:51Z,mobile,43.4557,-3.83418,114.0,121.0,,15.0,15.4,0.1,0.07,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3057.csv
3109,2017-10-31T17:53:46Z,mobile,42.9878,-4.12532,115.0,26.0,,867.0,24.6,13.8,0.21,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3109.csv
3025,2017-10-31T17:53:46Z,mobile,43.4612,-3.82494,115.0,25.0,,40.0,15.4,0.1,0.07,,20,http://datos.santander.es/api/datos/sensores_smart_mobile/3025.csv
3056,2017-10-31T17:53:36Z,mobile,43.4648,-3.86744,116.0,121.0,,11.0,14.4,0.1,0.94,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3056.csv
3111,2017-10-31T17:53:26Z,mobile,43.4642,-3.8351,116.0,5.0,,51.0,19.8,0.4,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3111.csv
3103,2017-10-31T17:53:21Z,mobile,43.4748,-3.79956,116.0,3.0,,-3.0,19.8,0.1,0.01,,7,http://datos.santander.es/api/datos/sensores_smart_mobile/3103.csv
3105,2017-10-31T17:53:11Z,mobile,43.3194,-3.65638,91.0,26.0,,338.0,20.6,0.2,0.01,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3105.csv
3166,2017-10-31T17:53:01Z,mobile,43.4637,-3.81106,92.0,44.0,,22.0,41.6,0.1,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3166.csv
3049,2017-10-31T17:52:51Z,mobile,43.4741,-3.78584,115.0,7.0,,14.0,13.4,0.1,0.96,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3049.csv
3043,2017-10-31T17:52:46Z,mobile,43.4555,-3.83432,999.0,999.0,,33.0,200.0,99.9,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3043.csv
3115,2017-10-31T17:52:45Z,mobile,43.4646,-3.83525,100.0,53.0,,-14.0,25.5,0.1,0.01,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3115.csv
3114,2017-10-31T17:52:35Z,mobile,43.4641,-3.83509,115.0,82.0,,17.0,25.1,0.1,0.1,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3114.csv
3018,2017-10-31T17:52:15Z,mobile,43.4805,-3.79864,115.0,55.0,,58.0,14.7,0.1,0.05,,21,http://datos.santander.es/api/datos/sensores_smart_mobile/3018.csv
3027,2017-10-31T17:52:15Z,mobile,43.4556,-3.83414,85.0,5.0,,17.0,13.9,0.2,0.0,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3027.csv
3011,2017-10-31T17:52:00Z,mobile,43.4545,-3.86634,116.0,28.0,,47.0,15.3,0.1,0.0,,24,http://datos.santander.es/api/datos/sensores_smart_mobile/3011.csv
3125,2017-10-31T17:51:55Z,mobile,43.4359,-3.87496,115.0,120.0,,35.0,19.1,0.3,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3125.csv
3014,2017-10-31T17:51:55Z,mobile,43.4554,-3.8333,114.0,119.0,,16.0,14.3,0.1,0.05,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3014.csv
3066,2017-10-31T17:51:55Z,mobile,43.4658,-3.82451,115.0,120.0,,33.0,14.9,0.1,0.13,,39,http://datos.santander.es/api/datos/sensores_smart_mobile/3066.csv
