dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:temperature,ayto:battery,ayto:light,ayto:noise,uri
692,2017-10-31T17:54:23Z,environment,43.4597,-3.82137,15.35,75.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/692.csv
615,2017-10-31T17:54:23Z,environment,43.45778,-3.80917,14.38,69.0,14.92,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/615.csv
218,2017-10-31T17:54:22Z,environment,43.46255,-3.81374,14.58,66.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/218.csv
508,2017-10-31T17:54:19Z,environment,43.46424,-3.80545,14.77,66.0,0.58,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/508.csv
345,2017-10-31T17:54:17Z,environment,43.46339,-3.80582,14.32,70.0,59.3,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/345.csv
231,2017-10-31T17:54:02Z,environment,43.46297,-3.81143,,67.0,,69.3,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/231.csv
682,2017-10-31T17:54:00Z,environment,43.46017,-3.81944,13.48,71.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/682.csv
358,2017-10-31T17:53:58Z,environment,43.46307,-3.80887,15.87,77.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/358.csv
609,2017-10-31T17:53:50Z,environment,43.45606,-3.81121,-45.09,70.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/609.csv
222,2017-10-31T17:53:44Z,environment,43.46217,-3.81334,13.8,72.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/222.csv
420,2017-10-31T17:53:42Z,environment,43.46173,-3.80836,-47.29,80.0,2.44,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/420.csv
430,2017-10-31T17:53:38Z,environment,43.4625,-3.81401,14.64,72.0,2.61,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/430.csv
515,2017-10-31T17:53:35Z,environment,43.46399,-3.80893,14.0,66.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/515.csv
