dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:relativeHumidity,ayto:windDirection,ayto:windSpeed,ayto:battery,ayto:temperature,ayto:solarRadiation,ayto:atmosphericPressure,ayto:rainfall,ayto:groundTemperature,ayto:soilMoistureTension,ayto:radiationPAR,uri
3242,2017-10-31T17:54:51Z,irrigation,43.46742,-3.81127,77.51,,,62.0,14.87,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3242.csv
3247,2017-10-31T17:54:04Z,irrigation,43.46715,-3.81145,76.17,,,83.0,15.11,,,,16.45,1784.12,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3247.csv
3230,2017-10-31T17:53:50Z,irrigation,43.46769,-3.81217,77.45,,,69.0,14.99,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3230.csv
3243,2017-10-31T17:53:17Z,irrigation,43.46714,-3.81178,78.26,,,62.0,15.13,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3243.csv
3241,2017-10-31T17:52:14Z,irrigation,43.4677,-3.81178,76.75,,,62.0,15.05,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3241.csv
3245,2017-10-31T16:23:48Z,irrigation,43.46736,-3.81135,65.78,,,11.0,17.28,,,,179.67,1620.74,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3245.csv
3221,2017-10-31T15:19:17Z,irrigation,43.47282,-3.80264,72.03,,,71.0,15.79,,,,13.22,309.4,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3221.csv
3214,2017-10-31T15:18:56Z,irrigation,43.47404,-3.80351,63.9,,,67.0,17.56,,,,32.58,53.05,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3214.csv
3209,2017-10-31T15:18:43Z,irrigation,43.47486,-3.80163,56.13,,,66.0,19.35,,,,17.09,454.23,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3209.csv
3218,2017-10-31T15:18:39Z,irrigation,43.47461,-3.80084,62.56,,,74.0,17.31,,,,16.77,373.76,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3218.csv
3222,2017-10-31T15:18:35Z,irrigation,43.47456,-3.79731,65.45,,,62.0,17.01,,,,15.8,33.33,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3222.csv
3217,2017-10-31T15:18:33Z,irrigation,43.47458,-3.80263,58.25,,,71.0,19.02,,,,16.45,476.64,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3217.csv
3213,2017-10-31T15:18:31Z,irrigation,43.47369,-3.79869,65.93,,,66.0,16.55,,,,14.83,654.87,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3213.csv
3206,2017-10-31T15:18:31Z,irrigation,43.47464,-3.79661,-2.08,,,60.0,-39.7,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3206.csv
3202,2017-10-31T13:56:46Z,irrigation,43.47422,-3.79769,64.39,,,68.0,16.96,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3202.csv
3212,2017-10-31T13:12:26Z,irrigation,43.47448,-3.79826,57.29,,,62.0,17.84,,,,13.54,205.97,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3212.csv
3201,2017-10-31T13:10:12Z,irrigation,43.47305,-3.80109,59.4,,,63.0,16.97,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3201.csv
3204,2017-10-31T13:08:55Z,irrigation,43.47294,-3.80193,59.89,,,70.0,16.75,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3204.csv
