ayto:vehiculo,ayto:indice,ayto:linea,ayto:coche,ayto:servicio,gn:coordX,gn:coordY,wgs84_pos:lat,wgs84_pos:long,ayto:estado,ayto:instante,ayto:velocidad,dc:modified,uri
57,4,14,2,1402,432718.0,4811931.0,43.455383613848696,-3.832941982781715,6,2017-10-31T13:58:37.310Z,5.831999778747559,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/11.csv
57,3,14,2,1402,432718.0,4811931.0,43.455383613848696,-3.832941982781715,6,2017-10-31T13:58:37.310Z,5.831999778747559,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/12.csv
57,2,14,2,1402,432704.0,4811926.0,43.455337337248025,-3.833114391754289,6,2017-10-31T13:59:02.030Z,5.831999778747559,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/13.csv
57,1,14,2,1402,432704.0,4811926.0,43.455337337248025,-3.833114391754289,6,2017-10-31T13:59:02.030Z,5.831999778747559,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/14.csv
53,4,3,2,0302,435546.0,4812678.5,43.46236277857193,-3.798078843000593,5,2017-10-31T16:53:18.380Z,0.0,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/6.csv
53,3,3,2,0302,435546.0,4812678.5,43.46236277857193,-3.798078843000593,5,2017-10-31T16:53:43.803Z,0.0,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/7.csv
53,2,3,2,0302,435546.0,4812678.5,43.46236277857193,-3.798078843000593,5,2017-10-31T16:53:43.803Z,0.0,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/8.csv
53,1,3,2,0302,435546.0,4812678.5,43.46236277857193,-3.798078843000593,5,2017-10-31T16:54:08.880Z,0.0,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/9.csv
53,0,3,2,0302,435546.0,4812678.5,43.46236277857193,-3.798078843000593,5,2017-10-31T16:54:08.880Z,0.0,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/10.csv
52,4,11,1,1101,434329.6,4812581.0,43.46137909951238,-3.8131024403332794,5,2017-10-31T16:53:29.567Z,11.484000205993652,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/1.csv
52,3,11,1,1101,434328.44,4812623.0,43.46175714243064,-3.813121842275847,5,2017-10-31T16:53:54.973Z,5.940000057220459,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/2.csv
52,2,11,1,1101,434328.44,4812623.0,43.46175714243064,-3.813121842275847,5,2017-10-31T16:53:54.973Z,5.940000057220459,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/3.csv
52,1,11,1,1101,434364.0,4812631.0,43.46183229225814,-3.8126832705462665,5,2017-10-31T16:54:19.977Z,5.579999923706055,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/4.csv
52,0,11,1,1101,434364.0,4812631.0,43.46183229225814,-3.8126832705462665,5,2017-10-31T16:54:19.977Z,5.579999923706055,2017-10-31T16:54:20.647Z,http://datos.santander.es/api/datos/control_flotas_posiciones/5.csv
69,4,4,3,0403,434092.06,4812064.0,43.456703419236725,-3.815975958309857,5,2017-10-31T16:53:08.457Z,5.111999988555908,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/38.csv
69,3,4,3,0403,433950.56,4811953.0,43.45569155353427,-3.817711350571047,5,2017-10-31T16:53:33.943Z,25.416000366210938,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/39.csv
69,2,4,3,0403,433950.56,4811953.0,43.45569155353427,-3.817711350571047,5,2017-10-31T16:53:33.943Z,25.416000366210938,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/40.csv
69,1,4,3,0403,433946.1,4811949.0,43.455655145863226,-3.817765987430325,5,2017-10-31T16:53:58.663Z,0.8640000224113464,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/41.csv
69,0,4,3,0403,433946.1,4811949.0,43.455655145863226,-3.817765987430325,5,2017-10-31T16:53:58.663Z,0.8640000224113464,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/42.csv
67,4,4,1,0401,436555.84,4813945.0,43.47385207573932,-3.7857441981164026,5,2017-10-31T16:53:08.397Z,0.0,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/33.csv
67,3,4,1,0401,436555.84,4813945.0,43.47385207573932,-3.7857441981164026,5,2017-10-31T16:53:33.943Z,0.0,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/34.csv
67,2,4,1,0401,436555.84,4813945.0,43.47385207573932,-3.7857441981164026,5,2017-10-31T16:53:33.943Z,0.0,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/35.csv
67,1,4,1,0401,436555.84,4813945.0,43.47385207573932,-3.7857441981164026,5,2017-10-31T16:53:58.520Z,0.0,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/36.csv
67,0,4,1,0401,436555.84,4813945.0,43.47385207573932,-3.7857441981164026,5,2017-10-31T16:53:58.520Z,0.0,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/37.csv
66,4,51,3,5103,435914.0,4813362.0,43.46854829161057,-3.7936105888655876,6,2017-10-31T13:31:36.430Z,3.888000011444092,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/29.csv
66,3,51,3,5103,435914.0,4813362.0,43.46854829161057,-3.7936105888655876,6,2017-10-31T13:31:36.430Z,3.888000011444092,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/30.csv
66,2,51,3,5103,436040.0,4813366.0,43.4685950965904,-3.7920534663851435,6,2017-10-31T13:32:00.417Z,3.888000011444092,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/31.csv
66,1,51,3,5103,436040.0,4813366.0,43.4685950965904,-3.7920534663851435,6,2017-10-31T13:32:00.417Z,3.888000011444092,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/32.csv
65,4,61,2,6102,433990.0,4812550.0,43.46107009113581,-3.8172962452357173,5,2017-10-31T16:53:27.707Z,37.2239990234375,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/24.csv
65,3,61,2,6102,433762.84,4812474.5,43.46037024469303,-3.820094816046409,5,2017-10-31T16:53:51.600Z,36.0,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/25.csv
65,2,61,2,6102,433762.84,4812474.5,43.46037024469303,-3.820094816046409,5,2017-10-31T16:53:51.600Z,36.0,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/26.csv
65,1,61,2,6102,433692.44,4812450.0,43.46014342145459,-3.8209619841522398,5,2017-10-31T16:54:16.303Z,10.763999938964844,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/27.csv
65,0,61,2,6102,433692.44,4812450.0,43.46014342145459,-3.8209619841522398,5,2017-10-31T16:54:16.303Z,10.763999938964844,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/28.csv
63,4,62,2,6202,431050.3,4812484.0,43.46021059244579,-3.853623057773811,5,2017-10-31T15:31:48.193Z,3.635999917984009,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/20.csv
63,3,62,2,6202,431050.3,4812484.0,43.46021059244579,-3.853623057773811,5,2017-10-31T15:31:48.193Z,3.635999917984009,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/21.csv
63,2,62,2,6202,431050.3,4812484.0,43.46021059244579,-3.853623057773811,5,2017-10-31T15:32:12.537Z,0.0,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/22.csv
63,1,62,2,6202,431050.3,4812484.0,43.46021059244579,-3.853623057773811,5,2017-10-31T15:32:12.537Z,0.0,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/23.csv
58,4,3,3,0303,431552.78,4811667.0,43.45290099383082,-3.8473097800801583,5,2017-10-31T16:53:18.473Z,35.9640007019043,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/15.csv
58,3,3,3,0303,431647.84,4811766.0,43.45380102154258,-3.8461474001079576,5,2017-10-31T16:53:43.833Z,19.440000534057617,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/16.csv
58,2,3,3,0303,431647.84,4811766.0,43.45380102154258,-3.8461474001079576,5,2017-10-31T16:53:43.833Z,19.440000534057617,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/17.csv
58,1,3,3,0303,431715.84,4811800.0,43.45411334758953,-3.845311270823349,5,2017-10-31T16:54:08.647Z,11.447999954223633,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/18.csv
58,0,3,3,0303,431715.84,4811800.0,43.45411334758953,-3.845311270823349,5,2017-10-31T16:54:08.647Z,11.447999954223633,2017-10-31T16:54:20.645Z,http://datos.santander.es/api/datos/control_flotas_posiciones/19.csv
77,3,71,3,7103,435098.9,4812628.0,43.461869429564715,-3.803599229405529,5,2017-10-31T16:53:53.740Z,19.511999130249023,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/66.csv
77,2,71,3,7103,435098.9,4812628.0,43.461869429564715,-3.803599229405529,5,2017-10-31T16:53:53.740Z,19.511999130249023,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/67.csv
77,1,71,3,7103,434890.0,4812604.5,43.46163968721337,-3.8061785169369626,5,2017-10-31T16:54:18.413Z,30.492000579833984,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/68.csv
77,0,71,3,7103,434890.0,4812604.5,43.46163968721337,-3.8061785169369626,5,2017-10-31T16:54:18.413Z,30.492000579833984,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/69.csv
76,4,4,2,0402,434523.75,4812325.0,43.45909124072156,-3.8106719106795945,5,2017-10-31T13:15:23.057Z,5.6519999504089355,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/61.csv
76,3,4,2,0402,434523.75,4812325.0,43.45909124072156,-3.8106719106795945,5,2017-10-31T13:15:23.057Z,5.6519999504089355,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/62.csv
76,2,4,2,0402,434528.34,4812314.5,43.45899710629412,-3.810613916932368,5,2017-10-31T13:15:48.667Z,1.5119999647140503,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/63.csv
76,1,4,2,0402,434528.34,4812314.5,43.45899710629412,-3.810613916932368,5,2017-10-31T13:15:48.667Z,1.5119999647140503,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/64.csv
75,4,72,1,7201,432302.1,4812057.5,43.456485014947816,-3.838097819640576,5,2017-10-31T12:51:41.680Z,20.26799964904785,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/56.csv
75,3,72,1,7201,432436.0,4812058.0,43.45650162488669,-3.836442978061333,5,2017-10-31T12:52:06.430Z,22.104000091552734,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/57.csv
75,2,72,1,7201,432436.0,4812058.0,43.45650162488669,-3.836442978061333,5,2017-10-31T12:52:06.430Z,22.104000091552734,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/58.csv
75,1,72,1,7201,432481.0,4812063.5,43.45655520746803,-3.8358874931375873,5,2017-10-31T12:52:31.337Z,6.480000019073486,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/59.csv
75,0,72,1,7201,432481.0,4812063.5,43.45655520746803,-3.8358874931375873,5,2017-10-31T12:52:31.337Z,6.480000019073486,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/60.csv
74,4,1,3,0103,435091.0,4812630.0,43.46188675076494,-3.8036971153048538,6,2017-10-31T14:05:15.033Z,35.316001892089844,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/52.csv
74,3,1,3,0103,435091.0,4812630.0,43.46188675076494,-3.8036971153048538,6,2017-10-31T14:05:15.033Z,35.316001892089844,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/53.csv
74,2,1,3,0103,435156.0,4812632.0,43.46191039735673,-3.8028939238499917,6,2017-10-31T14:05:40.253Z,35.316001892089844,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/54.csv
74,1,1,3,0103,435156.0,4812632.0,43.46191039735673,-3.8028939238499917,6,2017-10-31T14:05:40.253Z,35.316001892089844,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/55.csv
73,4,4,1,0401,433964.62,4811614.0,43.45264062575757,-3.8174964968506773,5,2017-10-31T16:23:34.170Z,17.81999969482422,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/48.csv
73,3,4,1,0401,433964.62,4811614.0,43.45264062575757,-3.8174964968506773,5,2017-10-31T16:23:34.170Z,17.81999969482422,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/49.csv
73,2,4,1,0401,433859.25,4811559.0,43.45213612614666,-3.8187920390180086,5,2017-10-31T16:23:59.607Z,27.143999099731445,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/50.csv
73,1,4,1,0401,433859.25,4811559.0,43.45213612614666,-3.8187920390180086,5,2017-10-31T16:23:59.607Z,27.143999099731445,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/51.csv
72,4,51,4,5104,436379.75,4813308.0,43.468101885637594,-3.7878467457987517,5,2017-10-31T16:53:12.490Z,0.0,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/43.csv
72,3,51,4,5104,436379.75,4813308.0,43.468101885637594,-3.7878467457987517,5,2017-10-31T16:53:37.037Z,0.0,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/44.csv
72,2,51,4,5104,436379.75,4813308.0,43.468101885637594,-3.7878467457987517,5,2017-10-31T16:53:37.037Z,0.0,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/45.csv
72,1,51,4,5104,436379.75,4813308.0,43.468101885637594,-3.7878467457987517,5,2017-10-31T16:54:02.600Z,0.0,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/46.csv
72,0,51,4,5104,436379.75,4813308.0,43.468101885637594,-3.7878467457987517,5,2017-10-31T16:54:02.600Z,0.0,2017-10-31T16:54:20.643Z,http://datos.santander.es/api/datos/control_flotas_posiciones/47.csv
78,2,4,4,0404,435649.5,4812746.0,43.46297942821537,-3.796807499424303,5,2017-10-31T16:53:33.803Z,2.0880000591278076,2017-10-31T16:54:20.642Z,http://datos.santander.es/api/datos/control_flotas_posiciones/72.csv
