dc:modified,dc:title,dc:description,dc:source,dc:date,uri
2017-10-31T16:32:21.137Z,Las rampas mecánicas de Vista Alegre y Francisco de Quevedo estarán en servicio en julio,Las dos últimas rampas de Vista Alegre se han instalado este lunes con la ayuda de una grúa de gran tonelaje,http://santander.es/contenido/noticia/rampas-mecanicas-vista-alegre-francisco-quevedo-estaran-servicio-julio,12-06-2017 12:37,http://datos.santander.es/api/datos/noticias_urbanismo/las-rampas-mecanicas-de-vista-alegre-y-francisco-de-quevedo-estaran-en-servicio-en-julio.csv
2017-10-31T16:32:21.134Z,Comienzan los estudios geotécnicos en la parcela que albergará la nueva promoción de vivienda asequible,El proyecto contempla una inversión de 14 millones de euros para la construcción de 120 viviendas,http://santander.es/contenido/noticia/comienzan-estudios-geotecnicos-parcela-albergara-nueva-promocion-vivienda-asequible,21-06-2017 13:25,http://datos.santander.es/api/datos/noticias_urbanismo/comienzan-los-estudios-geotecnicos-en-la-parcela-que-albergara-la-nueva-promocion-de-vivienda-asequible.csv
2017-10-31T16:32:21.128Z,Aprob. Definitiva establecimiento condiciones específicas de ordenación Equipamiento  Deportivo nº 1.190 &quot;Deportivo Monte&quot;,"Establecimiento de condiciones específicas de ordenación del equipamiento deportivo número 1.190 ""Deportivo Monte""\, a instancias de Calvo Sotelo nº 14\, S.L.",http://santander.es/contenido/noticia/aprob-definitiva-establecimiento-condiciones-especificas-ordenacion-equipamiento-deportivo-no-1190,26-07-2017 12:20,http://datos.santander.es/api/datos/noticias_urbanismo/aprob-definitiva-establecimiento-condiciones-especificas-de-ordenacion-equipamiento-deportivo-n-1-190-quot-deportivo-monte-quot-.csv
2017-10-31T16:32:21.123Z,Aprob.definitiva ordenación equipamiento 3.162 Centro de Salud &quot;Los Castros&quot;,"Aprobar definitivamente la propuesta de establecimiento de condiciones específicas de ordenación del equipamiento 3.162 Centro de Salud ""Los Castros""\, para su reforma y ampliación\, a instancias del Servicio Cántabro de Salud.",http://santander.es/contenido/noticia/aprobdefinitiva-ordenacion-equipamiento-3162-centro-salud-castros,27-07-2017 12:33,http://datos.santander.es/api/datos/noticias_urbanismo/aprob-definitiva-ordenacion-equipamiento-3-162-centro-de-salud-quot-los-castros-quot-.csv
2017-10-31T16:32:21.107Z,Estudio de Detalle del Equipamiento 3.200 “Centro Hospitalario Padre Menni”.,Aprobación Definitiva del Estudio de Detalle que tiene por objeto la fijación de rasantes del Equipamiento 3.200 “Centro Hospitalario Padre Menni”.\n\n,http://santander.es/noticia/estudio-detalle-del-equipamiento-3200-centro-hospitalario-padre-menni,01-09-2017 13:23,http://datos.santander.es/api/datos/noticias_urbanismo/estudio-de-detalle-del-equipamiento-3-200-centro-hospitalario-padre-menni-.csv
2017-10-31T16:32:21.103Z,"El proyecto de renovación urbana de la calle Jiménez Díaz saldrá a licitación por 1\,5 millones","La actuación\, que tiene un plazo de ejecución de ocho meses\, incluirá la pavimentación y urbanización de esta calle y el tramo final de Perines\, así como la renovación de los servicios",http://santander.es/noticia/proyecto-renovacion-urbana-calle-jimenez-diaz-saldra-licitacion-por-15-millones,05-09-2017 11:30,http://datos.santander.es/api/datos/noticias_urbanismo/el-proyecto-de-renovacion-urbana-de-la-calle-jimenez-diaz-saldra-a-licitacion-por-1-5-millones.csv
2017-10-31T16:32:21.095Z,Aprob.def. Estudio Detalle c/La Paz,"Aprobación definitiva Estudio de Detalle que tiene por objeto la ordenación de volúmenes de edificación en la parcela sita en la calle La Paz\, cuyo destino va a ser albergar un edificio de uso administrativo para este Ayuntamiento\, a propuesta de la Sociedad de Vivienda y Suelo de Santander\, SVS.",http://santander.es/noticia/aprobdef-estudio-detalle-cla-paz,05-09-2017 14:08,http://datos.santander.es/api/datos/noticias_urbanismo/aprob-def-estudio-detalle-c-la-paz.csv
2017-10-31T16:32:21.091Z,Modificación Ordenanza Ayudas Obras en Fachadas,Aprobación Inicial de la Modificación de la Ordenanza Municipal de Ayudas para la Realización de Obras en Fachadas de Edificios Catalogados.,http://santander.es/contenido/noticia/modificacion-ordenanza-ayudas-obras-fachadas,08-09-2017 10:03,http://datos.santander.es/api/datos/noticias_urbanismo/modificacion-ordenanza-ayudas-obras-en-fachadas.csv
2017-10-31T16:32:21.086Z,Concedida licencia a la UIMP para reformar el pabellón 3 de la residencia de Las Llamas,"La institución académica invertirá cerca de 2 millones de euros para la reforma de las instalaciones\, que prevé una nueva distribución de espacios y la ampliación de las habitaciones",http://santander.es/contenido/noticia/concedida-licencia-uimp-reformar-pabellon-3-residencia-llamas,14-09-2017 14:06,http://datos.santander.es/api/datos/noticias_urbanismo/concedida-licencia-a-la-uimp-para-reformar-el-pabellon-3-de-la-residencia-de-las-llamas.csv
2017-10-31T16:32:21.082Z,El Ayuntamiento concede licencia para construir un nuevo centro de empresas en el PCTCAN,"El edificio tendrá una superficie de casi 4.000 metros cuadrados\, albergará una treintena de oficinas y supondrá una inversión de 7\,17 millones de euros",http://santander.es/noticia/ayuntamiento-concede-licencia-construir-nuevo-centro-empresas-pctcan,26-10-2017 11:24,http://datos.santander.es/api/datos/noticias_urbanismo/el-ayuntamiento-concede-licencia-para-construir-un-nuevo-centro-de-empresas-en-el-pctcan.csv
