dc:modified,dc:title,dc:description,dc:source,dc:date,uri
2017-10-31T16:31:55.453Z,Cuatro empresas optan al contrato de renovación de contenedores subterráneos,"El Ayuntamiento va a invertir alrededor de 1 millón de euros para la sustitución de unos 90 contenedores de residuos orgánicos\, vidrio\, cartón y envases que van a completar su vida útil",http://santander.es/noticia/cuatro-empresas-optan-contrato-renovacion-contenedores-subterraneos,2017-03-01T12:25:00+01:00,http://datos.santander.es/api/datos/noticias_medio_ambiente/cuatro-empresas-optan-al-contrato-de-renovacion-de-contenedores-subterraneos.csv
2017-10-31T16:31:55.451Z,Abierto el plazo para hacer aportaciones al Plan de Movilidad Ciclista de Santander,La alcaldesa ha expuesto el documento al Consejo de Sostenibilidad y ha invitado a sus miembros a realizar propuestas,http://santander.es/content/ayuntamiento-abre-plazo-dos-meses-hacer-aportaciones-plan-movilidad-ciclista,2017-03-08T10:18:00+01:00,http://datos.santander.es/api/datos/noticias_medio_ambiente/abierto-el-plazo-para-hacer-aportaciones-al-plan-de-movilidad-ciclista-de-santander.csv
2017-10-31T16:31:55.449Z,Santander celebra esta semana el Día de los Bosques y el Día del Agua,"El martes\, con motivo del Día de los Bosques\, alumnos de varios colegios de la ciudad plantarán 400 árboles de especies autóctonas en Cueto",http://santander.es/contenido/noticia/santander-celebra-esta-semana-dia-bosques-dia-del-agua,2017-03-19T17:55:00+01:00,http://datos.santander.es/api/datos/noticias_medio_ambiente/santander-celebra-esta-semana-el-dia-de-los-bosques-y-el-dia-del-agua.csv
2017-10-31T16:31:55.446Z,Renovadas ya cerca de 3.000 luminarias dentro del proceso de implantación del nuevo alumbrado,Los centros cívicos de Nueva Montaña y María Cristina acogerán el 25 de abril dos nuevas charlas para informar a los vecinos de las ventajas de la iluminación LED y para resolver sus dudas,http://santander.es/contenido/noticia/renovadas-ya-cerca-3000-luminarias-dentro-del-proceso-implantacion-del-nuevo-alumbrado,2017-04-14T11:01:00+02:00,http://datos.santander.es/api/datos/noticias_medio_ambiente/renovadas-ya-cerca-de-3-000-luminarias-dentro-del-proceso-de-implantacion-del-nuevo-alumbrado.csv
2017-10-31T16:31:55.445Z,Aprobada una inversión de 251.500 euros para reforzar otro tramo del abastecimiento a la ciudad,La actuación va a afectar a un tramo de 109 metros de longitud y da continuidad a las obras ejecutadas ya en la calle de San Roque en Camargo,http://santander.es/contenido/noticia/aprobada-inversion-251500-euros-reforzar-otro-tramo-del-abastecimiento-ciudad,2017-05-09T15:23:00+02:00,http://datos.santander.es/api/datos/noticias_medio_ambiente/aprobada-una-inversion-de-251-500-euros-para-reforzar-otro-tramo-del-abastecimiento-a-la-ciudad.csv
2017-10-31T16:31:55.443Z,El Ayuntamiento renovará casi 500 metros de barandillas en el Camello y Sardinero,"Los trabajos\, que acaban de salir a licitación e incluyen también la sustitución de parte del vallado del minizoo de la Magdalena\, cuentan con un presupuesto de casi 55.000 euros",http://santander.es/noticia/ayuntamiento-renovara-casi-500-metros-barandillas-camello-sardinero,2017-07-10T13:39:00+02:00,http://datos.santander.es/api/datos/noticias_medio_ambiente/el-ayuntamiento-renovara-casi-500-metros-de-barandillas-en-el-camello-y-sardinero.csv
2017-10-31T16:31:55.442Z,Una marcha ciclista recorrerá Santander el 17 de septiembre por la Semana de la Movilidad,Las inscripciones pueden realizarse ya presencialmente o a través del correo del Centro Ambiental Los Viveros,http://santander.es/contenido/noticia/marcha-ciclista-recorrera-santander-17-septiembre-por-semana-movilidad,2017-08-26T16:49:00+02:00,http://datos.santander.es/api/datos/noticias_medio_ambiente/una-marcha-ciclista-recorrera-santander-el-17-de-septiembre-por-la-semana-de-la-movilidad.csv
2017-10-31T16:31:55.44Z,Diecisiete parejas de autillo han nidificado este año en cajas nido de la ciudad,Se trata de la cifra más alta desde que se puso en marcha el programa de conservación de la especie que desarrollan el Ayuntamiento y SEO/BirdLife,http://santander.es/contenido/noticia/diecisiete-parejas-autillo-han-nidificado-este-ano-cajas-nido-ciudad,2017-08-29T15:08:00+02:00,http://datos.santander.es/api/datos/noticias_medio_ambiente/diecisiete-parejas-de-autillo-han-nidificado-este-ano-en-cajas-nido-de-la-ciudad.csv
2017-10-31T16:31:55.439Z,El ecoparque de Cabo Mayor ampliará sus instalaciones con ocho circuitos más y nuevos juegos,"La empresa Trenti Aventura\, adjudicataria de la concesión otorgada para los próximos 15 años\, invertirá unos 334.000 euros en la mejora de este espacio",http://santander.es/contenido/noticia/ecoparque-cabo-mayor-ampliara-instalaciones-ocho-circuitos-mas-nuevos-juegos,2017-08-31T14:42:00+02:00,http://datos.santander.es/api/datos/noticias_medio_ambiente/el-ecoparque-de-cabo-mayor-ampliara-sus-instalaciones-con-ocho-circuitos-mas-y-nuevos-juegos.csv
2017-10-31T16:31:55.437Z,"Las inscripciones en la marcha ciclista de la Semana de la Movilidad\, abiertas hasta el día 12","Se celebrará el domingo 17 de septiembre\, con salida y llegada en el paseo de Pereda\, donde habrá actividades lúdicas a lo largo de la mañana",http://santander.es/noticia/inscripciones-marcha-ciclista-semana-movilidad-abiertas-hasta-dia-12,2017-09-05T11:33:00+02:00,http://datos.santander.es/api/datos/noticias_medio_ambiente/las-inscripciones-en-la-marcha-ciclista-de-la-semana-de-la-movilidad-abiertas-hasta-el-dia-12.csv
