"NUMERO,C,20","DIRECCION,C,99","NOTA,C,250"
143,BETOÑO PUEBLO,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
142,BETOÑO PUEBLO (ZONA DE JUEGOS),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
249,"LA BIOSFERA, PASEO DE","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
262,POLIG.IND.DE BETOÑO (ANILLO VERDE CON CALLE MIRAVALLES),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
275,"PARIS ,AVENIDA DE, 2 (EN PARQUE)","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
123,"ARANA, PARQUE DE","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
124,"ARANA, PARQUE DE","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
187,CEMENTERIO SANTA ISABEL,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
189,CEMENTERIO SANTA ISABEL,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
190,CEMENTERIO SANTA ISABEL,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
191,CEMENTERIO SANTA ISABEL,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
192,CEMENTERIO SANTA ISABEL,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
193,CEMENTERIO SANTA ISABEL,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
195,CEMENTERIO SANTA ISABEL,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
194,CEMENTERIO SANTA ISABEL,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
196,CEMENTERIO SANTA ISABEL,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
126,PUERTO DE ETXEGARATE,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
125,SENDA DE LOS PUERTOS,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
132,CUADRILLA DE LAGUARDIA-RIOJA ALAVESA,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
129,"REYES DE NAVARRA, 24","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
130,"TRES DE MARZO, PLAZA DEL","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
128,"ZARAMAGA, PLAZA DE","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
254,"ZUBEROA, PLAZA","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
331,"GREEN CAPITAL, PLAZA","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
188,CEMENTERIO SANTA ISABEL,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
81,"PEDRO IGNACIO BARRUTIA, SENDA","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
77,"PEDRO IGNACIO BARRUTIA, SENDA","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
78,"PEDRO IGNACIO BARRUTIA, SENDA","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
20,"BENITO PEREZ GALDOS, PLAZA","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
79,"ARANBIZKARRA, PARQUE","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
285,"VALLADOLID, 4","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
43,ANGLO-VASCO,"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
45,"SALVADOR ALLENDE, SENDA DE","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
22,PLAZA SIMÓN BOLIVAR (ZONA ORTE),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
23,PLAZA SIMÓN BOLIVAR (ZONA SUR),"FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
25,"SANTIAGO, AVENIDA DE, 41","FUENTE DE AGUA POTABLE. EN INVIERNO, EN CASO DE RIESGO DE HELADAS, SE QUEDA SIN SUMINISTRO DE AGUA - UR EDANGARRI DUEN ITURRIA. NEGUAN, IZOZTEEN ARRISKURIK EGOTEKOTAN, UR-HORNIDURARIK GABE GERATZEN DA"
