301,"ARCA, PLAZA DE",ARKA PLAZA,PLAZA
4910,ARCENA,ARCENA KALEA,CALLE
320,AREITIO,AREITIO KALEA,CALLE
4612,ARENAL,AREATA KALEA,CALLE
6120,ARETXABALETA,ARETXABALETA,ENTIDAD
6130,ARGANDOÑA,ARGANDOÑA,ENTIDAD
330,ARGENTINA,ARGENTINA KALEA,CALLE
6140,ARIÑIZ/ARIÑEZ,ARINIZ,ENTIDAD
340,ARIZNABARRA,ARIZNABARRA KALEA,CALLE
349,ARIZNABARRETA,ARIZNABARRETA KALEA,CALLE
6110,ARKAIA,ARKAIA,ENTIDAD
4857,ARKAIABIDEA,ARKAIABIDEA,CALLE
4913,ARKAMU,ARKAMU KALEA,CALLE
310,ARKATXA,ARKATXA KALEA,CALLE
6100,ARKAUTI/ARCAUTE,ARKAUTI,ENTIDAD
6150,ARMENTIA,ARMENTIA,ENTIDAD
350,"ARMENTIA, ALTO DE",ARMENTIAGANA,CALLE
367,"ARMENTIA, CAMINO DE",ARMENTIABIDEA,CAMINO
6160,ARRIAGA,ARRIAGA,ENTIDAD
400,ARRIAGANA,ARRIAGANA KALEA,CALLE
2951,ARRIETA,ARRIETA KALEA,CALLE
411,"ARRIETA, PASAJE DE",ARRIETA PASABIDEA,PASAJE
4623,ARRIURDINA,ARRIURDINA KALEA,CALLE
4614,ARROXETA,ARROXETA KALEA,CALLE
4925,ARTANDI,ARTANDI KALEA,CALLE
420,ARTAPADURA,ARTAPADURA KALEA,CALLE
6170,ARTATZA FORONDA,ARTATZA FORONDA,ENTIDAD
4934,ARTETXO,ARTETXO KALEA,CALLE
430,ARTZARANA,ARTZARANA KALEA,CALLE
4804,ARTZUA,ARTZUA KALEA,CALLE
4676,ASESTADERO,ASESTADERO KALEA,CALLE
4774,ASKARRA,ASKARRA KALEA,CALLE
6180,ASKARTZA,ASKARTZA,ENTIDAD
4888,ASPARRENA,ASPARRENA KALEA,CALLE
6190,ASTEGUIETA,AZTEGIETA,ENTIDAD
440,ASTURIAS,ASTURIAS KALEA,CALLE
4699,"ATENAS ,PASEO DE",ATENAS IBILBIDEA,PASEO
4540,ATXO APELLANIZ,ATXO APELLANIZ KALEA,CALLE
4978,"AYUNTAMIENTO, PLAZA DEL",UDALAREN PLAZA,PLAZA
460,AZEDUIA,AZEDUIA KALEA,CALLE
4702,AZKOITIA,AZKOITIA KALEA,CALLE
4669,AZPEITIA,AZPEITIA KALEA,CALLE
4618,AZUCARERA,AZUKREOLA KALEA,CALLE
4819,BAÑOS DE EBRO,MAÑUETA KALEA,CALLE
480,BADAIA,BADAIA KALEA,CALLE
4548,BAIONA,BAIONA KALEA,CALLE
4598,BARCELONA,BARTZELONA KALEA,CALLE
4649,BAROA,BAROA KALEA,CALLE
490,BARRATXI,BARRATXI KALEA,CALLE
500,BARRENKALE,BARRENKALEA,CALLE
4813,BARRIOBUSTO,GORREBUSTO KALEA,CALLE
4885,BARRUNDIA,BARRUNDIA KALEA,CALLE
4705,BARTOLOME DE LAS CASAS,BARTOLOME DE LAS CASAS KALEA,CALLE
4874,BASABURUA,BASABURUA KALEA,CALLE
505,BASALDEA,BASALDEA KALEA,CALLE
4879,BASATXOA,BASATXOA KALEA,CALLE
510,BASOA,BASOA KALEA,CALLE
520,BASTITURRI,BASTITURRI KALEA,CALLE
4923,BASTOBI,BASTOBI KALEA,CALLE
530,"BATAN, PASEO DEL",BATAN IBILBIDEA,PASEO
475,BATXIKABO,BATXIKABO KALEA,CALLE
540,BEATO TOMAS DE ZUMARRAGA,TOMAS ZUMARRAGA DOHATSUAREN KALEA,CALLE
550,BECERRO DE BENGOA,BECERRO DE BENGOA KALEA,CALLE
570,BEETHOVEN,BEETHOVEN KALEA,CALLE
4582,BEHENAFARROA,BEHENAFARROA KALEA,CALLE
4794,BEISTEGI HERMANOS,BEISTEGI HERMANOS KALEA,CALLE
560,BEKOLARRA,BEKOLARRA KALEA,CALLE
4952,BEKOLASA,BEKOLASA KALEA,CALLE
4915,BELABIA,BELABIA KALEA,CALLE
4568,BELATE,BELATE KALEA,CALLE
580,BENITO GUINEA,BENITO GINEA KALEA,CALLE
3030,"BENITO PEREZ GALDOS, PLAZA",BENITO PEREZ GALDOS PLAZA,PLAZA
4695,"BERLIN ,PASEO DE",BERLIN IBILBIDEA,PASEO
600,BERNAL DIAZ DE LUCO,BERNAL DIAZ DE LUKO KALEA,CALLE
6200,BERROSTEGIETA,BERROZTEGIETA,ENTIDAD
6210,BETOÑO,BETOÑU,ENTIDAD
615,BIAK BAT,BIAK BAT KALEA,CALLE
4775,BIDEGANA,BIDEGANA KALEA,CALLE
4955,BIDEZARRA,BIDEZARRA KALEA,CALLE
620,"BILBAO, PLAZA DE",BILBO PLAZA,PLAZA
4776,BILODABIDEA,BILODABIDEA KALEA,CALLE
623,BIZENTA MOGEL,BIZENTA MOGEL KALEA,CALLE
