EXPEDIENTE;ASUNTO;Nº INVITADOS;Nº LICITADORES;FECHA ADJUDICACIÓN;PRECIO;EMPRESA
2015/CONASO0080;FORMACIÓN EN EL ÁMBITO DEL MARKETING PARA NUEVAS EMPRESAS EN EL MARCO DEL PLAN INTEGRAL PERSONALIZADO DE APOYO AL EMPRENDIMIENTO. PIPAE 2015;6;5;13/05/2015;7.502,00;PAUNERO VAZQUEZ ITZIAR
2015/CONSOC0044;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DE UNA CARRETILLA ELEVADORA DIESEL REACONDICIONADA, DE SEGUNDA MANO, PARA ALMACEN DE PUENTE ALTO (SILO 2);1;1;13/05/2015;16.335,00;MEHINOSA-STILL
2015/CONASO0183;DESARROLLO DE PROYECTO DE PARENTALIDAD POSITIVA EN EL PLAN LOCAL DE INFANCIA Y ADOLESCENCIA;1;1;13/05/2015;7.500,00;UNIVERSIDAD DEL PAIS VASCO
2015/CONASO0184;CONTRATO MENOR DE EJECUCIÓN DE PROYECTO DE PREVENCIÓN SECUNDARIA DE VIOLENCIA FILIO-PARENTAL PARA EL AÑO 2015;1;1;13/05/2015;10.178,23;UNIVERSIDAD DEL PAIS VASCO
2015/CONASP0115;CURSOS SQUASH TDA 2015-2016;3;1;15/05/2015;5.184,00;FEDERACIÓN ALAVESA DE SQUASH
2015/CONOOR0029;BARNIZADO Y PINTADO DE MOBILIARIO EXTERIOR DEL C.D. MENDIZORROTZA;4;3;15/05/2015;10.251,85;PINTURAS GAVI R/ AITOR GARCIA VILAR
2015/CONOOR0030;PINTURA DE ZONA DE VESTUARIOS EN LAS INSTALACIONES DEPORTIVAS DE OLARANBE;3;3;15/05/2015;6.243,32;ESTILO JUAN RAMÓN GOMEZ MANZANARES
2015/CONASO0189;MANTENIMIENTO DEL ASCENSOR RAE 121023 EN EL PALACIO DE CONGRESOS EUROPA;1;1;15/05/2015;1.192,24;ELECTRA VITORIA S.COOP. LTDA.
2015/CONASO0081;FORMACIÓN EN EL ÁMBITO DE LAS OBLIGACIONES LEGALES DE LA NUEVA EMPRESA EN EL MARCO DEL PLAN INTEGRAL PERSONALIZADO DE APOYO AL EMPRENDIMIENTO;5;3;18/05/2015;10.890,00;ZUBIZARRETA CONSULTING, S.L.
2015/CONASO0084;FORMACIÓN EN EL ÁMBITO DE LAS FINANZAS PRÁCTICAS PARA LAS NUEVAS EMPRESAS EN EL MARCO DEL PLAN INTEGRAL PERSONALIZADO DE APOYO AL EMPRENDIMIENTO 2015.PIPAE;5;5;18/05/2015;9.000,00;GESTIONA XXI CONSULTING S.L.
2015/CONSOC0036;RENOVACIÓN DE LA PLATAFORMA DE COPIAS DE SEGURIDAD Y RECUPERACIÓN IBM-TSM;3;1;18/05/2015;20.763,60;BT ESPAÑA, COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A.
2015/CONASO0085;FORMACIÓN EN EL ÁMBITO DE LAS TICS Y SU NECESIDAD Y APORTACIÓN A LA CREACIÓN Y DESARROLLO DE NUEVAS EMPRESAS EN EL MAR MARCO DEL PLAN INTEGRAL PERSONALIZADO DE;5;4;19/05/2015;6.600,00;ALGO MÁS QUE MARKETING, S.L.
2015/CONASO0176;PATROCINIO PUBLICITARIO PARA LA ORGANIZACIÓN DEL VII ECO-RALLYE VASCO- NAVARRO;1;1;19/05/2015;7.500,00;REAL AUTOMÓVIL CLUB VASCO-NAVARRO
2015/CONASO0191;SERVICIO DE FORMACION Y ASESORAMIENTO A LAS EMPRESAS ENCARGADAS DE LA GESTION DE LOS PROGRAMAS VACACIONALES PARA TRABAJAR LOS CRITERIOS LINGUISTICOS;1;1;19/05/2015;2.900,00;EBETE HIZKUNTZA-ZERBITZUAK S.COOP.TXIKIA
2015/CONASO0192;REPARACIÓN DE CÁMARA DE IMÁGENES TÉRMICA;1;1;19/05/2015;5.275,42;SOLUCIONES DE VISIÓN TÉRMICA, S.L. SOVITER
2015/CONASO0196;ACTUACIONES VARIAS DE LIMPIEZA EN LA ANTIGUA ESTACION DE AUTOBUSES LOS HERRAN;3;2;19/05/2015;11.172,12;CLECE S.A.
2015/CONASO0200;TRANSPORTE DE CONCENTRACIÓN DE LA EXPOSICIÓN 'FOTOGRAFÍA CONTEMPORÁNEA EN LA COLECCIÓN TELEFÓNICA' EN EL C.C. MONTEHERMOSO;4;4;20/05/2015;3.109,70;ORDAX TRANSPORTE ARTE & EXPOSICIONES
2015/CONASO0201;LABORES DE MONTAJE Y DESMONTAJE DE LA EXPOSICIÓN 'FOTOGRAFÍA CONTEMPORÁNEA EN LA COLECCIÓN TELEFÓNICA' QUE TENDRÁ LUGAR EN EL C.C. MONTEHERMOSO;2;2;20/05/2015;4.007,52;ARTEKA UNE ETA GESTIOA S.L.
2015/CONASO0086;FORMACIÓN EL EN ÁMBITO DE LAS HABILIDADES PERSONALES PARA EMPRENDER EN EL MARCO DEL PLAN INTEGRAL PERSONALIZADO DE APOYO AL EMPRENDIMIENTO 2015. PIPAE;7;3;21/05/2015;6.500,00;BIOMIMETIKS, S.L.U.
2015/CONASO0188;CONTRATO PARA EL DISEÑO Y ELABORACIÓN DE FOLLETO DE DIFUSIÓN DE LOS CENTROS SOCIO CULTURALES DE MAYORES;3;4;21/05/2015;5.566,00;IMAGO, PRODUCCION AUDIOVISUAL, S.L.
2015/CONASO0202;ESPECTÁCULO PIROTÉCNICO EL DÍA 5 DE AGOSTO DURANTE LAS FIESTAS DE LA VIRGEN BLANCA;7;7;21/05/2015;17.000,00;PIROTECNIA VALECEA-PIR, S.L.
2015/CONASO0202;ESPECTÁCULO PIROTÉCNICO EL DÍA 5 DE AGOSTO DURANTE LAS FIESTAS DE LA VIRGEN BLANCA;0;0;21/05/2015;17.000,00;PIROTECNIA TOMAS S.L.
2015/CONASO0204;CONTRATACIÓN DEL SERVICIO DE NOTICIAS DE AGENCIA EFE;0;1;21/05/2015;8.653,05;AGENCIA EFE
2015/CONASO0211;PROGRAMA DE APOYO HACIA LA AUTONOMÍA PARA PERSONAS EN SITUACIÓN DE EXCLUSIÓN SOCIAL EN CMAS, PERIODO: 01/06/-30/06/15;1;1;25/05/2015;3.687,07;BABESTEN GIPUZKOA SL
2015/CONSOC0043;ADQUISICIÓN DE PORTÁTILES PARA DOTAR DE RECURSOS LAS SALAS DE REUNIONES DEL NUEVO EDIFICIO DE SAN MARTÍN;5;3;26/05/2015;20.337,95;INSTRUMENTACION Y COMPONENTES S.A.
2015/CONOOR0033;TRABAJOS DE DESMANTELAMIENTO DE PAVIMENTO DE TERRAZA DEL BAR EN EL PARQUE DE GAMARRA;3;3;26/05/2015;3.784,28;DERRIBO Y DESESCOMBROS, S.L.
2015/CONAPR0212;REDACCIÓN DEL PROYECTO DE OBRAS DE TOMA DE AGUA EN YURRE Y ACOMETIDA Y DISTRIBU- CIÓN DE LAS MISMAS EN BASALDEA;1;1;26/05/2015;4.870,25;JAVIER IBIRICU ASTRAIN, S.L.
2015/CONSOC0049;SUMINISTRO DE MATERIALES DE REPUESTO DE FONTANERIA DE LA MARCA PRESTO PARA PABELLONES URITIASOLO;3;3;26/05/2015;3.040,32;SALTOKI ARABA, S.A.
2015/CONOOR0035;TRABAJOS DE SUSTITUCIÓN DE DOS MOTORES DE ELEVACIÓN EN EL TEATRO PRINCIPAL;3;2;27/05/2015;11.535,22;BIASCLAP, S.L.
2015/CONASO0219;"DISEÑO Y ADECUACIÓN DE CONTENIDOS DEL FOLLETO TURÍSTICO DENOMINADO ""GUÍA DEL VISITANTE""";1;1;28/05/2015;3.267,00;AINHOA MARTÍNEZ DE CESTAFE FERNÁNDEZ (LÍNEA RECTA BRANDING&COMUNICACIÓN)
2015/CONASO0209;IMPARTICIÓN DE UN PROGRAMA FORMATIVO EN EL ÁMBITO DE LA AGRICULTURA ECOLÓGICA;1;1;29/05/2015;16.680,00;HAZI
2015/CONAPR0215;DIRECCIÓN DE OBRA PARA LA EJECUCIÓN DE LAS OBRAS DEL PROYECTO DE MEJORA DE LA ACCESIBILIDAD DEL PALACIO DE VILLASUSO;1;1;29/05/2015;11.918,50;HERGUETA ZABALA LUIS Mª
2015/CONAPR0218;DIRECCIÓN DE EJECUCIÓN DE LAS OBRAS DEL PROYECTO DE MEJORA DE LA ACCESIBILIDAD DEL PALACIO VILLASUSO;1;1;29/05/2015;11.918,50;ERNESTO MARQUINEZ VILLAVA
2015/CONASO0221;CONTRATO MENOR DE PROGRAMA INTERVENCIÓN EN PISOS DE ACOGIDA;1;1;29/05/2015;17.373,31;IPACE, PSICOLOGIA APLICADA, S.L.
2015/CONASO0210;PATROCINIO PUBLICITARIO PARA LA DIFUSIÓN Y PUBLICIDAD DE VITORIA-GASTEIZ Y SU MARCA DE CIUDAD EN INTERCAMBIO DE CICLISTA JUNIOR CON ANGULEMA;1;1;30/05/2015;500,00;FEDERACIÓN ALAVESA DE CICLISMO
2015/CONASO0222;GESTIÓN DEL PORTAL ASOCIATIVO ELKARTEAK .INFO, EJERCICIO 2015;1;1;01/06/2015;12.000,00;SARTU
2015/CONSOC0052;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A ENVAC IBERIA SA POR SUSTITUCIÓN DE UN BUZÓN DE RECOGIDA NEUMÁTICA EN LA PLAZA DE BILBAO;1;1;01/06/2015;6.946,79;ENVAC IBERIA, S.A.
2015/CONSOC0054;ADQUISICIÓN DE 16 FOCOS DE RECORTE 12/30º CON DESTINO AL TEATRO PRINCIPAL ANTZOKIA;3;3;02/06/2015;11.988,68;STONEX
2015/CONASO0223;ATENCIÓN DEL SERVICIO DE ASESORÍA JURÍDICA PARA JÓVENES;1;1;02/06/2015;8.329,66;COLEGIO OFICIAL DE ABOGADOS DE ALAVA
2015/CONSOC0055;APROBACIÓN DEL GASTO Y ABONO DE FACTURAS A IBAÑEZ ARANA POR SUMINISTRO DE MATERIAL PARA REPONER FAROLAS DAÑADAS POR VANDALISMO;1;1;03/06/2015;12.561,98;IBAÑEZ ARANA, S.L. ILUMINACION
2015/CONASO0231;ALQUILER DE ESCENARIO PARA EL RECINTO DE TXOSNAK EN LAS FIESTAS DE LA VIRGEN BLANCA;2;2;03/06/2015;6.509,80;ETXEKIT, S.L.
2015/CONASO0232;EQUIPO DE ILUMINACIÓN Y SONIDO PARA EL RECINTO DE TXOSNAK;3;3;03/06/2015;17.229,46;ALBOKA S. COOP.
2015/CONSOC0050;SEÑALIZACIÓN INTERIOR Y EXTERIOR DE LAS NUEVAS OFICINAS DE SAN MARTIN;3;3;04/06/2015;5.172,19;XPRINTA NORTE IMAGEN CORPORATIVA S.L.U.
2015/CONOOR0039;SUSTITUCION DE PAVIMENTO EN LA TERRAZA DEL EDIFICIO SOCIAL DE GAMARRA;3;3;04/06/2015;54.389,50;LACUESTA Y MAZA S.L.
2015/CONASO0214;IMPRESION DE LOS FOLLETOS DEL PROGRAMA MUNICIPAL DE ACTIVIDADES EN CENTROS CÍVICOS E INSTALACIONES DEPORTIVAS 2015 -2016;5;2;05/06/2015;15.924,48;GRAFICAS IRUDI, S.L.
2015/CONOOR0040;CREACION DE OFICINAS PARA NUEVOS SINDICATOS EN LA RESIDENCIA SAN PRUDENCIO;5;5;05/06/2015;24.650,83;EGAINOR ASESORES CONSTRUCTORES, S.L.
2015/CONASP0233;GESTIÓN DE LOS PLANES DE AUTOCONTROL DE LAS PISCINAS MUNICIPALES DE JULIO A SEPTIEMBRE DE 2015;1;1;05/06/2015;3.894,65;URIARTE-PAGALDAI SL
2015/CONSOC0057;SUMINISTRO DE 14 EQUIPOS DE PROTECCIÓN CONTRA EL FUEGO PARA EL SERVICIO DE BOMBEROS;1;1;05/06/2015;16.870,38;PRODUCTOS Y MANGUERAS ESPECIALES, S.A.
2015/CONASO0234;ASISTENCIA TÉCNICA A LA DIRECCIÓN FACULTATIVA DE SEÑALIZACIÓN INFORMATIVA DIRECCIONAL DE ESTABLECIMIENTOS HOTELEROS EN VITORIA-GASTEIZ;3;3;05/06/2015;6.776,00;JAVIER VALENCIA MARTÍNEZ DE ANTOÑANA (LYRA INGENIERÍA CONSULTORÍA)
2015/CONOOR0041;REBAJE DE PELDAÑO EN ACCESO AL PALACIO ETXANOBE;4;4;08/06/2015;16.500,81;ERTZ 4 CONSTRUCCIONES Y PROYECTOS S.L.
2015/CONSOC0012;SUMINISTRO DE PAPELETAS ELECTORALES PARA ELECCIONES LOCALES DE 24 DE MAYO DE 2015;3;2;09/06/2015;6.909,48;SACAL S.L.U.
2015/CONOOR0042;REALIZACION DE SOLERA PARA USO DE ALMACEN EN LOCAL EN CALLE FERROCARRIL DEL NORTE;3;2;09/06/2015;20.082,93;ESPARZA OBRAS Y PROYECTOS, S.L.
2015/CONSPE0058;PATROCINIO PUUBLICITARIO CON LA EMPRESA PRODUCCIONES MIC PARA LA EDICIÓN DEL PROGRAMA OFICIAL DE FIESTAS DE LA VIRGEN BLANCA 2015;1;1;09/06/2015;3.000,00;EDITORIAL MIC
2015/CONSOC0041;SUMINISTRO DE LA ELECTRÓNICA NECESARIA PARA EL SISTEMA WIFI MUNICIPAL PARA EL NUEVO CENTRO CÍVICO SALBURUA;4;3;11/06/2015;6.679,20;TELBASK, S.L.
2015/CONSOC0047;DOTACIÓN DE SISTEMA DE ALARMAS EN PISO DE ACOGIDA EN C/SAN IGNACIO;3;3;16/06/2015;1.451,40;ELDUR MANTENIMIENTO S.L.L.
2015/CONSOC0060;SUMINISTRO, INSTALACION Y MONTAJE DE JUEGOS INFANTILES EN EL PARQUE DE GAMARRA;3;2;22/06/2015;6.069,84;MONTAJES Y MANTENIMIENTOS DEL NORTE S.L.
2015/CONOOR0032;OBRAS DE TRASLADO DEL SERVICIO MÉDICO A PLANTA CUARTA RESIDENCIA SAN PRUDENCIO;4;4;23/06/2015;40.893,21;VASCO GALLEGA DE CONSTRUCCIONES, S.A.
2015/CONSOC0062;SUMINISTRO Y COLOCACIÓN DE MOQUETA VERDE EN LA ACERA, FRENTE AL ACCESO DEL PALACIO DE CONGRESOS EUROPA;2;2;24/06/2015;5.082,00;EVENTOKIT
2015/CONASO0246;SERVICIO DE CONTROL DE ACCESO Y SEGURIDAD PARA LOS CONCIERTOS DE LA PLAZA DE FUEROS DURANTE LAS FIESTAS DE VITORIA-GASTEIZ;2;2;24/06/2015;9.075,00;AUXTEAM CODE SLU
2015/CONASO0251;ARTISTAS 'TXABI FRANQUESA, PEDRO LLAMAS Y TOMÁS GARCÍAS' CON EL ESPECTÁCULO 'LA NOCHE DEL CLUB DE LA COMEDIA' EL DÍA 6 DE AGOSTO DE 2015;1;1;25/06/2015;6.655,00;ASIER ALVAREZ DE ARCAYA RUIZ DE EGUILAZ
2015/CONOOR0046;OBRAS DE ACONDICIONAMIENTO DE OFICINAS EN ENTREPLANTA DE CASA CONSISTORIAL;3;3;26/06/2015;22.895,52;AKTUA REHABILITACION INTEGRAL S.COOP.
2015/CONASO0252;ALQUILER, COLOCACIÓN Y RETIRADA DE SILLAS Y COLOCACIÓN Y RETIRADA DE SOMBRILLAS PARA LOS EVENTOS CULTURALES DE LAS FIESTAS DE LA VIRGEN BLANCA;2;3;26/06/2015;6.201,25;LANKIDE, SERVICIOS EMPRESARIALES, S.L.
2015/CONASO0253;PRESTACIÓN DE SERVICIO COMPLEMENTARIO DE ASESORÍA EN EL PLAN INTEGRAL PERSONALIZADO DE APOYO AL EMPRENDIMIENTO . PIPAE.;1;1;26/06/2015;4.138,20;A + G CONSULTORES DE GESTIÓN S.COOP.
2015/CONOUR0038;REPOSICIÓN DE LA SEÑALIZACIÓN HORIZONTAL EN LA CIUDAD DE VITORIA-GASTEIZ (2015);3;3;29/06/2015;28.756,86;AVANTE SERTRA, S.L.
2015/CONASP0230;TRABAJOS DE APERTURA Y CIERRE DE VARIOS RECINTOS DE LA CIUDAD (JARDINES VALLADOS OBSERVATORIOS PARQUE SALBURUA, HUERTAS Y ANTIGUA ESTACIÓN DE AUTOBUSES);5;3;30/06/2015;9.926,00;EUSKO GARDEN - MARIO A. ADAN CEBALLOS
2015/CONOUR0036;OBRAS DE FRESADO, SANEADO Y REPINTADO DE MARCAS VIALES EN LA CIUDAD DE VITORIA-GASTEIZ (AÑO 2015);3;3;01/07/2015;30.159,67;FERROSER INFRAESTRUCTURAS S.A.
2015/CONOOR0037;TRABAJOS DE RECUPERACIÓN DE ESPACIOS DEGRADADOS EN PARCELAS PÚBLICAS DE JÚNDIZ Y GARDELELGUI (2015-2016);3;3;01/07/2015;31.023,39;SERVICIOS AGROFORESTALES EURIA S.L.
2015/CONASP0216;SERVICIO DE TRANSPORTE  DENTRO DE LA CAMPAÑA ESCOLAR EN PISTA DE HIELO 2015- 2016;5;3;01/07/2015;15.104,10;AUTOBUSES HNOS. ARRIAGA, S.A.
2015/CONOOR0047;SUSTITUCION DE NUEVO PARQUE INFANTIL EN EMEI ZARAMAGA;3;3;01/07/2015;18.044,22;GILTEC ARQUITECTOS TÉCNICOS S.L.
2015/CONASO0257;CONTRATO MENOR PROGRAMA APOYO HACIA LA AUTONOMIA PARA PERSONAS EN SITUACIÓN DE EXCLUSIÓN SOCIAL EN CMAS;1;1;02/07/2015;3.687,07;BABESTEN GIPUZKOA SL
2015/CONOOR0048;SUSTITUCION DE PARTE DEL VALLADO EN INSTALACIONES DE BETOÑO;3;2;02/07/2015;27.176,96;RAFAEL LEON JIMENEZ S.L.
2015/CONSOC0065;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DE UNA FURGONETA DE SEGUNDA MANO PARA EL PERSONAL DE OFICIO DEL DEPARTAMENTO DE ADMINISTRACIÓN MUNICIPAL;1;1;03/07/2015;4.719,00;RUIZ SANTOS, EDUARDO
2015/CONASO0262;REPARACIÓN DEL VEHÍCULO P-1 DEL SPEIS;3;3;06/07/2015;4.103,01;CARROCERÍAS MAYAL
2015/CONASO0263;ALQUILER, MONTAJE, PUESTA EN MARCHA Y UTILIZACIÓN DEL EQUIPO DE ILUMINACIÓN Y SONIDO NECESARIO PARA LAS ACTUACIONES MUSICALES DE LA PLAZA DEL MACHETE;4;4;06/07/2015;17.545,00;AUDIOMIC PRODUCCIONES, S.L.
2015/CONOOR0049;RESTAURACION DE LOS BALCONES DE LA FACHADA DEL PALACIO DE MONTEHERMOSO;3;3;06/07/2015;13.856,92;ARTARRIA / ALVARO HERNANDEZ
2015/CONSOC0061;SUMINISTRO PARA EQUIPACIÓN DE SALA DE EJERCICIO DEL CC. EL CAMPILLO;4;1;07/07/2015;13.720,19;EXERCYCLE,S.A.
2015/CONOOR0050;ACONDICIONAMIENTO DE LOCAL EN OFICINAS EN PLANTA BAJA DE PLAZA ESPAÑA;3;3;07/07/2015;17.358,79;CRESA S.L.
2015/CONASO0268;ALQUILER, MONTAJE, PUESTA EN MARCHA Y UTILIZACIÓN DEL EQUIPO DE ILUMINACIÓN Y SONIDO NECESARIO PARA LAS ACTIVIDADES PROGRAMADAS EN LA PLAZA VIRGEN BLANCA;3;1;07/07/2015;5.200,58;LIZARRALDE SOINUA - TXALAPARTA, S.L.
2015/CONASO0229;SECRETARÍA TÉCNICA DE UNA JORNADA SOBRE COWORKING Y COLABORACIÓN EL 22 DE OCTUBRE DE 2015. COFINANCIADO POR EL FSE P.O. PAÍS VASCO 2007 2013 EMPRESA LOCAL;5;2;08/07/2015;11.995,00;SEIKAZ COMUNICACIÓN, S.L.
2015/CONOOR0051;LIMPIEZA DE CUBIERTA Y PINTURA DE VIERTEAGUAS EN EI LAKUABIZKARRA;3;3;08/07/2015;10.029,09;ALBAÑILERIA Y CONSTRUCCIONES FOZ SLU
2015/CONOOR0043;OBRAS DE INSTALACIÓN ELÉCTRICA EN EL RECINTO DE LAS TXOSNAS PARA LAS FIESTAS DE LA VIRGEN BLANCA 2015;4;4;09/07/2015;17.998,97;URARTE MONTAJES ELECTRICOS S.A.L.
2015/CONOOR0044;OBRAS DE INSTALACIÓN ELÉCTRICA EN EL RECINTO DE LAS BARRACAS DURANTE LAS FIESTAS DE LA VIRGEN BLANCA, 2015;4;4;10/07/2015;16.400,00;URARTE MONTAJES ELECTRICOS S.A.L.
2015/CONASP0272;CONTRATO MENOR SERVICIO DE VIGILANCIA NOCTURNA EN EL CIAM SAN PRUDENCIO;1;1;13/07/2015;21.600,00;COMPAÑIA INTEGRAL DE SEGURIDAD, S.A
2015/CONASO0273;LIMPIEZA DE CRISTALES DE DIFICIL ACCESO EN VARIOS EDIFICIOS MUNICIPALES;4;4;13/07/2015;3.868,86;EULEN S.A.
2015/CONASO0273;LIMPIEZA DE CRISTALES DE DIFICIL ACCESO EN VARIOS EDIFICIOS MUNICIPALES;0;0;13/07/2015;4.622,20;LIMPIEZAS EGUNON
2015/CONASO0273;LIMPIEZA DE CRISTALES DE DIFICIL ACCESO EN VARIOS EDIFICIOS MUNICIPALES;0;0;13/07/2015;968,00;LIMPIRESOL SL
2015/CONASO0275;MANTENIMIENTO DE ASCENSOR EN CEP ERREKABARRI EN CALLE PUERTO AZACETA S/N;1;1;13/07/2015;865,10;ELECTRA VITORIA S.COOP. LTDA.
2015/CONASO0241;"IMPARTICION MODULO ""FORMACION BASICA"" DENTRO DEL CURSO OPERACIONES AUXILIARES DE MONTAJE DE INSTALACIONES ELECTROTECNI CAS Y DE TELECOMUNICACIONES FOTOVOLTAICA";4;2;14/07/2015;11.800,00;IRSE-INSTITUTO DE REINTEGRACION SOCIAL DE ALAVA
2015/CONASO0220;"PROYECTO PILOTO ""ECONOMÍA CIRCULAR EN EL SECTOR METAL DE VITORIA-GASTEIZ PARA LA EFICIENCIA EN EL USO DE RECURSOS Y EL AHORRO DE COSTES""";6;5;15/07/2015;13.612,50;ECOINGENIUM, S.L.
2015/CONASP0276;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO DE RECOGIDA SELECTIVA DE RESIDU O TEXTIL,CALZADO Y PEQUEÑOS APARATOS ELÉCTRICOS A TRAVÉS DE CONTENEDOR;1;1;15/07/2015;17.070,85;KOOPERA SERVICIOS AMBIENTALES S. COOP.
2015/CONASO0282;ALQUILER, MONTAJE, PUESTA EN MARCHA Y UTILIZACIÓN DEL EQUIPO DE ILUMINACIÓN Y SONIDO NECESARIO PARA LAS ACTUACIONES PROGRAMADAS EN LA PLAZA NUEVA;3;2;16/07/2015;19.305,55;SOINU ETA ARGIA, S.L. UNIPERSONAL
2015/CONOOR0052;PINTURA DEL AULA DE INGLES Y PASILLOS DEL CP SAMANIEGO (INFANTIL);3;3;16/07/2015;4.438,63;PINTURAS DAVID NAVARRO MUÑOZ
2015/CONASO0283;PUESTA EN SERVICIO Y MANTENIMIENTO DE LOS EVACUATORIOS SITOS EL PARQUE DE LA FLORIDA;1;1;17/07/2015;2.196,15;ZABALTEGI JUDIZMENDI, S.L.U.
2015/CONASO0284;LIMPIEZA DE PATIOS DE CENTROS ESCOLARES;4;2;17/07/2015;9.499,10;OBRAS PÚBLICAS ONAINDÍA SA
2015/CONOOR0053;TRATAMIENTO DE LOS SUELOS DE LA PISCINA Y VESTUARIOS ANEJOS DEL POLIDEPORTIVO DE ABETXUKO;3;2;17/07/2015;15.082,98;APLICACIONES DE RESINA G&J S.C.
2015/CONOOR0054;TRABAJOS DE DESMONTAJE DE APARATAJE VIDEO/AUDIO DE SALAS Y TRASLADO AL EDIFICIO DE OFICINAS DE SAN MARTIN;1;1;20/07/2015;3.757,05;AISILAN XXI, S.L.
2015/CONOOR0055;TRABAJOS DE INSTALACION NECESARIOS PARA MONTAJE DE LOS ELEMENTOS DE VIDEO/AUDIO EN LAS SALAS DE REUNION DE SAN MARTIN;1;1;20/07/2015;6.399,69;SALADOS ELECTROTECNIKA S.L.
2015/CONOOR0056;PINTURA GENERAL DEL CENTRO CIVICO ARIZNAVARRA;3;1;21/07/2015;22.721,92;PINTURAS ATENA, S.A.
2015/CONOOR0059;SUSTITUCION DE TEJA DE LA CUBIERTA DEL CEPA FRANCIA;4;3;22/07/2015;26.166,25;CUBIERTAS BERRIKANO DAVID NARANJO PEREZ
2015/CONASO0286;PATROCINIO PUBLICITARIO PARA LA PROMOCIÓN DE LA MARCA DE CIUDAD Y DE VITORIA-GASTEIZ EN LA II EDICIÓN DE LA FERIA DE LA CERVEZA-BIRRA ZUZENEAN;1;1;22/07/2015;3.000,00;HOR DAGO UTE
2015/CONOOR0060;TRABAJOS EN LAS INSTALACIONES DE SANEAMIENTO Y ACOMETIDA DE AGUA EN CEP LUIS DORAO;3;3;22/07/2015;17.768,12;LANCODEX S. COOP.
2015/CONOOR0061;PINTURA DEL FRONTON DE ZARAMAGA;4;3;23/07/2015;13.923,08;PINTURAS DAVID NAVARRO MUÑOZ
2015/CONOOR0062;REPARACIONES DEL PARKING DE POLICIA LOCAL;3;2;23/07/2015;16.201,90;GUINALDURA S.L. EXCAVACIONES
2015/CONASO0287;ANIMACIÓN Y COORDINACIÓN DE LA FIESTA CONMEMORATIVA DEL XXVI ANIVERSARIO DE LA CONVENCIÓN DE LOS DERECHOS DEL NIÑO;1;1;23/07/2015;8.942,67;LUDOLAND S.L.
2015/CONOOR0063;PINTURA DE PASILLOS, DISTRIBUIDORES, CAJA DE ESCALERA Y ZONA ADMINISTRATIVA DEL CEP DIVINO MAESTRO;3;3;23/07/2015;15.621,66;PRISMA GASTEIZ, S.L.
2015/CONOOR0064;ACTUACIONES VARIAS EN CC JUDIZMENDI, SUSTITUIR PUERTA EMERGENCIA S4, LUMINARIAS, ACONDICIONAR LOCAL ANEJO;4;4;23/07/2015;10.086,42;INGEVEL CONSTRUCCIONES
2015/CONOOR0065;LIJADO Y BARNIZADO DE PARQUET DE SUELOS DE 9 AULAS EN EI TXIMELETA;3;3;23/07/2015;7.044,00;RAFAEL DECORACION, S.L.
2015/CONOOR0066;PINTURA DE AULA CENTRAL DE PLANTA 2ª Y DISTRIBUIDOR GENERAL EN OFICINAS DE FRAY ZACARIAS;3;3;23/07/2015;4.354,89;ANAIAK APLISERVICIOS S.L.
2015/CONSOC0070;SUMINISTRO DE MATERIAL DE ILUMINACION PARA EL ALMACEN DE LOS PABELLONES DE URITIASOLO;4;4;23/07/2015;6.050,00;ALEVISAL - ALMACENES ELÉCTRICOS VITORIA, S.A.
2015/CONSOC0056;SUMINISTRO E INSTALACIÓN DE DOS CUADROS ELÉCTRICOS PARA LA SALA EUROPA DEL PALACIO DE CONGRESOS EUROPA;3;2;27/07/2015;5.562,01;EKOARGI INSTALACIONES ELECTRICAS
2015/CONASO0248;DISEÑO, ORGANIZACIÓN Y DESARROLLO DE UN PROGRAMA DE NETWORKING DE MUJERES EMPRESARIAS Y EMPRENDEDORAS. COFINANCIADO AL 50% POR EL FONDO SOCIAL;5;3;28/07/2015;5.989,50;AZ PROCESOS PARTICIPATIVOS, S.L.
2015/CONAEI0254;REDACCIÓN DE UN ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO DE DEFENSA CONTRA INUNDACIONES DEL ZADORRA A SU PASO POR EL MUNICIPIO, FASE II:ABETXUKO-GAMARRA;5;5;28/07/2015;10.430,00;BASOINSA INGENIERIA MEDIO AMBIENTAL Y AGROFORESTAL
2015/CONASO0270;"SERVICIO PARA EL PROYECTO DE CONSERVACIÓN DE ESPECIES AMENAZADAS EN EL LIC ""MONTES ALTOS DE VITORIA""";3;2;28/07/2015;21.770,00;ASIER JÁÑEZ ORTIZ DE LANDALUCE
2015/CONSOC0063;SUMINISTRO DEL EQUIPAMIENTO DE CARTELERÍA DIGITAL EN ENTRADA PRINCIPAL DEL PALACIO DE CONGRESOS EUROPA;3;3;29/07/2015;12.093,95;AIDAZU AUDIOVISUALES, S.L.
