EXPEDIENTE;ASUNTO;Nº INVITADOS;Nº LICITADORES;FECHA ADJUDICACIÓN;PRECIO;EMPRESA
2015/CONOOR0008;SUSTITUCION DE TECHO DEL POLIDEPORTIVO DEL CENTRO CIVICO LAKUA 03;4;3;10/02/2015;43.725,53;CUBIERTAS OLI-CER, S.L.
2015/CONASO0035;  FORMACIÓN DE ATENCIÓN A PERSONAS CON ATENCIÓN CON DISCAPACIDAD Y MOVILIDAD REDUCIDA;1;1;11/02/2015;3.630,00;V-2 COMPLEMENTOS AUXILIARES SA
2015/CONASP0016;LABORES AUXILIARES DE EVENTOS DEPORTIVOS QUE ORGANIZA EL SERVICIO DE DEPORTES PARA EL AÑO 2015;4;2;12/02/2015;17.655,00;EVENTOKIT
2015/CONASO0004;SERVICIO DE FISIOTERAPIA PARA EL CONSERVATORIO MUNICIPAL DE DANZA 'JOSÉ URUÑUELA';3;1;13/02/2015;3.804,00;CIENTO80º CENTRO DE FISIOTERAPIA Y NUTRICIÓN DE VITORIA-GASTEIZ
2015/CONSOC0009;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO DE SUMINISTRO Y MONTAJE DEL SIS TEMA DE COBRO DEL PARKING DE LA E. AUTOB;1;1;16/02/2015;11.694,65;EQUINSA PARKINT, SLU
2015/CONASP0051;LIMPIEZA DE MANTENIMIENTO Y CONSERVACION DE DIVERSOS CENTROS DE INSERCION;4;3;18/02/2015;14.050,42;UNION INTERNACIONAL DE LIMPIEZAS, S.A. UNI 2
2015/CONSOC0002;SUMINISTRO E INSTALACIÓN DE CÁMARAS DE VIDEO-VIGILANCIA PARA EL CENTRO CÍVICO SALBURUA;4;2;19/02/2015;8.914,71;PCI SECURITY DOCTORS, S.L.
2015/CONASO0024;SERVICIOS DE PUESTA EN MARCHA DEL ACD (DISTRIBUIDOR AUTOMÁTICO DE LLAMADAS) DEL 010;1;1;19/02/2015;14.060,20;IRONTEC INTERNET Y SISTEMAS SOBRE GNU/LINUX S.L.
2015/CONSOC0007;SUMINISTRO E INSTALACIÓN DEL HARDWARE Y SOFTWARE NECESARIO PARA LA DOTACIÓN DE UN ACD (DISTRIBUIDOR AUTOMÁTICO DE LLAMADAS) PARA EL 010;1;1;19/02/2015;16.534,05;IRONTEC INTERNET Y SISTEMAS SOBRE GNU/LINUX S.L.
2015/CONASO0052;PATROCINIO PUBLICITARIO CON ASOCIACIÓN DE PROFESIONALES DEL DISEÑO GRÁFICO DE ÁLAVA PARA LA CELEBRACIÓN DE LOS PREMIOS DEL DISEÑO GRÁFICO ALAVÉS;1;1;19/02/2015;500,00;ASOCIACIÓN DE PROFESIONALES DEL DISEÑO GRÁFICO DE ALAVA
