ABENDAÑO,445,1, ,3, ,01008,2,23,VITORIA-GASTEIZ,8,SAN MARTIN
,,2, ,18, ,01008,2,22,VITORIA-GASTEIZ,8,SAN MARTIN
,,11, ,13, ,01008,2,23,VITORIA-GASTEIZ,8,SAN MARTIN
,,19, ,21, ,01008,2,23,VITORIA-GASTEIZ,8,SAN MARTIN
,,23, ,25, ,01008,2,23,VITORIA-GASTEIZ,8,SAN MARTIN
,,24, ,34, ,01008,2,21,VITORIA-GASTEIZ,8,SAN MARTIN
,,29, ,33, ,01008,2,23,VITORIA-GASTEIZ,8,SAN MARTIN
,,35, ,37, ,01008,2,23,VITORIA-GASTEIZ,8,SAN MARTIN
,,39, ,39, ,01008,2,24,VITORIA-GASTEIZ,8,SAN MARTIN
,,42, ,54, ,01008,2,21,VITORIA-GASTEIZ,8,SAN MARTIN
ABERASTURI,6020,1, ,999, ,01193,6,1,ABERASTURI,26,ZONA RURAL ESTE
ABETXUKO,6000,1, ,999, ,01013,5,23,ABETXUKO,25,ABETXUKO
ABETXUKO CARRETERA,830,1, ,1, ,01013,5,23,VITORIA-GASTEIZ,25,ABETXUKO
,,1,F,1,F,01013,5,23,VITORIA-GASTEIZ,25,ABETXUKO
,,2, ,32, ,01013,5,23,VITORIA-GASTEIZ,25,ABETXUKO
,,2,A,2,A,01013,5,23,VITORIA-GASTEIZ,25,ABETXUKO
,,3, ,3,C,01013,5,23,VITORIA-GASTEIZ,25,ABETXUKO
,,5, ,5,F,01013,5,23,VITORIA-GASTEIZ,25,ABETXUKO
,,7, ,7, ,01013,5,23,VITORIA-GASTEIZ,25,ABETXUKO
,,9, ,9, ,01013,5,23,VITORIA-GASTEIZ,25,ABETXUKO
,,9,F,9,F,01013,5,23,VITORIA-GASTEIZ,25,ABETXUKO
,,11, ,11, ,01013,5,23,VITORIA-GASTEIZ,25,ABETXUKO
,,34, ,44, ,01013,5,23,VITORIA-GASTEIZ,25,ABETXUKO
ABRAHAM LINCOLN,4706,1, ,25, ,01015,2,37,VITORIA-GASTEIZ,29,ZABALGANA
,,2, ,24, ,01015,2,37,VITORIA-GASTEIZ,29,ZABALGANA
,,26, ,44, ,01015,2,37,VITORIA-GASTEIZ,29,ZABALGANA
,,27, ,45, ,01015,2,37,VITORIA-GASTEIZ,29,ZABALGANA
ABREVADERO,10,2, ,6, ,01001,1,10,VITORIA-GASTEIZ,1,CASCO VIEJO
,,3, ,5, ,01001,1,9,VITORIA-GASTEIZ,1,CASCO VIEJO
ADRIANO VI,20,1, ,11, ,01008,2,4,VITORIA-GASTEIZ,3,LOVAINA
,,2, ,18, ,01008,2,4,VITORIA-GASTEIZ,3,LOVAINA
,,13, ,17, ,01008,2,21,VITORIA-GASTEIZ,8,SAN MARTIN
,,17,A,17,B,01008,2,24,VITORIA-GASTEIZ,8,SAN MARTIN
,,20, ,22, ,01008,2,20,VITORIA-GASTEIZ,8,SAN MARTIN
,,26, ,36, ,01008,2,18,VITORIA-GASTEIZ,8,SAN MARTIN
