Ajuntament de Lleida. Resum pressupost de despeses 2014. Classificació orgànica-per programa;;
;;
Denominació;Import € ;
;;
01. GOVERN;;
Programa 9120. Òrgans de govern;2.323.264,21;
Programa 9200. Administració general;5.825,68;
Programa 9201. Administració general / secretaria;15.554,69;
Programa 9202. Relacions exteriors, premsa;397.940,82;
Programa 9220. Coordinació i organització institucional;47.706,57;
Programa 9430. Transf. a administracions públiques;264.094,00;
Total GOVERN;3.054.385,97;
;;
02. SEGURETAT, CIVISME I RÈGIM INTERIOR;;
Programa 1320. Seguretat;9.856.673,89;
Programa 1321. Seguretat ciutadana;105.490,85;
Programa 1340. Protecció civil;137.905,14;
Programa 2210. Pensions i altres prestacions;180.337,75;
Programa 2310. Acció social;11.625.339,22;
Programa 3320. Biblioteques i arxius;188.899,92;
Programa 9200. Administració general;7.452.134,77;
Total SEGURETAT, CIVISME I RÈGIM INTERIOR;29.546.781,54;
;;
03. URBANISME;;
Programa 1500. Admó. general d'habitatge i urbanisme;2.467.111,83;
Programa 1510. Urbanisme;5.425.538,71;
Programa 1550. Vies públiques;4.291.001,89;
Programa 1610. Sanejam. abastament i distribució d'aigua;1.947.619,00;
Programa 1640. Cementiri i serveis funeraris;160.000,00;
Programa 1650. Enllumenat públic;3.020.968,97;
Programa 2210. Pensions i altres prestacions;19.560,02;
Programa 3360. Arqueologia i protecció del patrimoni;201.039,66;
Programa 4100. Admó.gral agricultura, ramaderia i pesca;24.301,00;
Programa 4400. Administració general del transport;8.480.088,00;
Programa 4540. Agricultura, ramaderia y pesca;126.000,00;
Programa 9200. Administració general;3.452.603,59;
Programa 9250. Atenció ciutadana;579.658,07;
Programa 9330. Gestio de patrimoni;3.938.000,00;
Total URBANISME;34.133.490,74;
;;
04. ECONOMIA I HISENDA;;
Programa 0110. Deute públic;16.898.476,12;
Programa 2210. Pensions i altres prestacions;38.040,04;
Programa 4391. Projecció exterior;499.855,14;
Programa 4910. Societat de la informació;1.243.876,25;
Programa 9200. Administració general;1.443.417,26;
Programa 9220. Coordinació i organització institucional;67.197,49;
Programa 9270. Serveis de caràct.gral-centrals sindicals;78.858,00;
Programa 9310. Administració financera;3.985.225,65;
Total ECONOMIA I HISENDA;24.254.945,95;
;;
05. COHESIO SOCIAL I OCUPACIO;;
Programa 1500. Admó. general d'habitatge i urbanisme;14.400,00;
Programa 1550. Vies públiques;14.400,00;
Programa 1640. Cementiri i serveis funeraris;235.227,00;
Programa 2210. Pensions i altres prestacions;10.260,01;
Programa 2310. Acció social;7.742.297,82;
Programa 2320. Promoció social;556.807,79;
Programa 2322. Joventut;580.757,89;
Programa 2323. Drets civils, cooperació i immigració;348.038,21;
Programa 2324. Polítiques d'igualtat;300.000,00;
Programa 2410. Foment d'ocupació;2.574.946,00;
Programa 3130. Sanitat;467.486,73;
Programa 9200. Administració general;71.572,65;
Programa 9240. Participació ciutadana;1.568.070,22;
Total COHESIO SOCIAL I OCUPACIO;14.484.264,32;
;;
06. CULTURA, EDUCACIÓ I ESPORTS;;
Programa 2210. Pensions i altres prestacions;9.240,02;
Programa 2321. Infància;173.413,77;
Programa 3200. Administració general d'educació;9.056.289,82;
Programa 3210. Educació preescolar i primària;3.896.200,37;
Programa 3230. Promoció educativa;1.022.945,08;
Programa 3240. Serveis complementaris d'educació;79.000,00;
Programa 3300. Administració general de la cultura;1.487.139,93;
Programa 3330. Museus;890.151,05;
Programa 3340. Promoció cultural;47.315,00;
Programa 3341. Promoció literària;37.466,00;
Programa 3350. Arts escèniques;1.130.943,73;
Programa 3351. Arts musicals;603.007,68;
Programa 3380. Festes populars;657.733,36;
Programa 3400. Administració general d'esports;2.381.243,78;
Programa 3410. Promoció i foment de l'esport;164.422,56;
Programa 3420. Instal·lacions esportives;1.479.382,34;
Programa 9200. Administració general;133.574,52;
Total CULTURA, EDUCACIÓ I ESPORTS;23.249.469,01;
;;
07. PROMOCIÓ ECONÒMICA, INDUSTRIAL, COMERCIAL I TURÍSTICA;;
Programa 4310. Comerç;832.186,69;
Programa 4320. Ordenació i promoció turística;1.662.924,00;
Programa 4330. Desenvolupament empresarial;397.678,00;
Programa 4390. Fires i exposicions;47.286,14;
Programa 4930. Consum;92.105,37;
Programa 9200. Administració general;6.657,92;
Total PROMOCIÓ ECONÒMICA, INDUSTRIAL, COMERCIAL I TURÍSTICA;3.038.838,12;
;;
12. MEDI AMBIENT;;
Programa 1620. Tractament de residus i neteja viaria;14.216.600,00;
Programa 1690. Laboratori i canera municipal;228.485,79;
Programa 1700. Administració general del medi ambient;1.070.535,34;
Programa 1710. Parcs i jardins;3.181.187,17;
Programa 2210. Pensions i altres prestacions;2.820,01;
Programa 9200. Administració general;14.148,08;
Total MEDI AMBIENT;18.713.776,39;
;;
14. L.O. 2/2012;;
Programa 9290. Imprevistos i funcions no classificades;1.000.000,00;
Total L.O. 2/2012;1.000.000,00;
;;
;;
Total general;151.475.952,04;
;;
;;
