BARRI,PAIS,TOTAL
CENTRE HISTORIC,AFGANISTAN,3
CENTRE HISTORIC,ALEMANIA,7
CENTRE HISTORIC,ANDORRA,1
CENTRE HISTORIC,ANGOLA,3
CENTRE HISTORIC,ARGELIA,323
CENTRE HISTORIC,ARGENTINA,20
CENTRE HISTORIC,ARMENIA,3
CENTRE HISTORIC,AUSTRIA,2
CENTRE HISTORIC,BANGLADESH,11
CENTRE HISTORIC,BELGICA,4
CENTRE HISTORIC,BENIN,4
CENTRE HISTORIC,BIELORRUSIA,2
CENTRE HISTORIC,BOLIVIA,122
CENTRE HISTORIC,BRASIL,62
CENTRE HISTORIC,BULGARIA,66
CENTRE HISTORIC,BURKINA FASSO,13
CENTRE HISTORIC,CAMERUN,67
CENTRE HISTORIC,CANADA,2
CENTRE HISTORIC,CHILE,7
CENTRE HISTORIC,CHINA,122
CENTRE HISTORIC,COLOMBIA,116
CENTRE HISTORIC,CONGO,12
CENTRE HISTORIC,COSTA DE MARFIL,19
CENTRE HISTORIC,COSTA RICA,1
CENTRE HISTORIC,CUBA,9
CENTRE HISTORIC,DOMINICA,1
CENTRE HISTORIC,E.E.UNIDOS AMERI,8
CENTRE HISTORIC,ECUADOR,49
CENTRE HISTORIC,EGIPTO,25
CENTRE HISTORIC,ESLOVAQUIA,6
CENTRE HISTORIC,ESTONIA,4
CENTRE HISTORIC,FRANCIA,13
CENTRE HISTORIC,GABON,1
CENTRE HISTORIC,GAMBIA,131
CENTRE HISTORIC,GEORGIA,1
CENTRE HISTORIC,GHANA,55
CENTRE HISTORIC,GRECIA,2
CENTRE HISTORIC,GUATEMALA,2
CENTRE HISTORIC,GUINEA,87
CENTRE HISTORIC,GUINEA BISSAU,18
CENTRE HISTORIC,GUINEA ECUATORIA,66
CENTRE HISTORIC,HONDURAS,21
CENTRE HISTORIC,HUNGRIA,2
CENTRE HISTORIC,INDIA,43
CENTRE HISTORIC,INDONESIA,1
CENTRE HISTORIC,IRLANDA,1
CENTRE HISTORIC,ITALIA,14
CENTRE HISTORIC,LETONIA,6
CENTRE HISTORIC,LIBANO,2
CENTRE HISTORIC,LIBERIA,1
CENTRE HISTORIC,LIBIA,3
CENTRE HISTORIC,LITUANIA,7
CENTRE HISTORIC,MALI,227
CENTRE HISTORIC,MALTA,6
CENTRE HISTORIC,MARRUECOS,889
CENTRE HISTORIC,MAURITANIA,56
CENTRE HISTORIC,MEXICO,3
CENTRE HISTORIC,MOLDAVIA,5
CENTRE HISTORIC,NICARAGUA,3
CENTRE HISTORIC,NIGERIA,126
CENTRE HISTORIC,NORUEGA,1
CENTRE HISTORIC,PAISES BAJOS,14
CENTRE HISTORIC,PAKISTAN,75
CENTRE HISTORIC,PANAMA,1
CENTRE HISTORIC,PARAGUAY,7
CENTRE HISTORIC,PERU,15
CENTRE HISTORIC,POLONIA,89
CENTRE HISTORIC,PORTUGAL,42
CENTRE HISTORIC,REINO UNIDO G.B.,13
CENTRE HISTORIC,REP.CHECA,1
CENTRE HISTORIC,REP.DEMOCR.CONGO,1
CENTRE HISTORIC,REP.DOMINICANA,64
CENTRE HISTORIC,RUANDA,1
CENTRE HISTORIC,RUMANIA,788
CENTRE HISTORIC,RUSIA,25
CENTRE HISTORIC,SENEGAL,222
CENTRE HISTORIC,SERBIA,12
CENTRE HISTORIC,SIERRA LEONA,2
CENTRE HISTORIC,SUECIA,2
CENTRE HISTORIC,SUIZA,1
CENTRE HISTORIC,TANZANIA,1
CENTRE HISTORIC,TOGO,5
CENTRE HISTORIC,TUNEZ,5
CENTRE HISTORIC,UCRANIA,77
CENTRE HISTORIC,URUGUAY,8
