COD_paradaATM,NOM,4001,4002,4003,4004,4005,4006,4007,4008,4009,4010,4011,4013
20001,ESTACIÓ D'AUTOBUSOS,1,,,,,,1,,,1,1,1
20002,CATALUNYA,1,,,,,1,1,,,,,
20003,UNIVERSITAT,1,,,1,,1,1,,,,,
20004,HISENDA,1,,,1,,1,1,,,,,
20005,RICARD VIÑES / PRAT DE LA RIBA,1,,,1,,,1,,,,1,
20006,ENSENYANÇA / PRAT DE LA RIBA,1,,,1,,,1,,,,1,
20007,AMBULATORI,,,,1,,,1,,,,1,
20010,ESTACIÓ RENFE / RAMBLA FERRAN,1,,,,,,,,,1,1,
20011,AUDIÈNCIA,1,1,,,,,,,,1,1,1
20013,PONT VELL / PAERIA,1,,,,,,1,,,1,1,1
20014,CAVALLERS,1,,,,,,1,,,1,1,1
20017,RONDA / UNIÓ,,1,,,,,,,,,,1
20018,PLAÇA PAGESOS,,1,,,,,,,1,,1,1
20019,RONDA / PIUS XII,,1,,,,,,,1,,,1
20020,RONDA / SEGRIÀ,,1,,,,,,,1,,,1
20021,MERCAT FLEMING,,1,,,,,,,1,,,1
20022,RONDA / ENRIC GRANADOS,,1,,,1,,,,1,,,1
20023,RONDA / HUMBERT TORRES,,1,,,,,,,,,,1
20024,RONDA / PLAÇA EUROPA,,1,,,1,,,,1,,,1
20025,P. VIANA / PLAÇA DEL TREBALL,,1,,,,,,,,,,1
20027,ESTACIÓ RENFE / P. VIANA,,1,,,,,,,,,,1
20029,COMTES D'URGELL / ROGER DE LLÚRIA ,,,,,,,,,,1,,
20035,PARC LA MITJANA,,,,1,,,,,,,,
20036,AVINGUDA PEARSON,,,,1,,,,,,,,
20037,ESCOLA PARDINYES,,,,1,,,,,,,,
20038,JERONI PUJADES / RAMBLA,,,,1,,,,,,,,
20039,JERONI PUJADES / BARÓ DE MAIALS,,,,1,1,,,,,,,
20040,BARÓ DE MAIALS / TORTOSA,,,,,,,,,1,,1,
20043,PASSAREL·LA CAMPS ELISIS,,,,,1,,,,,,,
20045,ESCORXADOR 2,,,,,,,,,,,1,
20049,CARDENAL CISNEROS,,,,1,,,,,,,,
20053,BLOCS JOAN CARLES,,,,1,,,,,,,,
20055,CASTELLA,,,,,,,,,,,1,
20058,AUDITORI,1,,,,,,,,,,,
