N Ref;Carrer;Nº;Data inspecció;Nº Elements;Senyal vertical;Equipament;Observacions;Compartit amb moto;Protegit amb pilona
107;Balàfia;7;26/09/2014;1;SI;;;SI;SI
108;Corregidor Escofet;86;21/03/2014;3;NO;;;NO;NO
109;Corregidor Escofet;77;26/09/2014;1;SI;;;SI;SI
110;Corregidor Escofet;73;26/09/2014;1;SI;;;SI;SI
111;Corregidor Escofet;67;26/09/2014;1;SI;;;SI;SI
112;Corregidor Escofet;76;26/09/2014;1;SI;;;SI;SI
113;Prat de la Riba;113;21/03/2014;3;NO;Pavelló Barris Nord;;NO;NO
114;Corregidor Escofet;62;26/09/2014;1;SI;;;SI;SI
115;Oriol Martorell;1;26/09/2014;1;SI;;;SI;SI
116;Tarragona;45;26/09/2014;4;NO;;;NO;NO
117;Grup La Pau;;21/03/2014;2;NO;;;NO;NO
118;Jeroni Pujades;37;21/03/2014;2;NO;;;NO;NO
119;Corregidor Escofet;15;21/03/2014;1;SI;;;SI;SI
120;Corregidor Escofet;12;21/03/2014;1;SI;;;SI;SI
121;Corregidor Escofet;3;26/09/2014;1;SI;;;SI;SI
122;Tortosa;86;21/03/2014;4;NO;IES La Mitjana;;NO;NO
123;Jeroni Pujades;16;26/09/2014;1;SI;Escola Lladonosa;;SI;SI
124;Pere de Cavasèquia;30;21/03/2014;1;SI;;;SI;SI
125;Pere de Cavasèquia;26;21/03/2014;1;SI;;;SI;SI
126;Pere de Cavasèquia;27;21/03/2014;1;SI;;;SI;SI
127;Pere de Cavasèquia;25;21/03/2014;2;NO;;;NO;NO
128;Tortosa;16;21/03/2014;21;NO;Gimnàs Trèvol;;NO;NO
129;Tortosa;14;21/03/2014;3;NO;Pavelló de Pardinyes;;NO;NO
130;Tortosa;12;21/03/2014;5;NO;La Llotja;;NO;NO
131;Tortosa;8;21/03/2014;9;NO;La Llotja;;NO;NO
132;Tortosa;2;21/03/2014;3;NO;MercoLleida;;NO;NO
133;Santa Cecília;19;21/03/2014;3;NO;Rocòdrom CEL/Piscines Camps Elisis;;NO;NO
134;Agustins;15;26/09/2014;1;SI;Parròquia Sagrada Família;;SI;SI
135;Agustins;4;18/05/2015;1;SI;Parròquia Sagrada Família;;SI;SI
136;Mequinensa;3;15/01/2015;1;SI;;;SI;SI
137;Sícoris;25;21/03/2014;4;NO;Sícoris Club;;NO;NO
138;Pla d'Urgell;28;21/03/2014;3;NO;Centre Municipal La Bordeta;;NO;NO
140;Auditori d'Enric Granados;;26/07/2016;10;NO;Auditori d'Enric Granados;;NO;NO
141;Pi i Margall;26;07/04/2014;4;NO;Espai Funàtic;;NO;NO
142;CAP Balàfia-Pardinyes-Secà;;07/04/2014;3;NO;CAP Balàfia-Pardinyes-Secà;;NO;NO
144;Hostal de la Bordeta;54;07/04/2014;3;NO;Piscines Municipals de La Bordeta;;NO;NO
145;Pla d'Urgell;60;26/09/2014;1;SI;;;SI;SI
146;Pla d'Urgell;53;26/09/2014;1;SI;;;SI;SI
147;Juneda;31;07/04/2014;3;SI;Gimnàs Bordeta;;SI;NO
148;Centre;34;26/09/2014;1;SI;CEIP Joan Maragall;;SI;SI
149;Centre;48;26/09/2014;1;SI;;;SI;SI
