Id;CARRER;Nº;Places;Cantonada;Barri;Equipament;SenyVert;SenyHor;Rampa;Bat/Fil
1;ACADEMIA;3;1;;INSTITUTS - TEMPLERS;;SI;SI;NO;FILERA
2;ACADEMIA;30;1;;INSTITUTS - TEMPLERS;;SI;SI;SI;FILERA
3;ACADEMIA;41;1;;INSTITUTS - TEMPLERS;ESGLESIA I HOSPITAL NADALMEROLES;SI;SI;NO;FILERA
4;AGUSTI DURANT I SANPERE;11;1;;CAPPONT;;SI;SI;SI;FILERA
5;ALCALDE ARENY;12;1;;INSTITUTS - TEMPLERS;;SI;SI;SI;FILERA
6;ALCALDE FUSTER;3;2;;RAMBLA FERRAN - ESTACIÓ;;SI;SI;SI;FILERA
7;ALCALDE PORQUERAS;40;1;;PRÍNCEP DE VIANA - CLOT;;NO;SI;SI;FILERA
8;ALCALDE PORQUERES;126;1;;BALÀFIA;;SI;SI;SI;FILERA
9;ALCALDE PUJOL;7;1;;JOC DE LA BOLA;;SI;SI;SI;FILERA
10;ALCALDE RECASENS;43;1;;BALÀFIA;;SI;SI;SI;FILERA
11;ALCALDE RECASENS;51;1;;BALÀFIA;;SI;SI;SI;FILERA
12;ALCALDE RECASENS;12;1;ALFARRAS;BALÀFIA;;SI;SI;SI;FILERA
13;ALCALDE ROVIRA ROURE;17;1;;CAMP D'ESPORTS;;SI;SI;NO;FILERA
14;ALCALDE ROVIRA ROURE;40;1;;CAMP D'ESPORTS;;SI;SI;NO;FILERA
15;ALCALDE ROVIRA ROURE;44;2;;CAMP D'ESPORTS;HOSPITAL DE SANTA MARIA;SI;SI;SI;FILERA
16;ALCALDE ROVIRA ROURE;46;1;;CAMP D'ESPORTS;ESCOLA PRACTIQUES II;SI;SI;SI;FILERA
17;ALCARRAS;2;1;;NEOPARC;;NO;SI;SI;FILERA
18;ALFONS II;14;1;;CAPPONT;CENTRE CIVIC CAPPONT;SI;SI;NO;FILERA
19;ALFRED PERENYA;91;1;;PRÍNCEP DE VIANA - CLOT;ESCOLA DEL TREBALL;SI;SI;SI;FILERA
20;ALFRED PERENYA;36;1;;XALETS - HUMBERT TORRES;;SI;SI;SI;FILERA
21;ALFRED PERENYA;80;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;FILERA
22;ALFRED PERENYA;2;1;;XALETS - HUMBERT TORRES;;SI;SI;SI;FILERA
23;ALGERRI;2;2;;SECÀ DE SANT PERE;;SI;SI;SI;FILERA
24;AMICS DE LLEIDA;18;1;;XALETS - HUMBERT TORRES;;SI;SI;SI;FILERA
25;AMICS DE LLEIDA;7;1;;XALETS - HUMBERT TORRES;;SI;SI;SI;FILERA
26;AMICS DE LLEIDA;1;1;;XALETS - HUMBERT TORRES;ESCOLA ST JOSEP DE CALASANZ;SI;SI;SI;FILERA
27;ANTONI AGUSTI;40;1;;PARDINYES;;SI;SI;SI;FILERA
28;ARBOLÓ;5;1;;MAGRANERS;;SI;SI;NO;BATERIA
29;ARNALD DE SOLSONA;17;1;;PARDINYES;;SI;SI;SI;FILERA
30;ARTUR MOR ROIG;1;1;;MARIOLA;CERNTRE CIVIC MARIOLA;SI;SI;SI;FILERA
31;ARTUR VIVES;15;1;;BORDETA;;SI;SI;NO;BATERIA
32;AUGUST FONT;;2;;CREU DEL BATLLE;;SI;SI;SI;BATERIA
33;ALACANT;17;1;;CAPPONT;LLAR JUBILATS CAPPONT;SI;SI;SI;FILERA
34;ALBARÉS;22;1;;CAPPONT;;NO;SI;NO;FILERA
35;ALBARÉS;30;1;;CAPPONT;;NO;SI;SI;FILERA
36;ALBARÉS;40;1;;CAPPONT;;NO;SI;SI;FILERA
37;ALBARÉS;42;1;;CAPPONT;;NO;SI;SI;FILERA
38;ARTESA;68;1;;BORDETA;CENTRE DISCAPACITATS;SI;SI;NO;FILERA
39;FONTANET;10;1;;BORDETA;;SI;SI;SI;BATERIA
40;FONTANET;47;2;;BORDETA;;NO;SI;SI;BATERIA
41;CANADIENSE;4;3;;CAPPONT;;NO;SI;SI;BATERIA
42;CANADIENSE;18;1;;CAPPONT;;NO;SI;SI;BATERIA
43;GARRIGUES;54;1;;CAPPONT;;SI;SI;NO;FILERA
44;MIQUEL BATLLORI;12;2;;CAPPONT;;NO;SI;SI;FILERA
45;NAVARRA;15;1;;CAMP D'ESPORTS;;SI;SI;SI;FILERA
46;PINYANA;;2;ARNAU DE VILANOVA;VILA MONTCADA;HOSPITAL ARNAU DE VILANOVA;SI;SI;SI;FILERA
47;PINYANA;;2;ALCALDE ROVIRA ROURE;VILA MONTCADA;HOSPITAL ARNAU DE VILANOVA;SI;SI;SI;FILERA
48;SANT RUF;16;1;;PRÍNCEP DE VIANA - CLOT;;SI;SI;NO;FILERA
49;VALENCIA;33;1;;CAPPONT;MERCAT CAPPONT;SI;SI;SI;FILERA
50;SEGRE;1;1;;RAMBLA FERRAN - ESTACIÓ;SUBDELEGACIÓ DEL GOVERN;SI;SI;SI;BATERIA
51;SEGRE;7;4;ONCE;RAMBLA FERRAN - ESTACIÓ;ONCE;SI;SI;SI;BATERIA
52;SEGRE;;2;FRANCESC MACIÀ;RAMBLA FERRAN - ESTACIÓ;SUBDELEGACIÓ DEL GOVERN;SI;SI;SI;FILERA
53;PEARSON;1;1;;PARDINYES;PIRAGÜISTES;SI;SI;SI;FILERA
54;PEARSON;;1;TIR AMB ARC;PARDINYES;TIR AMB ARC;SI;SI;SI;FILERA
55;SANT RUF;50;2;;PRÍNCEP DE VIANA - CLOT;;SI;SI;SI;BATERIA
56;TORTOSA;3;2;;PARDINYES;;SI;SI;NO;FILERA
57;BALMES;5;1;;UNIVERSITAT;HISENDA;SI;SI;NO;FILERA
59;BARO DE MAIALS;28;1;;PARDINYES;;SI;SI;SI;FILERA
60;BARO DE MAIALS;38;1;;PARDINYES;;SI;SI;SI;FILERA
61;BARO DE MAIALS;26;1;;PARDINYES;;SI;SI;SI;FILERA
62;BARO DE MAIALS;64;1;;BALÀFIA;;SI;SI;SI;FILERA
63;BARO DE MAIALS;93;1;;BALÀFIA;;SI;SI;SI;FILERA
64;BARO D'EROLES;2;1;;BALÀFIA;;SI;SI;SI;FILERA
65;BEAT FRANCESC CASTELLÓ ALEU;1;1;;BALÀFIA;;SI;SI;SI;FILERA
66;BENABARRE;;1;EDIFICI CENTRAL;PARDINYES;;NO;SI;NO;FILERA
67;BLONDEL;14;1;;CENTRE HISTÒRIC;PAERIA;SI;SI;SI;FILERA
68;BLONDEL;78;2;;CENTRE HISTÒRIC;EDIFICI SINDICATS;SI;SI;SI;FILERA
69;BLONDEL;35;1;;CENTRE HISTÒRIC;ESTACIÓ D'AUTOBUSOS;SI;SI;SI;FILERA
70;BONAIRE;11;1;;CENTRE HISTÒRIC;;SI;SI;SI;FILERA
71;BOQUE;9;1;;BORDETA;CAP BORDETA;SI;SI;SI;FILERA
72;CAMÍ DE CORBINS;7;1;;PARDINYES;;SI;SI;SI;BATERIA
73;CAMÍ DE PICOS;18;1;;CAPPONT;;SI;SI;SI;FILERA
74;CAMP;15;1;;MAGRANERS;;SI;SI;NO;FILERA
75;CANONGE BRUGULAT;14;1;;UNIVERSITAT;;SI;SI;NO;FILERA
76;CAPPONT;10;1;;CAPPONT;;SI;NO;NO;FILERA
77;CARDENAL CISNEROS;12;1;;MARIOLA;;SI;SI;NO;FILERA
