COD_parada_ATM,nom_p_sinoptic,nom_parada,UTM_X,UTM_Y,tipus,Plataforma
20341,MITJANA,ESCOLA LA MITJANA ,303188,4611049,,
20342,RECORRIDO,RECORRIDO,303326,4611031,,
20343,ESCOLA PAR,ESCOLA PARDINYES,303283,4610833,,
20344,LA LLOTJA,LA LLOTJA,303078,4610172,,
20345,R.CORRE2,RAMBLA CORREGIDOR ESCOFET 2,303226,4610937,,
20346,IES MARIA ,IES MARIA RÚBIES / CENTRE,303924,4608655,,
20347,PLA D'URGE,PLA D'URGELL,303824,4608342,,
20348,EXTREMADUR,EXTREMADURA,303642,4608053,,
20349,MERCAT BOR,MERCAT BORDETA,303536,4608336,,
20350,AV. ARTESA,AV. ARTESA,303550,4608744,,
20351,VILA MONTC,VILA MONTCADA,301107,4611336,,
20352,GARCIA LOR,GARCIA LORCA - N240,305313,4609195,,
20353,PARC JOAN ,PARC JOAN ORÓ,302816,4608625,,
20354,MERC.ART,MERCAT BORDETA / AV. ARTESA,303492,4608364,,
20355,ENSENYANÇA,ENSENYANÇA / HUMBERT TORRES,301909,4610359,,
20356,CLOT DE LE,CLOT DE LES GRANOTES ,301985,4610711,,
20357,R.CORRE,RAMBLA CORREGIDOR ESCOFET ,303221,4610900,,
20358,PL.ENRIC 2,ENRIC GRANADOS / ROVIRA ROURE 2,301561,4610455,,
20359,PL.ENRIC G,ENRIC GRANADOS / ROVIRA ROURE,301562,4610497,,
20360,SANT JORD,MERCAT BORDETA / PL. SANT JORDI 2,303615,4608514,,
20361,SANT JOR2,MERCAT BORDETA / PL. SANT JORDI,303614,4608488,,
20362,P EURO 3,PL. EUROPA/P. VIANA,302113,4611083,,
20364,PARC JOA2,PARC JOAN ORÓ 2,302811,4608615,,
20365,ACAD.CAT,ACADÈMIA / CATALUNYA,301768,4609565,,
20366,ACAD.TEM,ACADÈMIA / TEMPLERS,301610,4609500,,
20367,P.GARDENY,PUJADA GARDENY,301217,4609416,,
20368,G. IZQ CAP,GERMANS IZQUIERDO / CAP,301184,4609816,,
20369,VENUS,MARIOLA / VENUS,301195,4609675,,
20370,ESCORX,ESCORXADOR,301454,4609621,,
20371,FRAR C,ELS FRARES / CARRER C,306320,4609602,,
20372,FONTSERE,ROVIRA ROURE / CARLES FONTSERÉ,300289,4611504,,
20373,P.MISSI,PLAÇA MISSIONS,301462,4609877,,
20374,BISBE,C. BISBE / SANT LLORENÇ,301816,4609762,,
20375,ERETA,PL. JOSEP SOLANS / ERETA,301962,4609746,,
20376,M.PLA,SEU VELLA / MERCAT DEL PLA,301970,4609892,,
20377,EMPORDA,EMPORDÀ / CAP EIXAMPLE,301790,4610027,,
21454,PONT PV,PONT PRINCEP DE VIANA,302824,4610268,,
