Cruïlla A;Cruïlla B;Polsador;Acústic;Coordenada google Y;Coordenada google X
MIQUEL BATLLORI;CAMPAMENT;FALSO;FALSO;41.6040624667956;0.636505284994443
FLIX;MIQUEL BATLLORI;FALSO;FALSO;41.6026337831289;0.64070059893548
ARTESA;OSCA;FALSO;FALSO;41.6024466056339;0.642121345369719
BARÓ DE MAIALS;ALCALDE RECASENS;FALSO;FALSO;41.6262359444719;0.630410212470721
PRAT DE LA RIBA;BARÓ DE MAIALS;FALSO;FALSO;41.6250608422444;0.63156061341179
BARÓ DE MAIALS;COMTES D'URGELL;FALSO;FALSO;41.6240522166726;0.632379312419913
PRAT DE LA RIBA;CORREGIDOR ESCOFET;FALSO;FALSO;41.6263278386595;0.633086193118419
PRAT DE LA RIBA;EUZKADI;FALSO;FALSO;41.6270611588141;0.633982005222143
PRAT DE LA RIBA;ALCALDE SANGENIS;FALSO;FALSO;41.6279409391908;0.63503023360598
LA PALMA;LLUIS BESA-CALDERERIES;FALSO;VERDADERO;41.6143582817424;0.622477540780485
MIQUEL BATLLORI;SANT PAULÍ DE NOLA;FALSO;FALSO;41.6035616092315;0.638017121835934
DE LES GARRIGUES;COMTE DE VINATESSA;FALSO;FALSO;41.6110881392393;0.632585665185835
BARÓ DE MAIALS;PERE CAVASÈQUIA;FALSO;FALSO;41.6214578973392;0.636936255830544
MIQUEL BATLLORI;AUBARÉS;FALSO;FALSO;41.6048910988015;0.633951686483848
MIQUEL BATLLORI;PRESIDENT JOSEP IRLA;FALSO;FALSO;41.6057002801833;0.63141871133902
ALCALDE PORQUERAS;PINYANA;FALSO;FALSO;41.6295589337142;0.622179719295718
PINYANA;VALLS D'ANDORRA;FALSO;FALSO;41.6295010623683;0.620989643215441
PINYANA;ARQUITECTE GOMÀ;VERDADERO;FALSO;41.6282524133247;0.61315104044346
ALCALDE ROVIRA ROURE;PINYANA;VERDADERO;FALSO;41.626403038305;0.61009737872431
ALCALDE ROVIRA ROURE;ARIBAU;FALSO;VERDADERO;41.6205393457031;0.618538784860566
GRAN PASSEIG DE RONDA;MOSSEN REIG;FALSO;VERDADERO;41.6242093097146;0.621464531382086
PRINCEP DE VIANA;PAER CASANOVAS;FALSO;VERDADERO;41.6245331580179;0.624515727407205
BARÓ DE MAIALS;PINTOR XAVIER GOSÉ;FALSO;VERDADERO;41.6235902163532;0.633190575503743
ALCALDE PORQUERAS;ALFRED PEREÑA;FALSO;FALSO;41.6215645617772;0.622799374754844
PRAT DE LA RIBA;PARC DEL COBRIMENT DE LES VIES;FALSO;FALSO;41.6236087125026;0.629516946140418
PRAT DE LA RIBA;ALFARRÀS;FALSO;FALSO;41.6241801113771;0.630301533748118
EUGENI D'ORS;ARQUITECTE GOMÀ;FALSO;VERDADERO;41.6254238079889;0.615194707714832
PONT DE VIANA;CAMÍ DE GRANYENA;VERDADERO;FALSO;41.6166390726477;0.637257902598278
VICTORIANO MUÑOZ OMS;JOSEP TARRADELLES;FALSO;FALSO;41.6154889726993;0.637628457652977
VICTORIANO MUÑOZ OMS;CAMÍ DE PICOS;VERDADERO;FALSO;41.6128696904429;0.638425712467633
VICTORIANO MUÑOZ OMS;LL-11;VERDADERO;FALSO;41.6100475846317;0.63943396926697
PRÍNCEP DE VIANA;PONT DE VIANA;VERDADERO;FALSO;41.6181409539133;0.635547545382209
PRAT DE LA RIBA;SANT MARTÍ;FALSO;VERDADERO;41.6194972825593;0.620523458868536
PRAT DE LA RIBA;PAER CASANOVAS;FALSO;VERDADERO;41.6217295719734;0.625627392571303
GRAN PASSEIG DE RONDA;SANGENÍS BERTRAN;FALSO;VERDADERO;41.6131347074817;0.613771466103273
GRAN PASSEIG DE RONDA;TEMPLERS;FALSO;VERDADERO;41.6112531253692;0.614813892849683
GRAN PASSEIG DE RONDA;CRISTÒFOL DE BOLEDA;FALSO;VERDADERO;41.6189719662266;0.614584781821599
GRAN PASSEIG DE RONDA;AMICS DE LLEIDA;FALSO;VERDADERO;41.622306969937;0.619017531758557
PALAEUT;VICTOR TORRES;FALSO;FALSO;41.6074719662266;0.645424781821599
ALCALDE PORQUERAS;GERMANS RECASENS;FALSO;FALSO;41.6266445617772;0.622839374754844
