coditram;Nom_Trajecte;COD_liniaATM;COD_paradaATM;COD_trajecte;sentit;ordre;buidat;principal;SCHED;TIME_A;TIME_D;SCHED;TIME_A;TIME_D;NOM;COORX;COORY
40230;1 INTERIOR;4023;20001;0;1;1;0;0;;;;;;;ESTACI‡ D'AUTOBUSOS;301923;4609320
40230;1 INTERIOR;4023;20002;0;1;2;0;0;;;;;;;CATALUNYA;301718;4609420
40230;1 INTERIOR;4023;20003;0;1;3;0;0;;;;;;;UNIVERSITAT;301704;4609586
40230;1 INTERIOR;4023;20004;0;1;4;0;0;;;;;;;HISENDA;301758;4609959
40230;1 INTERIOR;4023;20005;0;1;5;0;0;;;;;;;RICARD VI•ES / PRAT DE LA RIBA;301694;4610225
40230;1 INTERIOR;4023;20006;0;1;6;0;0;;;;;;;ENSENYANÄA / PRAT DE LA RIBA;301980;4610373
40230;1 INTERIOR;4023;20311;0;1;7;0;0;;;;;;;AMBULATORI / GU∑RDIA URBANA;302129;4610447
40230;1 INTERIOR;4023;20058;0;1;8;0;0;;;;;;;AUDITORI;302373;4610377
40230;1 INTERIOR;4023;20010;0;1;9;0;0;;;;;;;ESTACI‡ RENFE / RAMBLA FERRAN;302699;4610276
40230;1 INTERIOR;4023;20011;0;1;10;0;0;;;;;;;AUDI‘NCIA;302551;4610069
40230;1 INTERIOR;4023;20322;0;1;11;0;0;;;;;;;PONT VELL / FRANCESC MACI∑;302393;4609807
40230;1 INTERIOR;4023;20013;0;1;12;0;0;;;;;;;PONT VELL / PAERIA;302299;4609729
40230;1 INTERIOR;4023;20014;0;1;13;0;0;;;;;;;CAVALLERS;302090;4609505
40230;1 INTERIOR;4023;20001;0;1;14;0;0;;;;;;;ESTACI‡ D'AUTOBUSOS;301923;4609320
40240;2 RONDA HOSPITALS;4024;20318;0;1;1;0;0;;;;;;;ESTACI‡ D'AUTOBUSOS / AV. MADRID;301806;4609227
40240;2 RONDA HOSPITALS;4024;20319;0;1;2;0;0;;;;;;;AV. MADRID / COS-GAY‡N;301513;4609076
40240;2 RONDA HOSPITALS;4024;20017;0;1;3;0;0;;;;;;;RONDA / UNI‡;301351;4609247
40240;2 RONDA HOSPITALS;4024;20018;0;1;4;0;0;;;;;;;PLAÄA PAGESOS;301210;4609490
40240;2 RONDA HOSPITALS;4024;20019;0;1;5;0;0;;;;;;;RONDA / PIUS XII;301153;4609747
40240;2 RONDA HOSPITALS;4024;20020;0;1;6;0;0;;;;;;;RONDA / SEGRI∑;301207;4610070
40240;2 RONDA HOSPITALS;4024;20021;0;1;7;0;0;;;;;;;MERCAT FLEMING;301360;4610320
40240;2 RONDA HOSPITALS;4024;20135;0;1;8;0;0;;;;;;;HOSPITAL SANTA MARIA 2;301329;4610445
40240;2 RONDA HOSPITALS;4024;20206;0;1;9;0;0;;;;;;;ONZE DE SETEMBRE 2;301160;4610927
40240;2 RONDA HOSPITALS;4024;20138;0;1;10;0;0;;;;;;;ARNAU DE VILANOVA 2;300974;4611023
40240;2 RONDA HOSPITALS;4024;20139;0;1;11;0;0;;;;;;;ARNAU DE VILANOVA;300967;4610980
40240;2 RONDA HOSPITALS;4024;20140;0;1;12;0;0;;;;;;;ONZE DE SETEMBRE;301201;4610853
40240;2 RONDA HOSPITALS;4024;20141;0;1;13;0;0;;;;;;;HOSPITAL SANTA MARIA;301318;4610433
