title;formats;date_actualization;categories
Trabajadores en establecimientos hoteleros;xls;29/7/14;Econom¡a
Trabajadores en el sector de la hosteler¡a;xls;14/1/15;Econom¡a
Infraestructura tur¡stica;xls;10/3/15;Econom¡a
IAE 2013 ;csv;10/4/15;Econom¡a
Parados y demandantes de empleo;xls;10/3/15;Mercado Laboral
Residentes en Valladolid. Afiliados al R‚gimen de Aut¢nomos.;xls;28/12/15;Mercado Laboral
Residentes en Valladolid. Afiliados al R‚gimen General. ;xls;28/12/15;Mercado Laboral
Residentes en Valladolid. Afiliados a otros Reg¡menes.;xls;28/12/15;Mercado Laboral
Residentes en Valladolid. Afiliados a la Seguridad Social. ;xls;28/12/15;Mercado Laboral
Cuentas de Cotizaci¢n a la Seguridad Social domiciliadas en Valladolid. ;xls;29/12/15;Mercado Laboral
Traabajadores inscritos en Cuentas de Cotizaci¢n a la Seguridad Social domiciliadas en Valladolid. ;xls;29/12/15;Mercado Laboral
Edificios seg£n tipo y n£mero de plantas. 2001.;xls;3/11/05;Edificios, viviendas y construcci¢n
Edificios destinados a viviendas seg£n instalaciones. 2001;xls;3/11/05;Edificios, viviendas y construcci¢n
Edificios destinados a viviendas seg£n tipo de propietario. 2001 ;xls;3/11/05;Edificios, viviendas y construcci¢n
Edificios por Distritos. 2001;xls;3/11/05;Edificios, viviendas y construcci¢n
Edificios por Zonas Estad¡sticas. 2001;xls;3/11/05;Edificios, viviendas y construcci¢n
Licencias municipales de construcci¢n;csv;10/3/15;Edificios, viviendas y construcci¢n
Parque de veh¡culos;csv;30/7/13;Transporte y comunicaciones
Taxis;csv;14/5/14;Transporte y comunicaciones
Tr fico a‚reo;csv;9/4/15;Transporte y comunicaciones
Estaciones de servicio;csv;22/1/07;Transporte y comunicaciones
L¡neas telefon¡a fija;csv;22/9/14;Transporte y comunicaciones
Red wifi municipal;csv;17/5/14;Transporte y comunicaciones
Censo Electoral, participaci¢n y reparto de votos en procesos electorales;csv;18/10/16;Proccesos electorales
Elecciones Generales. Informaci¢n global del municipio;csv;18/10/16;Proccesos electorales
Elecciones Generales a¤o 2011. Desagregaci¢n por Distritos y Zonas.;xls;2/2/12;Proccesos electorales
Elecciones Municipales. Informaci¢n global del municipio;csv;1/12/15;Proccesos electorales
Eleccione Municipales a¤o 2015. Desagregaci¢n por Distritos y Zonas;xls;15/6/16;Proccesos electorales
Elecciones Auton¢micas. Informaci¢n global del municipio;csv;27/6/11;Proccesos electorales
Elecciones Auton¢micas a¤o 2011. Desagregaci¢n por Distritos y Zonas ;xls;27/6/11;Proccesos electorales
Elecciones al Parlamento Europeo. Informaci¢n global del municipio;csv;1/8/14;Proccesos electorales
Elecciones al Parlamento Europeo a¤o 2014. Desagregaci¢n por Distritos y Zonas ;xls;1/8/14;Proccesos electorales
Evoluci¢n del presupuesto liquidado;csv;10/6/16;Presupuesto y deuda municipal
Indicadores presupuestarios generales:;csv;10/6/16;Presupuesto y deuda municipal
Indicadores presupuestarios espec¡ficos de urbanismo:;csv;10/6/16;Presupuesto y deuda municipal
Periodo medio de cobro;csv;10/6/16;Presupuesto y deuda municipal
Evoluci¢n de la deuda municipal;csv;9/6/16;Presupuesto y deuda municipal
