hojaPgou;numAntenaPlano;numAntenaPi;id;numero;calle;observaciones;idOperadora;lastUpdated;pubDate;codEmplazamiento;coordenadaSin;relimplantacion;description;geometry;icon
"K-16";"44";"66";"https://www.zaragoza.es/sede/servicio/antena-telefonia/316";"9";"Madre Genoveva Torres Morales";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/4";2011-05-23T22:00:00Z;"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/66";"<ul><li>Operadora: Vodafone</li><li>Dirección: Madre Genoveva Torres Morales 9</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"675912.15 4612280.72";"https://www.zaragoza.es/cont/paginas/img/antenas/Vodafone.gif"
"M-24";"115";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/392";"nº80. C1-12-34-35-36";"Azufre";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/4";"";2013-01-20T23:00:00Z;"0196ZX_AT_Z_PLG_RECICLADO";"     00º 50¿40¿ W       41º 34¿4¿ N";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/112";"<ul><li>Operadora: Vodafone</li><li>Dirección: Azufre nº80. C1-12-34-35-36</li><li>Fecha de Aprobación: 26-03-2012</li></ul>";"679734.28 4604113.67";"https://www.zaragoza.es/cont/paginas/img/antenas/Vodafone.gif"
"M-12";"2";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/394";"18-20 ";"Avda, Santa Isabel";"Finalizar sin sanción en exp. 1350074/2009 el 21/01/2010";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/5";2014-07-01T22:00:00Z;2015-10-28T23:00:00Z;"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/113";"<ul><li>Operadora: Xfera</li><li>Dirección: Avda, Santa Isabel 18-20 </li><li>Fecha de Aprobación: 29-05-2009</li></ul>";"679978.29 4615576.01";"https://www.zaragoza.es/cont/paginas/img/antenas/Xfera.gif"
"K-15";"4";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/396";"13";"Cesar Augusto (Hotel Melia)";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/5";2011-06-08T22:00:00Z;2013-01-20T23:00:00Z;"1B2Z0038";"00º53¿04,50""W 41º39¿10,70""N";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/421";"<ul><li>Operadora: Xfera</li><li>Dirección: Cesar Augusto (Hotel Melia) 13</li><li>Fecha de Aprobación: 26-03-2012</li></ul>";"676155.2 4613490.31";"https://www.zaragoza.es/cont/paginas/img/antenas/Xfera.gif"
"47";"6";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/398";" parcela-1, 105 ";"Carretera de Madrid";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/5";2014-07-01T22:00:00Z;2015-10-28T23:00:00Z;"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/113";"<ul><li>Operadora: Xfera</li><li>Dirección: Carretera de Madrid  parcela-1, 105 </li><li>Fecha de Aprobación: 29-05-2009</li></ul>";"676170.73 4615122.14";"https://www.zaragoza.es/cont/paginas/img/antenas/Xfera.gif"
"K-14";"7";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/399";" nº 100";"Conde Aranda";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/5";"";2013-01-20T23:00:00Z;"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/113";"<ul><li>Operadora: Xfera</li><li>Dirección: Conde Aranda  nº 100</li><li>Fecha de Aprobación: 29-05-2009</li></ul>";"675797.3 4613910.46";"https://www.zaragoza.es/cont/paginas/img/antenas/Xfera.gif"
"K-15";"8";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/400";"17";"Gran Vía";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/5";2015-08-31T22:00:00Z;"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/113";"<ul><li>Operadora: Xfera</li><li>Dirección: Gran Vía 17</li><li>Fecha de Aprobación: 29-05-2009</li></ul>";"675989.18 4612822.15";"https://www.zaragoza.es/cont/paginas/img/antenas/Xfera.gif"
"H-16";"9";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/401";"10";"Las Pléyades";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/5";"";"";"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/114,https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/113";"<ul><li>Operadora: Xfera</li><li>Dirección: Las Pléyades 10</li><li>Fecha de Aprobación: 29-05-2009</li><li>Fecha de Aprobación: 29-05-2009</li></ul>";"672142.24 4612000.91";"https://www.zaragoza.es/cont/paginas/img/antenas/Xfera.gif"
"M-12";"11";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/403";" n º 32";"Santo Domingo, Isabel de";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/5";2011-11-29T23:00:00Z;2013-01-20T23:00:00Z;"";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/113";"<ul><li>Operadora: Xfera</li><li>Dirección: Santo Domingo, Isabel de  n º 32</li><li>Fecha de Aprobación: 29-05-2009</li></ul>";"672682.62 4613463.28";"https://www.zaragoza.es/cont/paginas/img/antenas/Xfera.gif"
"J-16";"104";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/380";"13";"Domingo Miral";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/4";"";2013-01-20T23:00:00Z;"0367ZX_AT_DOMINGO_MIRAL";"  00º 54 01 W    41º 38 29 N";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/100";"<ul><li>Operadora: Vodafone</li><li>Dirección: Domingo Miral 13</li><li>Fecha de Aprobación: 29-10-2010</li></ul>";"674879.56 4612172.2";"https://www.zaragoza.es/cont/paginas/img/antenas/Vodafone.gif"
"H-13";"107";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/384";"";"Centro Empresarial San Lamberto, carretera del Aeropuerto";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/4";2010-11-16T23:00:00Z;2013-01-20T23:00:00Z;"0364ZX_AT_Z_EDIFICIO_SANLAMBERTO";" 00º 56 02,00 W 41º 39 53,25 N";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/103";"<ul><li>Operadora: Vodafone</li><li>Dirección: Centro Empresarial San Lamberto, carretera del Aeropuerto </li><li>Fecha de Aprobación: 30-11-2011</li></ul>";"672017.74 4614703.05";"https://www.zaragoza.es/cont/paginas/img/antenas/Vodafone.gif"
"L-12";"108";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/385";"24, ( Pol.Ind.Molino del Pilar)";"Rudolf Diesel";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/4";2011-04-12T22:00:00Z;2015-02-25T23:00:00Z;"0380ZX_AT_Z_RUDOLF_DIESEL";"  00º 51 48 W     41º 40 43,07 N";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/105,https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/104";"<ul><li>Operadora: Vodafone</li><li>Dirección: Rudolf Diesel 24, ( Pol.Ind.Molino del Pilar)</li><li>Fecha de Aprobación: 26-11-2010</li><li>Fecha de Aprobación: 05-02-2010</li></ul>";"677854.17 4616382.94";"https://www.zaragoza.es/cont/paginas/img/antenas/Vodafone.gif"
"E-16";"109";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/386";"s/n";"Avda. Diagonal PLA-ZA (Hotel Diagonal Plaza)";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/4";"";2013-01-08T23:00:00Z;"0194ZX_AT_Z_PLAZA_CENTRO";"00º 59 30,00 W  41º 38 37,00 N";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/106";"<ul><li>Operadora: Vodafone</li><li>Dirección: Avda. Diagonal PLA-ZA (Hotel Diagonal Plaza) s/n</li><li>Fecha de Aprobación: 26-11-2010</li></ul>";"667261.93 4612237.54";"https://www.zaragoza.es/cont/paginas/img/antenas/Vodafone.gif"
"K-18";"111";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/388";"1";"Paseo  Duque de Alba";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/4";2012-03-14T23:00:00Z;2013-01-20T23:00:00Z;"EMO4086_CEM_Z_PINARES_VENECIA";"00º 53¿ 19.2¿¿ W  41º 37¿ 28.0¿¿ N";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/108";"<ul><li>Operadora: Vodafone</li><li>Dirección: Paseo  Duque de Alba 1</li><li>Fecha de Aprobación: 23-12-2011</li></ul>";"675892.75 4610314.42";"https://www.zaragoza.es/cont/paginas/img/antenas/Vodafone.gif"
"K-16";"112";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/389";"14";"Paseo de Colón";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/4";"";2013-01-20T23:00:00Z;"0394ZX_AT_Z_SANJUAN_DIOS";"00º ¿53¿ 12,21¿ W  41º 38¿ 07,89¿ N";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/109";"<ul><li>Operadora: Vodafone</li><li>Dirección: Paseo de Colón 14</li><li>Fecha de Aprobación: 27-01-2012</li></ul>";"676024.35 4611548.7";"https://www.zaragoza.es/cont/paginas/img/antenas/Vodafone.gif"
"N-23";"114";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/391";"8";"Ajedrea";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/4";2012-05-10T22:00:00Z;2013-06-05T22:00:00Z;"0195ZX_AT_Z_EMPRESARIUM";"00º 49¿43,91""W41º34¿29,03""N";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/111";"<ul><li>Operadora: Vodafone</li><li>Dirección: Ajedrea 8</li><li>Fecha de Aprobación: 21-12-2012</li></ul>";"681014.07 4604918.23";"https://www.zaragoza.es/cont/paginas/img/antenas/Vodafone.gif"
"K-14";"1";"82";"https://www.zaragoza.es/sede/servicio/antena-telefonia/1";"41-43";"Aben Aire";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";2011-01-12T23:00:00Z;2013-01-17T23:00:00Z;"ARAR0348";"00W5256.23  41N3931.00";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Aben Aire 41-43</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"J-15";"3";"34";"https://www.zaragoza.es/sede/servicio/antena-telefonia/3";"32";"Alcañiz";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";2011-04-05T22:00:00Z;2013-01-17T23:00:00Z;"ARAR0029D";"00W5422.18 41N3856.56";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Alcañiz 32</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"K-17";"4";"32";"https://www.zaragoza.es/sede/servicio/antena-telefonia/4";"22-24";"Alicante";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";2011-04-05T22:00:00Z;2013-01-17T23:00:00Z;"ARAR0026E";"00W5308.24  41N3757.89";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Alicante 22-24</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"676125.53 4611238.37";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"K-14";"8";"65";"https://www.zaragoza.es/sede/servicio/antena-telefonia/8";"25";"Avda, Cesaraugusto";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";"";"";"ARAR0302";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Avda, Cesaraugusto 25</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"K-15";"12";"20";"https://www.zaragoza.es/sede/servicio/antena-telefonia/12";"37-43";"Avda, Goya";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";"";"";"ARAR0014A";"00W5318.60 41N3839.70";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Avda, Goya 37-43</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"J-14";"14";"66";"https://www.zaragoza.es/sede/servicio/antena-telefonia/14";"6";"Avda, Navarra";"Parar 5/05/04";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";"";"";"ARAR0305C";"00W5400.89 41N3921.74";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Avda, Navarra 6</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"K-16";"15";"30";"https://www.zaragoza.es/sede/servicio/antena-telefonia/15";"206-208";"Avda, San José";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";2011-04-05T22:00:00Z;2013-01-17T23:00:00Z;"ARAR0024";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Avda, San José 206-208</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
"M-12";"16";"77";"https://www.zaragoza.es/sede/servicio/antena-telefonia/16";"20";"Avda, Santa Isabel";"";"https://www.zaragoza.es/sede/servicio/antena-telefonia/operadora/1";2011-02-13T23:00:00Z;"";"ARAR0339E";"00W5017.45 41N4015.26";"https://www.zaragoza.es/sede/servicio/antena-telefonia/implantacion/1";"<ul><li>Operadora: Orange</li><li>Dirección: Avda, Santa Isabel 20</li><li>Fecha de Aprobación: 27-07-2006</li></ul>";"679996.06 4615556.72";"https://www.zaragoza.es/cont/paginas/img/antenas/Orange.gif"
