link;about;title;description;pubDate;icon;category;author;duration;geometry;lugar;priority;propiedades
"";"";"";"";"";"";"";"";"";"[-0.8814923300844232,41.65133022909035],[-0.8814797385554782,41.651348009685904],[-0.8812524993774319,41.6516860621526],[-0.8811136954036886,41.651890649289086],[-0.8812023245914988,41.652117446224295],[-0.8810827980724397,41.652466492331875],[-0.8814711677520806,41.652707826563606],[-0.8825695960407588,41.65326847554208],[-0.883701689276156,41.6539017862014],[-0.8839595332415758,41.65409567392093],[-0.8841315976007562,41.654342019108405],[-0.8841581676658274,41.65463071530864],[-0.8840773110995902,41.654899418949384],[-0.8839751246427409,41.655122697156756],[-0.8839382343615878,41.65514903665854]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.882092597755898,41.65723152392434],[-0.881943257405661,41.657390885244666],[-0.8816062055629422,41.6577809509349],[-0.8816846126957915,41.65795352005243],[-0.8814394264631014,41.65957015688874],[-0.8813153515971733,41.660423479824445],[-0.8813685739168325,41.66063161015115],[-0.8815286416820508,41.66087773766953],[-0.88180962608554,41.66109907641419],[-0.8822150703628905,41.661187613518905],[-0.8828506386571734,41.66121734765352]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8836537910871667,41.66309648853567],[-0.8835321897315186,41.66350854343388],[-0.8835906392892443,41.66392391721347],[-0.8839134633348606,41.664335157318206],[-0.8849709988980319,41.665417403346076],[-0.8853079061186583,41.66576585385869],[-0.8859998443752314,41.666643214424894],[-0.8867219969485407,41.66733199169211]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8888937808020447,41.66960554225354],[-0.8891124497255014,41.66989776880362],[-0.8893298815640455,41.670595261871846],[-0.8893614660598229,41.67256825193108],[-0.8893467312532791,41.67485561498888]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.889321983196379,41.67744901171035],[-0.8893063170773464,41.6782953278488],[-0.8893466879185227,41.67853023712029],[-0.8896830959659765,41.678896678211316],[-0.8898915577976476,41.67913467685935],[-0.8899040921756063,41.67948615782814],[-0.8898080747037141,41.68278975029343],[-0.8897274953319885,41.683049455385365],[-0.8897259608211259,41.68346372250083]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8846293747044885,41.68683739805964],[-0.8787203826455005,41.686764394165614]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8708237456356855,41.68721263737027],[-0.8708326574021416,41.686942610581156],[-0.8708722450716422,41.68683526793471],[-0.8709949950330521,41.68675648671456],[-0.8712258134477928,41.686679709270216],[-0.8748284079351226,41.68673744741791],[-0.8753444418121579,41.68675600502283],[-0.8774695082235621,41.68680431954274],[-0.8787065991891603,41.686818177932366]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8846399068260498,41.68688262417973],[-0.8847719924351843,41.686885057864615],[-0.8853135229708855,41.686859008358105],[-0.8869087903766263,41.6869424201975],[-0.8890321133259227,41.68704452706305],[-0.8894319058865413,41.68694380052606],[-0.8896934919814884,41.68666040391151],[-0.8897619823777394,41.683464384610176]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.8907111572261776,41.677582619256974],[-0.8907636849610907,41.67487264876125]";"";"";""
"";"";"";"";"";"";"";"";"";"[-0.890615386003091,41.66985333962468],[-0.8906039695879451,41.66983511699974],[-0.8902875482908513,41.66922587170285],[-0.8898209010366787,41.668802999811476],[-0.8877564869139166,41.66691871880133],[-0.8872898727261357,41.66649583723789]";"";"";""
