id;title;plazas;anclajes;lastUpdated;geometry;icon
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/269";"CALLE DOMINGO MIRAL, 3";"36";"18";2017-06-12T22:00:00Z;"-0.9002719233243315,41.639954334624065";"http://www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/270";"CALLE DOMINGO MIRAL, 3";"12";"6";2017-06-12T22:00:00Z;"-0.9001826290037047,41.639687280587026";"http://www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/271";"PLAZA WOLFGANG AMADEO MOZART, S/N";"10";"5";2017-06-12T22:00:00Z;"-0.8654963079052587,41.66169715509662";"http://www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/272";"AVENIDA MADRID, 23";"10";"5";2017-06-12T22:00:00Z;"-0.8955407380526609,41.65557654193232";"http://www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/273";"CALLE OSCAR A. ROMERO, S/N";"10";"5";2017-06-12T22:00:00Z;"-0.8934827587060531,41.65574838433213";"http://www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/274";"CALLE BERLIN, 1";"12";"6";2017-06-12T22:00:00Z;"-0.9024231609428254,41.662112198461834";"http://www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/275";"CALLE BONN, 7";"15";"14";2017-06-12T22:00:00Z;"-0.9019806879579549,41.66272610002056";"http://www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/276";"CALLE PEDRO SAPUTO, 7";"6";"1";2017-06-12T22:00:00Z;"-0.8966089342376512,41.676765501247";"http://www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/280";"CALCENA, VILLA DE, S/N";"16";"8";2017-06-12T22:00:00Z;"-0.8951316893959265,41.63067063367789";"http://www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/281";"CALLE MARQUES DE LA CADENA, S/N";"20";"10";2017-06-12T22:00:00Z;"-0.868304012288801,41.6658539990194";"http://www.zaragoza.es/contenidos/iconos/aparcabici.png"
