id;title;titulacion;bop;boa;boe;plazasTotal;plazasMinusvalidos;plazasInternas;anoOferta;fechaPresentacion;fechaInicio;comment;expediente;patronato;interinidad;plantilla;plantillaTxt;grupoProfesional;grupoProfesionalTxt;escalaProfesionalTxt;escalaProfesional;turnoTxt;turno;examen;examenTxt;estado;categoriaProfesional;anuncios;bases;tribunal;sameAs
"https://www.zaragoza.es/sede/servicio/oferta-empleo/689";"Letrado Asesor (oposición libre ordinario)";"Estar en posesión del título de Licenciado en Derecho";"27/02/2010";"";"12/03/2010";"3";"0";"0";"2009";2010-04-02T22:00:00Z;2010-03-12T23:00:00Z;"";"28/2010";"No";"false";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoPlantilla/funcionarios";"Funcionarios";"";"A1";"Administración Especial-subescala técnica, clase técnicos superiores";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoEscalaProfesional/tecnicos-superiores";"Libre ordinario";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoTurno/libre-ordinario";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoExamen/oposicion";"Oposición";"Finalizado";"https://www.zaragoza.es/sede/servicio/oferta-empleo/categoria-profesional/2113";"https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/2401,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/2400,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/2368,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/2284,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/1610,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/1565,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/1558,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/2258,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/2283,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/2244,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/2345";"http://www.zaragoza.es/cont/paginas/oferta/docs/bases689.pdf";"";"http://www.zaragoza.es/api/recurso/empleo/oferta/689"
"https://www.zaragoza.es/sede/servicio/oferta-empleo/690";"Profesor Danza (Espec. Historia de la Danza)";"";"";"";"";"0";"0";"0";"2006";"";"";"";"790113/06";"No";"true";"";"";"";"A2";"";"";"";"";"";"";"Finalizado";"https://www.zaragoza.es/sede/servicio/oferta-empleo/categoria-profesional/2212";"https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/1570";"";"";"http://www.zaragoza.es/api/recurso/empleo/oferta/690"
"https://www.zaragoza.es/sede/servicio/oferta-empleo/284";"Oficial Aglomerado Asfáltico";"Técnico Grado Medio rama Edificación y obra civil, F.P.I rama Construcción y obras o equivalentes";"24/12/2004; nº295";"";"01/04/2005; nº 78";"1";"0";"0";"2002";2005-04-20T22:00:00Z;"";"";"";"No";"false";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoPlantilla/funcionarios";"Funcionarios";"";"C2";"Administración Especial-subescala de servicios especiales, clase personal de oficios";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoEscalaProfesional/personal-oficios";"";"";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoExamen/oposicion";"Oposición";"Finalizado";"https://www.zaragoza.es/sede/servicio/oferta-empleo/categoria-profesional/5408";"https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/575";"http://www.zaragoza.es/cont/paginas/oferta/docs/bases284.pdf";"http://www.zaragoza.es/cont/paginas/oferta/docs/tribunal284.pdf";"http://www.zaragoza.es/api/recurso/empleo/oferta/284"
"https://www.zaragoza.es/sede/servicio/oferta-empleo/285";"Operario Especialista";"Certificado Escolaridad";"BOP nº257;07/11/2003";"";"BOE nº30; 04/02/2004";"6";"0";"0";"2002";2004-02-23T23:00:00Z;"";"";"";"No";"false";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoPlantilla/funcionarios";"Funcionarios";"";"AP";"Administración Especial-subescala de servicios especiales, clase personal de oficios";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoEscalaProfesional/personal-oficios";"";"";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoExamen/oposicion";"Oposición";"Finalizado";"https://www.zaragoza.es/sede/servicio/oferta-empleo/categoria-profesional/5521";"https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/208,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/193,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/183,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/173,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/126";"http://www.zaragoza.es/cont/paginas/oferta/docs/bases285.pdf";"http://www.zaragoza.es/cont/paginas/oferta/docs/tribunal285.pdf";"http://www.zaragoza.es/api/recurso/empleo/oferta/285"
"https://www.zaragoza.es/sede/servicio/oferta-empleo/287";"Técnico Medio de Prevención";"Diplomado Universitario o equivalente";"";"";"";"4";"0";"4";"2002 / 2004";2004-09-02T22:00:00Z;"";"";"";"No";"false";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoPlantilla/laboral";"Laboral";"";"";"";"";"";"";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoExamen/concurso-oposicion";"Concurso - oposición";"Finalizado";"https://www.zaragoza.es/sede/servicio/oferta-empleo/categoria-profesional/2238";"https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/473";"http://www.zaragoza.es/cont/paginas/oferta/docs/bases287.pdf";"http://www.zaragoza.es/cont/paginas/oferta/docs/tribunal287.pdf";"http://www.zaragoza.es/api/recurso/empleo/oferta/287"
"https://www.zaragoza.es/sede/servicio/oferta-empleo/101";"Administrativo";"Bachiller superior, BUP, FP 2 o equivalente, o diez años de antigüedad en el Ayuntamiento en el grupo D, o cinco años de antigüedad en el Ayuntamiento en el grupo D más la superación de un curso impartido por el Ayuntamiento. Promoción interna entre auxiliares administrativos";"13/11/2001 nº.261";"";"";"2";"0";"2";"2000";2001-03-11T23:00:00Z;"";"";"";"No";"false";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoPlantilla/funcionarios";"Funcionarios";"";"C1";"Administración General";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoEscalaProfesionaladministracion-general";"";"";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoExamen/concurso-oposicion-restringida";"Concurso - oposición restringida";"Finalizado";"";"https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/1";"http://www.zaragoza.es/cont/paginas/oferta/docs/bases101.pdf";"http://www.zaragoza.es/cont/paginas/oferta/docs/tribunal101.pdf";"http://www.zaragoza.es/api/recurso/empleo/oferta/101"
"https://www.zaragoza.es/sede/servicio/oferta-empleo/102";"Auxiliar administrativo.(Consultar Oferta 2002, Convocatoria conjunta 2000/2001/2002).";"Bachiller elemental, graduado escolar, FP 1 o equivalente";"";"";"";"19";"4";"2";"2000";"";"";"";"";"No";"false";"";"";"";"C2";"Administración General";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoEscalaProfesionaladministracion-general";"";"";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoExamen/oposicion";"Oposición";"Finalizado";"";"";"";"";"http://www.zaragoza.es/api/recurso/empleo/oferta/102"
"https://www.zaragoza.es/sede/servicio/oferta-empleo/104";"Arquitecto técnico.(Consultar Oferta 2004, Convocatoria conjunta 2000/2004).";"Arquitecto técnico o aparejador";"";"";"";"9";"0";"0";"2000";"";"";"";"";"No";"false";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoPlantilla/funcionarios";"Funcionarios";"";"A2";"Administración Especial-subescala técnica";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoEscalaProfesional/subescala-tecnica";"";"";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoExamen/oposicion";"Oposición";"Finalizado";"";"https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/153";"";"";"http://www.zaragoza.es/api/recurso/empleo/oferta/104"
"https://www.zaragoza.es/sede/servicio/oferta-empleo/106";"Ingeniero técnico obras públicas";"";"";"";"";"5";"0";"0";"2000 / 2001";"";"";"";"";"No";"false";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoPlantilla/funcionarios";"Funcionarios";"";"A2";"Administración Especial-subescala técnica";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoEscalaProfesional/subescala-tecnica";"";"";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoExamen/oposicion";"Oposición";"Finalizado";"";"https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/2";"http://www.zaragoza.es/cont/paginas/oferta/docs/bases106.pdf";"";"http://www.zaragoza.es/api/recurso/empleo/oferta/106"
"https://www.zaragoza.es/sede/servicio/oferta-empleo/107";"Técnico Medio Informática";"";"27/02/2003; nº. 47";"";"06/05/2003; nº 108";"3";"0";"1";"2000 / 2002";2003-05-25T22:00:00Z;"";"";"";"No";"false";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoPlantilla/funcionarios";"Funcionarios";"";"A2";"Administración Especial-subescala técnica";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoEscalaProfesional/subescala-tecnica";"";"";"https://www.zaragoza.es/sede/portal/kos/empleo/tipoExamen/oposicion";"Oposición";"Finalizado";"https://www.zaragoza.es/sede/servicio/oferta-empleo/categoria-profesional/2221";"https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/1283,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/3,https://www.zaragoza.es/sede/servicio/oferta-empleo/anuncio/135";"http://www.zaragoza.es/cont/paginas/oferta/docs/bases107.pdf";"http://www.zaragoza.es/cont/paginas/oferta/docs/tribunal107.pdf";"http://www.zaragoza.es/api/recurso/empleo/oferta/107"
