id;title;description;plazas;lastUpdated;geometry;icon
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/190";"Estacionamiento para Motos";"CALLE JOSE PELLICER, 8";"5";2017-06-12T22:00:00Z;"-0.8788480209103873,41.63780980906598";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/191";"Estacionamiento para Motos";"CALLE LAUSANA, 3DP";"5";2017-06-12T22:00:00Z;"-0.8798824949510688,41.637852330571576";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/192";"Estacionamiento para Motos";"AVENIDA TENOR FLETA, 19";"5";2017-06-12T22:00:00Z;"-0.8841326536932965,41.64131202593166";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/193";"Estacionamiento para Motos";"CALLE MAURICE RAVEL, 63";"6";2017-06-12T22:00:00Z;"-0.9446979474730992,41.638329344461404";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/194";"Estacionamiento para Motos";"CALLE GERTRUDIS GOMEZ DE AVELLANEDA, F 1";"10";2017-06-12T22:00:00Z;"-0.8845651862939413,41.66233665851278";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/195";"Estacionamiento para Motos";"CALLE ARIAS, 38";"2";2017-06-12T22:00:00Z;"-0.9084914511499262,41.654646656169966";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/196";"Estacionamiento para Motos";"CALLE JUAN SARIÑENA, 7";"5";2017-06-12T22:00:00Z;"-0.8972299211296024,41.66110674352562";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/197";"Estacionamiento para Motos";"CALLE PABLO RUIZ PICASSO, S/N";"5";2017-06-12T22:00:00Z;"-0.9032815956181109,41.670432457493526";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/198";"Estacionamiento para Motos";"CALLE PABLO RUIZ PICASSO, S/N";"8";2017-06-12T22:00:00Z;"-0.9029467620418663,41.67048605499623";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/199";"Estacionamiento para Motos";"CALLE PABLO RUIZ PICASSO, S/N";"8";2017-06-12T22:00:00Z;"-0.9008693842545764,41.67090417930868";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/200";"Estacionamiento para Motos";"CALLE PABLO RUIZ PICASSO, S/N";"5";2017-06-12T22:00:00Z;"-0.9005560968720888,41.670963657671635";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/201";"Estacionamiento para Motos";"CALLE MORERIA, 2";"14";2017-06-12T22:00:00Z;"-0.883439069799526,41.652647930032835";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/202";"Estacionamiento para Motos";"AVENIDA TENOR FLETA, 15";"5";2017-06-12T22:00:00Z;"-0.8846530439877002,41.64158631410752";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/203";"Estacionamiento para Motos";"CALLE FRAY LUIS URBANO, F 48";"5";2017-06-12T22:00:00Z;"-0.8592721014256892,41.644676726979306";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/204";"Estacionamiento para Motos";"CALLE CORTES DE ARAGON, 46";"5";2017-06-12T22:00:00Z;"-0.8935574860028082,41.64417257080962";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/205";"Estacionamiento para Motos";"CALLE ILLUECA, 1";"5";2017-06-12T22:00:00Z;"-0.8745914336592138,41.64011024946836";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/206";"Estacionamiento para Motos";"CALLE MARINA ESPAÑOLA, S/N";"6";2017-06-12T22:00:00Z;"-0.8936643971505881,41.63726800218063";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/207";"Estacionamiento para Motos";"CALLE FRAY LUIS AMIGO, S/N";"8";2017-06-12T22:00:00Z;"-0.8931839553386823,41.636486251621";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/208";"Estacionamiento para Motos";"CALLE FRAY LUIS AMIGO, S/N";"10";2017-06-12T22:00:00Z;"-0.892734402127964,41.63589159021463";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/209";"Estacionamiento para Motos";"CALLE ARZOBISPO CASIMIRO MORCILLO, F 29";"4";2017-06-12T22:00:00Z;"-0.8924721593612331,41.635940726248435";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/210";"Estacionamiento para Motos";"CALLE ARZOBISPO CASIMIRO MORCILLO, S/N";"6";2017-06-12T22:00:00Z;"-0.892074805950781,41.63632998824387";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/211";"Estacionamiento para Motos";"CALLE VIOLANTE DE HUNGRIA, S/N";"7";2017-06-12T22:00:00Z;"-0.9023764355058198,41.639712516623526";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/212";"Estacionamiento para Motos";"AVENIDA CAMINO DE LAS TORRES, 12";"5";2017-06-12T22:00:00Z;"-0.874402070016307,41.64641460148616";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/213";"Estacionamiento para Motos";"CALLE VICENTE BERDUSAN, F 20";"5";2017-06-12T22:00:00Z;"-0.897975413294174,41.651866434183354";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/214";"Estacionamiento para Motos";"CALLE MONASTERIO DE POBLET, 21";"3";2017-06-12T22:00:00Z;"-0.8696042144733559,41.64232924772962";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/215";"Estacionamiento para Motos";"CALLE JUANA DE IBARBOUROU, S/N";"7";2017-06-12T22:00:00Z;"-0.8697289794888718,41.64225230560677";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/216";"Estacionamiento para Motos";"AVENIDA SAN JUAN DE LA PEÑA, 129";"5";2017-06-12T22:00:00Z;"-0.8714969012929098,41.67111525797603";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/217";"Estacionamiento para Motos";"CALLE HERMANOS GAMBRA, F 12";"5";2017-06-12T22:00:00Z;"-0.9101878236149178,41.649038765516856";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/218";"Estacionamiento para Motos";"CALLE FRANCO Y LOPEZ, F 15";"10";2017-06-12T22:00:00Z;"-0.9003605979069844,41.645716772614456";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/219";"Estacionamiento para Motos";"AVENIDA TENOR FLETA, 55";"7";2017-06-12T22:00:00Z;"-0.8802675760033714,41.63932227146507";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
