id;title;description;lastUpdated;geometry;icon
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1455";"Aparcamiento para personas con discapacidad";"CALLE HONORIO GARCIA CONDOY, F-7";2017-05-15T22:00:00Z;"-0.882547372244858,41.6312764248117";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1456";"Aparcamiento para personas con discapacidad";"CALLE MARGARITA XIRGU, S/N";2017-05-15T22:00:00Z;"-0.8926793804978821,41.67914733380048";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1457";"Aparcamiento para personas con discapacidad";"CALLE SANTA OROSIA, F-38";2017-05-15T22:00:00Z;"-0.9058168488594628,41.65613765486477";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1459";"Aparcamiento para personas con discapacidad";"CALLE BERENGUER DE BARDAJI, 59";2017-05-15T22:00:00Z;"-0.9074043936352778,41.648848837502236";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1460";"Aparcamiento para personas con discapacidad";"CARRERA DEL SABADO, 13";2017-05-15T22:00:00Z;"-0.8893251961076196,41.63937635903859";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1461";"Aparcamiento para personas con discapacidad";"CALLE LA PAZ, F-23";2017-05-15T22:00:00Z;"-0.883315838938723,41.6423972925096";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1462";"Aparcamiento para personas con discapacidad";"CALLE JOSE MONCASI, 12";2017-05-15T22:00:00Z;"-0.8876221538078851,41.64159377938162";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1463";"Aparcamiento para personas con discapacidad";"CALLE PEDRO MARIA RIC, 29";2017-05-15T22:00:00Z;"-0.8819569378793385,41.64390576614488";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1480";"Aparcamiento para personas con discapacidad";"AVENIDA MONTAÑANA MONTAÑANA, 302";2017-05-15T22:00:00Z;"-0.8284313728833225,41.68752735233786";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/1482";"Aparcamiento para personas con discapacidad";"CALLE MELILLA, 10";2017-05-15T22:00:00Z;"-0.8773439823354913,41.633092163248826";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
