id;title;title_ext;tipo;lastUpdated;pubDate;sameAs
"https://www.zaragoza.es/sede/servicio/callejero/960";"ALICANTE";"ALICANTE";"";"";"";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/960"
"https://www.zaragoza.es/sede/servicio/callejero/980";"ALIERTA, AV. CESAREO";"CESÁREO ALIERTA";"";"";"";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/980"
"https://www.zaragoza.es/sede/servicio/callejero/1005";"ALJAFERIA, PQ.";"ALJAFERÍA";"";"";"";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/1005"
"https://www.zaragoza.es/sede/servicio/callejero/1390";"ALLENDE, SALVADOR AV.";"SALVADOR ALLENDE";"";"";"";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/1390"
"https://www.zaragoza.es/sede/servicio/callejero/1020";"ALMACEN           JSL";"ALMACÉN";"";"";"";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/1020"
"https://www.zaragoza.es/sede/servicio/callejero/1040";"ALMAGRO";"ALMAGRO";"";"";"";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/1040"
"https://www.zaragoza.es/sede/servicio/callejero/1070";"ALMENDROS,LOS     MRL";"LOS ALMENDROS";"";"";"";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/1070"
"https://www.zaragoza.es/sede/servicio/callejero/1110";"ALMOTILLA, CAMINO";"ALMOTILLA";"";"";"";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/1110"
"https://www.zaragoza.es/sede/servicio/callejero/1150";"ALMOZARA,DE LA(PUENTE)";"DE LA ALMOZARA";"";"";"";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/1150"
"https://www.zaragoza.es/sede/servicio/callejero/1155";"ALMOZARA,ESTACION-VIV";"ALMOZARA";"";"";"";"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/1155"
