id;ficha;raza;fechaIngreso;sexo;fechaNac;edad;tamagno;peso;observaciones;foto;nombre;especie;color;perdido;disponible
"https://www.zaragoza.es/sede/servicio/mascotas/5305";"05010";"mestizo";2015-04-15T22:00:00Z;"Macho";2014-04-14T22:00:00Z;"";"Grande (26-44 kg)";"";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05010 Vito.jpg";"Vito";"Canina";"blanco y atigrado";"true";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5893";"05584";"mestizo";2015-10-02T22:00:00Z;"Macho";2013-10-02T22:00:00Z;"";"Mediano (11-25 kg)";"";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05584 Martinez.jpg";"Martinez";"Canina";"NEGRO Y FUEGO";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5965";"05654";"Mestizo";2015-11-02T23:00:00Z;"Macho";2015-03-03T23:00:00Z;"";"Mediano (11-25 kg)";"";"Si desea conocer a Gandaf Llamenos antes de venir al 976154352.";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05654.jpg";"Gandaf (G2)";"Canina";"Marron";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5582";"05273";"mestiza";2015-07-07T22:00:00Z;"Hembra";2014-11-30T23:00:00Z;"";"Mediano (11-25 kg)";"";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05273 Mia.jpg";"Mia";"Canina";"marron y blanco";"true";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5717";"05407";"CRUCE PASTOR ALEMAN";2015-08-10T22:00:00Z;"Macho";2014-10-10T22:00:00Z;"Joven (10 meses)";"Mediano (11-25 kg)";"";"esterilizado
Leishmania + en tratamiento de mantenimiento con alopurinol";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05407 Houdini.jpg";"HOUDINI";"Canina";"NEGRO Y FUEGO";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/4931";"04631";"Cruce staffordshire bull terrier";2014-11-11T23:00:00Z;"Macho";2013-06-16T22:00:00Z;"";"Mediano (11-25 kg)";"";"Es muy bueno, se lleva muy bien con las personas, pero necesita un hogar que no tenga otros perros, ya que no se lleva muy bien con sus congéneres, 

Está esterilizado.


necesaria licencia y seguro de perros potencialmente peligrososo
ESTÁ ESTERILIZADO";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/04631.jpg";"BROWN (G)";"Canina";"MARRON";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/6282";"05929";"Común Europeo";2016-03-15T23:00:00Z;"Hembra";"";"Joven (4 meses)";"Pequeño (< 10 Kg)";"";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/perro.gif";"Rosa ";"Felina";"Negro";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5923";"05615";"cruce de american staffordshire terrier";2015-10-13T22:00:00Z;"Macho";2013-12-31T23:00:00Z;"";"Grande (26-44 kg)";"";"Necesaria licencia y seguro para tenencia de animales potencialmente peligrosos para adoptar a este animal


Es muy bueno con personas, es un abandonado , ES UN SUPERVIVIENTE, MERECE UN BUEN HOGAR";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05615 Titan.jpg";"Titan (G)";"Canina";"marron y blanco";"true";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5249";"04945";"xAmerican Staffordshire Terrier";2015-03-25T23:00:00Z;"Hembra";2014-05-25T22:00:00Z;"";"Mediano (11-25 kg)";"";"Necesita licencia de perro potencialmente peligroso y seguro de responsabilidad civil

Entró al centro con diez meses. Durante largo tiempo convivió sin proplemas con otra ppp del Centro, al principio todo fue bien, pero hace poco susgieron problemas entre ellas.
Actualmente no se encuentra en el centro por lo que si quieres adoptarla debes contactar con nosotros en 976154352.
Maribel está vacunada y esterilizada, ahora necesita un buen hogar
Recogida abandonada, vagando por el campo.  La pobre tan joven conoce perfectamente el maltrato animal.
";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/04945 Maribel.jpg";"Maribel (G)";"Canina";"Blanco y negro";"true";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/6457";"06129";"Cruce Braco Alemán";2016-06-08T22:00:00Z;"Macho";2015-06-08T22:00:00Z;"";"Mediano (11-25 kg)";"20";"Coco está esterilizado y con sus vacunas al día.
Es un animal dócil que convive sin problemas con otros perros.
";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/06129.JPG";"Coco ";"Canina";"Marrón y Blanco jaspeado";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/6390";"06064";"Cruce de Podenco Ibicenco";2016-05-18T22:00:00Z;"Macho";2016-02-02T23:00:00Z;"Joven (3 meses)";"Grande (26-44 kg)";"";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/06064 Dartagnan.jpg";"Dartagnan ";"Canina";"Blanco y Marrón";"true";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/4080";"03822";"Rottweiler";2014-03-16T23:00:00Z;"Hembra";2013-10-15T22:00:00Z;"Adulto (1 año)";"Mediano (11-25 kg)";"";"SE MERECE UN HOGAR!  lleva casi toda su vida en el centro.

Para su adopcion es necesario poseer la licencia para tenencia de perros potencialmente peligrosos.";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/03822 Lujan..JPG";"LUJAN (G)";"Canina";"N/F";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/4552";"04262";"cruce de LABRADOR";2014-07-21T22:00:00Z;"Macho";2013-08-21T22:00:00Z;"";"Mediano (11-25 kg)";"";"Es muy bueno.

Conoce muy bien el maltrato y abandonó.
En el centro ha conocido el cariño.
Pero ya está preparado para ir a un hogar.
Se lo merece!!";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/04262 marques.jpg";"MARQUES (G)";"Canina";"NEGRO pecho blanco";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/4177";"03898";"Mestizo";2014-04-10T22:00:00Z;"Macho";2013-03-10T23:00:00Z;"Adulto (1 año)";"Grande (26-44 kg)";"";"Lleva casi toda su vida con nosotros.

Es muy bueno.
ESTA esterilizado.

SE MERECE UN HOGAR YA!!";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/03898 JACK.JPG";"JACK (G)";"Canina";"Crema";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5435";"05146";"Rotweiler";2015-05-27T22:00:00Z;"Hembra";2012-12-31T23:00:00Z;"";"Grande (26-44 kg)";"";"Se necesita licencia y seguro de perro potencialmente peligroso debido a su raza.

Lleva con nosotros casi un año.

ABANDONADA  por tener leishmaniosis
	Es una perra super buena  y juguetona	

Quien la adopte deberá comprometerse a continuar con el tratamiento

SE MERECE UN HOGAR

";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05146 Mani.jpg";"Mani";"Canina";"negro y fuego";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/4927";"04645";"Cruce de Pastor Alemán";2014-11-16T23:00:00Z;"Macho";2013-11-16T23:00:00Z;"Adulto (1 año)";"Grande (26-44 kg)";"";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/04645 (640x480).jpg";"Oscar (G)";"Canina";"Dorado  con mancha blanca";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5753";"05441";"xAmerican Staffordshire Terrier";2015-08-21T22:00:00Z;"Hembra";2015-02-21T23:00:00Z;"";"Mediano (11-25 kg)";"";"NECESARIA LICENCIA Y SEGURO DE PERRO POTENCIALMENTE PELIGROSO PARA ADOPTAR A ESTE ANIMAL


AUN  no tiene un año, abandonada de cachorro, ya lleva en el centro 5 meses.  SE MERECE UN HOGAR
	
Se lleva muy  bien con las personas, NO SE lleva muy bien con otros perros.
NECESITA UN HOGAR

";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05441 monza.jpg";"Monza";"Canina";"crema";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/4213";"03937";"Cruce de Rottweiler y husky";2014-04-27T22:00:00Z;"Hembra";2013-04-27T22:00:00Z;"";"Grande (26-44 kg)";"";"Fue encontrada en la calle con una herida muy grave en la pierna, por lo que hubo que hospitalizarla e intervenirla.

Es una superviviente autentica, perfecta conocedora del abandono y maltrato animal,pero ya ha curado sus heridas, tanto físicas como psicológicas.
Esterilizada.

Ya está preparada para ir a un hogar. SE LO MERECE. 
 
Tiene muy buen carácter.  
Esta Esterilizada.

Para su adopcion es necesario poseer la licencia para tenencia de perros potencialmente peligrosos.";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/03937 marina (3).JPG";"Marina (G)";"Canina";"Negro y fuego";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5326";"05029";"Dogo Argentino con pit bull terrier";2015-04-21T22:00:00Z;"Macho";2014-06-21T22:00:00Z;"";"Grande (26-44 kg)";"";"necesaria licencia y seguro de tenencia de perros potencialmente peligrosos.
Francisco es sordo pero comprende el lenguaje corporal. Necesita un propietario comprometido con su discapacidad.
Lleva mas de dos años con nosotros.   Se merece un hogar ya.";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05029 men.jpg";"Francisco (G)";"Canina";"blanco";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5458";"05156";"mestizo";2015-06-07T22:00:00Z;"Macho";2014-09-30T22:00:00Z;"";"Mediano (11-25 kg)";"";"Es un cachorro dominante que debe ser adoptado por alguien con manejo de animales y ganas de adiestrar a este animal";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05135 telmo.jpg";"Otto ";"Canina";"negro y fuego pecho blanco";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/4252";"03970";"MESTIZO";2014-05-09T22:00:00Z;"Macho";2010-05-11T22:00:00Z;"";"Mediano (11-25 kg)";"";"Es un perro sociable de tamaño medio, ya fué esterilizado y está un poco ""rellenito"". Necesita un hogar donde le den buenos paseos.";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/03970 Longo.jpg";"LONGO";"Canina";"BLANCO Y MARRON";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5560";"05250";"mestizo";2015-06-28T22:00:00Z;"Macho";2013-06-28T22:00:00Z;"";"Mediano (11-25 kg)";"";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05250 caco.jpg";"Caco";"Canina";"tricolor";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/7908";"07543";"mestizo pastor aleman";2017-10-02T22:00:00Z;"Macho";2017-01-02T23:00:00Z;"";"Grande (26-44 kg)";"";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/07543.JPG";"Mcfly";"Canina";"NEGRO Y FUEGO";"true";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/4151";"03878";"Cruce de podenco";2014-04-03T22:00:00Z;"Macho";2012-10-31T23:00:00Z;"Adulto (1 año)";"Mediano (11-25 kg)";"";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/03878 TOBY.JPG";"TOBY (G)";"Canina";"Negro y fuego";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/4386";"04097";"Mestizo";2014-06-06T22:00:00Z;"Macho";2013-06-06T22:00:00Z;"";"Mediano (11-25 kg)";"";"Es muy bueno.
Esta esterilizado

Se merece un hogar!!!";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/04097 Jose Luis.jpg";"JOSE LUIS";"Canina";"CANELA Y BLANCO";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5875";"05568";"xAmerican Staffordshire Terrier";2015-09-24T22:00:00Z;"Macho";2012-09-24T22:00:00Z;"";"Mediano (11-25 kg)";"";"Necesaria Liencia y seguro para la adopción de Pipol

Bueno con la gente.  ";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05568 Pipol.jpg";"Pipol (G)";"Canina";"marron y blanco";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/3219";"02965";"CRUCE PASTOR ALEMAN";2013-08-19T22:00:00Z;"Macho";2013-01-19T23:00:00Z;"Adulto (1 año)";"Grande (26-44 kg)";"";"Lleva mucho tiempo con nosotros....ya se merece un hogar.";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/Nilo.jpg";"NILO (G)";"Canina";"NEGRO Y FUEGO";"false";"1"
