"Persona";" Retribucions";" Any";"Partit";"Càrrec"
"PLANAS CROUS, MARIA ANGELA";"50602,71";"2014";"CONVERGÈNCIA I UNIÓ (CiU)";""
"PUIGDEMONT CASAMAJO, CARLES";"28658,92";"2014";"CONVERGÈNCIA I UNIÓ (CiU)";""
"PUJOLAS VILAR, ANNA";"12978,07";"2014";"GRUP MUNICIPAL DE LA CUP";""
"QUINTANA MORRAJA, ANGEL";"13070,54";"2014";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"RIBAS GIRONES, CARLES";"35398,58";"2014";"CONVERGÈNCIA I UNIÓ (CiU)";""
"TERES BONET, NÚRIA          ";"13056,82";"2014";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"URRA FABREGAS, ROSER";"28538,52";"2014";"CONVERGÈNCIA I UNIÓ (CiU)";""
"VERAY CAMA, CONCEPCIÓ      ";"19785,63";"2014";"PARTIT POPULAR DE CATATALUNYA (PPC)";""
"ALBERTI SERRA, PERE";"7553";"2015";"ERC-MES-AM";""
"ALCALA QUIÑONES, JOAN-JOSEP";"37140,55";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"AMORES BRAVO, XAVIER";"6467,16";"2015";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"BARBERO RIVERA, AMELIA         ";"6467,16";"2015";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"BERLOSO FERRER, EDUARDO";"28543,25";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"BONAVENTURA AYATS, JOAQUIN";"6467,16";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"BONAVENTURA CABANES, CARLES";"6467,16";"2015";"GRUP MUNICIPAL DE LA CUP";""
"BOSCH CODOLA, PIA";"6467,16";"2015";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"CALVO PLA, RICARD";"7553";"2015";"ERC-MES-AM";""
"CASTEL SUCARRAT, JUAN MARIA     ";"11487";"2015";"CIUTADANS";""
"COSTA FITA, MARIA ESTHER";"7553";"2015";"CUP-PA";""
"CUNYAT BADOSA, CORALÍ         ";"14269,26";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"FABREGA VILA, JORDI";"24971,50";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"GRANADOS AGUILERA, JUAN ANTONIO";"7553";"2015";"CUP-PA";""
"MADRENAS MIR, MARTA";"37140,55";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"MARTIN VERTEDOR, MANUEL";"7553";"2015";"PSC-CP";""
"MENACHO GABARDINO, JUAN";"6467,17";"2015";"PARTIT POPULAR DE CATATALUNYA (PPC)";""
"MURADAS VAZQUEZ, MARIA ISABEL";"28543,26";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"NAVARRO MORERA, JORDI          ";"9867,72";"2015";"GRUP MUNICIPAL DE LA CUP";""
"OLORIZ SERRA, JOAN B         ";"9867,72";"2015";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"PALAU GIL, EVA MARIA";"16653";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"PALOMARES SAFARRES, CARLOS";"6467,16";"2015";"REGIDOR NO ADSCRIT";""
"PANEQUE SUREDA, SILVIA";"19713,72";"2015";"PSC-CP";""
"PELACH SAGET, LAIA";"11487";"2015";"CUP-PA";""
"PLANA YANES, GLÒRIA";"22042,30";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"PLANAS CROUS, MARIA ANGELA";"48649,02";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"PUIGDEMONT CASAMAJO, CARLES";"28543,26";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"PUJOLA ROMERO, MIRIAM";"7553";"2015";"CIUTADANS";""
"PUJOLAS VILAR, ANNA";"6467,16";"2015";"GRUP MUNICIPAL DE LA CUP";""
"QUINTANA MORRAJA, ANGEL";"6467,16";"2015";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"RIBAS GIRONES, CARLES";"35315,82";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"RIERA ALEMANY, ELISABET";"7553";"2015";"PSC-CP";""
"ROCA PERICH, MARIA MERCE";"11487";"2015";"ERC-MES-AM";""
"RODRIGUEZ VIDAL, JOAQUIM";"7553";"2015";"PSC-CP";""
"SALELLAS VILAR, LLUC";"7553";"2015";"CUP-PA";""
"SANCHEZ TORREBLANCA, CRISTOBAL";"16653";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"TERES BONET, MARTI";"7553";"2015";"ERC-MES-AM";""
"TERES BONET, NÚRIA          ";"6467,16";"2015";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"URRA FABREGAS, ROSER";"14269,26";"2015";"CONVERGÈNCIA I UNIÓ (CiU)";""
"VERAY CAMA, CONCEPCIÓ      ";"19713,72";"2015";"PARTIT POPULAR DE CATATALUNYA (PPC)";""
"ALBERTI SERRA, PERE";"13305,20";"2016";"ERC-MES-AM";""
"ALCALA QUIÑONES, JOAN-JOSEP";"48872,43";"2016";"CONVERGÈNCIA I UNIÓ (CiU)";""
"BALLESTA TURA, ALBERT";"5540,45";"2016";"CONVERGÈNCIA I UNIÓ (CiU)";""
"BERLOSO FERRER, EDUARDO";"29418,34";"2016";"CONVERGÈNCIA I UNIÓ (CiU)";""
"CALVO PLA, RICARD";"3269,58";"2016";"ERC-MES-AM";""
"CASTEL SUCARRAT, JUAN MARIA     ";"566,71";"2016";"CIUTADANS";""
"COSTA FITA, MARIA ESTHER";"13235,18";"2016";"CUP-PA";""
"FABREGA VILA, JORDI";"1614,04";"2016";"CONVERGÈNCIA I UNIÓ (CiU)";""
"GRANADOS AGUILERA, JUAN ANTONIO";"12708,33";"2016";"CUP-PA";""
"MADRENAS MIR, MARTA";"65770,67";"2016";"CONVERGÈNCIA I UNIÓ (CiU)";""
"MARTIN VERTEDOR, MANUEL";"23654,16";"2016";"PSC-CP";""
"MURADAS VAZQUEZ, MARIA ISABEL";"28299,88";"2016";"CONVERGÈNCIA I UNIÓ (CiU)";""
"PALAU GIL, EVA MARIA";"28835,18";"2016";"CONVERGÈNCIA I UNIÓ (CiU)";""
"PANEQUE SUREDA, SILVIA";"40700,64";"2016";"PSC-CP";""
"PELACH SAGET, LAIA";"19756,34";"2016";"CUP-PA";""
"PLANA YANES, GLÒRIA";"28277,49";"2016";"CONVERGÈNCIA I UNIÓ (CiU)";""
"PLANAS CROUS, MARIA ANGELA";"51166,69";"2016";"CONVERGÈNCIA I UNIÓ (CiU)";""
"PUIGDEMONT CASAMAJO, CARLES";"886,96";"2016";"CONVERGÈNCIA I UNIÓ (CiU)";""
"PUJOLA ROMERO, MIRIAM";"19730,71";"2016";"CIUTADANS";""
"RIBAS GIRONES, CARLES";"34843,54";"2016";"CONVERGÈNCIA I UNIÓ (CiU)";""
"RIERA ALEMANY, ELISABET";"22993,58";"2016";"PSC-CP";""
"ROCA PERICH, MARIA MERCE";"19978,03";"2016";"ERC-MES-AM";""
"RODRIGUEZ VIDAL, JOAQUIM";"23354,67";"2016";"PSC-CP";""
"SALELLAS VILAR, LLUC";"13002,50";"2016";"CUP-PA";""
"SANCHEZ TORREBLANCA, CRISTOBAL";"28910,96";"2016";"CONVERGÈNCIA I UNIÓ (CiU)";""
"SASTRE FULCARA, NARCIS";"50164,61";"2016";"CONVERGÈNCIA I UNIÓ (CiU)";""
"TERES BONET, MARTI";"13033,16";"2016";"ERC-MES-AM";""
"VAZQUEZ RODRIGUEZ, MANUEL";"12080,11";"2016";"CIUTADANS";""
"VERAY CAMA, CONCEPCIÓ      ";"19749,13";"2016";"PARTIT POPULAR DE CATATALUNYA (PPC)";""
