"Barri";"Nom";"	X(UTM)";"Y(UTM)";"Cota_ortomètrica (H)";"Cel_GPS";"Data_de_revisió";"Data_construcció";"Data_ajust";"Tipus vèrtex";"Tipus_de_senyal";"Visa a:						"
"Barri Eixample. Eixample Nord i Sud";"GI6054";"484597,03";"4647472,52";"74,43";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI6055 i GI6020"
"Barri Eixample. Eixample Nord i Sud";"GI6055";"484501,89";"4647436,73";"74,13";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI6054 i GI6056"
"Barri Eixample. Eixample Nord i Sud";"GI6056";"484550,50";"4647327,54";"74,31";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI6055 i GI6058"
"Barri Eixample. Eixample Nord i Sud";"GI6057";"484738,23";"4647692,87";"72,98";"Cel amb obstruccions";"setembre 2014";"febrer2014";"18/04/2017";"VPP";"Geopunt";"GI6062, GI6053 i GI6043"
"Barri Eixample. Eixample Nord i Sud";"GI6058";"484416,40";"4647254,08";"74,73";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI6056 i GI6023"
"Barri Eixample. Eixample Nord i Sud";"GI6059";"484459,17";"4646388,29";"80,28";"Si";"setembre 2014";"febrer2014";"18/04/2017";"VPP";"Geopunt";"GI6052 i GI6036"
"Barri Eixample. Eixample Nord i Sud";"GI6060";"484496,92";"4647655,45";"73,57";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI6042 i GI6043"
"Barri Eixample. Eixample Nord i Sud";"GI6061";"485225,75";"4647385,23";"72,50";"No";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI6064 i GI6018"
"Barri Eixample. Eixample Nord i Sud";"GI6062";"484853,49";"4647740,63";"72,46";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPP";"Geopunt";"GI6057 i GI6083"
"Barri Eixample. Eixample Nord i Sud";"GI6063";"484962,41";"4648241,21";"68,49";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI6048 i GI6046"
"Barri Eixample. Eixample Nord i Sud";"GI6064";"485294,60";"4647447,96";"71,50";"No";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";" GI6061 i GI4060"
"Barri Eixample. Eixample Nord i Sud";"GI6066";"485155,28";"4648674,16";"71,59";"Si";"juliol 2014";"juny2014";"18/04/2017";"VPS";"Geopunt";"GI6002, GI6016, GI6080 i GI2016"
"Barri Eixample. Eixample Nord i Sud";"GI6080";"485043,29";"4648651,29";"72,14";"Cel amb obstruccions";"setembre 2014";"setembre2014";"18/04/2017";"VPS";"Geopunt";"GI6002, GI6066 i GI2017"
"Barri Eixample. Eixample Nord i Sud";"GI6081";"485060,55";"4647926,23";"72,05";"No";"setembre 2014";"octubre2014";"18/04/2017";"VPS";"Geopunt";"GI6082, GGI8017005 i GGI8017003"
"Barri Eixample. Eixample Nord i Sud";"GI6082";"484966,53";"4647899,22";"72,21";"No";"setembre 2014";"octubre2014";"18/04/2017";"VPS";"Geopunt";"GI6081, GI6049 i GI6083"
"Barri Eixample. Eixample Nord i Sud";"GI6083";"484988,80";"4647814,79";"71,07";"No";"setembre 2014";"octubre2014";"18/04/2017";"VPS";"Geopunt";"GGI8017003, GI6082 i GI6062"
"Barri Eixample. Eixample Nord i Sud";"GI6084";"484449,99";"4647741,98";"72,97";"No";"setembre 2014";"setembre2014";"18/04/2017";"VPS";"Geopunt";"305097027, GI6042, GI6085 i GI6060"
"Barri Eixample. Eixample Nord i Sud";"GI6085";"484398,15";"4647713,01";"73,50";"No";"setembre 2014";"setembre2014";"18/04/2017";"VPS";"Geopunt";"GI5027 i GI6084"
"Barri Eixample. Eixample Nord i Sud";"GI6086";"484840,85";"4648194,72";"68,77";"No";"";"novembre2014";"18/04/2017";"VPS";"Geopunt";"GI6087, GI6063 i ICC_7026"
"Barri Eixample. Eixample Nord i Sud";"GI6087";"484683,84";"4648145,57";"69,23";"No";"";"novembre2014";"18/04/2017";"VPS";"Geopunt";"GI6086 i GI6088"
"Barri Eixample. Eixample Nord i Sud";"GI6088";"484702,89";"4648082,56";"69,14";"No";"";"novembre2014";"18/04/2017";"VPS";"Geopunt";"GI6087 i GI6089"
"Barri Eixample. Eixample Nord i Sud";"GI6089";"484555,83";"4648042,58";"69,95";"No";"";"novembre2014";"18/04/2017";"VPS";"Geopunt";"GI6088 i GI6039"
"Barri Eixample. Eixample Nord i Sud";"GI6090";"485435,65";"4646774,86";"72,77";"No";"";"abril2015";"18/04/2017";"VPS";"geopunt amb volandera";"GI6024 i GI6091"
"Barri Eixample. Eixample Nord i Sud";"GI6091";"485343,06";"4646796,03";"72,72";"No";"";"abril2015";"18/04/2017";"VPS";"Geopunt";"GI6090 i GI6092"
"Barri Eixample. Eixample Nord i Sud";"GI6092";"485329,61";"4646622,27";"75,78";"No";"";"abril2015";"18/04/2017";"VPS";"Geopunt";"GI6091 i GI6093"
"Barri Eixample. Eixample Nord i Sud";"GI6093";"485215,44";"4646631,92";"76,31";"No";"";"abril2015";"18/04/2017";"VPS";"Geopunt";"GI6092 i GI6094"
"Barri Eixample. Eixample Nord i Sud";"GI6094";"485075,95";"4646656,02";"76,02";"No";"";"abril2015";"18/04/2017";"VPS";"geopunt amb volandera";"GI6093 i GI6095"
"Barri Eixample. Eixample Nord i Sud";"GI6095";"485098,97";"4646762,74";"75,39";"No";"";"abril2015";"18/04/2017";"VPS";"Geopunt";"GI6094 i GI6096"
"Barri Eixample. Eixample Nord i Sud";"GI6096";"485118,74";"4646887,78";"74,79";"No";"";"abril2015";"18/04/2017";"VPS";"Geopunt";"GI6095 i GI6030"
"Barri Eixample. Eixample Nord i Sud";"GI6097";"484394,29";"4645535,79";"86,75";"No";"";"juny2015";"18/04/2017";"VPS";"Geopunt";"GI6026 i GI6027"
"Barri Eixample. Eixample Nord i Sud";"GI6098";"485440,59";"4646616,65";"75,38";"SI";"";"novembre 2015";"18/04/2017";"VPS";"geopunt amb volandera";"GI6090 i GI6014"
"Barri Eixample. Eixample Nord i Sud";"GI6099";"485411,19";"4646340,54";"81,46";"Si";"";"novembre 2015";"18/04/2017";"VPS";"geopunt amb volandera";"GI6014 i GI6100"
"Barri Eixample. Eixample Nord i Sud";"GI6100";"485384,41";"4646183,93";"88,32";"No";"";"novembre 2015";"18/04/2017";"VPS";"geopunt amb volandera";"GI6099, GI6031 i GI8022"
"Barri Eixample. Eixample Nord i Sud";"GI6101";"485205,93";"4646265,29";"84,16";"No";"";"novembre 2015";"18/04/2017";"VPS";"geopunt amb volandera";"GI6102 i GI6031"
"Barri Eixample. Eixample Nord i Sud";"GI6102";"485077,98";"4646316,52";"82,19";"No";"";"novembre 2015";"18/04/2017";"VPS";"geopunt amb volandera";"GI6101 i GI6103"
"Barri Eixample. Eixample Nord i Sud";"GI6103";"484952,79";"4646352,86";"80,28";"No";"";"novembre 2015";"18/04/2017";"VPS";"geopunt amb volandera";"GI6102, GI6028 i GI6104"
"Barri Eixample. Eixample Nord i Sud";"GI6104";"485022,60";"4646539,69";"77,71";"Si";"";"novembre 2015";"18/04/2017";"VPS";"Geopunt";"GI6103 i GI6094"
"Barri Eixample. Eixample Nord i Sud";"GI6105";"485071,72";"4647995,13";"71,45";"No";"";"novembre2015";"18/04/2017";"VPS";"geopunt amb volandera";"GI6081 i GI6106"
"Barri Eixample. Eixample Nord i Sud";"GI6106";"485139,51";"4648055,74";"70,56";"Si";"";"novembre2015";"18/04/2017";"VPS";"Geopunt";"GI6105 i GI6107"
"Barri Eixample. Eixample Nord i Sud";"GI6107";"485207,33";"4648125,03";"69,53";"No";"";"novembre2015";"18/04/2017";"VPS";"geopunt amb volandera";"GI6106 i GI6108"
"Barri Eixample. Eixample Nord i Sud";"GI6108";"485309,32";"4648246,03";"68,35";"Si";"";"novembre2015";"18/04/2017";"VPS";"geopunt amb volandera";"GI6107 i GI6010"
"Barri Eixample. Eixample Nord i Sud";"GI6109";"484499,63";"4646898,75";"76,48";"No";"";"gener2016";"18/04/2017";"VPS";"Geopunt";"GI6034 I GI6110"
"Barri Eixample. Eixample Nord i Sud";"GI6110";"484453,70";"4646991,88";"76,13";"No";"";"gener2016";"18/04/2017";"VPS";"Geopunt";"GI6109 I GI6111"
"Barri Eixample. Eixample Nord i Sud";"GI6111";"484370,37";"4646947,48";"76,53";"No";"";"gener2016";"18/04/2017";"VPS";"Geopunt";"GI6110, GI6112 i GI6115"
"Barri Eixample. Eixample Nord i Sud";"GI6112";"484403,90";"4646883,48";"76,95";"No";"";"gener2016";"18/04/2017";"VPS";"Geopunt";"GI6109, GI6111, GI6034 i GI6113"
"Barri Eixample. Eixample Nord i Sud";"GI6113";"484324,53";"4646839,77";"77,33";"No";"";"gener2016";"18/04/2017";"VPS";"Geopunt";"GI6112 i GI6045"
"Barri Eixample. Eixample Nord i Sud";"GI6114";"484254,75";"4646990,48";"76,62";"No";"";"gener2016";"18/04/2017";"VPS";"Geopunt";"GI5042 i GI6115"
"Barri Eixample. Eixample Nord i Sud";"GI6115";"484332,53";"4647034,17";"76,17";"No";"";"gener2016";"18/04/2017";"VPS";"Geopunt";"GI6114, GI6111 i GI6116"
"Barri Eixample. Eixample Nord i Sud";"GI6116";"484282,80";"4647113,62";"76,29";"No";"";"gener2016";"18/04/2017";"VPS";"Geopunt";"GI6115 i GI5030"
"Barri Eixample. Eixample Nord i Sud";"GI6117";"484874,20";"4647653,78";"72,44";"No";"";"gener2016";"18/04/2017";"VPS";"Geopunt";"GI6062 i GI6118"
"Barri Eixample. Eixample Nord i Sud";"GI6118";"484866,90";"4647525,12";"73,40";"No";"";"gener2016";"18/04/2017";"VPS";"Geopunt";"GI6117 i GI6119"
"Barri Eixample. Eixample Nord i Sud";"GI6119";"484951,94";"4647579,61";"71,27";"No";"";"gener2016";"18/04/2017";"VPS";"Geopunt";"GI6118 i GI6120"
"Barri Eixample. Eixample Nord i Sud";"GI6120";"485016,00";"4647744,10";"70,47";"No";"";"gener2016";"18/04/2017";"VPS";"Geopunt";"GI6119 i GI6083"
"Barri Eixample. Eixample Nord i Sud";"GI6121";"484507,62";"4645659,22";"87,55";"No";"juny 2015";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI6025, GI6097 i GI8027"
"Barri Eixample. Eixample Nord i Sud";"GI6122";"484613,72";"4646896,91";"75,04";"Si";"";"juny2016";"18/04/2017";"VPP";"Geopunt";"GI6012, GI6033 i GI60123"
"Barri Eixample. Eixample Nord i Sud";"GI6123";"484653,73";"4647128,25";"73,70";"Si";"";"juny2016";"18/04/2017";"VPP";"Geopunt";"GI6122 i GI6124"
"Barri Eixample. Eixample Nord i Sud";"GI6124";"484579,37";"4647197,69";"74,27";"Si";"";"juny2016";"18/04/2017";"VPP";"Geopunt";"GI6123 i GI6125"
"Barri Eixample. Eixample Nord i Sud";"GI6125";"484627,48";"4647385,40";"73,87";"No";"";"juny2016";"18/04/2017";"VPP";"Geopunt";"GI6124 i GI6126"
"Barri Eixample. Eixample Nord i Sud";"GI6126";"484658,07";"4647479,33";"73,56";"Si";"";"juny2016";"18/04/2017";"VPP";"Geopunt";"GI6125 i GI6053"
"Mas Xirgu ";"GI7001";"484001,43";"4646024,53";"82,81";"No";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI7003 i GI5032"
"Mas Xirgu ";"GI7002";"484087,33";"4646300,51";"81,64";"No";"setembre 2014";"2009";"18/04/2017";"VPP";"geopunt amb volandera";"GI7004 i GI7005"
"Mas Xirgu ";"GI7003";"484072,18";"4645905,11";"83,01";"Si";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI7001 i GI7011"
"Mas Xirgu ";"GI7004";"484136,52";"4646434,72";"80,35";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPP";"Geopunt";"GI7002 i ICC_304098032"
"Mas Xirgu ";"GI7005";"484086,85";"4646194,40";"81,54";"Cel amb obstruccions";"setembre 2014";"febrer2014";"18/04/2017";"VPP";"Geopunt";"GI6032 i GI7002"
"Mas Xirgu ";"GI7006";"483956,46";"4646163,72";"82,07";"No";"";"març2015";"18/04/2017";"VPS";"Geopunt";"GI7005 i GI7007"
"Mas Xirgu ";"GI7007";"483888,72";"4646111,01";"82,49";"Si";"";"març2015";"18/04/2017";"VPS";"geopunt amb volandera";"GI7006 i GI7008"
"Mas Xirgu ";"GI7008";"483811,90";"4646010,67";"82,95";"Si";"";"març2015";"18/04/2017";"VPS";"Geopunt";"GI7007 i GI7009"
"Mas Xirgu ";"GI7009";"483703,96";"4645865,51";"83,92";"Si";"";"març2015";"18/04/2017";"VPS";"Geopunt";"GI7008 i GI7010"
"Mas Xirgu ";"GI7010";"483796,09";"4645798,10";"84,47";"No";"";"març2015";"18/04/2017";"VPS";"Geopunt";"GI7009 i GI7011"
"Mas Xirgu ";"GI7011";"483911,29";"4645695,39";"84,56";"Si";"";"març2015";"18/04/2017";"VPS";"Geopunt";"GI7010 i GI7003"
"Mas Xirgu ";"GI7012";"484217,57";"4646095,57";"83,75";"Si";"";"març2015";"18/04/2017";"VPS";"Geopunt";"GI7003 i GI6036"
"Mas Xirgu ";"GI7013";"483498,58";"4645133,03";"92,30";"Si";"";"febrer2017";"18/04/2017";"VPS";"Geopunt";"GI7014"
"Mas Xirgu ";"GI7014";"483717,27";"4644969,03";"94,15";"Si";"";"febrer2017";"18/04/2017";"VPS";"Geopunt";"GI7013"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8001";"486136,38";"4645385,63";"128,36";"Si";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";" GI8002 i GI8012"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8002";"486171,79";"4645467,24";"129,78";"Si";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI8001 i GI8003"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8003";"486183,82";"4645618,31";"133,55";"Si";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI8002 i GI8013"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8004";"485705,10";"4646732,52";"78,63";"No";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI8034 i GI8005"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8005";"485818,89";"4646727,58";"82,74";"SI";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI8004 i GI8006"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8006";"485792,00";"4646663,86";"84,37";"SI";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI8005 i GI8007"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8007";"485898,15";"4646607,84";"95,47";"No";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI8006 i GI8009"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8008";"485923,75";"4646659,40";"95,38";"No";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI6018 i GI6030"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8009";"485964,32";"4646726,68";"91,87";"No";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI8007 i GI8010"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8010";"485926,25";"4646725,93";"88,94";"SI";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI8009 i GI8011"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8011";"485957,09";"4646769,17";"85,17";"No";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI8010 i GI28A"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8012";"486057,97";"4645346,93";"129,99";"No";"setembre 2014";"setembre2014";"18/04/2017";"VPS";"Geopunt";"GI8001 i GI8029"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8013";"486161,46";"4645759,42";"121,30";"Si";"juliol 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI8003"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8014";"484832,95";"4645521,09";"105,77";"No";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"GI8028 i GI8051"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8015";"485075,17";"4645576,71";"125,30";"No";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI8044 i GI8045"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8016";"485698,05";"4645156,18";"123,11";"No";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI8017 i GI8021"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8017";"485644,87";"4645723,21";"96,88";"Si";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI8018 i GI8016"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8018";"485677,84";"4645969,59";"88,21";"Si";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI8046 i GI8017"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8019";"485340,87";"4644991,39";"131,49";"Si";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI8020 i GI8043"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8020";"485469,98";"4645052,80";"127,35";"Si";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI8021 i GI8019"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8021";"485544,61";"4645064,01";"126,80";"No";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI8016 i GI8020"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8022";"485288,58";"4646079,21";"96,00";"No";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI8023 i GI6100"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8023";"485163,90";"4646027,26";"99,52";"Si";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI8022 i GI6025"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8025";"485075,44";"4644916,94";"137,83";"No";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"GI8025 i GI8047"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8027";"484627,86";"4645737,60";"88,78";"Si";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"GI8028 i GI6026"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8028";"484882,95";"4645716,07";"106,54";"Cel amb obstruccions";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"GI8027 i GI8014"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8029";"485980,16";"4645322,28";"130,80";"No";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"GI8012"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8030";"483937,95";"4644245,93";"97,56";"Si";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"GI8041"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8032";"485947,73";"4646247,24";"105,60";"No";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"No te visual amb cap vèrtex"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8033";"485661,06";"4646588,73";"79,87";"No";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"GI8088 i GI8087"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8034";"485715,90";"4646855,22";"73,14";"Cel amb obstruccions";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"GI8034 i GI8035"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8035";"485953,38";"4646836,92";"77,91";"Si";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"GI8034 i GI8011"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8036";"484490,80";"4644374,36";"125,11";"Cel amb obstruccions";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"No te visual amb cap vèrtex"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8037";"487033,67";"4645814,95";"78,72";"Si";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"No te visual amb cap vèrtex"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8038";"485136,36";"4644187,54";"91,42";"No";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"GI8039"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8039";"485192,38";"4644420,27";"101,98";"No";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"GI8038"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8041";"484063,81";"4644661,08";"93,00";"Si";"juliol 2014";"2002";"18/04/2017";"VPP";"geopunt amb volandera";"No te visual amb cap vèrtex"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8042";"485554,55";"4646461,93";"79,30";"No";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI8046 i GI6014"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8043";"485084,90";"4644984,59";"138,41";"Si";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI8025 i GI8047"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8044";"485058,09";"4645335,48";"133,68";"Si";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI8043 i GI8015"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8046";"485590,89";"4646290,77";"83,86";"Si";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI8042 i GI8018"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8047";"485078,32";"4645071,76";"136,75";"No";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"ICC_8023, GI8043 i GI8048"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8048";"485005,51";"4645099,04";"132,44";"No";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8047 i GI8049"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8049";"484902,28";"4645156,25";"121,08";"Si";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8048, GI8050 i GI8058"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8050";"484778,28";"4645272,00";"111,24";"Si";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8050, GI8051 i GI8052"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8051";"484765,06";"4645379,15";"106,77";"Si";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8050 i GI8014"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8052";"484705,61";"4645174,15";"108,26";"Si";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8050 i GI8053"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8053";"484597,98";"4645168,15";"108,12";"Si";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8052 i GI8054"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8054";"484675,16";"4645006,65";"114,17";"Si";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"Gi8053, GI8059 i GI8055"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8055";"484788,60";"4645024,76";"115,13";"No";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8054 i GI8056"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8056";"484832,26";"4644969,86";"119,36";"No";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8055 i GI8057"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8057";"484898,17";"4645017,56";"121,25";"No";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8056 i GI8058"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8058";"484915,81";"4645101,17";"122,93";"No";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8057 i GI8049"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8059";"484742,07";"4644868,28";"122,47";"Si";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8054 i GI8060"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8060";"484783,96";"4644687,63";"122,76";"Si";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8059 i GI8061"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8061";"484853,38";"4644480,11";"131,09";"Si";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8060 i GI8062"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8062";"484911,16";"4644573,10";"132,82";"No";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8061 i GI8063"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8063";"484992,01";"4644733,51";"133,69";"No";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8062 i GI8064"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8064";"485054,27";"4644824,04";"135,51";"Si";"";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI8063 i GI8025"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8065";"484559,38";"4645342,94";"102,51";"Si";"";"juny 2015";"18/04/2017";"VPS";"Geopunt";"GI8066 i GI8053"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8066";"484440,38";"4645399,92";"92,03";"No";"";"juny 2015";"18/04/2017";"VPS";"Geopunt";"Gi8065 i GI6027"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8067";"484945,26";"4645682,73";"111,17";"No";"";"juny 2015";"18/04/2017";"VPS";"Geopunt";"GI8028 i GI8068"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8068";"484906,08";"4645525,97";"113,24";"No";"";"juny 2015";"18/04/2017";"VPS";"Geopunt";"GI8067 i GI8069"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8069";"484853,43";"4645367,72";"110,66";"No";"";"juny 2015";"18/04/2017";"VPS";"Geopunt";"GI8068, GI8070 i GI8050"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8070";"484915,92";"4645345,16";"117,85";"No";"";"juny 2015";"18/04/2017";"VPS";"Geopunt";"GI8069 i GI8071"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8071";"484946,69";"4645415,71";"118,23";"No";"";"juny 2015";"18/04/2017";"VPS";"Geopunt";"GI8070 i GI8072"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8072";"484997,23";"4645543,87";"119,62";"No";"";"juny 2015";"18/04/2017";"VPS";"Geopunt";"GI8071 i GI8073"
"Sud . Montilivi, Palau, Av.ellaneda i La Creueta";"GI8073";"485011,61";"4645668,35";"116,30";"No";"";"juny 2015";"18/04/2017";"VPS";"Geopunt";"GI8028 i GI8072"
