"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Total";"AJUNTAMENT";"oficina";"4.096";"";"89.951";"80.215";"72.270";"42.492";"36.204";"42.744";"47.497";"44.457";"44.683";"41.248";"63.561";"93.667";"10.048";"8.705";"8.451";"6.155";"6.148";"7.139";"7.804";"7.411";"7.368";"6.713";"7.857";"10.019"
"Total";"ASSOCIACIÓ DE NATURALISTES GI";"oficina";"";"";"638";"584";"159";"82";"123";"126";"215";"235";"65";"49";"296";"346";"185";"165";"99";"83";"93";"91";"109";"113";"80";"80";"121";"133"
"Total";"BEATES";"oficina";"";"";"3.371";"3.174";"3.377";"3.582";"3.605";"4.144";"4.505";"4.708";"4.984";"4.748";"3.816";"8.779";"1.068";"988";"1.029";"1.021";"1.047";"1.153";"1.261";"1.306";"1.331";"1.292";"1.041";"1.326"
"Total";"ESTACIÓ AUTOBUSOS";"oficina";"";"";"9.940";"9.164";"8.853";"6.881";"6.645";"7.465";"8.210";"8.529";"8.058";"6.839";"6.454";"9.591";"1.547";"1.425";"1.425";"1.190";"1.181";"1.294";"1.402";"1.441";"1.366";"1.240";"1.180";"1.559"
"Total";"CASETA DE LA DEVESA";"cultural";"68";"";"0";"214";"373";"114";"16";"53";"46";"46";"40";"35";"35";"52";"65";"93";"125";"78";"63";"68";"67";"68";"65";"66";"64";"70"
"Total";"CENTRAL DE L'AURORA";"oficina";"207";"";"0";"0";"0";"0";"0";"0";"0";"53";"63";"0";"0";"0";"43";"43";"46";"50";"46";"49";"64";"203";"140";"137";"133";"4"
"Total";"COOPERACIÓ";"oficina";"";"";"1.396";"1.463";"1.536";"916";"956";"869";"916";"931";"925";"1.005";"1.023";"1.285";"274";"275";"291";"190";"189";"87";"104";"194";"193";"209";"210";"252"
"Total";"ANTIGA CASA PASTORA";"oficina";"";"";"1.486";"1.370";"1.006";"938";"104";"72";"42";"42";"40";"41";"54";"56";"280";"258";"200";"187";"-22";"-28";"46";"46";"46";"47";"47";"49"
"Total";"PISTA CREC SANT DANIEL";"cultural";"";"";"537";"491";"537";"527";"536";"463";"144";"166";"239";"585";"1.242";"1.207";"125";"110";"92";"93";"118";"107";"61";"66";"78";"134";"234";"230"
"Total";"CENTRE DE SALUT MENTAL";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"FUNDACIO ESCOLA ART FLORAL";"oficina";"";"";"269";"242";"269";"260";"269";"260";"269";"269";"260";"269";"35";"0";"62";"57";"47";"44";"57";"58";"61";"61";"62";"64";"24";"19"
"Total";"ESPAI JOVE ELS QUÍMICS";"cultural";"401";"";"2.381";"2.707";"2.549";"1.509";"1.131";"1.458";"1.804";"971";"826";"1.307";"1.820";"2.667";"571";"614";"622";"454";"391";"426";"473";"360";"339";"433";"516";"653"
"Total";"GESTORIA GOMEZ";"oficina";"";"";"136";"204";"950";"890";"511";"477";"362";"396";"496";"512";"538";"588";"84";"91";"228";"216";"151";"144";"126";"133";"152";"157";"148";"156"
"Total";"HABITATGE MUNICIPAL ST. GREGORI 89- 5E 4A";"residencial";"";"";"2.616";"2.596";"2.148";"1.721";"919";"600";"656";"706";"862";"1.047";"560";"218";"211";"209";"187";"153";"119";"96";"80";"88";"99";"118";"79";"55"
"Total";"HABITATGE MUNICIPAL ST GREGORI 89- 6E 1A";"residencial";"";"";"899";"775";"844";"770";"620";"537";"282";"82";"79";"99";"113";"133";"107";"92";"99";"89";"81";"66";"37";"31";"32";"37";"37";"42"
"Total";"HABITATGE MUNICIPAL FONTAJAU 5- 8E 4A";"residencial";"";"";"2.113";"2.154";"1.504";"1.074";"683";"519";"451";"386";"510";"616";"334";"192";"191";"191";"147";"114";"87";"65";"61";"64";"74";"86";"59";"51"
"Total";"HABITATGE MUNICIPAL CAN COLOMER";"residencial";"";"";"402";"363";"402";"389";"402";"396";"402";"409";"390";"403";"389";"402";"94";"85";"68";"65";"90";"88";"91";"92";"94";"97";"89";"92"
"Total";"HOTEL INFORM";"oficina";"";"";"51";"116";"136";"167";"211";"439";"455";"408";"378";"60";"62";"87";"47";"59";"65";"61";"70";"107";"112";"110";"105";"55";"55";"59"
"Total";"L'ESTACIÓ ESPAI JOVE";"oficina";"587";"";"23.344";"19.468";"15.856";"10.459";"4.504";"2.835";"2.753";"2.683";"2.714";"2.779";"5.522";"23.764";"2.099";"1.840";"1.660";"1.045";"728";"626";"603";"600";"582";"601";"758";"1.869"
"Total";"LOCAL PONT MAJOR 65";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"LOCAL SOCIAL GRUP SANT DANIEL";"oficina";"";"";"145";"152";"162";"142";"177";"145";"167";"258";"166";"19";"58";"121";"78";"78";"86";"81";"89";"67";"76";"100";"85";"64";"69";"79"
"Total";"LOCAL D'INCASOL CEDIT L'ÚS A L'AJUNTAMENT";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"10";"12";"6";"3";"1";"17";"17";"20";"19";"19";"18";"19";"22";"22";"22";"20";"21"
