"Entitat";"Programa";"Economica";"Descripcio";"Credits inicials";"Modificacions de credit";"Credits totals consignats"
"Fundació Auditori Palau de Congressos";"3340";"22700";"ACTIVITAT MUSICAL";"790.000,00";"-790.000,00";"0,00"
"Fundació Auditori Palau de Congressos";"3340";"22701";"HONORARIS I DESPESES PROGRAMADORS";"0,00";"32.293,35";"32.293,35"
"Fundació Auditori Palau de Congressos";"3341";"22799";"PROG. ESTABLE - COPRODUCCIONS IBERCÀMERA";"0,00";"8.809,21";"8.809,21"
"Fundació Auditori Palau de Congressos";"3341";"22709";"PROG.MUSICAL ESTABLE - ALTRES DESPESES";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"3341";"22701";"PROG.MUSICAL ESTABLE - CAIXETS";"0,00";"254.508,31";"254.508,31"
"Fundació Auditori Palau de Congressos";"3341";"22703";"PROG.MUSICAL ESTABLE - DIFUSIÓ";"0,00";"15.729,14";"15.729,14"
"Fundació Auditori Palau de Congressos";"3341";"22704";"PROG.MUSICAL ESTABLE - LLOGUERS";"0,00";"12.439,62";"12.439,62"
"Fundació Auditori Palau de Congressos";"3341";"22706";"PROG.MUSICAL ESTABLE - SERVEIS PERSONAL SALA";"0,00";"11.912,70";"11.912,70"
"Fundació Auditori Palau de Congressos";"3341";"22103";"PROG.MUSICAL ESTABLE - SERVEIS VIGILÀNCIA";"0,00";"8.848,00";"8.848,00"
"Fundació Auditori Palau de Congressos";"3341";"22702";"PROG.MUSICAL ESTABLE - TAQUILLATGE";"0,00";"51.300,65";"51.300,65"
"Fundació Auditori Palau de Congressos";"3341";"22707";"PROG.MUSICAL ESTABLE - SERVEIS TÈCNICS";"0,00";"23.845,96";"23.845,96"
"Fundació Auditori Palau de Congressos";"3341";"22705";"DIFUSIÓ PROGRAMACIÓ - INTERCANVI PUBLICITARI";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"3342";"22709";"NITS DE CLÀSSICA - ALTRES DESPESES";"0,00";"700,00";"700,00"
"Fundació Auditori Palau de Congressos";"3342";"22701";"NITS DE CLÀSSICA - CAIXETS I DESPESES ARTISTES";"0,00";"91.280,83";"91.280,83"
"Fundació Auditori Palau de Congressos";"3342";"22703";"NITS DE CLÀSSICA - DIFUSIÓ";"0,00";"12.060,50";"12.060,50"
"Fundació Auditori Palau de Congressos";"3342";"22704";"NITS DE CLASSICA - LLOGUERS";"0,00";"13.617,22";"13.617,22"
"Fundació Auditori Palau de Congressos";"3342";"22706";"NITS DE CLÀSSICA - SERVEIS PERSONAL SALA";"0,00";"3.318,23";"3.318,23"
"Fundació Auditori Palau de Congressos";"3342";"22103";"NITS DE CLÀSSICA - SERVEIS DE VIGILÀNCIA";"0,00";"747,79";"747,79"
"Fundació Auditori Palau de Congressos";"3342";"22702";"NITS DE CLÀSSICA - DRETS D'AUTOR";"0,00";"198,44";"198,44"
"Fundació Auditori Palau de Congressos";"3342";"22708";"NITS DE CLÀSSICA - DESPESES TAQUILLA";"0,00";"2.540,40";"2.540,40"
