"Codi_Carrer";"Codi_Tipus_Via";"Nexe";"Nom_carrer";"Nom_complert"
"0749";"PL";"de";"Fidel Aguilar i Marcó";"Plaça de Fidel Aguilar i Marcó"
"0750";"PL";"d'";"Isabel Vila i Pujol";"Plaça d'Isabel Vila i Pujol"
"0751";"PL";"de";"Pere Calders";"Plaça de Pere Calders"
"0752";"CR";"d'";"Enric Marquès i Ribalta";"Carrer d'Enric Marquès i Ribalta"
"0753";"PL";"de l'";"Aurora";"Plaça de l'Aurora"
"0754";"CR";"de la";"Gerundense";"Carrer de la Gerundense"
"0755";"CR";"d'";"Aiguaviva";"Carrer d'Aiguaviva"
"0756";"PL";"de";"Mela Mutermilch";"Plaça de Mela Mutermilch"
"0757";"CR";"de";"Joan Maria Pou i Camps";"Carrer de Joan Maria Pou i Camps"
"0758";"CR";"de";"Ferran Soldevila";"Carrer de Ferran Soldevila"
"0759";"CR";"de";"Pierre Vilar";"Carrer de Pierre Vilar"
"0760";"PT";"d'";"Emili Blanch i Roig";"Passatge d'Emili Blanch i Roig"
"0761";"PN";"de";"Tomás de Lorenzana";"Pont de Tomás de Lorenzana"
"0762";"CR";"de";"Mas Ramada";"Carrer de Mas Ramada"
"0763";"PT";"de";"Maria Gay i Tibau";"Passatge de Maria Gay i Tibau"
"0764";"PL";"de";"Mossèn Josep Iglésias";"Plaça de Mossèn Josep Iglésias"
"0765";"CR";"d'";"Oriol Martorell i Codina";"Carrer d'Oriol Martorell i Codina"
"0766";"PN";"de";"Sant Feliu";"Pont de Sant Feliu"
"0767";"CR";"de";"Mercè Rodoreda";"Carrer de Mercè Rodoreda"
"0768";"CR";"de";"Mossèn Ferran Forns";"Carrer de Mossèn Ferran Forns i Navarro"
"0769";"CR";"de l'";"Estudi General de Girona";"Carrer de l'Estudi General de Girona"
"0770";"CR";"de";"Joaquim Maria Masramon";"Carrer de Joaquim Maria Masramon i de Ventós"
"0771";"PL";"de";"Rafael Alberti";"Plaça de Rafael Alberti"
"0772";"PG";"de";"Ramon Berenguer II";"Passeig de Ramon Berenguer II, ""Cap d'Estopes"""
"0774";"CR";"de";"Joan Roca i Pinet";"Carrer de Joan Roca i Pinet"
"0775";"CR";"del";"Camp de Mart";"Carrer del Camp de Mart"
"0776";"CR";"de";"Just Manuel Casero";"Carrer de Just Manuel Casero i Madrid"
"0777";"PL";"de";"Rafael Casanova i Comes";"Plaça de Rafael Casanova i Comes"
"0778";"CR";"de";"Joan Coromines i Vigneaux";"Carrer de Joan Coromines i Vigneaux"
"0779";"PL";"de la";"Ciutat de Figueres";"Plaça de la Ciutat de Figueres"
"0780";"CR";"del";"Sac";"Carrer del Sac"
"0781";"PL";"de la";"Vila de Perpinyà";"Plaça de la Vila de Perpinyà"
"0782";"CR";"de";"Vitòria-Gasteiz";"Carrer de Vitòria-Gasteiz"
"0783";"PT";"de";"Francesc Pi i Margall";"Passatge de Francesc Pi i Margall"
"0784";"CR";"dels";"Germans Lumière";"Carrer dels Germans Lumière"
"0785";"CR";"d'";"Aurora Bertrana i Salazar";"Carrer d'Aurora Bertrana i Salazar"
"0786";"CR";"de";"Fructuós Gelabert";"Carrer de Fructuós Gelabert i Badiella"
"0787";"CR";"de";"Georges Méliès";"Carrer de Georges Méliès"
"0788";"RT";"de la";"Creu de Palau";"Rotonda de la Creu de Palau"
"0789";"RT";"del";"Riu Cardener";"Rotonda del Riu Cardener"
"0790";"RT";"de";"Reggio Emília";"Rotonda de Reggio Emília"
"0791";"RT";"del";"Mas Gri";"Rotonda del Mas Gri"
"0792";"RT";"de la";"Riera de Mus";"Rotonda de la Riera de Mus"
"0793";"RT";"de";"Santa Coloma de Farners";"Rotonda de Santa Coloma de Farners"
"0794";"RT";"de";"Montilivi";"Rotonda de Montilivi"
"0795";"RT";"de";"Lluís Pericot";"Rotonda de Lluís Pericot"
"0796";"RT";"de";"Fontajau";"Rotonda de Fontajau"
"0797";"RT";"de";"Taialà";"Rotonda de Taialà"
"0798";"RT";"de";"Josep Tarradellas i Joan";"Rotonda de Josep Tarradellas i Joan"
"0799";"RT";"del";"Pont de Pedret";"Rotonda del Pont de Pedret"
"0800";"RT";"del";"Rellotge";"Rotonda del Rellotge"
"0801";"RT";"de";"Domeny";"Rotonda de Domeny"
"0802";"CR";"de";"Susqueda";"Carrer de Susqueda"
"0803";"CR";"de";"Joan Salvat- Papasseit";"Carrer de Joan Salvat- Papasseit"
"0804";"CR";"de";"Joan Oliver, ""Pere Quart""";"Carrer de Joan Oliver i Sallarès, ""Pere Quart"""
"0805";"CR";"de";"Bescanó";"Carrer de Bescanó"
"0806";"CR";"de";"Ginestar";"Carrer de Ginestar"
"0807";"CR";"de";"Llorà";"Carrer de Llorà"
"0808";"CR";"de";"Canet d'Adri";"Carrer de Canet d'Adri"
"0809";"CR";"d'";"Adri";"Carrer d'Adri"
"0810";"CR";"de";"Cartellà";"Carrer de Cartellà"
"0811";"PG";"de";"Josep Carner i Puig-Oriol";"Passeig de Josep Carner i Puig-Oriol"
"0812";"CR";"de";"Lola Anglada i Sarriera";"Carrer de Lola Anglada i Sarriera"
"0813";"CR";"de";"Frederica Montseny i Mañé";"Carrer de Frederica Montseny i Mañé"
"0814";"CR";"de";"Palol d'Onyar";"Carrer de Palol d'Onyar"
"0815";"PL";"de";"Jacint Verdaguer";"Plaça de Jacint Verdaguer i Santaló"
"0816";"PL";"de";"Domènec Fita i Molat";"Plaça de Domènec Fita i Molat"
"0817";"CM";"de l'";"Escola de Montjuïc";"Camí de l'Escola de Montjuïc"
"0818";"MI";"d'";"Agustí Pera i Planells";"Mirador d'Agustí Pera i Planells"
"0819";"PT";"de la";"Vall Umbrosa";"Passatge de la Vall Umbrosa"
"0820";"PT";"dels";"Fossats";"Passatge dels Fossats"
"0821";"PT";"del";"Glacis";"Passatge del Glacis"
"0822";"PT";"de la";"Riera de Can Punxa";"Passatge de la Riera de Can Punxa"
"0823";"PT";"de la";"Muntanya de Can Simon";"Passatge de la Muntanya de Can Simon"
"0824";"PT";"del";"Puig Aulet";"Passatge del Puig Aulet"
"0825";"PT";"del";"Puig Estela";"Passatge del Puig Estela"
"0826";"CR";"de";"Manuel Cazurro i Ruiz";"Carrer de Manuel Cazurro i Ruiz"
"0827";"PL";"de";"Fra Ignasi Barnoya i Oms";"Plaça de Fra Ignasi Barnoya i Oms"
"0828";"BD";"de la";"Font del Canó";"Baixada de la Font del Canó"
"0830";"PL";"de";"Joan Brossa";"Plaça de Joan Brossa"
"0831";"CR";"d'";"Antònia Adroher i Pascual";"Carrer d'Antònia Adroher i Pascual"
"0832";"PC";"de la";"Comtessa Ermessenda";"Parc de la Comtessa Ermessenda"
"0833";"PL";"d'";"Empúries";"Plaça d'Empúries"
"0834";"CR";"de";"Salvador Dabau i Caussà";"Carrer de Salvador Dabau i Caussà"
"0835";"CR";"de";"Tomàs Carreras i Artau";"Carrer de Tomàs Carreras i Artau"
"0836";"PG";"de";"Santa Eugènia";"Passeig de Santa Eugènia"
"0837";"PT";"dels";"Picapedrers";"Passatge dels Picapedrers"
"0838";"PL";"dels";"Mercaders";"Plaça dels Mercaders"
"0840";"PL";"del";"Pallol";"Plaça del Pallol"
"0841";"DI";"de";"Sant Daniel";"Disseminat de Sant Daniel"
"0842";"CR";"de";"Joan J. Tharrats i Vidal";"Carrer de Joan Josep Tharrats i Vidal"
"0843";"RB";"de";"Tete Montoliu";"Rambla de Tete Montoliu"
"0844";"CR";"de";"Maria Àngels Anglada";"Carrer de Maria Àngels Anglada i d'Abadal"
"0845";"CR";"de";"Ramon Llull";"Carrer de Ramon Llull"
"0846";"CR";"d'";"Àngel Serradell i Pérez";"Carrer d'Àngel Serradell i Pérez"
"0847";"CR";"de";"Palau-sacosta";"Carrer de Palau-sacosta"
"0848";"CR";"de";"Josep Bosch i Puy";"Carrer de Josep Bosch i Puy, ""Piculives"""
"0849";"PA";"de";"Pere Sacoma";"Placeta de Pere Sacoma"
"0850";"RT";"de la";"Devesa";"Rotonda de la Devesa"
"0851";"CR";"de";"Pau Vila i Dinarès";"Carrer de Pau Vila i Dinarès"
"0852";"CR";"d'";"Antoni Gaudí i Cornet";"Carrer d'Antoni Gaudí i Cornet"
"0853";"CR";"de";"Joan Viñas i Bona";"Carrer de Joan Viñas i Bona"
"0854";"CR";"de";"Santiago Coquard i Sala";"Carrer de Santiago Coquard i Sala"
"0855";"CR";"de";"Josep Maria Pons i Guri";"Carrer de Josep Maria Pons i Guri"
"0856";"CR";"de";"Josepa Arnall i Juan";"Carrer de Josepa Arnall i Juan"
"0857";"CR";"de";"Josep Canal i Roquet";"Carrer de Josep Canal i Roquet"
"0858";"CR";"d'";"Emília Xargay i Pagès";"Carrer d'Emília Xargay i Pagès"
"0859";"CR";"d'";"Avel·lí Artís i Gener";"Carrer d'Avel·lí Artís i Gener, ""Tísner"""
"0860";"PL";"de";"George Orwell";"Plaça de George Orwell"
"0861";"JA";"de la";"Font del Bou";"Jardins de la Font del Bou"
"0862";"CR";"de";"Can Benet del Riu";"Carrer de Can Benet del Riu"
"0863";"JA";"de";"Joan Fuster i Ortells";"Jardins de Joan Fuster i Ortells"
"0864";"JA";"d'";"Eusebi Colomer i Pous";"Jardins d'Eusebi Colomer i Pous"
"0865";"PL";"de";"Miquel Martí i Pol";"Plaça de Miquel Martí i Pol"
"0866";"PT";"del";"Riu Onyar";"Passatge del Riu Onyar"
"0867";"RT";"de";"Fornells de la Selva";"Rotonda de Fornells de la Selva"
"0868";"CR";"de";"Maria Assumpció Soler";"Carrer de Maria Assumpció Soler i Font"
"0869";"CR";"de l'";"Aurora";"Carrer de l'Aurora"
"0870";"CR";"de";"Montserrat Llonch";"Carrer de Montserrat Llonch i Gimbernat"
"0871";"CR";"de";"Maria Castanyer";"Carrer de Maria Castanyer i Figueras"
"0872";"CR";"de";"Matilde Alis i Clopés";"Carrer de Matilde Alis i Clopés"
"0873";"RT";"del";"Riu Güell";"Rotonda del Riu Güell"
"0874";"CR";"del";"Poble Sahrauí";"Carrer del Poble Sahrauí"
"0875";"CR";"de";"Jaume Faixó i Fusellas";"Carrer de Jaume Faixó i Fusellas"
"0876";"CR";"de";"Carles Vivó i Siqués";"Carrer de Carles Vivó i Siqués"
"0877";"CR";"del";"8 de Març de 1908";"Carrer del 8 de Març de 1908"
"0878";"CR";"de";"Can Turon";"Carrer de Can Turon"
"0879";"PL";"de l'";"Avellaneda";"Plaça de l'Avellaneda"
"0880";"CR";"de";"Ricard Viladesau i Caner";"Carrer de Ricard Viladesau i Caner"
"0881";"PL";"de l'";"Acàcia";"Plaça de l'Acàcia"
"0882";"CM";"del";"Pla de Dalt";"Camí del Pla de Dalt"
"0883";"CM";"de";"Can Carreres";"Camí de Can Carreres"
"0884";"CR";"de";"Can Cases";"Carrer de Can Cases"
"0885";"CR";"de la";"Font de la Teula";"Carrer de la Font de la Teula"
"0886";"RT";"de la";"Carretera Antiga d'Amer";"Rotonda de la Carretera Antiga d'Amer"
"0887";"RT";"del";"Pont de la Barca";"Rotonda del Pont de la Barca"
"0888";"RT";"de";"Santa Eugènia";"Rotonda de Santa Eugènia"
"0889";"RT";"d'";"Emili Grahit";"Rotonda d'Emili Grahit"
"0890";"RT";"del";"Passeig d'Olot";"Rotonda del Passeig d'Olot"
"0891";"CR";"de";"Francesc Ferrer i Gironès";"Carrer de Francesc Ferrer i Gironès"
"0892";"PL";"de";"Celestina Vigneaux";"Plaça de Celestina Vigneaux i Cibils"
"0893";"PL";"de";"Valentí Fargnoli";"Plaça de Valentí Fargnoli"
"0894";"CR";"del";"Mas Palahí";"Carrer del Mas Palahí"
"0895";"CR";"de les";"Terreres";"Carrer de les Terreres"
"0896";"RT";"de";"Joaquim Vayreda";"Rotonda de Joaquim Vayreda"
"0897";"RT";"del";"Migdia";"Rotonda del Migdia"
"0898";"PL";"de";"Joaquim Pla i Dalmau";"Plaça de Joaquim Pla i Dalmau"
"0899";"CR";"dels";"Germans Busquets";"Carrer dels Germans Busquets"
"0900";"CR";"d'";"Antoni Barnés i Gultresa";"Carrer d'Antoni Barnés i Gultresa"
"0901";"PL";"de";"Josep Maria Puig";"Plaça de Josep Maria Puig i Salellas"
"0902";"RT";"de";"Barcelona";"Rotonda de Barcelona"
"0903";"CR";"de";"Joan Amades i Gelats";"Carrer de Joan Amades i Gelats"
"0904";"CR";"d'";"Ovidi Montllor";"Carrer d'Ovidi Montllor"
"0905";"RT";"de";"Marie Curie";"Rotonda de Marie Curie"
"0906";"CR";"de";"Marie Curie";"Carrer de Marie Curie"
"0907";"CR";"de";"Jaume Pol i Perera";"Carrer de Jaume Pol i Perera"
"0908";"CR";"de";"Francesca Bonnemaison";"Carrer de Francesca Bonnemaison i Farriols"
"0909";"CR";"de";"Can Segalars";"Carrer de Can Segalars"
"0910";"CR";"de";"Gabriel Roura i Güibas";"Carrer de Gabriel Roura i Güibas"
"0911";"PL";"de";"Manuel Vázquez Montalbán";"Plaça de Manuel Vázquez Montalbán"
"0912";"PA";"de";"Maria Laffitte Masjoan";"Placeta de Maria Laffitte Masjoan"
"0913";"CR";"de";"Roberto Bolaño Ávalos";"Carrer de Roberto Bolaño Ávalos"
"0914";"PL";"de";"Sebastià Salellas";"Plaça de Sebastià Salellas i Magret"
"0915";"JA";"de";"Vicenç Albert Ballester";"Jardins de Vicenç Albert Ballester i Camps"
"0916";"PL";"de la";"Pau";"Plaça de la Pau"
"0917";"PL";"de";"Leonor Joher Besalú";"Plaça de Leonor Joher Besalú"
"0918";"PL";"de";"Louis Braille";"Plaça de Louis Braille"
"0919";"PT";"d'";"Aristides Maillol";"Passatge d'Aristides Maillol"
"0920";"PC";"de";"Francesc Sabaté i Llopart";"Parc de Francesc Sabaté i Llopart"
"0921";"MI";"del";"Carrer de les Dones";"Mirador del Carrer de les Dones"
"0922";"MI";"de la";"Torre d'Alfons XII";"Mirador de la Torre d'Alfons XII"
"0923";"MI";"dels";"Polvorins";"Mirador dels Polvorins"
"0924";"MI";"de la";"Muntanya de la O";"Mirador de la Muntanya de la O"
"0925";"MI";"del";"Turó de Can Garcia";"Mirador del Turó de Can Garcia"
"0926";"PL";"de";"Josep Maria Lidón Corbí";"Plaça de Josep Maria Lidón Corbí"
"0927";"CR";"de";"Damià Escuder i Lladó";"Carrer de Damià Escuder i Lladó"
"0928";"CR";"de";"Lluís Maria Xirinacs";"Carrer de Lluís Maria Xirinacs i Damians"
"0929";"CR";"de";"Pere Rodeja i Ponsatí";"Carrer de Pere Rodeja i Ponsatí"
"0930";"PG";"de";"Feliu Matamala i Teixidor";"Passeig de Feliu Matamala i Teixidor"
"0931";"PC";"de";"Miquel Pairolí i Sarrà";"Parc de Miquel Pairolí i Sarrà"
"0932";"JA";"de";"Pablo García Cortés";"Jardins de Pablo García Cortés, Pablito"
"0933";"PA";"de les";"Homilies d'Organyà";"Placeta de les Homilies d'Organyà"
"0934";"RT";"del";"Tren d'Olot";"Rotonda del Tren d'Olot"
"0935";"PL";"de la";"Font";"Plaça de la Font"
"0936";"PL";"dels";"Manaies de Girona";"Plaça dels Manaies de Girona"
