"X";"Y";"Nom";"Tipus";"lon";"lat"
"485284,8";"4650559,5";"Cementiri del Pont Major";"Edificis singulars";"2,82228914";"42,00691264"
"485533,0";"4650851,3";"Magatzem Vich";"Edificis singulars";"2,82528886";"42,00954718"
"485504,1";"4650863,1";"Destil·leries Gerunda";"Edificis singulars";"2,82493835";"42,00965473"
"485552,5";"4650910,9";"Mas Els Noguers";"Edificis singulars";"2,82551687";"42,01007892"
"485567,2";"4651123,9";"Casa Regás";"Edificis singulars";"2,82569278";"42,01199760"
"485502,7";"4651152,0";"Destil·lleries Regás";"Edificis singulars";"2,82490706";"42,01225760"
"485539,1";"4651167,4";"Esglèsia de la Pietat, Pont Major";"Edificis singulars";"2,82535354";"42,01239338"
"485738,2";"4647524,8";" ";"Edificis singulars";"2,82784531";"41,97958585"
"484648,0";"4645133,3";"Can Xicu Prunell";"Edificis singulars";"2,81475054";"41,95803042"
"485451,0";"4644845,4";"Torres de Palau";"Edificis singulars";"2,82444725";"41,95545171"
"484440,1";"4644343,6";"Mas Amat";"Edificis singulars";"2,81226154";"41,95091105"
"485037,7";"4647445,9";"Casa Pla Cargol";"Edificis singulars";"2,81938569";"41,97886132"
"485284,4";"4647458,0";"Casa Coll";"Edificis singulars";"2,82236682";"41,97898306"
"485260,6";"4647527,9";"Bloc Reglá";"Edificis singulars";"2,82207539";"41,97960407"
"485102,7";"4647530,8";"Casa de Pont - Ciurana";"Edificis singulars";"2,82016813";"41,97962812"
"485096,6";"4647539,6";"Casa Sisqués";"Edificis singulars";"2,82009547";"41,97970906"
"485239,0";"4647542,5";"Bloc Pérez Xifra";"Edificis singulars";"2,82182153";"41,97973878"
"484984,0";"4647559,5";"Bloc Sarriá";"Edificis singulars";"2,81874303";"41,97988707"
"485168,2";"4647598,1";"Clínica Muñoz";"Edificis singulars";"2,82096308";"41,98024182"
"484921,4";"4647593,1";"Bloc La Caixa de Pensions";"Edificis singulars";"2,81798169";"41,98019209"
"484737,2";"4647645,4";"Estació del tren d'Olot";"Edificis singulars";"2,81575929";"41,98065690"
"484693,9";"4647640,5";"Casa Teixidor o de La Punxa";"Edificis singulars";"2,81522830";"41,98061101"
"485014,2";"4647690,0";"Casa Colomer";"Edificis singulars";"2,81910182";"41,98106751"
"485231,9";"4647666,9";"Hospital de Santa Caterina";"Edificis singulars";"2,82172185";"41,98085545"
"485064,2";"4647697,5";"Bloc Riera Perpinyá";"Edificis singulars";"2,81970519";"41,98113151"
"485083,5";"4647713,4";"Bloc Bech de Careda";"Edificis singulars";"2,81993414";"41,98127598"
"485079,6";"4647744,4";"Casa Gispert-Saüch";"Edificis singulars";"2,81988507";"41,98155511"
"484773,3";"4647733,9";"Farinera Teixidor";"Edificis singulars";"2,81619157";"41,98145018"
"485934,6";"4647751,6";"Torre de defensa Alfons XII";"Edificis singulars";"2,83020576";"41,98163388"
"485032,9";"4647754,0";"Antic Banc d'Espanya";"Edificis singulars";"2,81931747";"41,98164428"
"485040,7";"4647769,5";"Bloc Rigau";"Edificis singulars";"2,81941365";"41,98177953"
"485041,9";"4647779,7";"Bloc Bosch";"Edificis singulars";"2,81942547";"41,98186962"
"484984,6";"4647789,3";"Bloc Casellas - Fábregas";"Edificis singulars";"2,81873715";"41,98195860"
"485661,9";"4647826,5";"Casa Unal";"Edificis singulars";"2,82690849";"41,98230446"
"485678,4";"4647864,7";"Casa de la Punxa";"Edificis singulars";"2,82711278";"41,98264702"
"485040,8";"4647871,3";"Casa Coromines";"Edificis singulars";"2,81941106";"41,98269821"
"485156,0";"4647877,7";"Bloc Arnau";"Edificis singulars";"2,82081119";"41,98275445"
"485020,1";"4647871,4";"Banc Hispano-Americano";"Edificis singulars";"2,81916963";"41,98269783"
"484909,6";"4647907,8";"Casa Blanch";"Edificis singulars";"2,81782878";"41,98301995"
"484756,1";"4647912,7";"Cases Escatllar";"Edificis singulars";"2,81598172";"41,98306204"
"485039,2";"4647949,4";"Bloc Sala";"Edificis singulars";"2,81939700";"41,98340071"
"485040,8";"4647966,5";"Bloc Bosch";"Edificis singulars";"2,81940864";"41,98355384"
"485322,3";"4647973,8";"Casa de la moneda";"Edificis singulars";"2,82281264";"41,98362219"
"485282,6";"4647969,9";"Torre de les Agües";"Edificis singulars";"2,82232988";"41,98358542"
"485294,0";"4648006,3";"Esglèsia de Santa Susanna";"Edificis singulars";"2,82247382";"41,98391889"
"485080,3";"4648033,3";"Taller Reiner";"Edificis singulars";"2,81988980";"41,98415805"
"483963,6";"4644258,0";"Estanc de l'Avellaneda";"Edificis singulars";"2,80650866";"41,95013593"
"483926,8";"4644958,3";"Can Montiel - Torre Bonica";"Edificis singulars";"2,80604313";"41,95643986"
"484384,5";"4644983,5";"La Pabordia";"Edificis singulars";"2,81156890";"41,95667423"
"485269,7";"4645012,1";"Esglesia de Sant Miquel de la Creu de Palau";"Edificis singulars";"2,82224701";"41,95695245"
"484975,4";"4645053,6";"Can Prunell (rest. Mas de la Creu)";"Edificis singulars";"2,81869840";"41,95731618"
"485268,9";"4650305,4";"Canal d'en Cases";"Hidrologia";"2,82210230";"42,00462466"
"486765,5";"4653131,7";"Canal de Sant Jordi";"Hidrologia";"2,84011566";"42,03010391"
"489504,2";"4646544,1";"El Celrè";"Hidrologia";"2,87332156";"41,97081846"
"486127,2";"4648488,9";"El Galligants";"Hidrologia";"2,83251811";"41,98827521"
"484109,3";"4646260,3";"El Güell";"Hidrologia";"2,80821613";"41,96817026"
"484929,4";"4650516,0";"El Ter";"Hidrologia";"2,81800328";"42,00651863"
"486448,1";"4646385,0";"L'Onyar";"Hidrologia";"2,83644184";"41,96933978"
"484169,7";"4649123,1";"Riera Bullidors";"Hidrologia";"2,80886315";"41,99395750"
"487945,4";"4649167,7";"Riera de ca la Seca";"Hidrologia";"2,85445192";"41,99442065"
"487312,7";"4649947,8";"Riera de Campdorà";"Hidrologia";"2,84679246";"42,00143588"
"486257,9";"4650303,4";"Riera de Can Camaret";"Hidrologia";"2,83404506";"42,00462453"
"487311,7";"4648383,6";"Riera de can Llinàs";"Hidrologia";"2,84681417";"41,98734947"
"483580,6";"4649834,1";"Riera de can Murtra";"Hidrologia";"2,80173197";"42,00034914"
"486023,1";"4649999,7";"Riera de can Punxa";"Hidrologia";"2,83122662";"42,00188240"
"487764,9";"4647962,9";"Riera de can Valls";"Hidrologia";"2,85229169";"41,98356483"
"489328,0";"4647142,3";"Riera de la Font d'en Lliure";"Hidrologia";"2,87118653";"41,97620210"
"488195,1";"4646425,3";"Riera de la Teula";"Hidrologia";"2,85752539";"41,96972815"
"487671,6";"4647697,2";"Riera de la Torre";"Hidrologia";"2,85117459";"41,98117662"
"490543,0";"4647356,1";"Riera de la Vall Preona";"Hidrologia";"2,88584839";"41,97814505"
"487502,2";"4651277,5";"Riera de les Mines";"Hidrologia";"2,84905839";"42,01341773"
"487789,3";"4649401,7";"Riera de Sant Miquel";"Hidrologia";"2,85256357";"41,99652580"
"486233,1";"4648674,0";"Riera de Santa Margarida";"Hidrologia";"2,83379343";"41,98995230"
"486753,0";"4648043,4";"Riera del Polvorí";"Hidrologia";"2,84008550";"41,98427802"
"485486,6";"4646531,7";"Riera Gurnau";"Hidrologia";"2,82482798";"41,97063763"
"483548,7";"4645836,4";"Riera Marroc";"Hidrologia";"2,80145748";"41,96433992"
"490086,1";"4648238,6";"Riera Palagret";"Hidrologia";"2,88031726";"41,98608332"
"488773,6";"4648698,1";"Torrent d'en Boix";"Hidrologia";"2,86445785";"41,99020876"
"489777,1";"4648635,6";"Torrent d'en Minguet";"Hidrologia";"2,87658008";"41,98965502"
"491235,4";"4647968,2";"Torrent d'en Palet";"Hidrologia";"2,89419210";"41,98366514"
"490866,7";"4648036,5";"Torrent de Batet";"Hidrologia";"2,88973662";"41,98427340"
"487630,0";"4649980,3";"Torrent de can Bernat";"Hidrologia";"2,85063161";"42,00173816"
"489384,2";"4647937,4";"Torrent de Can Castelló";"Hidrologia";"2,87184811";"41,98336316"
"488348,2";"4649986,9";"Torrent de can Figueres";"Hidrologia";"2,85930135";"42,00180315"
"488818,7";"4647048,3";"Torrent de can Pol";"Hidrologia";"2,86503252";"41,97534840"
"488174,8";"4647971,0";"Torrent de can Salgueda";"Hidrologia";"2,85724085";"41,98365216"
"488409,7";"4648245,2";"Torrent de can Sans";"Hidrologia";"2,86007227";"41,98612347"
"488067,8";"4649738,9";"Torrent de can Sistac";"Hidrologia";"2,85591330";"41,99956530"
