"Codi";"Nom";"Tipus";"Adreça";"Web";"utm_x_etrs89";"utm_y_etrs89";"lon";"lat";""
"PE1";"Pista esportiva Col·legi Campdorà";"PISTA ESPORTIVA";"Disseminat de Campdorà, 57A";"http://www.girona.cat/visorgis/esports/index.html";"486.553,68";"4.652.432,67";"2,83757064";"42,02380471"
"PE10";"Pista esportiva Grup Sant Daniel";"PISTA ESPORTIVA";"C. Hortènsia, 16";"http://www.girona.cat/visorgis/esports/index.html";"486.654,92";"4.646.819,79";"2,83891818";"41,97325219"
"PE11";"Pista esportiva Torre Gironella";"PISTA ESPORTIVA";"C. Les Creus, 14";"http://www.girona.cat/visorgis/esports/index.html";"486.102,28";"4.648.201,01";"2,83222308";"41,98568986"
"PE12";"Pista esportiva Girona 2";"PISTA ESPORTIVA";"C. Vitòria-Gasteiz, 13";"http://www.girona.cat/visorgis/esports/index.html";"484.460,87";"4.645.438,24";"2,81247394";"41,96077377"
"PE13";"Pista esportiva Jocs Olímpics";"PISTA ESPORTIVA";"C. Jocs Olímpics de Barcelona, 41";"http://www.girona.cat/visorgis/esports/index.html";"485.219,45";"4.645.117,85";"2,82164105";"41,95789722"
"PE14";"Pista esportiva Can Gibert";"PISTA ESPORTIVA";"C. Enric Marquès Ribalta, 4B";"http://www.girona.cat/visorgis/esports/index.html";"483.819,01";"4.646.621,61";"2,80470629";"41,97141577"
"PE15";"Pista esportiva Balears";"PISTA ESPORTIVA";"C. Balears, 8";"http://www.girona.cat/visorgis/esports/index.html";"484.099,46";"4.644.241,97";"2,80814999";"41,94998557"
"PE16";"Pista esportiva Església de Domeny";"PISTA ESPORTIVA";"C. Sant Gregori, 198";"http://www.girona.cat/visorgis/esports/index.html";"483.222,24";"4.648.808,08";"2,79743853";"41,99110081"
"PE17";"Pista esportiva Parc del Migdia";"PISTA ESPORTIVA";"C. Saragossa, 25";"http://www.girona.cat/visorgis/esports/index.html";"484.957,43";"4.646.596,70";"2,81844175";"41,97121314"
"PE18";"Pista esportiva Carme";"PISTA ESPORTIVA";"Jardins de Pablo García, 1";"http://www.girona.cat/visorgis/esports/index.html";"485.434,67";"4.647.123,35";"2,82418572";"41,97596861"
