"Orgànica";"Econòmica";"Descripció";"Previsions inicials";"Augments de previsions inicials";"Disminució de previsions inicials";"Total Modificacions";"Previsions totals";"Compromisos concertats";"Compromisos realitzats";"Compromisos pendents de realització";"Drets reconeguts totals";"% de realització del pressupost";"Drets anul·lats";"Drets reconeguts nets";"Drets recaptats";"Recaptació líquida"
"510";"34101";"SERVEIS ASSISTENCIALS. MENJADORS";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"24.236,00";"0,00";"0,00";"24.236,00";"24.236,00";"24.236,00"
"510";"34100";"EQUIP PROMOCIÓ DE LA SALUT";"0,00";"1.888,45";"0,00";"1.888,45";"1.888,45";"0,00";"0,00";"0,00";"2.719,50";"144,01";"0,00";"2.719,50";"2.719,50";"2.719,50"
"510";"39193";"SANCIONS HABITATGES DESOCUPATS";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"510";"45060";"TRANSF GENERALITAT CONSULTORIS";"20.000,00";"0,00";"0,00";"0,00";"20.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"510";"46110";"TRANSF. ENS LOCALS - SALUT";"0,00";"95.062,20";"0,00";"95.062,20";"95.062,20";"0,00";"0,00";"0,00";"109.062,20";"114,73";"0,00";"109.062,20";"109.062,20";"109.062,20"
"511";"46110";"TRANSF. ENS LOCALS - PREVENCIÓ";"0,00";"14.000,00";"0,00";"14.000,00";"14.000,00";"0,00";"0,00";"0,00";"14.000,00";"100,00";"0,00";"14.000,00";"14.000,00";"14.000,00"
"513";"34400";"CENTRES CÍVICS";"0,00";"428,11";"0,00";"428,11";"428,11";"0,00";"0,00";"0,00";"562,03";"81,87";"211,50";"350,53";"562,03";"350,53"
"513";"36000";"ACCÉS A L'ASCENSOR DE ST. DANIEL";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"84,00";"0,00";"0,00";"84,00";"84,00";"84,00"
"601";"45050";"TRANSFER.GENERALITAT-OCUPACIÓ";"0,00";"1.851.249,11";"0,00";"1.851.249,11";"1.851.249,11";"0,00";"0,00";"0,00";"1.851.249,11";"100,00";"0,00";"1.851.249,11";"1.266.875,79";"1.266.875,79"
"601";"38903";"REINTEGRAMENTS SERVEI MUNICIPAL D'OCUPACIÓ";"0,00";"8.626,45";"0,00";"8.626,45";"8.626,45";"0,00";"0,00";"0,00";"8.626,45";"100,00";"0,00";"8.626,45";"8.626,45";"8.626,45"
"601";"46110";"ENTITATS LOCALS - OCUPACIÓ";"0,00";"136.049,54";"0,00";"136.049,54";"136.049,54";"0,00";"0,00";"0,00";"136.049,54";"100,00";"0,00";"136.049,54";"92.808,54";"92.808,54"
"601";"46201";"TRANSF. ALTRES ENTITATS. SERVEI D'OCUPACIÓ";"0,00";"9.100,97";"0,00";"9.100,97";"9.100,97";"0,00";"0,00";"0,00";"9.100,97";"100,00";"0,00";"9.100,97";"4.520,54";"4.520,54"
"602";"45050";"TRANSF. GENERALITAT - EMPRESA";"0,00";"22.196,48";"0,00";"22.196,48";"22.196,48";"0,00";"0,00";"0,00";"22.196,48";"100,00";"0,00";"22.196,48";"0,00";"0,00"
"603";"33902";"MERCAT D'ABASTAMENTS";"410.000,00";"0,00";"0,00";"0,00";"410.000,00";"0,00";"0,00";"0,00";"415.496,56";"101,34";"0,00";"415.496,56";"415.496,56";"415.496,56"
"603";"33900";"OCUPACIÓ AMBULANTS";"240.000,00";"0,00";"0,00";"0,00";"240.000,00";"0,00";"0,00";"0,00";"236.147,91";"98,29";"247,65";"235.900,26";"156.576,51";"156.357,06"
"603";"33903";"MERCAT AMBULANT CAN GIBERT DEL PLA";"25.000,00";"0,00";"0,00";"0,00";"25.000,00";"0,00";"0,00";"0,00";"20.602,80";"82,41";"0,00";"20.602,80";"11.727,30";"11.727,30"
"603";"33901";"MERCAT MAJORISTES";"373.000,00";"0,00";"0,00";"0,00";"373.000,00";"0,00";"0,00";"0,00";"385.872,01";"103,45";"0,00";"385.872,01";"385.872,01";"385.872,01"
"603";"46100";"TRANSFER. DIPUTACIÓ - DINAMITZACIÓ COMERCIAL";"0,00";"1.000,00";"0,00";"1.000,00";"1.000,00";"0,00";"0,00";"0,00";"1.000,00";"100,00";"0,00";"1.000,00";"1.000,00";"1.000,00"
"700";"32900";"SERVEIS POLICIA MUNICIPAL";"21.000,00";"59.900,00";"0,00";"59.900,00";"80.900,00";"0,00";"0,00";"0,00";"83.402,43";"103,09";"0,00";"83.402,43";"83.190,18";"83.190,18"
"700";"39192";"SANCIONS POLICIA MUNICIPAL";"0,00";"53.802,00";"0,00";"53.802,00";"53.802,00";"0,00";"0,00";"0,00";"157.921,50";"289,15";"2.353,95";"155.567,55";"78.311,65";"78.311,65"
"700";"45060";"TRANSFER. GENERALITAT - SEGURETAT";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"126,00";"0,00";"0,00";"126,00";"126,00";"126,00"
"700";"48300";"TRANS. DE PARTICULARS - POLICIA MUNICIPAL";"0,00";"150,00";"0,00";"150,00";"150,00";"0,00";"0,00";"0,00";"210,00";"139,98";"0,00";"210,00";"210,00";"210,00"
"710";"33100";"ENTRADES DE VEHICLES";"750.000,00";"0,00";"0,00";"0,00";"750.000,00";"0,00";"0,00";"0,00";"749.424,07";"98,34";"11.844,00";"737.580,07";"694.571,35";"691.634,66"
"710";"32600";"SERVEI GRUA";"400.000,00";"0,00";"0,00";"0,00";"400.000,00";"0,00";"0,00";"0,00";"387.951,60";"96,16";"3.299,66";"384.651,94";"385.872,00";"382.697,49"
"710";"39120";"MULTES";"2.100.000,00";"0,00";"0,00";"0,00";"2.100.000,00";"0,00";"0,00";"0,00";"3.383.661,06";"159,40";"35.308,77";"3.347.462,29";"1.664.632,17";"1.641.450,08"
"710";"33900";"OCUPACIÓ VIA PÚBLICA";"550.000,00";"0,00";"0,00";"0,00";"550.000,00";"0,00";"0,00";"0,00";"665.497,23";"117,80";"17.574,22";"647.923,01";"510.949,07";"503.581,70"
"710";"33901";"RÈTOLS VIA PÚBLICA";"70.000,00";"0,00";"0,00";"0,00";"70.000,00";"0,00";"0,00";"0,00";"54.505,49";"75,52";"1.644,64";"52.860,85";"43.234,69";"42.562,85"
"710";"33000";"ESTACIONAMENT ZONA HORÀRIA";"2.200.000,00";"0,00";"0,00";"0,00";"2.200.000,00";"0,00";"0,00";"0,00";"2.289.510,73";"104,07";"13,00";"2.289.497,73";"2.289.510,73";"2.289.497,73"
"710";"32900";"LLICÈNCIES TAXIS";"10.000,00";"0,00";"0,00";"0,00";"10.000,00";"0,00";"0,00";"0,00";"6.801,15";"67,88";"13,35";"6.787,80";"6.315,15";"6.315,15"
"710";"32500";"EXPEDICIÓ DOCUMENTS VIA PÚBLICA";"25.000,00";"0,00";"0,00";"0,00";"25.000,00";"0,00";"0,00";"0,00";"32.090,54";"127,73";"157,27";"31.933,27";"26.591,62";"26.591,62"
"710";"38902";"REINT. OBRES/INSTAL. PARTICULARS";"0,00";"23.645,12";"0,00";"23.645,12";"23.645,12";"0,00";"0,00";"0,00";"46.125,62";"195,07";"0,00";"46.125,62";"26.028,06";"26.028,06"
"710";"39121";"SANCIONS MOBILITAT";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"75.382,99";"0,00";"1.502,00";"72.927,99";"22.127,69";"22.127,69"
"710";"42090";"SUBVENCIÓ TRANSPORT PÚBLIC";"170.000,00";"28.449,07";"0,00";"28.449,07";"198.449,07";"0,00";"0,00";"0,00";"198.449,07";"100,00";"0,00";"198.449,07";"198.449,07";"198.449,07"
"710";"42091";"TRANSFER.ESTAT - MOBILITAT";"0,00";"30.000,00";"0,00";"30.000,00";"30.000,00";"0,00";"0,00";"0,00";"30.000,00";"100,00";"0,00";"30.000,00";"30.000,00";"30.000,00"
"710";"45080";"TRANSFER GENERALITAT MOBILITAT";"0,00";"50.000,00";"0,00";"50.000,00";"50.000,00";"0,00";"0,00";"0,00";"53.750,00";"107,50";"0,00";"53.750,00";"53.750,00";"53.750,00"
"710";"55000";"CONCESSIONS CENTRAL AUTOBUSOS";"200.000,00";"0,00";"0,00";"0,00";"200.000,00";"0,00";"0,00";"0,00";"213.704,85";"106,85";"0,00";"213.704,85";"160.814,10";"160.814,10"
