"Id_obra";"Numero_expedient";"Descripcio";"Tipus_obra";"Tipus_llicencia";"Tipus_local";"Nom_interessat";"Nom_carrer";"Numero";"Lletra";" Accessori";"Codi_edifici";"Data_resolucio";"Data_inici_obra";"Data_final_obra";"Data_caducitat";"Data_renuncia";"utm_x_etrs89";"umt_y_etrs89";"lon";"lat"
"20151611";"2015000005";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reposició d'elements alterats.";"Comunicat";"";"Habitatge";"CONSTRUCCIONS PASQUAL I PRATS, S.L.";"AGUDES, C.";"16";"";"N";"5414";"07/01/2016";"";"";"";"";"483620";"4647139";"2,80229008";"41,97607710"
"20151612";"2015000005";"OBRES INTERIOR HABITATGES: Modernització o reforma de la cuina d'un habitatge.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"AURIGA, TRV.";"8";"";"N";"106";"08/01/2016";"";"";"";"";"485508";"4647803";"2,82506215";"41,98209451"
"20160010";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"JOSEP MALUQUER I SALVADOR, C.";"17";"";"N";"1411";"08/01/2016";"";"";"";"";"485202";"4647226";"2,82138286";"41,97689198"
"20160011";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"MAÇANA, C.";"77";"";"N";"5428";"08/01/2016";"";"";"";"";"483594";"4647058";"2,80197852";"41,97534702"
"20160014";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"RIU GUELL, C.";"1";"A";"N";"3986";"08/01/2016";"";"";"";"";"485093";"4648211";"2,82004222";"41,98576148"
"20160015";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reparació canals, baixants o similars.";"Comunicat";"";"Habitatge";"LLOGUERS REVUELTA S.L.";"INDEPENDENCIA, PL.";"12";"";"N";"11152";"11/01/2016";"";"";"";"";"485412";"4648246";"2,82389231";"41,98608268"
"20160018";"2016000007";"REPARACIÓ PARCIAL DE COBERTES: Neteja i substitució de teules trencades.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"NARCIS XIFRA I MASMITJA, C.";"11";"";"N";"4558";"08/01/2016";"";"";"";"";"484472";"4646993";"2,81257770";"41,97477938"
"20160019";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"BARCA, C.";"2";"";"N";"6071";"08/01/2016";"";"";"";"";"485455";"4648494";"2,82440527";"41,98831712"
"20160020";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"SANT NARCIS, AV.";"16";"";"N";"5521";"08/01/2016";"";"";"";"";"484580";"4647447";"2,81386934";"41,97887052"
"20160022";"";"REPARACIÓ PUNTUAL DE BALCONS";"Comunicat";"";"";"CTAT. DE PROP. C. DE LA CREU, 20";"CREU, C.";"20";"";"N";"1458";"11/01/2016";"";"";"";"";"485251";"4647099";"2,82197749";"41,97574905"
