"Id";"dBA_dia";"dBA_nit";"Codi_Carrer";"Nom_Carrer";"Tipus_carrer";"Poblacio"
"510";"57";"46";"1";"11 DE SETEMBRE";"C.";"119"
"1";"66";"60";"2";"20 DE JUNY";"AV.";"47"
"2";"56";"46";"3";"8 DE JULIOL DE 1809";"C.";"16"
"3";"59";"50";"4";"BAIX";"C.";"57"
"623";"56";"47";"5";"ABAT ESCARRÉ";"C.";"123"
"4";"47";"39";"6";"ABEURADORS";"C.";"23"
"6";"60";"51";"8";"ENRIC ADROHER PASCUAL";"C.";"51"
"7c";"69";"58";"9";"AGUDES";"C.";"316"
"7b";"70";"62";"9";"AGUDES";"C.";"411"
"7a";"70";"62";"9";"AGUDES";"C.";"118"
"624";"56";"47";"10";"JOSEP AGUILERA MARTÍ";"C.";"34"
"8";"59";"57";"11";"AGUSTÍ RIERA PAU DR.";"C.";"17"
"625";"64";"59";"12";"ALACANT";"C.";"13"
"511";"65";"54";"13";"ALBACETE";"C.";"50"
"9";"52";"44";"14";"ALBEREDA";"C.";"36"
"10";"58";"50";"15";"ALBÍ";"C.";"90"
"11";"53";"43";"16";"ALEMANYS";"C.";"22"
"12";"61";"53";"17";"VALENTÍ ALMIRALL";"C.";"142"
"13";"55";"45";"18";"ALMOGÀVERS";"C.";"14"
"512";"62";"53";"19";"ALPS";"C.";"20"
"513";"70";"60";"21";"ÁLVAREZ DE CASTRO";"C.";"16"
"727";"70";"60";"21";"ÁLVAREZ DE CASTRO";"C.";"16"
"14";"55";"45";"22";"ANDALUSIA";"C.";"18"
"15";"55";"45";"23";"ANDALUSIA";"PL.";"9"
"728";"65";"56";"24";"A. TUYET SANTAMARIA";"C.";"348"
"16";"57";"48";"26";"ANETO";"PL.";"44"
"514";"59";"50";"26";"ANETO";"PL.";"44"
"626";"54";"45";"27";"ÀNGEL";"C.";"26"
"627";"51";"43";"28";"ÀNGELA BIVERN";"C.";"44"
"729";"65";"54";"29";"ANSELM CLAVÉ";"C.";"80"
"515";"65";"56";"30";"ANTIC ROCA DR.";"C.";"169"
"17";"61";"52";"31";"ANTIGA D'AMER";"CTRA.";"3"
