nom_cientific;nom;mida_tronc;mida_escocell;x;y
Celtis australis;Lledoner;20-50;Sense escocell;485614,3;4651253,3
Celtis australis;Lledoner;20-50;Sense escocell;485607,4;4651254,6
Celtis australis;Lledoner;20-50;Sense escocell;485621,2;4651251,5
Celtis australis;Lledoner;80-120;90;485317,9;4647155,8
Celtis australis;Lledoner;80-120;90;485318,9;4647159,9
Celtis australis;Lledoner;50-80;90;485320;4647165,2
Celtis australis;Lledoner;80-120;90;485321;4647169,5
Ginkgo biloba;Ginkgo;20-50;90;485212,3;4647081,5
Magnolia grandiflora;Magnolia;50-80;90;485010,2;4647428,8
Cycas revoluta;Cica;20-50;Sense escocell;485175,5;4648291,9
Cycas revoluta;Cica;20-50;Sense escocell;485173,3;4648292,2
Cycas revoluta;Cica;20-50;Sense escocell;485173,9;4648294
Cycas revoluta;Cica;20-50;Sense escocell;485171,6;4648293,2
Cycas revoluta;Cica;20-50;Sense escocell;485171,9;4648294,7
Tilia platyphyllos;Tell de fulla gran;50-80;-40;485161,3;4648268,7
Tilia platyphyllos;Tell de fulla gran;50-80;-40;485167;4648270,6
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485101,4;4648169,7
Liquidambar styraciflua;Liqidambar;20-50;90;485031,4;4647829,6
Liquidambar styraciflua;Liqidambar;20-50;90;485037,1;4647833
Liquidambar styraciflua;Liqidambar;20-50;90;485043,6;4647835,8
Liquidambar styraciflua;Liqidambar;20-50;90;485018,1;4647750,8
Liquidambar styraciflua;Liqidambar;20-50;90;485041,4;4647830,9
Liquidambar styraciflua;Liqidambar;20-50;90;485040,1;4647824,8
Liquidambar styraciflua;Liqidambar;20-50;90;485037,8;4647818,3
Liquidambar styraciflua;Liqidambar;20-50;90;485019,8;4647757,5
Liquidambar styraciflua;Liqidambar;20-50;90;485035,7;4647811,8
Liquidambar styraciflua;Liqidambar;20-50;90;485034,4;4647806,9
Liquidambar styraciflua;Liqidambar;20-50;90;485032,7;4647800,8
Liquidambar styraciflua;Liqidambar;20-50;90;485031;4647794,6
Liquidambar styraciflua;Liqidambar;20-50;90;485028,6;4647788
Liquidambar styraciflua;Liqidambar;20-50;90;485026,7;4647781,6
Liquidambar styraciflua;Liqidambar;20-50;90;485025;4647776,3
Liquidambar styraciflua;Liqidambar;20-50;90;485022,8;4647770,3
Liquidambar styraciflua;Liqidambar;20-50;90;485021,2;4647764,7
Melia azedarach;Melia;50-80;90;485073;4647677,1
Ilex aquifolium;Boix grèvol;20-50;Sense escocell;485189,9;4648384
Tilia platyphyllos;Tell de fulla gran;50-80;Sense escocell;485582,1;4649068
Tilia platyphyllos;Tell de fulla gran;50-80;Sense escocell;485581,5;4649071,5
Tilia platyphyllos;Tell de fulla gran;20-50;Sense escocell;485575,4;4649102,3
Fraxinus angustifolia;Freixa de fulla petita;20-50;40-90;484575,6;4647507
Fraxinus angustifolia;Freixa de fulla petita;20-50;40-90;484570;4647517,4
Olea europaea;Olivera;20-50;Sense escocell;485220,2;4647831,8
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485222;4647830,4
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485224,3;4647830,5
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485227,9;4647831,5
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485229,4;4647832,3
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485205,1;4647832,6
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485206,2;4647830
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485203,7;4647828,7
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485201,7;4647830,3
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485201,4;4647831,3
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485392,6;4648079,4
Cercis siliquastrum;Arbre de l'amor;50-80;40-90;485387,6;4648083
Cercis siliquastrum;Arbre de l'amor;50-80;40-90;485383,5;4648083,6
Cercis siliquastrum;Arbre de l'amor;50-80;40-90;485379,3;4648083,7
Cercis siliquastrum;Arbre de l'amor;20-50;40-90;485389,3;4648088,8
Cercis siliquastrum;Arbre de l'amor;50-80;40-90;485385,1;4648089,8
Cercis siliquastrum;Arbre de l'amor;50-80;40-90;485380,4;4648090,2
Abies alba;Avet; ; ;485158,8;4648385,4
Abies alba;Avet; ; ;485178,8;4648388
 ; ; ;Sense escocell;485177,9;4648367
Aesculus hippocastanum;Castanyer d'índies;80-120;90;485223,2;4648126
Pinus nigra;Pinassa;20-50;Sense escocell;485149,5;4648413,7
Yucca sp;Iuca;20-50;Sense escocell;485163,4;4648407,1
Yucca sp;Iuca;20-50;Sense escocell;485173,9;4648409,5
Citrus sinensis;Taronger dolç;20-50;Sense escocell;485176,6;4648402,9
Citrus sinensis;Taronger dolç;20-50;Sense escocell;485175,9;4648405,2
Olea europea;Olivera;20-50;Sense escocell;485179,3;4648401
Butia capitata;Butia;80-120;Sense escocell;485177,2;4648370,8
Butia capitata;Butia;80-120;Sense escocell;485168,7;4648382,5
Abies alba;Avet;20-50;Sense escocell;485155,6;4648366,3
Abies alba;Avet;20-50;Sense escocell;485156,6;4648365,8
Abies alba;Avet;20-50;Sense escocell;485155,6;4648365,2
Cercis siliquastrum;Arbre de l'amor;20-50;Sense escocell;485160,6;4648365,4
Abies alba;Avet;50-80;Sense escocell;485160,5;4648371,9
Abies alba;Avet;20-50;Sense escocell;485155,4;4648374,7
Abies alba;Avet; ; ;485139,4;4648365,5
Abies alba;Avet;20-50;Sense escocell;485171,9;4648354,8
Abies alba;Avet;80-120;Sense escocell;485158,2;4648356
Abies alba;Avet;20-50;Sense escocell;485155,3;4648341,4
Abies alba;Avet;20-50;Sense escocell;485147,8;4648343,9
Abies alba;Avet;50-80;Sense escocell;485144,9;4648355,9
 ; ;20-50;Sense escocell;485135,8;4648351,5
Abies alba;Avet;20-50;Sense escocell;485107,8;4648356,3
Abies alba;Avet;20-50;Sense escocell;485104,3;4648355,1
Abies alba;Avet;20-50;Sense escocell;485105,6;4648357,3
Abies alba;Avet;20-50;Sense escocell;485106,3;4648359,4
Abies alba;Avet;20-50;Sense escocell;485103;4648358,3
Abies alba;Avet;20-50;Sense escocell;485102;4648353,6
Abies alba;Avet;20-50;Sense escocell;485100,9;4648356,3
Abies alba;Avet;20-50;Sense escocell;485105,9;4648361,2
Abies alba;Avet;20-50;Sense escocell;485102,4;4648360,5
Abies alba;Avet;20-50;Sense escocell;485110,2;4648355,2
Ilex aquifolium;Boix grèvol;20-50;Sense escocell;485101,8;4648330,3
 ; ;20-50;Sense escocell;485111,1;4648337,9
Abies alba;Avet;20-50;Sense escocell;485028,3;4648352,8
 ; ;20-50;Sense escocell;485044;4648317,2
Abies alba;Avet;20-50;Sense escocell;485037,7;4648320,4
Abies alba;Avet;20-50;Sense escocell;485034,8;4648305,9
Abies alba;Avet;20-50;Sense escocell;485023,5;4648339
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485012,4;4648357,9
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485014,4;4648354,9
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485015,6;4648354,8
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;485015,5;4648353,3
Laurus nobilis;Llorer;20-50;Sense escocell;485013;4648373,8
Schinus molle;Fals pebrer;20-50;Sense escocell;484998,1;4648369
Robinia pseudoacacia;Falsa acàcia;20-50;Sense escocell;484994,1;4648328
Abies alba;Avet;20-50;Sense escocell;485008;4648297,3
Trachycarpus fortunei;Palmera excelsa;20-50;Sense escocell;484993,9;4648296
Abies alba;Avet;80-120;Sense escocell;484986;4648304,2
Abies alba;Avet;20-50;Sense escocell;484990,7;4648313,7
Abies alba;Avet;20-50;Sense escocell;484993,1;4648315,7
Abies alba;Avet;20-50;Sense escocell;484970,4;4648356,2
Abies alba;Avet;20-50;Sense escocell;484972,2;4648350,9
 ; ;80-120;Sense escocell;484987,6;4648362
Gleditsia triacanthos elegantissima;Gleditsia sense espines;80-120;40-90;484184,1;4644276,8
Gleditsia triacanthos elegantissima;Gleditsia sense espines;80-120;40-90;484181,9;4644276,7
Gleditsia triacanthos elegantissima;Gleditsia sense espines;80-120;40-90;484178,9;4644276,8
Gleditsia triacanthos elegantissima;Gleditsia sense espines;80-120;40-90;484175,9;4644276,9
Gleditsia triacanthos elegantissima;Gleditsia sense espines;80-120;40-90;484173;4644276,9
Gleditsia triacanthos elegantissima;Gleditsia sense espines;80-120;40-90;484168,9;4644277
Gleditsia triacanthos elegantissima;Gleditsia sense espines;80-120;40-90;484165,1;4644277,3
Gleditsia triacanthos elegantissima;Gleditsia sense espines;80-120;40-90;484160,1;4644277,7
Gleditsia triacanthos elegantissima;Gleditsia sense espines;80-120;40-90;484154,5;4644277,8
Gleditsia triacanthos elegantissima;Gleditsia sense espines;80-120;40-90;484149,4;4644277,9
Gleditsia triacanthos elegantissima;Gleditsia sense espines;80-120;40-90;484144,7;4644278
Gleditsia triacanthos elegantissima;Gleditsia sense espines;80-120;40-90;484139,8;4644278
Gleditsia triacanthos elegantissima;Gleditsia sense espines;80-120;40-90;484134,7;4644278,2
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484130,6;4644278,4
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484126,3;4644278,4
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484121,6;4644278,6
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484116,6;4644278,9
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484111,9;4644278,9
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484106,7;4644279,2
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484102,2;4644279,4
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484097,4;4644279,3
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484093,1;4644279,4
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484088,5;4644279,5
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484079,6;4644280,2
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484075,7;4644280,4
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484071,5;4644280,4
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484067,5;4644280,4
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484063,6;4644280,5
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484059,1;4644280,6
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484054,4;4644280,8
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484049,3;4644281
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484044,7;4644281
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484039,8;4644281
Gleditsia triacanthos elegantissima;Gleditsia sense espines;50-80;40-90;484034,7;4644281,1
Quercus ilex;Alzina;20-50;Sense escocell;484463,7;4644548,1
Quercus ilex;Alzina;20-50;Sense escocell;484462,2;4644559,8
Quercus ilex;Alzina;20-50;Sense escocell;484460,8;4644569,1
Quercus ilex;Alzina;20-50;Sense escocell;484458,5;4644578,5
Quercus ilex;Alzina;20-50;Sense escocell;484456,6;4644587,8
Quercus ilex;Alzina;20-50;Sense escocell;484463,7;4644537,9
Quercus ilex;Alzina;20-50;Sense escocell;484465,3;4644526,8
Quercus ilex;Alzina;20-50;Sense escocell;484466,3;4644515,5
Quercus ilex;Alzina;20-50;Sense escocell;484466,2;4644505,5
Quercus ilex;Alzina;20-50;Sense escocell;484467,2;4644493
Quercus ilex;Alzina;20-50;Sense escocell;484467,9;4644481,2
Quercus ilex;Alzina;20-50;Sense escocell;484468,2;4644471,4
Quercus ilex;Alzina;20-50;Sense escocell;484467,8;4644461,2
Quercus ilex;Alzina;20-50;Sense escocell;484466,7;4644451
Quercus ilex;Alzina;20-50;Sense escocell;484466,2;4644439
Fraxinus angustifolia;Freixa de fulla petita;20-50;Sense escocell;484451,3;4644580,1
Fraxinus angustifolia;Freixa de fulla petita;20-50;Sense escocell;484452,7;4644570,6
Fraxinus angustifolia;Freixa de fulla petita;20-50;Sense escocell;484454;4644562,2
Fraxinus angustifolia;Freixa de fulla petita;20-50;Sense escocell;484456,9;4644517,9
