"Identificador";"Codiedif";"Id_façana";"Ldia";"Lnit";"Ltarda";"Lden";"Coord_X";"Coord_Y";" lon";"lat	"
"4035";"7173";"04817173";"55,3";"43,5";"50,5";"54,8";"485468,75530000002";"4650998,18510000035";"2,82450025";"42,01086996"
"4036";"7174";"04817174";"57,0";"45,2";"52,2";"56,5";"485468,64000000001";"4650993,53660000023";"2,82450038";"42,01082492"
"4037";"7175";"04817175";"58,3";"46,4";"53,5";"57,8";"485468,51429999998";"4650988,76730000041";"2,82450050";"42,01077989"
"4038";"7175";"02837175";"59,9";"48,3";"55,2";"59,5";"485494,68339999998";"4650980,81379999965";"2,82481469";"42,01070832"
"4039";"7199";"04157199";"57,4";"45,6";"53,1";"57,0";"485516,98930000002";"4651183,96650000010";"2,82507537";"42,01253706"
"4040";"7199";"04787199";"71,7";"60,6";"67,1";"71,4";"485560,89809999999";"4651180,32430000044";"2,82560684";"42,01251085"
"4041";"7198";"04787198";"74,1";"63,0";"69,4";"73,8";"485565,66850000003";"4651189,20849999972";"2,82566700";"42,01259200"
"4042";"7197";"04787197";"73,5";"62,4";"68,9";"73,2";"485567,59370000003";"4651196,30379999988";"2,82569098";"42,01265509"
"4043";"7195";"04787195";"74,0";"62,9";"69,3";"73,7";"485571,70630000002";"4651204,86359999981";"2,82573909";"42,01272721"
"4044";"7194";"04787194";"73,9";"62,8";"69,3";"73,6";"485572,90789999999";"4651208,10929999966";"2,82575107";"42,01276326"
"4045";"7193";"04787193";"73,8";"62,7";"69,2";"73,5";"485574,29359999998";"4651211,75889999978";"2,82577515";"42,01279031"
"4046";"7192";"04787192";"73,8";"62,7";"69,1";"73,5";"485575,87520000001";"4651215,85089999996";"2,82578713";"42,01282636"
"4047";"7191";"04787191";"73,7";"62,6";"69,1";"73,4";"485577,39230000001";"4651219,77630000003";"2,82581119";"42,01286242"
"4048";"7190";"04787190";"73,6";"62,5";"68,9";"73,3";"485578,98340000003";"4651223,92609999981";"2,82582317";"42,01289847"
"4049";"7189";"04787189";"73,5";"62,4";"68,8";"73,2";"485580,63400000002";"4651228,26300000027";"2,82584720";"42,01294354"
"4050";"7188";"04787188";"73,3";"62,3";"68,7";"73,0";"485582,75280000002";"4651233,57000000030";"2,82587123";"42,01298861"
"4051";"7187";"04787187";"73,2";"62,1";"68,6";"72,9";"485586,61989999999";"4651242,95610000007";"2,82591932";"42,01306974"
"4052";"7184";"04787184";"73,1";"62,0";"68,5";"72,8";"485590,06620000000";"4651251,11880000029";"2,82596740";"42,01315087"
"4053";"7183";"04787183";"73,1";"62,0";"68,4";"72,8";"485592,03629999998";"4651255,78419999965";"2,82599146";"42,01318693"
"4054";"7182";"04787182";"72,9";"61,8";"68,2";"72,6";"485595,49890000001";"4651263,96370000020";"2,82602749";"42,01325904"
"4055";"8478";"06538478";"54,5";"44,2";"50,3";"54,5";"485783,60950000002";"4648848,19699999969";"2,82835647";"41,99151146"
"4056";"11993";"088411993";"39,4";"31,7";"38,9";"40,8";"484092,04340000002";"4649695,88509999961";"2,80791800";"41,99910774"
"4057";"4507";"04224507";"67,6";"53,6";"62,3";"66,6";"484259,43219999998";"4646900,68109999970";"2,81000930";"41,97393753"
"4058";"7723";"07277723";"60,6";"51,3";"58,8";"61,2";"483345,90539999999";"4649234,76460000034";"2,79891143";"41,99494024"
"4059";"5928";"04315928";"60,9";"47,6";"56,0";"60,1";"485551,12819999998";"4648199,49780000001";"2,82557148";"41,98566193"
"4060";"77";"068477";"59,6";"45,6";"54,4";"58,6";"485455,89559999999";"4647869,51570000034";"2,82442074";"41,98268797"
"4061";"5935";"04315935";"60,1";"46,8";"55,2";"59,3";"485562,37709999998";"4648215,57660000026";"2,82570388";"41,98580624"
"4062";"5938";"02255938";"51,5";"38,9";"46,8";"50,8";"485522,06959999999";"4648275,43589999992";"2,82521952";"41,98634590"
"4063";"8860";"02138860";"60,0";"46,4";"55,0";"59,1";"483909,99369999999";"4646861,66239999980";"2,80578596";"41,97357921"
"4064";"76";"068476";"62,3";"48,3";"57,1";"61,3";"485449,97790000000";"4647865,60919999983";"2,82434841";"41,98265183"
"4065";"76";"001476";"60,1";"46,8";"55,4";"59,3";"485443,38929999998";"4647858,19209999964";"2,82427615";"41,98258867"
"4066";"5431";"04115431";"69,3";"55,2";"63,9";"68,3";"483657,17210000003";"4647031,76730000041";"2,80273968";"41,97510515"
"4067";"68";"042868";"61,7";"48,3";"56,8";"60,8";"485512,48849999998";"4647849,24289999995";"2,82510930";"41,98250889"
"4068";"6413";"00016413";"57,4";"44,2";"52,6";"56,6";"485864,59220000001";"4649277,42850000039";"2,82932407";"41,99537677"
"4069";"8657";"08208657";"50,8";"38,7";"46,3";"50,3";"485907,01289999997";"4649208,74110000022";"2,82984490";"41,99475608"
"4070";"6412";"00056412";"58,9";"45,8";"54,1";"58,1";"485933,71590000001";"4649257,47539999988";"2,83015764";"41,99519787"
"4071";"6431";"08256431";"57,0";"44,1";"52,5";"56,3";"485910,15919999999";"4649300,32890000008";"2,82987891";"41,99558475"
"4072";"11393";"000111393";"58,7";"45,4";"53,9";"57,9";"485855,96509999997";"4649280,14869999979";"2,82921533";"41,99540363"
"4073";"3555";"05343555";"63,5";"52,7";"58,7";"63,3";"484405,38679999998";"4645479,08449999988";"2,81180915";"41,96114196"
"4074";"3475";"05343475";"59,9";"51,9";"55,6";"60,7";"484401,58340000000";"4645470,89290000033";"2,81176112";"41,96106082"
"4075";"5938";"05805938";"40,6";"30,8";"36,0";"40,7";"485527,52130000002";"4648268,58530000038";"2,82528005";"41,98628295"
"4076";"3141";"03683141";"58,3";"45,9";"53,5";"57,7";"484919,10519999999";"4644255,07679999992";"2,81804312";"41,95012777"
"4077";"5937";"05805937";"56,7";"44,0";"52,3";"56,0";"485546,97820000001";"4648266,18630000018";"2,82550947";"41,98626528"
"4078";"5936";"05805936";"58,2";"45,2";"53,6";"57,5";"485560,77210000000";"4648265,84690000024";"2,82567851";"41,98625653"
"4079";"6937";"06937";"46,1";"38,8";"42,5";"47,3";"485804,81900000002";"4648586,45749999955";"2,82861634";"41,98915210"
"4080";"5939";"01505939";"58,2";"45,2";"53,7";"57,5";"485569,77510000003";"4648317,67659999989";"2,82578588";"41,98672504"
"4081";"3141";"06493141";"58,7";"45,9";"53,9";"58,0";"484942,19610000000";"4644278,54339999985";"2,81832003";"41,95033536"
"4082";"6619";"06619";"56,6";"44,7";"51,9";"56,1";"485823,09610000002";"4648902,70749999955";"2,82883809";"41,99199854"
"4083";"5931";"05805931";"56,7";"43,9";"52,4";"56,0";"485543,05290000001";"4648265,05960000027";"2,82547328";"41,98625622"
"4084";"6939";"06939";"48,9";"42,1";"45,5";"50,4";"485814,73719999997";"4648587,08059999999";"2,82873704";"41,98916129"
"4085";"5934";"05805934";"40,0";"30,2";"35,4";"40,1";"485558,19939999998";"4648264,08839999977";"2,82565439";"41,98624749"
"4086";"6625";"06625";"50,4";"49,2";"48,5";"55,5";"485675,58730000001";"4648920,00250000041";"2,82705083";"41,99215799"
"4087";"6077";"06077";"45,2";"38,0";"41,8";"46,5";"485763,72590000002";"4648312,62139999960";"2,82812800";"41,98668354"
"4088";"6626";"06626";"49,4";"44,9";"46,6";"52,2";"485685,91830000002";"4648915,57060000021";"2,82717168";"41,99211313"
"4089";"6940";"06940";"49,1";"42,9";"45,8";"50,9";"485824,95789999998";"4648589,08729999978";"2,82885772";"41,98917948"
"4090";"6579";"00906579";"64,5";"52,8";"59,8";"64,0";"486480,42690000002";"4649447,41430000030";"2,83675762";"41,99691872"
"4091";"2236";"03082236";"48,0";"39,1";"43,8";"48,5";"484991,95779999997";"4646392,42819999997";"2,81885731";"41,96937643"
"4092";"2236";"03862236";"71,9";"64,5";"67,9";"73,0";"484972,66060000000";"4646379,54640000034";"2,81862833";"41,96925898"
"4093";"10889";"035810889";"67,7";"56,2";"62,8";"67,3";"485043,63689999998";"4646336,26470000017";"2,81948632";"41,96887304"
"4094";"2233";"03082233";"47,6";"38,3";"43,3";"47,9";"485026,36690000002";"4646364,50659999996";"2,81928043";"41,96912491"
"4095";"2131";"05562131";"67,8";"56,0";"63,1";"67,3";"485211,35249999998";"4646504,22609999962";"2,82150965";"41,97038933"
"4096";"2134";"05562134";"67,7";"56,0";"63,0";"67,2";"485211,56189999997";"4646479,82710000034";"2,82151028";"41,97016417"
"4097";"5716";"00065716";"47,8";"37,0";"42,8";"47,5";"485437,20669999998";"4647952,48159999959";"2,82420140";"41,98343519"
"4098";"5769";"03305769";"48,3";"37,4";"43,9";"48,1";"485417,01189999998";"4647993,11510000005";"2,82395895";"41,98380409"
"4099";"5768";"03305768";"48,1";"37,2";"43,6";"47,9";"485415,57750000001";"4647988,41299999971";"2,82393493";"41,98375902"
"4100";"5716";"03305716";"50,2";"39,9";"45,9";"50,2";"485426,21500000003";"4647951,95849999972";"2,82406863";"41,98342598"
"4101";"5767";"03305767";"48,3";"37,4";"43,9";"48,1";"485413,50730000000";"4647980,46150000021";"2,82391098";"41,98368693"
"4102";"837";"0686837";"60,5";"47,1";"55,6";"59,6";"487067,24060000002";"4646533,83310000040";"2,84390923";"41,97068317"
"4103";"5766";"03305766";"48,6";"37,7";"44,2";"48,4";"485412,13189999998";"4647973,53149999958";"2,82389909";"41,98362387"
"4104";"5714";"03305714";"50,8";"40,4";"46,6";"50,7";"485424,64569999999";"4647943,94919999968";"2,82404469";"41,98335389"
"4105";"5765";"03305765";"48,9";"37,8";"44,4";"48,6";"485411,53700000001";"4647969,86390000023";"2,82388711";"41,98358782"
"4106";"5712";"08995712";"42,5";"35,3";"38,2";"43,7";"485432,26530000003";"4647925,71779999975";"2,82414171";"41,98319192"
"4107";"5763";"05763";"50,4";"40,8";"46,7";"50,7";"485396,95720000000";"4647931,29279999994";"2,82370698";"41,98324529"
"4108";"5713";"03305713";"51,4";"40,7";"47,0";"51,2";"485423,11030000000";"4647936,11220000032";"2,82403279";"41,98329082"
"4109";"5764";"03305764";"49,4";"38,3";"45,0";"49,1";"485409,64000000001";"4647957,73599999957";"2,82386327";"41,98347970"
"4110";"1655";"03581655";"73,0";"62,5";"68,3";"72,9";"484945,04040000000";"4646366,25189999957";"2,81830281";"41,96914138"
"4111";"2891";"03612891";"57,9";"45,1";"53,2";"57,2";"485318,63799999998";"4645772,08690000046";"2,82281931";"41,96379845"
"4112";"2890";"03212890";"58,0";"45,4";"53,4";"57,3";"485371,64460000000";"4645790,48330000043";"2,82345846";"41,96396155"
"4113";"7722";"07277722";"60,8";"51,4";"59,0";"61,4";"483357,68420000002";"4649275,34269999992";"2,79905515";"41,99530976"
"4114";"2890";"02890";"55,4";"43,5";"51,0";"54,9";"485353,96070000000";"4645753,37380000018";"2,82324216";"41,96362797"
"4115";"10362";"009910362";"59,6";"50,6";"55,5";"60,0";"486025,12550000002";"4652052,24000000022";"2,83120189";"42,02037300"
"4116";"10366";"009910366";"51,3";"49,7";"49,4";"56,2";"485863,60619999998";"4652229,25009999983";"2,82924090";"42,02196428"
"4117";"7721";"06247721";"66,9";"58,9";"66,9";"68,3";"483327,38559999998";"4649336,28309999965";"2,79869121";"41,99585853"
"4118";"7722";"06247722";"60,0";"51,6";"59,0";"61,1";"483354,02639999997";"4649320,10790000018";"2,79901766";"41,99571500"
"4119";"2082";"02032082";"60,5";"48,3";"56,1";"59,9";"485902,38650000002";"4646390,83040000033";"2,82985211";"41,96937524"
"4120";"10364";"009910364";"54,0";"51,7";"51,7";"58,3";"485867,74589999998";"4652110,05989999976";"2,82929209";"42,02089256"
"4121";"10365";"009910365";"51,3";"50,1";"49,6";"56,5";"485889,18119999999";"4652221,40299999993";"2,82955515";"42,02189269"
"4122";"4508";"04224508";"67,7";"53,9";"62,3";"66,7";"484277,04259999999";"4646909,97759999987";"2,81022631";"41,97401895"
"4123";"11991";"088411991";"41,6";"31,4";"38,2";"41,7";"484075,62670000002";"4649659,65149999969";"2,80771371";"41,99878315"
"4124";"7594";"01177594";"59,8";"51,1";"58,5";"60,7";"483669,77789999999";"4649240,33600000013";"2,80282314";"41,99500106"
"4125";"10093";"080510093";"61,4";"48,9";"57,5";"60,8";"483391,87079999998";"4649044,97680000030";"2,79947219";"41,99322995"
"4126";"6511";"06511";"55,9";"43,4";"51,4";"55,3";"486462,70079999999";"4649249,39099999983";"2,83654485";"41,99513509"
"4127";"7653";"07653";"58,4";"50,7";"57,7";"59,8";"483639,37530000001";"4649340,47429999989";"2,80245814";"41,99590110"
"4128";"6510";"06510";"48,4";"36,4";"44,1";"47,9";"486435,88339999999";"4649240,60570000019";"2,83621906";"41,99505357"
"4129";"6509";"06509";"47,7";"36,2";"43,6";"47,3";"486422,05479999998";"4649241,97209999990";"2,83606208";"41,99506235"
"4130";"6919";"02826919";"61,1";"47,9";"56,2";"60,3";"485311,41100000002";"4650558,09630000032";"2,82261522";"42,00690413"
"4131";"7652";"07652";"59,8";"52,4";"59,5";"61,4";"483646,27519999997";"4649336,32870000042";"2,80254277";"41,99586522"
"4132";"8657";"00018657";"57,0";"43,8";"52,1";"56,2";"485881,65299999999";"4649222,96569999959";"2,82953064";"41,99488171"
"4133";"6908";"02806908";"62,5";"48,7";"57,3";"61,5";"485395,99150000000";"4650563,90560000017";"2,82362948";"42,00695073"
"4134";"6908";"01836908";"60,5";"47,1";"55,5";"59,6";"485386,25459999999";"4650555,59150000010";"2,82352099";"42,00687851"
"4135";"6904";"01836904";"60,9";"47,6";"56,0";"60,1";"485371,25160000002";"4650556,74579999968";"2,82333983";"42,00688724"
"4136";"11028";"018311028";"60,6";"47,4";"55,8";"59,8";"485350,95659999998";"4650558,30649999995";"2,82308618";"42,00690486"
"4137";"11028";"028211028";"57,6";"44,3";"52,6";"56,7";"485337,50770000002";"4650570,10460000020";"2,82292889";"42,00701270"
"4138";"12303";"028212303";"60,4";"46,8";"55,2";"59,5";"485338,83630000002";"4650592,22759999987";"2,82294042";"42,00721086"
"4139";"8488";"00748488";"65,9";"52,1";"60,7";"64,9";"485333,27240000002";"4647353,19469999988";"2,82296090";"41,97803827"
"4140";"6906";"06326906";"65,9";"52,0";"60,6";"64,9";"485373,60239999997";"4650596,73359999992";"2,82336298";"42,00724754"
"4141";"6907";"06326907";"66,2";"52,3";"60,8";"65,2";"485389,24739999999";"4650593,71480000019";"2,82355627";"42,00722082"
"4142";"6907";"02806907";"64,9";"51,0";"59,7";"63,9";"485397,42670000001";"4650580,89900000021";"2,82365321";"42,00710388"
"4143";"12314";"028212314";"57,4";"44,6";"52,6";"56,7";"485335,77380000002";"4650543,14829999954";"2,82290542";"42,00676948"
"4144";"12314";"027912314";"58,0";"45,1";"53,2";"57,3";"485340,21189999999";"4650533,84020000044";"2,82296605";"42,00667951"
"4145";"12313";"027912313";"57,7";"44,7";"52,9";"56,9";"485351,55320000002";"4650533,04339999985";"2,82309888";"42,00667971"
"4146";"6899";"02796899";"58,8";"45,7";"53,9";"58,0";"485362,24990000000";"4650532,29179999977";"2,82323174";"42,00667091"
"4147";"6902";"02796902";"59,0";"45,9";"54,1";"58,2";"485371,03889999999";"4650531,67430000007";"2,82334045";"42,00666207"
"4148";"7733";"07267733";"70,8";"63,0";"70,8";"72,3";"483182,89030000003";"4649221,09169999976";"2,79694379";"41,99481969"
"4149";"7720";"02417720";"64,0";"53,2";"61,3";"64,0";"483283,25630000001";"4649249,74110000022";"2,79816243";"41,99507402"
"4150";"6901";"02806901";"63,6";"49,9";"58,5";"62,7";"485393,59740000003";"4650534,03259999957";"2,82360605";"42,00668950"
"4151";"6900";"02806900";"63,9";"50,2";"58,7";"63,0";"485394,22659999999";"4650542,98460000008";"2,82361792";"42,00676157"
"4152";"6900";"01836900";"61,6";"48,1";"56,6";"60,7";"485385,60509999999";"4650548,64319999982";"2,82350909";"42,00681544"
"4153";"6902";"01836902";"61,0";"47,7";"56,1";"60,2";"485372,29700000002";"4650549,57830000017";"2,82335208";"42,00682421"
"4154";"6899";"01836899";"60,8";"47,6";"55,9";"60,0";"485363,50809999998";"4650550,19579999987";"2,82324337";"42,00683305"
"4155";"12313";"018312313";"59,2";"46,1";"54,4";"58,4";"485352,80829999998";"4650550,94759999961";"2,82311053";"42,00683284"
"4156";"12314";"018312314";"59,4";"46,3";"54,5";"58,6";"485341,50040000002";"4650551,74210000038";"2,82297767";"42,00684165"
"4157";"6912";"02806912";"63,9";"50,0";"58,7";"62,9";"485401,32030000002";"4650645,13590000011";"2,82369989";"42,00768938"
"4158";"6911";"02806911";"63,8";"49,9";"58,6";"62,8";"485405,87660000002";"4650708,68039999995";"2,82374663";"42,00825687"
"4159";"6911";"02596911";"59,6";"46,8";"54,8";"58,9";"485374,39150000003";"4650745,59869999997";"2,82337135";"42,00858954"
"4160";"6864";"02806864";"63,8";"49,9";"58,6";"62,8";"485416,71970000002";"4650692,29069999978";"2,82387987";"42,00811297"
"4161";"6863";"02806863";"63,8";"49,9";"58,6";"62,8";"485415,86829999997";"4650679,93310000002";"2,82386811";"42,00799587"
"4162";"6862";"02806862";"63,8";"49,9";"58,6";"62,8";"485415,00819999998";"4650667,56809999980";"2,82386841";"42,00788779"
"4163";"6861";"02806861";"63,8";"50,0";"58,6";"62,8";"485414,12650000001";"4650655,01659999974";"2,82385663";"42,00777969"
"4164";"6860";"02806860";"64,0";"50,1";"58,8";"63,0";"485412,86810000002";"4650636,28909999970";"2,82383295";"42,00760853"
"4165";"6859";"02806859";"65,0";"51,0";"59,8";"64,0";"485411,58360000001";"4650615,39240000024";"2,82382140";"42,00741937"
"4166";"1503";"01861503";"71,4";"60,2";"66,9";"71,1";"485259,66050000000";"4646975,74230000004";"2,82207716";"41,97463237"
"4167";"1512";"01661512";"65,4";"54,0";"61,2";"65,1";"485256,15909999999";"4647066,30179999955";"2,82203867";"41,97545192"
"4168";"8657";"00058657";"59,4";"46,7";"54,6";"58,7";"485939,82189999998";"4649226,65930000041";"2,83023082";"41,99491877"
"4169";"6875";"05756875";"70,9";"60,2";"66,3";"70,7";"485490,51429999998";"4650612,79470000044";"2,82477548";"42,00739381"
"4170";"6874";"05756874";"70,9";"60,0";"66,3";"70,7";"485491,21629999997";"4650625,34470000025";"2,82478724";"42,00751091"
"4171";"6873";"05756873";"70,8";"59,9";"66,2";"70,6";"485492,34399999998";"4650644,17760000005";"2,82479885";"42,00768206"
"4172";"1304";"06711304";"72,2";"60,5";"67,5";"71,7";"485234,33850000001";"4647380,13410000037";"2,82176524";"41,97827960"
"4173";"6872";"05756872";"70,8";"59,9";"66,2";"70,6";"485493,49780000001";"4650662,87449999992";"2,82481048";"42,00784420"
"4174";"6871";"05756871";"70,8";"59,9";"66,2";"70,6";"485494,25150000001";"4650675,32249999978";"2,82482223";"42,00796130"
"4175";"6870";"05756870";"70,8";"59,9";"66,2";"70,6";"485494,99310000002";"4650687,82760000043";"2,82482193";"42,00806938"
"4176";"6869";"05756869";"70,8";"60,0";"66,2";"70,6";"485495,73460000003";"4650700,32959999982";"2,82483369";"42,00818648"
"4177";"6868";"02596868";"65,4";"54,3";"60,8";"65,1";"485486,75380000001";"4650725,45930000022";"2,82472439";"42,00841148"
"4178";"6867";"02596867";"62,1";"50,4";"57,4";"61,6";"485471,13559999998";"4650728,23859999981";"2,82454317";"42,00843823"
"4179";"6866";"02596866";"60,5";"48,3";"55,7";"59,9";"485451,45559999999";"4650731,74260000046";"2,82430157";"42,00846488"
"4180";"6865";"02806865";"63,8";"49,9";"58,6";"62,8";"485418,35570000001";"4650716,03789999988";"2,82390342";"42,00832917"
"4181";"6775";"05756775";"69,4";"58,3";"64,8";"69,1";"485512,38980000000";"4650605,24120000005";"2,82504133";"42,00733117"
"4182";"6775";"05266775";"67,6";"56,6";"62,8";"67,3";"485528,41080000001";"4650594,17700000014";"2,82523482";"42,00723239"
"4183";"6775";"05776775";"62,5";"50,1";"57,6";"61,9";"485548,52600000001";"4650596,61840000004";"2,82547629";"42,00725077"
"4184";"337";"0452337";"69,3";"57,7";"64,5";"68,8";"485462,86540000001";"4647636,37110000011";"2,82451100";"41,98058955"
"4185";"682";"0271682";"48,5";"38,5";"44,7";"48,6";"486629,00780000002";"4646683,08239999972";"2,83861954";"41,97202686"
"4186";"1304";"00741304";"67,4";"54,6";"62,5";"66,7";"485242,01459999999";"4647374,53309999965";"2,82186196";"41,97822571"
"4187";"6582";"01766582";"59,3";"47,3";"54,7";"58,8";"486401,64610000001";"4649402,23859999981";"2,83580481";"41,99651206"
"4188";"1505";"01691505";"68,7";"54,8";"63,4";"67,7";"485208,56740000000";"4647017,67129999958";"2,82146054";"41,97500970"
"4189";"6941";"06941";"49,4";"43,6";"46,3";"51,4";"485835,52570000000";"4648589,44689999986";"2,82899052";"41,98917968"
"4190";"402";"0452402";"69,4";"57,7";"64,6";"68,9";"485478,69490000000";"4647636,88630000036";"2,82470414";"41,98058984"
"4191";"1508";"01691508";"68,2";"54,1";"62,9";"67,2";"485217,11379999999";"4647049,10709999967";"2,82156836";"41,97529808"
"4192";"1512";"01691512";"68,3";"54,4";"63,0";"67,3";"485222,35530000000";"4647068,45760000031";"2,82162824";"41,97546930"
"4193";"1503";"05561503";"69,7";"58,2";"65,1";"69,3";"485274,47320000001";"4646984,89709999971";"2,82225798";"41,97471371"
"4194";"1513";"05561513";"69,1";"57,6";"64,6";"68,7";"485282,91239999997";"4647029,10740000010";"2,82235341";"41,97511916"
"4195";"1504";"01861504";"71,2";"60,0";"66,6";"70,9";"485224,46029999998";"4646985,75420000032";"2,82165446";"41,97472179"
"4196";"6583";"01766583";"55,7";"43,4";"51,3";"55,1";"486409,34759999998";"4649370,43719999958";"2,83590214";"41,99622398"
"4197";"1504";"01691504";"69,5";"56,2";"64,3";"68,6";"485204,25429999997";"4647001,97219999973";"2,82141266";"41,97486552"
"4198";"1512";"05561512";"66,8";"55,3";"62,2";"66,4";"485286,55540000001";"4647048,99739999976";"2,82240122";"41,97529037"
"4199";"6579";"00686579";"59,6";"46,6";"54,7";"58,8";"486497,39809999999";"4649421,49170000013";"2,83696347";"41,99668483"
"4200";"1515";"05561515";"69,3";"57,7";"64,7";"68,9";"485277,34610000002";"4647003,79710000008";"2,82229372";"41,97488490"
"4201";"10810";"016910810";"68,5";"54,4";"63,1";"67,5";"485213,25309999997";"4647034,94830000028";"2,82152046";"41,97516291"
"4202";"12954";"016912954";"67,9";"53,8";"62,6";"66,9";"485220,15990000003";"4647060,18439999968";"2,82160430";"41,97539721"
"4203";"1514";"05561514";"69,2";"57,7";"64,6";"68,8";"485280,03180000000";"4647013,65930000041";"2,82232967";"41,97497502"
"4204";"1312";"05561312";"69,4";"57,8";"64,8";"69,0";"485382,66460000002";"4647407,19290000014";"2,82355101";"41,97852554"
"4205";"1310";"06711310";"70,8";"59,2";"66,1";"70,4";"485380,02610000002";"4647435,75179999974";"2,82352618";"41,97877769"
"4206";"6516";"00686516";"58,4";"45,2";"53,6";"57,6";"486468,78879999998";"4649202,69849999994";"2,83661837";"41,99471188"
"4207";"6517";"00686517";"58,2";"45,0";"53,4";"57,4";"486473,73989999999";"4649193,96040000021";"2,83667895";"41,99463091"
"4208";"1301";"00741301";"65,8";"52,0";"60,6";"64,8";"485314,50429999997";"4647357,64900000021";"2,82273146";"41,97807395"
"4209";"10059";"032410059";"56,9";"44,4";"52,6";"56,3";"486406,15870000003";"4649321,41469999962";"2,83586705";"41,99578260"
"4210";"10059";"040510059";"62,1";"50,5";"57,9";"61,7";"486433,29710000003";"4649282,28450000007";"2,83619395";"41,99543181"
"4211";"1309";"06711309";"70,8";"59,2";"66,1";"70,4";"485364,94189999998";"4647433,78909999970";"2,82333310";"41,97875938"
"4212";"11481";"009011481";"65,4";"53,6";"60,7";"64,9";"486477,75339999999";"4649457,98159999959";"2,83672116";"41,99700873"
"4213";"11482";"009011482";"65,4";"53,7";"60,7";"64,9";"486485,50530000002";"4649464,33239999972";"2,83681760";"41,99707191"
"4214";"6510";"04056510";"62,7";"51,1";"58,5";"62,3";"486439,95799999998";"4649273,62579999957";"2,83626660";"41,99535086"
"4215";"6009";"06009";"57,2";"49,1";"53,4";"58,0";"485468,99810000003";"4648250,87660000008";"2,82456825";"41,98611974"
"4216";"6513";"06526513";"56,1";"42,9";"51,3";"55,3";"486408,32870000001";"4649191,16359999962";"2,83589421";"41,99461178"
"4217";"1310";"05561310";"69,3";"57,7";"64,7";"68,9";"485387,33360000001";"4647423,00079999957";"2,82361097";"41,97866974"
"4218";"6580";"00906580";"64,8";"53,1";"60,1";"64,3";"486452,44910000003";"4649435,29509999976";"2,83641982";"41,99681015"
"4219";"6581";"00906581";"64,9";"53,1";"60,2";"64,4";"486428,03220000002";"4649429,20419999957";"2,83613018";"41,99675570"
"4220";"1299";"00741299";"66,3";"52,9";"61,2";"65,4";"485349,52179999999";"4647349,29640000034";"2,82315413";"41,97800254"
"4221";"1298";"06711298";"72,0";"60,3";"67,3";"71,5";"485260,11580000003";"4647413,10470000003";"2,82207825";"41,97857731"
"4222";"1307";"06711307";"72,0";"60,4";"67,2";"71,6";"485301,79060000001";"4647425,50439999998";"2,82257284";"41,97868616"
"4223";"3476";"05343476";"61,4";"52,2";"56,8";"61,7";"484405,69760000001";"4645470,16559999995";"2,81180939";"41,96106090"
"4224";"6637";"06637";"51,7";"44,3";"48,1";"52,9";"485777,99089999998";"4648693,35850000009";"2,82828779";"41,99011533"
"4225";"683";"0683";"46,9";"36,3";"42,9";"46,8";"486631,18990000000";"4646626,76339999959";"2,83864497";"41,97151351"
"4226";"1300";"06711300";"70,9";"59,3";"66,2";"70,5";"485344,34570000001";"4647431,08270000014";"2,82309173";"41,97874100"
"4227";"3477";"05343477";"62,6";"52,2";"57,9";"62,5";"484409,69309999997";"4645473,80009999964";"2,81185758";"41,96108800"
"4228";"3478";"05343478";"63,0";"52,2";"58,3";"62,8";"484413,73639999999";"4645477,47809999995";"2,81190574";"41,96112410"
"4229";"1308";"06711308";"70,7";"59,1";"66,0";"70,3";"485353,63270000002";"4647432,32459999993";"2,82320034";"41,97875017"
"4230";"3479";"05343479";"60,8";"51,0";"56,3";"60,9";"484417,49359999999";"4645480,89570000023";"2,81195393";"41,96115120"
"4231";"3480";"05343480";"59,5";"49,8";"55,1";"59,6";"484421,42239999998";"4645484,46960000042";"2,81200210";"41,96118731"
"4232";"3481";"05343481";"60,8";"50,8";"56,5";"60,9";"484425,38500000001";"4645488,07409999985";"2,81205026";"41,96122341"
"4233";"5763";"03305763";"51,2";"39,7";"46,6";"50,8";"485404,84360000002";"4647931,11199999973";"2,82380356";"41,98324544"
"4234";"5713";"08995713";"42,4";"35,2";"38,2";"43,6";"485429,77929999999";"4647930,03330000024";"2,82410537";"41,98323689"
"4235";"5712";"03305712";"52,3";"41,4";"48,0";"52,1";"485421,08919999999";"4647926,12220000010";"2,82400890";"41,98320072"
"4236";"5717";"08995717";"42,6";"35,5";"38,3";"43,8";"485440,76770000003";"4647926,86450000014";"2,82423825";"41,98320107"
"4237";"5764";"05764";"48,2";"39,1";"44,5";"48,7";"485398,81969999999";"4647959,09300000034";"2,82373043";"41,98349751"
"4238";"5765";"05765";"47,3";"38,6";"43,6";"47,9";"485401,54690000002";"4647971,55869999994";"2,82376635";"41,98360565"
"4239";"5719";"08995719";"41,7";"35,3";"37,6";"43,3";"485444,09419999999";"4647925,21939999983";"2,82428657";"41,98319214"
"4240";"5766";"05766";"47,1";"38,6";"43,4";"47,8";"485402,07669999998";"4647975,21250000037";"2,82377832";"41,98364169"
"4241";"5711";"03305711";"52,9";"41,8";"48,5";"52,6";"485419,90429999999";"4647920,07079999987";"2,82398490";"41,98314664"
"4242";"5767";"05767";"46,9";"38,5";"43,3";"47,6";"485403,27750000003";"4647982,58150000032";"2,82379022";"41,98370476"
