"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits extraordinaris";"Suplements de crèdit";"Ampliacions de crèdit";"Transferències positives";"Trasferències negatives";"Romanents incorporats";"Baixes per anul·lació";"Crèdits totals consignats";"Despeses autoritzades";"Saldo de crèdits disponibles";"% de realització del pressupost"
"100";"92010";"13100";"RETR.P.LABORAL TEMPORAL PRESIDÈNCIA";"60.054,74";"-13.300,00";"0,00";"0,00";"0,00";"0,00";"13.300,00";"0,00";"0,00";"46.754,74";"45.265,48";"1.489,26";"96,81"
"100";"92010";"15000";"PRODUCTIVITAT PRESIDÈNCIA";"12.206,96";"723,00";"0,00";"0,00";"0,00";"939,00";"216,00";"0,00";"0,00";"12.929,96";"12.929,66";"0,30";"100,00"
"100";"92010";"15100";"GRATIFICACIONS PERSONAL PRESIDÈNCIA";"7.970,58";"-11,33";"0,00";"0,00";"0,00";"0,00";"11,33";"0,00";"0,00";"7.959,25";"7.952,93";"6,32";"99,92"
"100";"92010";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL PRESIDÈNCIA";"42.284,74";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"42.284,74";"40.523,24";"1.761,50";"95,83"
"100";"92010";"16000";"QUOTES SOCIALS PRESIDÈNCIA";"131.732,02";"3.692,29";"0,00";"0,00";"0,00";"3.692,29";"0,00";"0,00";"0,00";"135.424,31";"121.953,01";"13.471,30";"90,05"
"100";"92011";"22614";"ADMINISTRACIÓ GENERAL";"115.000,00";"8.337,94";"0,00";"0,00";"0,00";"0,00";"33.873,17";"35.133,19";"0,00";"123.337,94";"103.763,03";"19.574,91";"84,13"
"100";"92011";"62300";"INVERSIONS PRESIDÈNCIA";"0,00";"11.160,29";"0,00";"0,00";"0,00";"10.946,60";"0,00";"213,69";"0,00";"11.160,29";"10.760,20";"400,09";"96,42"
"100";"92011";"62500";"MOBILIARI PRESIDÈNCIA";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"100";"92013";"22711";"POLÍTICA LINGÜÍSTICA";"36.000,00";"-25.958,25";"0,00";"0,00";"0,00";"0,00";"25.958,25";"0,00";"0,00";"10.041,75";"10.041,75";"0,00";"100,00"
"100";"92021";"22711";"PROMOCIÓ I COMUNICACIÓ";"155.000,00";"247.722,42";"0,00";"0,00";"0,00";"191.515,86";"0,00";"56.206,56";"0,00";"402.722,42";"394.449,17";"8.273,25";"97,95"
"100";"92021";"21000";"MANTENIMENT TV BARRI VELL";"5.253,00";"1.412,66";"0,00";"0,00";"0,00";"1.412,66";"0,00";"0,00";"0,00";"6.665,66";"6.665,66";"0,00";"100,00"
"100";"92021";"22611";"IMATGE I DISSENY";"24.436,00";"-9.299,90";"0,00";"0,00";"0,00";"0,00";"12.116,67";"2.816,77";"0,00";"15.136,10";"15.136,10";"0,00";"100,00"
"100";"92021";"48001";"CONVENI COMUNICACIÓ";"175.000,00";"-112.500,00";"0,00";"0,00";"0,00";"0,00";"175.000,00";"62.500,00";"0,00";"62.500,00";"62.500,00";"0,00";"100,00"
"100";"92031";"49000";"TRANSFERÈNCIES - OFICINA D'ESTUDIS SOCIALS I EUROPEUS";"0,00";"13.800,51";"0,00";"0,00";"0,00";"3.800,51";"0,00";"0,00";"0,00";"13.800,51";"3.800,51";"10.000,00";"27,54"
