FID,GEOCODIGO,CAPACIDAD,UNI_CAPACI,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,SC015,3.0,3 Metros cúbicos,377686.052294,3150073.36815,-16.2494341534,28.4715260967
1.0,SC099,3.0,3 Metros cúbicos,377106.781422,3150393.1254,-16.2553843467,28.4743572627
2.0,SC083,3.0,3 Metros cúbicos,370964.8292,3145473.56682,-16.3175620498,28.4293681031
3.0,SC014,3.0,3 Metros cúbicos,377830.957239,3150451.69446,-16.247994371,28.4749538998
4.0,SC002,3.0,3 Metros cúbicos,377388.727206,3150422.3518,-16.2525078785,28.4746475698
5.0,SC022,3.0,3 Metros cúbicos,377195.881358,3150019.07692,-16.2544344669,28.4709900597
6.0,SC105,3.0,3 Metros cúbicos,373823.363395,3147741.24994,-16.2886280405,28.4501119753
7.0,SC123,3.0,3 Metros cúbicos,371906.684033,3146463.36294,-16.3080568101,28.4383931114
8.0,SC094,3.0,3 Metros cúbicos,372520.320802,3144545.41902,-16.301580024,28.4211449064
9.0,SC088,3.0,3 Metros cúbicos,369910.407407,3144198.45884,-16.3281826,28.4177565255
10.0,SC121,3.0,3 Metros cúbicos,371633.754433,3147370.70187,-16.3109442663,28.4465544367
11.0,SC126,3.0,3 Metros cúbicos,371304.116025,3146901.12048,-16.3142575902,28.4422843123
12.0,SC096,3.0,3 Metros cúbicos,372392.28009,3144946.41702,-16.302931369,28.4247511695
13.0,SC090,3.0,3 Metros cúbicos,372005.087497,3145589.2228,-16.3069552028,28.4305142033
14.0,SC081,3.0,3 Metros cúbicos,371996.966241,3146178.89082,-16.3071035108,28.4358347882
15.0,SC037,3.0,3 Metros cúbicos,374707.636148,3148143.56345,-16.279642633,28.4538278468
16.0,SC028,3.0,3 Metros cúbicos,374866.7913,3148207.50036,-16.2780244129,28.4544201182
17.0,SC031,3.0,3 Metros cúbicos,374097.702043,3148407.73304,-16.2858996103,28.4561530987
18.0,SC059,3.0,3 Metros cúbicos,375770.519221,3148841.95354,-16.2688645996,28.4602321009
19.0,SC104,3.0,3 Metros cúbicos,373685.618587,3148007.98933,-16.2900637412,28.4525058112
20.0,SC033,3.0,3 Metros cúbicos,374582.208092,3148903.14951,-16.2810060444,28.4606706242
