FID,TIPO,CVIA,DIRECCION,CVIA_1,TEXTO,UTM_X,UTM_Y,GRAD_X,GRAD_Y
32.0,PLÁSTICA,10257,CALLE DOCTOR JOSE NAVEIRAS 34,10265,PARQUE GARCIA SANABRIA,377281.785899,3150320.02039,-16.253589195,28.4737140153
33.0,PLÁSTICA,13209,PASEO MARCOS GUIMERA PERAZA 1,10265,PARQUE GARCIA SANABRIA,377201.233872,3150269.5512,-16.2544065059,28.4732509696
34.0,PLÁSTICA,20975,CALLE HELIODORO RODRIGUEZ LOPEZ 7,10271,PLAZA LOS SABANDEÑOS,376412.653987,3148947.97053,-16.2623185929,28.4612498595
35.0,PLÁSTICA,20991,CALLE TIRSO DE MOLINA 8,10271,PLAZA LOS SABANDEÑOS,376400.04898,3148894.91755,-16.2624416247,28.4607698888
36.0,PLÁSTICA,20975,CALLE HELIODORO RODRIGUEZ LOPEZ 5,10271,PLAZA LOS SABANDEÑOS,376425.150914,3149003.77924,-16.2621969592,28.4617546888
37.0,PLÁSTICA,20967,CALLE GILBERTO CAYOL LOPEZ 2,10271,PLAZA LOS SABANDEÑOS,376407.405001,3149029.19453,-16.262380906,28.461982367
38.0,PLÁSTICA,10343,CALLE VENECIA 2,10343,CALLE VENECIA,379862.777211,3152405.03934,-16.2274465081,28.4927708828
39.0,PLÁSTICA,10343,CALLE VENECIA 24,10343,CALLE VENECIA,379887.855958,3152502.27118,-16.2272004762,28.4936506712
40.0,PLÁSTICA,10366,CALLE CUPIDO 2,10366,CALLE CUPIDO,378026.632211,3151495.64148,-16.246106472,28.4843933481
41.0,PLÁSTICA,10366,CALLE CUPIDO 10,10366,CALLE CUPIDO,378011.199891,3151516.51814,-16.2462663138,28.4845803049
42.0,PLÁSTICA,10366,CALLE CUPIDO 22,10366,CALLE CUPIDO,377982.531977,3151556.66686,-16.2465633909,28.484939943
43.0,PLÁSTICA,10366,CALLE CUPIDO 22,10366,CALLE CUPIDO,377982.397944,3151574.08762,-16.2465666067,28.4850971443
44.0,PLÁSTICA,10366,CALLE CUPIDO 7,10366,CALLE CUPIDO,377995.390261,3151537.48421,-16.2464300195,28.4847680331
