FID,IDPUNTODEL,Calle,TipoSoport,AlturaSop,DIRECCION,Distance,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,10120208,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 50,7.64700332,377317.953776,3150023.50484,-16.2531882233,28.4710415145
1.0,10120205,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 68,5.05851911,377386.907138,3150106.33792,-16.2524928253,28.4717955299
2.0,10120202,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 82,4.80334195,377444.57311,3150174.1617,-16.2519110993,28.4724130293
3.0,10120101,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 84,7.27043889,377483.626841,3150222.75119,-16.2515174097,28.472855197
4.0,10120104,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 92,5.53274425,377544.025908,3150294.29182,-16.250908154,28.4735064919
5.0,10120105,MENDEZ NUÑEZ,BACULO,11.0,CALLE MENDEZ NUÑEZ 92,10.10045068,377555.821471,3150300.72566,-16.2507883679,28.4735656624
6.0,10120106,MENDEZ NUÑEZ,BACULO,11.0,CALLE MENDEZ NUÑEZ 96,9.10027957,377571.66802,3150323.48284,-16.2506289435,28.4737725233
7.0,10120107,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 96,4.6654043,377577.535995,3150333.75926,-16.250570105,28.4738658142
8.0,10120110,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 106,4.07580905,377640.028649,3150408.64319,-16.2499398106,28.4745474734
9.0,10120111,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 108,7.96023226,377659.985786,3150433.00872,-16.2497385712,28.4747692339
10.0,10120112,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 110,5.92881543,377681.491782,3150458.68491,-16.2495216513,28.4750029675
11.0,10120113,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 112,5.21030946,377702.283023,3150483.64622,-16.2493119545,28.4752301822
12.0,10120114,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 116,4.65876155,377723.252795,3150508.48837,-16.2491004207,28.4754563381
13.0,10120303,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 41,4.75642422,377504.673649,3150265.86052,-16.2513070414,28.4732462157
14.0,10120305,MENDEZ NUÑEZ,BACULO,11.0,CALLE MENDEZ NUÑEZ 51,9.11477887,377539.974942,3150312.16378,-16.2509514275,28.4736673971
15.0,10120307,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 53,4.18978284,377578.975022,3150353.82531,-16.2505575409,28.4740470356
16.0,10120309,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 61,10.17629773,377619.950319,3150404.27459,-16.2501444118,28.4745061637
17.0,10120312,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 73,7.69163408,377683.331714,3150478.36184,-16.2495049494,28.4751807149
18.0,10050401,PLAZA VEINTICINCO DE JULIO,BACULO,8.0,PLAZA VEINTICINCO DE JULIO 5,5.74712685,377049.770037,3149996.90264,-16.2559243217,28.4707761761
19.0,10120102,MENDEZ NUÑEZ,BACULO,9.0,CALLE SAN ANTONIO 53,13.51015571,377503.63499,3150246.51378,-16.2513155917,28.4730715232
20.0,10020407,Rambla de SANTA CRUZ,COLUMNA,8.0,CALLE JESUS Y MARIA 1,16.39376287,376984.461493,3150122.45581,-16.2566047189,28.4719030688
21.0,10130214,Rambla de SANTA CRUZ,COLUMNA,8.0,CALLE SAN ISIDRO 15,29.85783122,377752.972238,3150529.96236,-16.2487991648,28.4756529185
22.0,10100419,Rambla de SANTA CRUZ,COLUMNA,11.0,CALLE SAN ISIDRO 15,24.21663331,377720.559677,3150531.68103,-16.2491303891,28.475665388
23.0,10120306,MENDEZ NUÑEZ,BACULO,11.0,CALLE DE LA TOLERANCIA 2,16.79838905,377559.276746,3150333.13367,-16.2507565239,28.4738584534
24.0,10100207,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 138,8.1031953,377541.579498,3150442.96217,-16.2509489475,28.4748479393
25.0,10100202,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 120,6.47645388,377433.014688,3150398.81512,-16.2520530535,28.4744393292
26.0,10100208,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 140,16.12961138,377584.774069,3150460.39132,-16.2505096411,28.4750092866
27.0,10100209,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 140,8.41521335,377606.45223,3150469.25957,-16.2502891777,28.4750913541
28.0,10100212,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 146,6.9200655,377671.162174,3150495.95128,-16.2496311093,28.4753383089
29.0,10130206,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 157,8.11216454,377887.455636,3150614.5763,-16.2474346062,28.4764291259
30.0,10130111,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 157,36.50897284,377898.026244,3150587.90303,-16.2473238155,28.4761894028
31.0,10100418,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 143B,7.25100634,377704.264721,3150540.10887,-16.2492977107,28.4757399162
32.0,10100413,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 127,8.68022947,377595.901743,3150495.92807,-16.2503997678,28.4753310335
33.0,10100408,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 115,4.36494993,377487.551069,3150452.02158,-16.2515017195,28.4749246186
34.0,10100404,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 107,12.82373195,377400.883081,3150416.3788,-16.2523830914,28.4745948108
35.0,10020408,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 102,5.00059749,377004.390799,3150136.8781,-16.2564027211,28.4720351032
36.0,10020411,Rambla de SANTA CRUZ,COLUMNA,8.0,RBLA DE SANTA CRUZ 108,8.89722424,377055.03294,3150175.04372,-16.2558895864,28.4723843062
37.0,10120207,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 56,5.85898485,377347.824241,3150058.76177,-16.2528869127,28.4713625018
38.0,10120206,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 60,5.89589313,377365.45093,3150080.06909,-16.2527091607,28.4715564483
39.0,10120203,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 76,5.38399334,377424.342083,3150150.59904,-16.2521152125,28.4721984856
40.0,10120301,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 33,4.86055219,377464.464797,3150218.44936,-16.251712656,28.4728145738
41.0,10120302,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 37,7.12360701,377484.108308,3150242.65335,-16.2515146095,28.4730348495
42.0,10120103,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 88,6.63897237,377523.657821,3150270.30724,-16.2511136262,28.4732881291
43.0,10120304,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 47,5.74232318,377524.721217,3150289.55302,-16.2511048121,28.4734619128
44.0,10120108,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 100,4.82028097,377598.446324,3150358.66105,-16.2503591901,28.4740925045
45.0,10120109,MENDEZ NUÑEZ,BACULO,9.0,CALLE MENDEZ NUÑEZ 104A,9.13033371,377619.177934,3150383.68193,-16.2501501122,28.4743202525
