FID,Id,PARTIDOPOL,SIGLAS,UTM_X,UTM_Y,GRAD_X,GRAD_Y
86.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,378038.909936,3150739.53557,-16.2459009675,28.477571005
87.0,4.0,PARTIDO COMUNISTA DEL PUEBLO CANARIO,PCPC,378092.29763,3150807.36935,-16.2453628696,28.4781881678
88.0,2.0,PARTIDO POPULAR,PP,378145.435705,3150898.52529,-16.2448297833,28.4790157768
89.0,2.0,PARTIDO POPULAR,PP,378288.429596,3150925.58523,-16.2433721434,28.4792733433
90.0,5.0,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,PACMA,378286.277778,3150945.81944,-16.2433962605,28.4794557466
91.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,378279.680556,3150987.90972,-16.2434680927,28.4798349754
92.0,9.0,RECORTES CERO-GRUPO VERDE,RECORTES CERO-GRUPO VERDE,378276.462047,3151009.27264,-16.2435032244,28.480027465
93.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,378234.174637,3151093.44286,-16.2439440425,28.4807831106
94.0,4.0,PARTIDO COMUNISTA DEL PUEBLO CANARIO,PCPC,378149.115528,3151195.11839,-16.2448235884,28.4816927325
95.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,377035.795912,3149745.61025,-16.2560402142,28.4685070691
96.0,9.0,RECORTES CERO-GRUPO VERDE,RECORTES CERO-GRUPO VERDE,377039.361111,3149737.80961,-16.2560029714,28.4684370085
97.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,377051.113163,3149845.38261,-16.2558944325,28.4694089095
98.0,2.0,PARTIDO POPULAR,PP,377060.029195,3149925.38793,-16.2558119136,28.4701317583
99.0,5.0,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,PACMA,377054.382177,3149918.08759,-16.2558688064,28.4700653439
100.0,1.0,COALICION CANARIA-PARTIDO NACIONALISTA CANARIO,CCa-PNC,377049.117782,3149868.72064,-16.2559173017,28.4696193353
101.0,2.0,PARTIDO POPULAR,PP,371815.676899,3147255.11683,-16.3090739297,28.445529241
102.0,2.0,PARTIDO POPULAR,PP,371194.731214,3146737.16168,-16.3153560931,28.4407939039
103.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,371177.904479,3146716.06395,-16.3155255343,28.4406018505
104.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,376016.681997,3148975.18,-16.2663651603,28.4614578251
105.0,5.0,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,PACMA,375864.640617,3149156.30017,-16.2679373085,28.4630778745
106.0,8.0,JUNTOS POR CANARIAS,JXC,375817.439332,3149211.57221,-16.268425289,28.4635721809
107.0,4.0,PARTIDO COMUNISTA DEL PUEBLO CANARIO,PCPC,375740.04208,3149295.75035,-16.2692247582,28.4643244701
108.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,375734.034574,3149313.13244,-16.2692879827,28.4644807616
109.0,9.0,RECORTES CERO-GRUPO VERDE,RECORTES CERO-GRUPO VERDE,375876.533034,3149133.42135,-16.2678133977,28.4628725374
110.0,2.0,PARTIDO POPULAR,PP,376718.47849,3149213.83336,-16.2592239694,28.4636780846
111.0,7.0,CIUDADANOS-PARTIDO DE LA CIUDADANIA,C's,377225.195103,3149213.41234,-16.2540492318,28.4637220932
112.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,376503.393312,3148585.97764,-16.2613531801,28.4579916526
113.0,4.0,PARTIDO COMUNISTA DEL PUEBLO CANARIO,PCPC,376639.684974,3148619.62655,-16.2599650201,28.458308215
114.0,7.0,CIUDADANOS-PARTIDO DE LA CIUDADANIA,C's,376515.184301,3148581.65648,-16.2612323119,28.4579537727
115.0,1.0,COALICION CANARIA-PARTIDO NACIONALISTA CANARIO,CCa-PNC,377520.264618,3149182.12288,-16.2510325906,28.4634674696
116.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,377623.363575,3149180.4077,-16.2499795408,28.4634616706
117.0,2.0,PARTIDO POPULAR,PP,377677.338782,3149166.39603,-16.2494268474,28.4633402863
118.0,6.0,ESCAÑOS EN BLANCO,EB,377575.8798,3149192.36923,-16.2504657256,28.4635651606
119.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,376492.132373,3149596.61403,-16.2615764885,28.4671110644
120.0,2.0,PARTIDO POPULAR,PP,376405.498914,3149352.20098,-16.2624350154,28.4648971535
121.0,4.0,PARTIDO COMUNISTA DEL PUEBLO CANARIO,PCPC,376439.381739,3149465.57235,-16.2621011516,28.4659234828
122.0,8.0,JUNTOS POR CANARIAS,JXC,376452.619025,3149483.02897,-16.261967839,28.4660822742
123.0,6.0,ESCAÑOS EN BLANCO,EB,376413.460507,3149350.66839,-16.2623535448,28.4648840773
124.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,376497.993299,3149640.44979,-16.2615213328,28.4675072147
125.0,8.0,JUNTOS POR CANARIAS,JXC,371619.933604,3147047.17755,-16.3110493723,28.4436334845
126.0,9.0,RECORTES CERO-GRUPO VERDE,RECORTES CERO-GRUPO VERDE,377389.400998,3149189.103,-16.2523697386,28.4635181636
127.0,2.0,PARTIDO POPULAR,PP,377414.05058,3149191.63737,-16.2521182817,28.4635433525
128.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,377458.20706,3149182.44888,-16.2516663695,28.4634645812
