FID,GEOCODIGO,CVIA,TVIA,TEXTO,HISTORICO,TIPO,UTM_X,UTM_Y,GRAD_X,GRAD_Y,LONGITUD
0.0,383810352,10352,LUGAR,LUGAR LOS PEREZ, ,Lugar,379861.933304,3153023.4368,-16.2275197067,28.4983515719,46.511407196
1.0,383859025,59025,PLAYA,PLAYA LOS POCITOS, ,Lugar,372883.215574,3144177.00957,-16.2978350649,28.4178555896,13.7822711407
2.0,383810899,10899,CALLE,CALLE TRANSVERSAL 1ª IZQUIERDA LACIO, ,Tierra,379918.708697,3152350.9335,-16.2268695146,28.492287759,80.5262006622
3.0,383811198,11198,CALLE,CALLE SICILIA,"MILAN, PARALELA PRIMERA",Peatonal,379909.100699,3152470.95365,-16.2269801996,28.493369908,153.130795886
4.0,383810855,10855,CALLE,CALLE CERDEÑA,"LACIO, TRANSVERSAL 5ª IZQUIERDA",Tierra,379820.01812,3152338.21557,-16.2278763173,28.4921638823,93.2862082872
5.0,383809002,09002,URB,URBANIZACION DARZA, ,Lugar,371621.160033,3144173.96197,-16.3107172898,28.4177046819,29.9999988839
6.0,383810060,10060,PLAYA,"PLAYA EL MUERTO,  (AÑAZA)", ,Lugar,373464.163123,3145108.04436,-16.2920069743,28.42631405,29.999999628
7.0,383844826,44826,URB,URBANIZACION LAS MIMOSAS, ,Lugar,376818.62511,3150439.69484,-16.2583323328,28.4747503267,42.2667966987
8.0,383813100,13100,VIA,VIA ESPALDON DARSENA PESQUERA, ,Asfalto,382624.446399,3153010.23571,-16.1992966729,28.4984845861,494.147188677
9.0,383813101,13101,VIA,VIA INTERIOR DARSENA PESQUERA, ,Asfalto,382593.475011,3153080.04782,-16.1996148865,28.4991135234,505.925227226
10.0,383813102,13102,VIA,VIA INTERMEDIA DARSENA PESQUERA, ,Asfalto,382423.175453,3153105.17872,-16.2013631538,28.4993230587,166.169443671
11.0,383813104,13104,VIA,VIA TRANSVERSAL 4 DARSENA PESQUERA, ,Asfalto,382846.190011,3153124.07,-16.1970436241,28.4995316785,75.4337458348
12.0,383813105,13105,VIA,VIA TRANSVERSAL 3 DARSENA PESQUERA, ,Asfalto,382632.023991,3153092.73059,-16.1992283284,28.4992295879,151.729254451
13.0,383813106,13106,VIA,VIA TRANSVERSAL 2 DARSENA PESQUERA, ,Asfalto,382502.475317,3153130.17651,-16.200555589,28.4995558074,161.583886529
14.0,383813107,13107,VIA,VIA TRANSVERSAL 1 DARSENA PESQUERA, ,Asfalto,382388.86855,3153056.1029,-16.2017087537,28.4988772947,170.762926105
15.0,383813108,13108,VIA,VIA DE SERVICIO DARSENA PESQUERA, ,Asfalto,381828.500029,3152888.06824,-16.2074249655,28.4973051476,1278.52525865
16.0,383813109,13109,VIA,VIA INTERIOR CUEVA BERMEJA, ,Asfalto,381116.588698,3152599.45479,-16.2145729924,28.494667781,1088.67594025
17.0,383813110,13110,VIA,VIA LITORAL CUEVA BERMEJA, ,Asfalto,380957.374166,3152330.04365,-16.2161696447,28.4922491247,1275.57220252
18.0,383813112,13112,VIA,VIA TRANSVERSAL 2 CUEVA BERMEJA, ,Asfalto,380878.939897,3152337.86753,-16.2170593141,28.4922580218,101.936867162
19.0,383813113,13113,VIA,VIA TRANSVERSAL 3 CUEVA BERMEJA, ,Asfalto,380964.456645,3152406.22149,-16.2161928235,28.4928827079,117.362525987
20.0,383813114,13114,VIA,VIA TRANSVERSAL 4 CUEVA BERMEJA, ,Asfalto,381033.97027,3152462.37392,-16.2154885364,28.4933958129,128.707540214
21.0,383813115,13115,VIA,VIA TRANSVERSAL 5 CUEVA BERMEJA, ,Asfalto,381190.757546,3152562.00923,-16.2138972079,28.4943092956,110.903333402
22.0,383813116,13116,VIA,VIA DE SERVICIO DIQUE DEL ESTE, ,Asfalto,380358.466269,3152265.17374,-16.2223735816,28.491553986,532.272959655
23.0,383813117,13117,VIA,VIA SERVICIO DEL BUFADERO, ,Asfalto,379691.261247,3152117.2832,-16.229106401,28.4901967633,859.251269189
24.0,383813118,13118,VIA,VIA DE SERVICIO VALLESECO, ,Asfalto,379068.502721,3151741.10175,-16.2354136056,28.4867032183,748.642544126
25.0,383813119,13119,VIA,VIA DE SERVICIO PASO ALTO, ,Asfalto,378694.354347,3151291.35789,-16.2392909811,28.4825864252,479.770671343
26.0,383813120,13120,LUGAR,LUGAR MUELLE NORTE, ,Asfalto,378452.123356,3150719.87958,-16.241678418,28.4774321578,234.060128004
27.0,383813121,13121,VIA,VIA CONEXION MUELLE RIBERA, ,Asfalto,378219.433535,3150649.78975,-16.2440444394,28.4767805876,433.459839069
28.0,383813122,13122,VIA,VIA DE SERVICIO MUELLE RIBERA, ,Asfalto,377980.742932,3150322.84357,-16.2464364216,28.4738960068,1294.61519261
29.0,383813124,13124,VIA,VIA DE SERVICIO MUELLE DE ENLACE, ,Asfalto,378008.76062,3149433.06673,-16.2460861688,28.4657463667,560.729180332
30.0,383813125,13125,VIA,VIA DE SERVICIO LOS LLANOS, ,Asfalto,377698.889609,3148768.85462,-16.2491829291,28.4597145973,911.358386309
31.0,383813126,13126,VIA,VIA TRANSVERSAL 1 LOS LLANOS, ,Asfalto,377607.734998,3148420.60999,-16.2500584583,28.4566033826,142.813895526
32.0,383813127,13127,VIA,VIA TRANSVERSAL 2 LOS LLANOS, ,Asfalto,377632.764998,3148475.40999,-16.2498086805,28.4571002759,136.524634286
33.0,383813128,13128,VIA,VIA TRANSVERSAL 3 LOS LLANOS, ,Asfalto,377661.110006,3148537.68001,-16.2495258416,28.4576648931,130.494973205
34.0,383801007,01007,CMNO,CAMINO EN EL BAILADERO, ,Tierra,375866.842005,3157537.62525,-16.2688194125,28.5387146364,146.379068903
35.0,383801036,01036,ESCA,ESCALERAS A REBOLADO, ,Peatonal,378585.047561,3152094.56618,-16.2404638526,28.489851787,28.1671563244
36.0,383813136,13136,LUGAR,LUGAR DARSENA PESQUERA, ,Asfalto,381827.398526,3152820.16932,-16.2073709906,28.4967224032,865.740987938
37.0,383810614,10614,PLAZA,PLAZA LA PAPA, ,Asfalto,370552.959705,3146683.16068,-16.3219023186,28.440243126,81.9632764615
38.0,383813132,13135,CMNO,CAMINO TRANSVERSAL JAGUA, ,Asfalto,382091.372985,3153204.61045,-16.2047547689,28.5001908786,216.438233604
39.0,383801051,01051,VIA,VIA DARSENA PESQUERA DOS, ,Asfalto,381952.955002,3152923.96501,-16.2061482495,28.4976451267,56.0135359275
40.0,383801052,01052,VIA,VIA DARSENA PESQUERA TRES, ,Asfalto,382011.41001,3152957.28001,-16.20555451,28.4979510805,55.7783220063
