FID,DIRECCION,UTM_X,UTM_Y,GRAD_X,GRAD_Y
172.0,CALLE PORLIER 53,376671.4111,3149600.4768,-16.2597460153,28.4671628947
173.0,CALLE GENERAL SERRANO 6,376988.2785,3149514.163,-16.2565007815,28.4664138905
174.0,CALLE RAMON Y CAJAL 49,376551.0438,3149517.4094,-16.2609663683,28.4664018626
175.0,CALLE RAMON Y CAJAL 49,376546.0782,3149517.9491,-16.261017137,28.466406263
176.0,CALLE ANSELMO J BENITEZ 2,376678.7258,3149670.2588,-16.2596787832,28.4677933335
177.0,CALLE ANSELMO J BENITEZ 2,376678.6966,3149670.5953,-16.2596791175,28.4677963675
178.0,CALLE CASTRO 16,376614.6993,3149707.0697,-16.2603366016,28.4681194752
179.0,CALLE BENAVIDES 65,376712.3743,3149531.0158,-16.2593202447,28.4665399186
180.0,CALLE BENAVIDES 49,376722.6927,3149625.9929,-16.2592250309,28.4673980144
181.0,CALLE SAN CRISTOBAL 16,376251.1076,3149779.5501,-16.2640576052,28.4687391117
182.0,CALLE ALVAREZ DE LUGO 30,376853.2817,3149741.5345,-16.2579037345,28.4684530603
183.0,CALLE SANTIAGO CUADRADO 9,376423.8133,3149851.4764,-16.2623015359,28.469404591
184.0,CALLE CALVO SOTELO 98,376239.2971,3149931.9658,-16.2641945963,28.4701134617
185.0,CALLE LUIS DE LA CRUZ 8,376286.9619,3149429.8309,-16.263653885,28.4655864818
186.0,CALLE VELAZQUEZ 8,376343.7107,3149392.4654,-16.2630703358,28.4652546608
187.0,CALLE VELAZQUEZ 1,376354.2647,3149461.1997,-16.2629699309,28.465875953
188.0,AVENIDA DE BELGICA 14,376219.7154,3149334.3788,-16.264330376,28.4647186944
189.0,CALLE ZURBARAN 26,376041.3988,3149505.6761,-16.2661698212,28.466247622
190.0,CALLE PROGRESO 12,376882.5935,3149445.3051,-16.2575727276,28.4657825071
191.0,CALLE PROGRESO 34,376782.09,3149456.2261,-16.2586002771,28.4658715697
192.0,CALLE RAMON Y CAJAL 29,376786.6315,3149491.2936,-16.2585576475,28.4661884654
193.0,CALLE RAMON Y CAJAL 9,376909.1701,3149478.0215,-16.2573048119,28.4660802655
194.0,CALLE LOPE DE VEGA 35,376762.5329,3149106.3174,-16.2587625791,28.4627119713
195.0,CALLE HERMANOS LOGMAN 3,377170.0621,3149145.0075,-16.2546049703,28.4630995807
196.0,CALLE TAJINASTE (BARRIO NUEVO) 22,375751.6404,3150226.2948,-16.2692066739,28.4727232323
197.0,CALLE RAMON Y CAJAL 3A,377072.1227,3149451.4993,-16.2556378397,28.4658562894
198.0,CALLE RAMON Y CAJAL 3A,377081.8615,3149449.2192,-16.2555381398,28.4658366307
199.0,CALLE PI Y MARGALL 11,377251.5962,3149712.9425,-16.2538328358,28.4682325948
200.0,CALLE PI Y MARGALL 13,377247.8329,3149716.3245,-16.2538716294,28.4682627614
201.0,CALLE VILLALBA HERVAS 9,377696.9656,3149661.0823,-16.249278924,28.4678064376
202.0,CALLE VILLALBA HERVAS 17,377637.7476,3149669.9933,-16.2498846416,28.4678812986
203.0,CALLE SAN FRANCISCO 45,377770.1725,3149889.9797,-16.2485555754,28.4698789937
204.0,CALLE IMELDO SERIS 49,377384.2723,3149563.474,-16.2524619531,28.4668961991
205.0,CALLE PI Y MARGALL 25,377152.1008,3149804.0775,-16.2548586655,28.4690456716
206.0,CALLE ROBAYNA 14,377083.5196,3149774.4548,-16.2555559056,28.4687718772
207.0,AVENIDA MARITIMA 4,377854.1142,3149288.7111,-16.247634547,28.4644606938
208.0,CALLE SANTIAGO 6,377568.7255,3149972.9335,-16.2506217346,28.4706087083
209.0,CALLE PADRE ANCHIETA 2,377300.4022,3149216.8763,-16.2532815694,28.4637604328
210.0,CALLE GENERAL GUTIERREZ 3,377819.3745,3149440.2796,-16.2480053917,28.465825274
211.0,CALLE GENERAL GUTIERREZ 3,377821.5453,3149444.8665,-16.2479837089,28.4658668721
212.0,PLAZA DE ESPAÑA 2,377881.8914,3149481.655,-16.2473713268,28.4662045246
213.0,CALLE LA X 3,377090.1983,3149569.0782,-16.2554657873,28.4669190849
214.0,CALLE DOCTOR MIGUEL LOPEZ GONZALEZ 1,377254.3031,3149483.7631,-16.2537807744,28.4661646177
215.0,AVENIDA BRAVO MURILLO 2,377879.7363,3149477.184,-16.2473928618,28.466163974
216.0,CALLE PADRE ANCHIETA 45,376995.6094,3149233.3969,-16.2563959423,28.4638808073
217.0,CALLE HERMANOS LOGMAN 8,377176.7959,3149134.9836,-16.2545351353,28.4630097541
218.0,AVENIDA BRAVO MURILLO 4,377700.9583,3149129.192,-16.2491816918,28.4630067527
219.0,AVENIDA BRAVO MURILLO 4,377698.861,3149124.7343,-16.2492026367,28.4629663274
220.0,CALLE SABINO BERTHELOT 47,377309.6605,3149851.8651,-16.2532546408,28.4694917689
221.0,CALLE PEDRO BERNARDO FORSTALL 61,374979.2462,3150383.0075,-16.2771121478,28.4740636204
222.0,CALLE EMILIO CALZADILLA 22,377696.9369,3149791.2848,-16.2492930397,28.4689814506
223.0,CALLE EMILIO CALZADILLA 22,377701.8992,3149790.1672,-16.2492422423,28.4689718303
224.0,AVENIDA SAN SEBASTIAN 94,377096.1832,3149207.6014,-16.2553661088,28.4636574989
225.0,AVENIDA SAN SEBASTIAN 92,377106.1504,3149207.9784,-16.255264362,28.4636618406
226.0,AVENIDA SAN SEBASTIAN 90,377127.6076,3149208.7077,-16.2550453144,28.4636704442
227.0,CALLE LOS MOLINOS 12,377136.4633,3149137.757,-16.2549473133,28.4630309832
228.0,CALLE FERNANDEZ HERRERO 4,377252.3841,3149182.967,-16.2537683288,28.4634498985
229.0,CALLE CARMEN MONTEVERDE 40,377183.1106,3149523.2733,-16.2545120359,28.4665144738
230.0,CALLE LA ESTRELLA 2,373919.2497,3147562.2791,-16.2876293997,28.4485061376
231.0,RBLA BENTACAYSE 2,372655.3594,3144891.42,-16.3002397151,28.4242805311
232.0,CALLE VILLALBA HERVAS 4,377796.6932,3149660.6647,-16.2482603987,28.4678120205
233.0,CALLE PI Y MARGALL 28,377178.1865,3149790.3925,-16.2545908004,28.4689246291
234.0,CALLE PUERTO ESCONDIDO 5,377501.8154,3149847.7569,-16.2512917687,28.4694727644
235.0,CALLE LA OROTAVA 80,375234.2024,3150275.4773,-16.2744965999,28.4731176515
236.0,CALLE RIO SEGURA 9,374882.7365,3150077.6207,-16.2780646389,28.4712984215
237.0,CALLE ENRIQUE DE ANAGA 10,375680.7507,3150039.8485,-16.2699105484,28.4710338982
238.0,CALLE JOSE FONSPERTIUS 25,375256.8796,3150355.1109,-16.2742736217,28.4738384699
239.0,CALLE GÜIMAR 17,375086.1852,3150210.0722,-16.2760012112,28.4725132317
240.0,CALLE MENCEY BENCOMO 53,375440.5653,3150008.9012,-16.2723601793,28.470731688
241.0,CALLE GUIA DE ISORA 73,375356.116,3150248.8583,-16.2732486107,28.4728890938
242.0,CALLE ICOD 41,375391.8273,3150066.436,-16.2728641554,28.4712462495
243.0,CALLE GUIA DE ISORA 39,375308.908,3150150.019,-16.2737200468,28.4719926099
244.0,CALLE GUIA DE ISORA 21,375290.4889,3150111.9679,-16.2739040401,28.4716474582
245.0,CALLE LOS SILOS 69,375281.4396,3150237.5564,-16.2740100583,28.4727799575
246.0,CALLE LA OROTAVA 78,375251.0664,3150230.1371,-16.2743194564,28.4727100961
247.0,CALLE LA OROTAVA 70,375222.9621,3150208.1974,-16.2746041088,28.4725094128
248.0,CALLE LOS REALEJOS 18,375183.213,3150272.8807,-16.2750170751,28.4730893371
