FID,DIRECCION,UTM_X,UTM_Y,GRAD_X,GRAD_Y
314.0,CALLE GRAN DUQUE 1,370936.5861,3145591.0937,-16.3178635146,28.4304259137
315.0,CTRA DE HOYA FRIA 26,374251.6653,3146581.9366,-16.2841283538,28.439691179
316.0,CALLE ARCE 6,372014.1868,3146758.5118,-16.3069919945,28.4410671854
317.0,CALLE DONDIEGO 47,370602.6052,3145435.8783,-16.3212556435,28.428992147
318.0,CALLE CHIRIGER 10,372310.4787,3146503.0586,-16.3039386309,28.4387909014
319.0,CALLE DE LOS SUEÑOS 86,376149.9271,3150062.5554,-16.2651213537,28.4712834757
320.0,CALLE POETA TABARES BARTLET 36,376100.3285,3150066.4261,-16.2656283155,28.4713136935
321.0,CALLE FERNANDO PRIMO DE RIVERA 9,376469.6904,3149747.095,-16.2618218126,28.4684669511
322.0,PLAZA JOSE AROZENA PAREDES,377495.3198,3149897.303,-16.2513633758,28.4699192835
323.0,CALLE PEDRO DOBLADO CLAVERIE 16,374278.8877,3147853.5217,-16.2839890225,28.4511691371
324.0,CALLE SAN JUAN DE LA CRUZ 40,375168.9563,3147726.2841,-16.2748868357,28.4501063533
325.0,PSAJE SETIREA 2,375142.3696,3148230.8335,-16.2752129458,28.454657093
326.0,CALLE JUAN BAUTISTA ACEVEDO 12,375056.6178,3148315.1062,-16.2760977129,28.4554093971
327.0,"CALLE SENDA ""V"" 5",375288.3538,3148326.4944,-16.2737326111,28.4555343455
328.0,CALLE POETA TRUJILLO ARMAS 13,375199.7603,3148373.948,-16.2746424075,28.4559541151
329.0,CALLE GARCIA LORCA 3,375534.5524,3148405.1148,-16.2712270781,28.4562673677
330.0,CALLE ENRIQUE WOLFSON 39,376914.6871,3150225.1234,-16.2573282954,28.4728230042
331.0,CALLE SABINO BERTHELOT 33,377265.5613,3149803.0266,-16.2536998125,28.4690468744
332.0,CALLE NUMANCIA 3,377296.7039,3149883.688,-16.2533903532,28.4697777355
333.0,CALLE DOCTOR JOSE NAVEIRAS 2,377368.3727,3150155.4356,-16.2526873447,28.472236868
334.0,CALLE HECTOR 20,378163.4609,3151445.3906,-16.2447035527,28.4839526608
335.0,"CALLE PISTA MILITAR, (LA ALEGRIA) 8",378136.6448,3151470.7011,-16.2449801371,28.484178568
336.0,CALLE ATLANTICO 23,378701.5953,3151825.764,-16.2392470199,28.4874355663
337.0,CALLE PEDRO DELGADO 67,378774.9709,3151935.5367,-16.2385090833,28.4884330442
338.0,PLAYA DE LAS TERESITAS,384329.4585,3154355.2086,-16.182014528,28.5107749551
339.0,CALLE JUAN SILVESTRE 16,378870.226,3151807.2526,-16.2375225836,28.4872842004
340.0,CALLE JUAN SILVESTRE 18,378869.0209,3151812.2429,-16.2375354184,28.4873291235
341.0,CALLE ADONIS 3,378263.9741,3151425.8949,-16.243674829,28.4837861169
342.0,CTRA GENERAL DEL SUR 46,372453.1659,3146798.2122,-16.3025144784,28.4414684282
343.0,CALLE LA DAMA 1C,372383.3892,3147307.1857,-16.3032832001,28.4460547713
344.0,CALLE ROBERTO SANCHEZ SUAREZ 8,372652.3726,3147040.9928,-16.3005074018,28.4436788242
345.0,CALLE ZONZAMAS 10,372741.5438,3147031.3144,-16.2995958867,28.4436001809
346.0,CALLE ANTONIO LECUONA HARDISSON 16A,375156.1551,3147570.2244,-16.2750006511,28.4486967739
347.0,CALLE ANTONIO LECUONA HARDISSON 16A,375160.9815,3147571.8221,-16.2749515432,28.4487116541
348.0,CALLE EDUARDO ZAMACOIS 13,376511.9089,3149001.9127,-16.261310787,28.4617460626
349.0,PLAYA DE LAS TERESITAS,383662.3182,3153971.9366,-16.1887919168,28.5072565832
