FID,LONGITUD,CARRIL,VIARIO,LONGITUD_T,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,2378.0399818,Carril-Bici 1 Litoral,Ctra Autovía San Andrés,2378.0,378916.682917,3151684.42293,-16.2370351254,28.4861800378
1.0,1695.28379378,Carril-Bici 2 Los Majuelos,Avda Los Majuelos,1695.0,371208.2234,3146746.2511,-16.3152193557,28.4408772613
2.0,1039.43639342,Carril-Bici 1 Litoral,Avda Marítima,1039.0,377883.9627,3149838.3342,-16.2473879805,28.4694235814
3.0,1529.93414119,Carril-Bici 1 Litoral,Avda La Constitución,1530.0,376615.4419,3147942.9613,-16.2601401596,28.4521993533
4.0,1174.50036377,Carril-Bici 1 Litoral,Avda Francisco La Roche,1175.0,377883.9627,3149838.3342,-16.2473879805,28.4694235814
5.0,1027.82403206,Carril-Bici 1 Litoral,Avda Anaga,1028.0,378317.70568,3150858.41296,-16.2430660259,28.4786698791
