FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
2533.0,01081, APARCAMIENTO,2.0,2400.0,R2673,372700.270503,3145184.27618,-16.2998135411,28.4269277615
2534.0,22301,CALLE SAN JUAN DE LA RAMBLA,1.0,240.0,R2675,375175.945289,3149917.82836,-16.2750528245,28.4698844959
2535.0,10777,CALLE TRASERA 2 CONTINENTE,1.0,800.0,R2745,372687.11835,3145292.28473,-16.2999597159,28.4279011919
2536.0,43065,CTRA DE HOYA FRIA,9.0,800.0,R2677,374238.399387,3146477.81099,-16.2842524461,28.4387502255
2537.0,42924,CALLE ISIDORO LUZ CARPENTER,1.0,800.0,R2676,375381.735417,3147741.82173,-16.2727158636,28.4502669129
2538.0,32713,CTRA DEL ROSARIO,1.0,240.0,R2678,374866.811187,3148236.95015,-16.2780274064,28.4546858881
2539.0,11141,CALLE ROBAYNA,6.0,800.0,R2681,377120.860036,3149743.27994,-16.2551712338,28.4684940596
2540.0,31772,CALLE SANTA MARIA SOLEDAD,3.0,2400.0,R1095,373969.94739,3148692.26278,-16.2872352679,28.4587084733
2541.0,10321,CALLE JESUS HERNANDEZ GUZMAN,2.0,800.0,R2680,374522.036037,3146766.07236,-16.2813879514,28.4413789219
2542.0,10025,AVDA FRANCISCO LA ROCHE,1.0,3200.0,R2679,378263.099744,3150815.37318,-16.2436192039,28.4782763653
