"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"F002","Mercats i centres comercials","Mercats i fires al carrer",431890351,4589061476,431798408,4588860478,"2.183501","41.448428","Petit Mercat de Trinitat Nova",8,53,"Nou Barris","la Trinitat Nova","Chafarinas. 21","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer",431527092,4590516842,431435153,4590315831,"2.178987","41.461505","Fira del Col·leccionisme de la Zona Nord",8,55,"Nou Barris","Ciutat Meridiana","Av Rasos de Peguera. 27","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer",430773378,4587986651,430681445,4587785663,"2.170254","41.438652","Fira del Llibre i Filatèlia de Nou Barris",8,48,"Nou Barris","la Guineueta","Pg Valldaura. 186*190",933533251
"F002","Mercats i centres comercials","Mercats i fires al carrer",426731473,4583750999,426639576,4583550052,"2.122391","41.400145","Mostra d'Art *Plaça de Sarrià",5,23,"Sarrià-Sant Gervasi","Sarrià","Pl Sarrià. 1","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer",432407531,4587628494,432315583,4587427509,"2.189853","41.435566","Mercat de Pintors de Sant Andreu",9,60,"Sant Andreu","Sant Andreu","Pl Comerç. 1","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer",428217,4581392,428125089,4581191074,"2.14044","41.379033","Mercat del Vell *Estació de Sants",3,18,"Sants-Montjuïc","Sants","Est Sants. 0",934956401
"F002","Mercats i centres comercials","Mercats i fires al carrer",431074912,4584244822,430982975,4584043869,"2.17429","41.404977","Fira Tradicional de Productes Naturals de la Plaça Sagrada Família",2,6,"Eixample","la Sagrada Família","Av Gaudí. 1",938432357
"F002","Mercats i centres comercials","Mercats i fires al carrer",431026496,4581753474,430934559,4581552544,"2.173995","41.382534","Mostra d'Art *Pl Sant Josep Oriol",1,2,"Ciutat Vella","el Barri Gòtic","Pl Sant Josep Oriol. 1","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer",433332993,4583802662,433241035,4583601712,"2.201351","41.401185","Fira d'Artesans Rambla Poblenou",10,68,"Sant Martí","el Poblenou","Rbla Poblenou. 72","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer",431141706,4581893707,431049768,4581692776,"2.175356","41.383807","Mercat Gòtic Antiguitats *Plaça Nova",1,2,"Ciutat Vella","el Barri Gòtic","Pl Nova. 1","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer",427385525,4582469515,427293622,4582268579,"2.130369","41.388663","Fira Espai d'Art  *Av Diagonal",4,19,"Les Corts","les Corts","Av Diagonal. 601","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer",429316205,4585209294,429224285,4585008332,"2.153138","41.413511","Mostra d'Art *Park Guell",6,30,"Gràcia","la Salut","C Olot. 7","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer",427348906,"4582075.66",427257003,4581874728,"2.129978","41.385112","Fira de Menjar Artesanal  La Dama d'Or *Plaça Comas",4,19,"Les Corts","les Corts","Pl Comas. 7*8","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer",428403859,4582298021,428311946,4582097087,"2.142568","41.387209","Fira de Brocanters *Josep Tarradellas",4,19,"Les Corts","les Corts","Av Josep Tarradellas. 101","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer",432022681,4583801279,431930735,"4583600.33","2.185677","41.401063","Mercat Encants Vells Fira de Bellcaire",2,5,"Eixample","el Fort Pienc","C Castillejos. 158",932463030
"F002","Mercats i centres comercials","Mercats i fires al carrer",431113837,4590431637,431021901,4590230627,"2.174049","41.460702","Petit Mercat de Zona Nord",8,55,"Nou Barris","Ciutat Meridiana","Av Rasos de Peguera. 172","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer",432945876,4585835043,432853922,4585634075,"2.196495","41.419458","Petit Mercat de Provençals",10,72,"Sant Martí","Sant Martí de Provençals","C Menorca. 19*23",932916000
"F002","Mercats i centres comercials","Mercats i fires al carrer",429650887,"4580148.44",429558962,4579947525,"2.157731","41.367959","Art Montjuïc - Espai d'Art a l'Aire Lliure",3,11,"Sants-Montjuïc","el Poble-sec","Pg Santa Madrona. 28","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer","427671.62",4584499791,427579714,4584298836,"2.133547","41.406974","Fira Petit Artesà *Plaça Bonanova",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","Pl Bonanova. 1","null"
"F002","Mercats i centres comercials","Mercats i fires al carrer",428263821,"4578486.49",428171908,4578285591,"2.141344","41.352868","Petit Mercat de la Zona Franca",3,12,"Sants-Montjuïc","la Marina del Prat Vermell","Pl Nou. 1",932914256
