"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"F001","Mercats i centres comercials","Mercats municipals","427653.84","4580921.1",427561934,4580720179,"2.133763","41.374741","Mercat de Sants",3,18,"Sants-Montjuïc","Sants","C Sant Jordi. 6",933158359
"F001","Mercats i centres comercials","Mercats municipals",431305374,"4584324.89",431213435,4584123936,"2.177037","41.405718","Mercat de la Sagrada Família",2,6,"Eixample","la Sagrada Família","C Padilla. 255",934363452
"F001","Mercats i centres comercials","Mercats municipals",429352936,4583679674,429261015,4583478727,"2.153756","41.399737","Mercat de la Llibertat",6,31,"Gràcia","la Vila de Gràcia","Pl Llibertat. 27",932170995
"F001","Mercats i centres comercials","Mercats municipals",431755652,"4583216.45",431663708,4583015506,"2.182549","41.395773","Mercat del Fort Pienc",2,5,"Eixample","el Fort Pienc","Pl Fort Pienc. 3",932655371
"F001","Mercats i centres comercials","Mercats municipals",429551218,4586342765,429459296,4586141793,"2.155818","41.42374","Mercat del Carmel",7,37,"Horta-Guinardó","el Carmel","C Llobregós. 149",934204638
"F001","Mercats i centres comercials","Mercats municipals",432278191,4584526502,432186243,4584325546,"2.188652","41.407616","Mercat del Clot",10,65,"Sant Martí","el Clot","Pl Mercat. 26",932318604
"F001","Mercats i centres comercials","Mercats municipals",430124637,4581455977,430032708,"4581255.05","2.163244","41.379777","Mercat de Sant Antoni",2,10,"Eixample","Sant Antoni","Rda Sant Antoni. 15",934234287
"F001","Mercats i centres comercials","Mercats municipals",428435386,4586389449,428343474,4586188477,"2.14246","41.424062","Mercat de Vall d'Hebron -Teixonera",7,38,"Horta-Guinardó","la Teixonera","Pg Vall d'Hebron. 130*134",934283184
"F001","Mercats i centres comercials","Mercats municipals","430620.63",4583207001,430528697,4583006058,"2.168974","41.395591","Mercat de La Concepció",2,7,"Eixample","la Dreta de l'Eixample","C Aragó. 311*LB",934575329
"F001","Mercats i centres comercials","Mercats municipals",433683471,4585739187,"433591.51",4585538219,"2.205331","41.418656","Mercat de Sant Martí",10,73,"Sant Martí","la Verneda i la Pau","C Puigcerdà. 206*212",933133449
"F001","Mercats i centres comercials","Mercats municipals",430773386,"4587986.65",430681453,4587785662,"2.170254","41.438652","Mercat de La Guineueta",8,48,"Nou Barris","la Guineueta","Pg Valldaura. 186*190",933541227
"F001","Mercats i centres comercials","Mercats municipals",430856541,4581805239,430764605,4581604309,"2.171956","41.382986","Mercat de les Flors *Les Rambles",1,2,"Ciutat Vella","el Barri Gòtic","C la Rambla. 116","null"
"F001","Mercats i centres comercials","Mercats municipals",431380955,4582178683,431289015,4581977749,"2.178185","41.386394","Mercat de Santa Caterina",1,4,"Ciutat Vella","Sant Pere. Santa Caterina i la Ribera","Av Francesc Cambó. 16",933195740
"F001","Mercats i centres comercials","Mercats municipals","429972.69",4581462448,429880762,4581261521,"2.161426","41.379822","Mercat Dominical de Sant Antoni",2,10,"Eixample","Sant Antoni","C Comte d'Urgell. 11",934234287
"F001","Mercats i centres comercials","Mercats municipals",430979622,4590366816,430887688,4590165806,"2.17245","41.460107","Mercat de Núria",8,55,"Nou Barris","Ciutat Meridiana","Av Rasos de Peguera. 186",933539603
