CODI_OBJECTIU," TIPUS_OBJECTIU",DESC_OBJECTIU,OBJECTIU_LIMIT,VALOR_REALITZAT
1,d'estabilitat," superàvit /dèficit",">= 0","31,7"
2,"de deute","trasllat en la ràtio Deute viu / Ingressos corrents","75,00%","37,30%"
3,"de regla de despesa"," limitació del creixement de la ""despesa computable""","2.200,80","2.196,50"
