,"Dte.","Barri de baixa","Districte d'alta: Mitjana edat
homes","Districte d'alta: Mitjana edat
dones",,"Districte de baixa: Mitjana edat
homes","Districte de baixa: Mitjana edat
dones"
,"BARCELONA",,"33.2","34.8",,"33.2","34.8"
,1,"1. el Raval","32.1",31,,"32.9","32.4"
,1,"2. el Barri Gòtic","33.9","32.4",,"34.2","33.6"
,1,"3. la Barceloneta","34.6","35.9",,"34.2","36.3"
,1,"4. Sant Pere, Santa Caterina i la Ribera","32.5","33.1",,"33.1","34.1"
,2,"5. el Fort Pienc","32.6","33.9",,"33.3","34.9"
,2,"6. la Sagrada Família","33.6",36,,"33.2","35.5"
,2,"7. la Dreta de l'Eixample","36.2","39.6",,"34.3","36.7"
,2,"8. l'Antiga Esquerra de l'Eixample","34.6","36.6",,"35.2","35.8"
,2,"9. la Nova Esquerra de l'Eixample","34.1","35.3",,34,"34.6"
,2,"10. Sant Antoni","34.5","34.9",,"33.5",35
,3,"11. el Poble Sec - AEI Parc Montjuïc",33,"33.1",,"32.8",34
,3,"12. la Marina del Prat Vermell - AEI Zona Franca",35,"36.4",,"30.4","32.4"
,3,"13. la Marina de Port","33.4","34.6",,"32.7","33.7"
,3,"14. la Font de la Guatlla","36.8",39,,"33.2","35.5"
,3,"15. Hostafrancs",34,"33.6",,"33.6","34.3"
,3,"16. la Bordeta","34.7","38.2",,"33.3","36.3"
,3,"17. Sants - Badal","32.4","34.7",,"33.1","34.3"
,3,"18. Sants","33.3","34.6",,"33.8","36.4"
,4,"19. les Corts","34.9",36,,"34.3","34.9"
,4,"20. la Maternitat i Sant Ramon","33.5",35,,"32.6","35.6"
,4,"21. Pedralbes","32.3","31.8",,35,"36.6"
,5,"22. Vallvidrera, el Tibidabo i les Planes","32.8","35.5",,"33.6","35.5"
,5,"23. Sarrià","31.6","37.1",,"32.3","33.4"
,5,"24. les Tres Torres","32.1","35.3",,"34.6","33.2"
,5,"25. Sant Gervasi - la Bonanova","32.7","37.1",,"34.9","35.3"
,5,"26. Sant Gervasi - Galvany","33.2",35,,"33.5","37.8"
,5,"27. el Putxet i el Farró","33.6","33.7",,"33.8","34.9"
,6,"28. Vallcarca i els Penitents","36.1","39.1",,"36.2",36
,6,"29. el Coll","33.3","34.2",,"35.5","35.2"
,6,"30. la Salut","32.7","36.7",,"32.2","38.5"
,6,"31. la Vila de Gràcia","32.9","34.6",,"33.5","34.5"
,6,"32. el Camp d'en Grassot i Gràcia Nova","33.2","35.6",,"33.1",36
,7,"33. el Baix Guinardó","36.3","41.1",,"33.2","36.8"
,7,"34. Can Baró","33.5","33.9",,"36.3","35.6"
,7,"35. el Guinardó","33.8","35.3",,"32.9","36.1"
,7,"36. la Font d'en Fargues","34.7","32.9",,"36.1",35
,7,"37. el Carmel","30.9",33,,"31.9","33.9"
,7,"38. la Teixonera",34,"36.6",,"33.5","35.7"
,7,"39. Sant Genís dels Agudells","35.6","34.6",,"36.2",35
,7,"40. Montbau","40.7","46.2",,"36.5",39
,7,"41. la Vall d'Hebron","36.1","36.6",,"35.2","32.7"
,7,"42. la Clota","31.8",30,,"29.9","32.6"
,7,"43. Horta","33.8","36.2",,33,"35.7"
,8,"44. Vilapicina i la Torre Llobeta","33.1","35.7",,"33.2","35.9"
,8,"45. Porta","33.3","34.7",,"33.3","34.4"
,8,"46. el Turó de la Peira","31.6","32.9",,"30.5","33.5"
,8,"47. Can Peguera","32.4","30.1",,"30.8","32.6"
,8,"48. la Guineueta","31.4","32.5",,"34.1","35.7"
,8,"49. Canyelles","31.7","32.5",,"34.2",34
,8,"50. les Roquetes",30,"32.2",,"30.2","31.6"
,8,"51. Verdun","32.2","33.4",,"31.4","33.6"
,8,"52. la Prosperitat","33.8","36.3",,"32.3","36.6"
,8,"53. la Trinitat Nova","33.3","37.6",,33,"35.7"
,8,"54. Torre Baró",30,"36.4",,"35.7","34.6"
,8,"55. Ciutat Meridiana","29.1","30.5",,"29.6","31.7"
,8,"56. Vallbona","39.3",35,,"29.2","33.7"
,9,"57. la Trinitat Vella","29.8","30.4",,"30.8","30.1"
,9,"58. Baró de Viver",35,"35.1",,"34.4","29.3"
,9,"59. el Bon Pastor","32.9","30.9",,"31.6","33.1"
,9,"60. Sant Andreu","33.6","35.8",,"34.5","35.6"
,9,"61. la Sagrera","31.9","35.2",,"32.2","33.7"
,9,"62. el Congrés i els Indians","33.6","34.5",,"33.3","38.3"
,9,"63. Navas","34.3","33.3",,"32.6",34
,10,"64. el Camp de l'Arpa del Clot","33.5","34.5",,"33.2","34.8"
,10,"65. el Clot","32.2","34.6",,"34.5","35.7"
,10,"66. el Parc i la Llacuna del Poblenou","33.4","33.9",,"31.8","33.9"
,10,"67. la Vila Olímpica del Poblenou",31,"34.5",,"31.9","34.4"
,10,"68. el Poblenou","33.6",35,,"33.5","34.1"
,10,"69. Diagonal Mar i el Front Marítim del Poblenou","32.6",33,,"30.2",34
,10,"70. el Besòs i el Maresme","30.7","29.8",,"30.9","31.6"
,10,"71. Provençals del Poblenou",32,"32.9",,"32.8","33.2"
,10,"72. Sant Martí de Provençals","34.6","34.6",,"33.3","34.6"
,10,"73. la Verneda i la Pau","32.8","35.4",,32,"34.5"
