Dte,Barris,Total,UnImmoble,DosImmobles,TresImmobles,QuatreImmobles," DeCincANou",DeDeuADinou," DeVintAVintINou"," DeTrentaATrentaNou",QuarantaIMes
BARCELONA,,70.717,14.919,4.104,2.820,2.868,12.280,19.930,7.596,3.723,2.477
1,"1. el Raval",1.851,66,13,18,43,509,948,209,29,16
1,"2. el Barri Gòtic",1.106,68,..,..,56,413,482,62,..,..
1,"3. la Barceloneta",1.160,210,37,64,72,374,329,64,..,..
1,"4. Sant Pere, Santa Caterina i la Ribera",1.492,35,22,22,70,632,615,63,18,15
2,"5. el Fort Pienc",611,11,..,..,..,31,196,125,162,78
2,"6. la Sagrada Família",1.533,134,73,36,39,181,489,250,221,110
2,"7. la Dreta de l'Eixample",1.896,37,15,..,..,244,1.119,304,100,61
2,"8. l'Antiga Esquerra de l'Eixample",1.518,24,17,..,..,179,792,263,166,59
2,"9. la Nova Esquerra de l'Eixample",1.283,28,16,..,10,73,475,284,252,142
2,"10. Sant Antoni",1.135,30,..,..,..,67,610,182,162,70
3,"11. el Poble Sec - AEI Parc Montjuïc",1.583,128,56,38,52,275,732,210,71,21
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",110,46,26,..,..,11,..,10,..,..
3,"13. la Marina de Port",514,47,29,14,..,32,172,90,50,77
3,"14. la Font de la Guatlla",348,100,14,..,17,41,80,38,17,39
3,"15. Hostafrancs",727,45,21,42,61,223,214,65,32,24
3,"16. la Bordeta",493,31,45,34,35,114,80,64,34,56
3,"17. Sants - Badal",944,95,62,56,42,197,255,143,52,42
3,"18. Sants",2.287,269,207,157,198,631,478,195,97,55
4,"19. les Corts",1.256,176,59,34,43,128,318,219,151,128
4,"20. la Maternitat i Sant Ramon",598,130,31,24,26,78,100,77,52,80
4,"21. Pedralbes",622,344,29,..,..,45,89,65,28,16
5,"22. Vallvidrera, el Tibidabo i les Planes",1.105,1.006,36,17,..,25,..,..,..,..
5,"23. Sarrià",2.034,834,262,124,95,267,305,104,28,15
5,"24. les Tres Torres",631,97,21,11,22,123,279,56,..,15
5,"25. Sant Gervasi - la Bonanova",1.310,464,54,36,43,144,394,102,43,30
5,"26. Sant Gervasi - Galvany",1.836,116,34,28,48,274,898,281,113,44
5,"27. el Putxet i el Farró",1.490,264,94,59,69,245,508,168,64,19
6,"28. Vallcarca i els Penitents",1.285,592,95,62,43,193,183,86,18,13
6,"29. el Coll",574,188,57,36,30,105,124,30,..,..
6,"30. la Salut",545,123,22,22,25,104,143,69,20,17
6,"31. la Vila de Gràcia",3.934,557,291,251,313,1.091,1.076,273,55,27
6,"32. el Camp d'en Grassot i Gràcia Nova",1.181,72,48,34,41,243,384,174,126,59
7,"33. el Baix Guinardó",740,102,22,18,24,88,176,161,93,56
7,"34. Can Baró",674,199,68,53,44,139,112,39,..,11
7,"35. el Guinardó",2.064,429,169,122,115,361,570,222,56,20
7,"36. la Font d'en Fargues",1.019,558,72,55,28,157,114,27,..,..
7,"37. el Carmel",1.791,380,175,131,116,322,437,192,24,14
7,"38. la Teixonera",759,172,68,75,57,162,165,48,..,..
7,"39. Sant Genís dels Agudells",333,167,26,13,..,24,38,22,13,22
7,"40. Montbau",274,109,10,..,..,42,95,..,..,14
7,"41. la Vall d'Hebron",93,10,..,..,..,10,13,..,24,28
7,"42. la Clota",140,102,23,..,..,..,..,..,..,..
7,"43. Horta",2.106,915,165,88,70,344,389,109,23,..
8,"44. Vilapicina i la Torre Llobeta",1.086,119,128,76,38,192,296,158,59,20
8,"45. Porta",817,78,37,33,33,127,237,211,32,29
8,"46. el Turó de la Peira",363,18,11,..,..,46,60,149,45,20
8,"47. Can Peguera",674,611,32,..,..,..,13,..,..,..
8,"48. la Guineueta",293,..,..,..,..,123,51,24,45,48
8,"49. Canyelles",79,..,..,..,..,..,..,..,20,48
8,"50. les Roquetes",926,173,88,72,60,263,208,52,..,..
8,"51. Verdun",601,31,41,30,30,199,201,53,11,..
8,"52. la Prosperitat",1.159,126,81,66,68,253,362,163,28,12
8,"53. la Trinitat Nova",214,..,..,..,..,79,72,46,..,..
8,"54. Torre Baró",488,332,79,33,20,20,..,..,..,..
8,"55. Ciutat Meridiana",253,..,..,..,..,..,213,11,25,..
8,"56. Vallbona",159,108,12,..,..,15,..,..,..,..
9,"57. la Trinitat Vella",619,119,53,48,69,182,127,19,..,..
9,"58. Baró de Viver",66,..,..,..,..,14,23,26,..,..
9,"59. el Bon Pastor",1.091,675,85,21,20,65,142,72,..,..
9,"60. Sant Andreu",3.242,1.289,341,186,143,396,413,232,150,92
9,"61. la Sagrera",705,113,31,28,25,88,126,86,111,97
9,"62. el Congrés i els Indians",695,63,30,34,37,157,304,61,..,..
9,"63. Navas",699,101,71,46,17,87,120,115,102,40
10,"64. el Camp de l'Arpa del Clot",1.854,333,145,122,117,363,428,170,131,45
10,"65. el Clot",801,80,55,19,35,165,210,89,75,73
10,"66. el Parc i la Llacuna del Poblenou",350,16,..,16,10,44,100,65,60,30
10,"67. la Vila Olímpica del Poblenou",446,129,..,..,..,32,222,32,..,..
10,"68. el Poblenou",1.497,193,90,97,96,354,392,184,54,37
10,"69. Diagonal Mar i el Front Marítim del Poblenou",286,46,..,..,..,18,113,40,15,39
10,"70. el Besòs i el Maresme",918,525,40,14,..,..,110,104,75,37
10,"71. Provençals del Poblenou",449,95,29,17,21,35,46,56,55,95
10,"72. Sant Martí de Provençals",472,23,..,..,..,..,202,105,54,82
10,"73. la Verneda i la Pau",430,..,..,..,..,..,133,106,103,86
