"Característiques de la població per barris. Any 2017",,,,,,,,
"Any d'alta al padró de la població masculina",,,,,,,,
,"Dte.","Barris","TOTAL","Menys d'1 any","D'1 a 5 anys","De 6 a 15 anys","Més de 15 anys","No consta"
,"BARCELONA",,768871,53897,170302,174081,370250,341
,1,"1. el Raval",26022,3649,10087,6886,5390,10
,1,"2. el Barri Gòtic",8440,1392,3123,1829,2092,4
,1,"3. la Barceloneta",7511,917,2389,1425,2774,6
,1,"4. Sant Pere, Santa Caterina i la Ribera",11431,1474,4011,2701,3233,12
,2,"5. el Fort Pienc",15086,1199,3594,3503,6786,4
,2,"6. la Sagrada Família",23637,1795,5262,5065,11501,14
,2,"7. la Dreta de l'Eixample",20504,1667,5032,4930,8859,16
,2,"8. l'Antiga Esquerra de l'Eixample",19760,1657,5123,4604,8370,6
,2,"9. la Nova Esquerra de l'Eixample",27058,2024,6138,6010,12871,15
,2,"10. Sant Antoni",18200,1343,4504,4298,8036,19
,3,"11. el Poble Sec - AEI Parc Montjuïc",19895,1883,5662,5247,7093,10
,3,"12. la Marina del Prat Vermell - AEI Zona Franca",598,34,125,111,328,0
,3,"13. la Marina de Port",14726,856,2720,3366,7781,3
,3,"14. la Font de la Guatlla",4908,381,1120,1062,2343,2
,3,"15. Hostafrancs",7625,642,2029,1650,3302,2
,3,"16. la Bordeta",8748,541,1739,1848,4617,3
,3,"17. Sants - Badal",11235,808,2529,2382,5513,3
,3,"18. Sants",19388,1480,4538,4261,9098,11
,4,"19. les Corts",21404,1242,4052,4295,11806,9
,4,"20. la Maternitat i Sant Ramon",11201,687,2352,2165,5992,5
,4,"21. Pedralbes",5673,431,1367,1279,2584,12
,5,"22. Vallvidrera, el Tibidabo i les Planes",2327,105,506,641,1068,7
,5,"23. Sarrià",11681,685,2514,2942,5527,13
,5,"24. les Tres Torres",7721,373,1514,2049,3782,3
,5,"25. Sant Gervasi - la Bonanova",11920,686,2456,2821,5956,1
,5,"26. Sant Gervasi - Galvany",21534,1336,4290,5293,10594,21
,5,"27. el Putxet i el Farró",13441,804,2766,3223,6635,13
,6,"28. Vallcarca i els Penitents",7266,407,1451,1792,3614,2
,6,"29. el Coll",3476,210,678,816,1770,2
,6,"30. la Salut",6068,374,1139,1303,3246,6
,6,"31. la Vila de Gràcia",23143,1778,6071,5339,9934,21
,6,"32. el Camp d'en Grassot i Gràcia Nova",15716,928,3083,3414,8283,8
,7,"33. el Baix Guinardó",11843,671,2285,2514,6371,2
,7,"34. Can Baró",4228,226,802,897,2302,1
,7,"35. el Guinardó",17062,1025,3328,3726,8978,5
,7,"36. la Font d'en Fargues",4465,165,593,914,2793,0
,7,"37. el Carmel",15098,835,2709,3239,8314,1
,7,"38. la Teixonera",5618,346,951,1219,3099,3
,7,"39. Sant Genís dels Agudells",3255,218,579,679,1778,1
,7,"40. Montbau",2312,130,404,474,1303,1
,7,"41. la Vall d'Hebron",2744,149,429,514,1652,0
,7,"42. la Clota",314,9,87,67,151,0
,7,"43. Horta",12554,648,2147,2534,7223,2
,8,"44. Vilapicina i la Torre Llobeta",11789,613,2154,2417,6602,3
,8,"45. Porta",11660,748,2233,2506,6169,4
,8,"46. el Turó de la Peira",7173,490,1668,1676,3337,2
,8,"47. Can Peguera",1056,42,151,236,627,0
,8,"48. la Guineueta",7051,287,1001,1404,4359,0
,8,"49. Canyelles",3282,94,407,594,2187,0
,8,"50. les Roquetes",7544,532,1630,1749,3632,1
,8,"51. Verdun",5754,370,1211,1259,2912,2
,8,"52. la Prosperitat",12392,654,2175,2669,6893,1
,8,"53. la Trinitat Nova",3458,232,744,893,1589,0
,8,"54. Torre Baró",1415,83,327,400,605,0
,8,"55. Ciutat Meridiana",5102,460,1382,1328,1932,0
,8,"56. Vallbona",678,50,147,195,286,0
,9,"57. la Trinitat Vella",5159,420,1479,1342,1918,0
,9,"58. Baró de Viver",1233,59,257,295,622,0
,9,"59. el Bon Pastor",6262,360,1290,1624,2988,0
,9,"60. Sant Andreu",26981,1186,4305,5650,15838,2
,9,"61. la Sagrera",13586,763,2449,2927,7444,3
,9,"62. el Congrés i els Indians",6484,346,1213,1483,3439,3
,9,"63. Navas",10378,609,1902,2291,5576,0
,10,"64. el Camp de l'Arpa del Clot",17943,1135,3676,3923,9200,9
,10,"65. el Clot",12961,705,2462,2772,7020,2
,10,"66. el Parc i la Llacuna del Poblenou",7354,561,1836,1649,3303,5
,10,"67. la Vila Olímpica del Poblenou",4609,250,944,1192,2221,2
,10,"68. el Poblenou",16491,1072,3711,4342,7361,5
,10,"69. Diagonal Mar i el Front Marítim del Poblenou",6736,476,1658,1859,2737,6
,10,"70. el Besòs i el Maresme",11571,1189,3129,2527,4724,2
,10,"71. Provençals del Poblenou",9968,548,1974,2169,5275,2
,10,"72. Sant Martí de Provençals",12326,653,2253,2597,6816,7
,10,"73. la Verneda i la Pau",13639,700,2256,2786,7896,1
