name,title_ca, title_es, title_en,license_title, date_published, organization_parent_name_ca, organization_name_ca, frequency, total_views, total_downloads, tags_list, fuente, url_tornada_ca, url_tornada_es, url_tornada_en, notes_ca, notes_es, notes_en, url_busqueda_ca, url_busqueda_es, url_busqueda_en, xml, xlsx, bdf, sbn, zip, wms, shp, sbx, kml, prj, dat, shx, json, rdf, dbase, tif, csv, xls, wmts, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016
20170706-districtes-barris,"Districtes i Barris de la Ciutat de Barcelona", "Distritos y Barrios de la Ciudad de Barcelona", "Barcelona Districts and Neighborhoods","Creative Commons Attribution 4.0", 2017-07-06, "Administració", "Sector públic", "PETICIO_ALCALDIA", 184, 3, " Barri Barris de Barcelona Districtes", "Ajuntament de Barcelona", "http://www.bcn.cat/cartobcn", "http://w20.bcn.cat/cartobcn/default.aspx?lang=es", "http://w20.bcn.cat/cartobcn/default.aspx?lang=en", "Llista de districtes i barris de la Ciutat de Barcelona. 10 districtes i 73 barris aprovats el 2005 i vigents en l’actualitat. El criteri de numeració és l'oficial.", "Lista de distritos y barrios de la Ciudad de Barcelona. 10 distritos y 73 barrios aprobados en 2005 y vigentes en la actualidad. El criterio de numeración es el oficial.", "List of districts and neighborhoods of the city of Barcelona. 10 districts and 73 neighborhoods instaured in 2015 and still in force. The numbering is the oficial one. ", http://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=20170706-districtes-barris, http://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=20170706-districtes-barris, http://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=20170706-districtes-barris, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, S, N, N, N, N, N, N, N, N, N, N, N, N, N, N
accidents-causes-gu-bcn,"Descripció de la causalitat dels accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona", "Descripción de la causalidad de los accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona", "Description accidents causality handled by the police in the city of Barcelona","Creative Commons Attribution 4.0", 2015-11-19, "Ciutat i serveis", "Seguretat", "ANUAL", 249, 73, " Accidentalitat Any 2010 Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Causa Guàrdia Urbana", "Ajuntament de Barcelona", "http://ajuntament.barcelona.cat/guardiaurbana/ca/node", "http://ajuntament.barcelona.cat/guardiaurbana/es/node", "http://ajuntament.barcelona.cat/guardiaurbana/en/node", "Llistat de de la causalitat dels accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Un accident pot tenir una o més causes mediates les quals fan referència a factors externs del resultat en temps, lloc o grau  ( ex: Alcoholèmia i Excés de velocitat o inadequada). ", "Listado de  de la causalidad de los accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona. Un accidente puede tener una o más causas mediatas las cuales hacen referencia a factores externos del resultado en tiempo, lugar o grado (ej : Alcoholemia y Exceso de velocidad o inadecuada ) .", "Listing accidents causality of accidents mediate managed by the Police in the city of Barcelona . An accident can have one or more causes mediated  which refer to external factors result in time, place or degree (eg alcohol and Speeding or improper ) .", http://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-causes-gu-bcn, http://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-causes-gu-bcn, http://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-causes-gu-bcn, S, S, N, N, N, N, N, N, N, N, N, N, N, N, N, N, S, N, N, N, N, N, N, N, S, S, S, S, S, S, S
accidents-gu-bcn,"Accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona", "Accidentes gestionados por la Guardia Urbana  en la ciudad de Barcelona", "Accident managed by the local police in the city of Barcelona","Creative Commons Attribution 4.0", 2015-06-10, "Ciutat i serveis", "Seguretat", "ANUAL", 344, 115, " Accidentalitat Any 2010 Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Guàrdia Urbana", "Aplicació Accidents", "http://ajuntament.barcelona.cat/guardiaurbana/ca/node", "http://ajuntament.barcelona.cat/guardiaurbana/es/node", "http://ajuntament.barcelona.cat/guardiaurbana/en/node", "Llistat dels accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. El sistema en el que se expressen les coordenades és el UTM31/ED50 .Incorpora el número de lesionats segons gravetat, el número de vehicles implicats i el punt d'impacte.", "Listado de los accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona. El sistema en el que se expresan  las coordenadas es el UTM31/ED50. Incorpora el número de lesionados segun gravedad, el número de vehiculos y el punto de impacto.", "List of accidents handled by the local police in the city of Barcelona. System coordinates UTM31/ED50 . Incorporates the number of injuries by severity, the number of vehicles and the point of impact.", http://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-gu-bcn, http://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-gu-bcn, http://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-gu-bcn, S, S, N, N, N, N, N, N, N, N, N, N, N, N, N, N, S, N, N, N, N, N, N, N, S, S, S, S, S, S, S
accidents-persones-gu-bcn,"Persones involucrades en accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona", "Personas involucradas en  accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona", "People involved in accidents managed by the Police in the city of Barcelona ","Creative Commons Attribution 4.0", 2015-11-19, "Ciutat i serveis", "Seguretat", "ANUAL", 229, 58, " Accidentalitat Any 2010 Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Guàrdia Urbana Persones", "Ajuntament de Barcelona", "http://ajuntament.barcelona.cat/guardiaurbana/ca/node", "http://ajuntament.barcelona.cat/guardiaurbana/es/node", "http://ajuntament.barcelona.cat/guardiaurbana/en/node", "Llistat de les persones que han estat involucrades en un accident gestionats per la Guàrdia Urbana a la ciutat de Barcelona i que han sofert algun tipus de lesió ( ferit lleu, ferit greu o mort). Inclou descripció de la persona (conductor, passatger o vianant), sexe, edat, vehicle associat a la persona i si la causa ha sigut del vianant.", "Personas involucradas en un accidente gestionado por la Guardia Urbana en la ciudad de Barcelona y que han sufrido algún tipo de lesión ( herido leve , herido grave o muerte). Incluye descripción de la persona ( conductor, pasajero o peatón ) , sexo , edad , vehículo asociado a la persona y si la causa ha sido del peatón.", "List of people who have been involved in an accident managed by the Police in the city of Barcelona have suffered some type of injury ( slightly wounded , serious injuries or death) . It includes a description of the person ( driver, passenger or pedestrian) , sex , age, vehicle associated person if the cause was pedestrian .", http://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-persones-gu-bcn, http://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-persones-gu-bcn, http://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-persones-gu-bcn, N, S, N, N, N, N, N, N, N, N, N, N, N, N, N, N, S, N, N, N, N, N, N, N, S, S, S, S, S, S, S
accidents-tipus-gu-bcn,"Accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona segons tipologia.", "Accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona según tipología.", "Accidents managed by the Police in the city of Barcelona according to type .","Creative Commons Attribution 4.0", 2015-11-19, "Ciutat i serveis", "Seguretat", "ANUAL", 210, 59, " Accidentalitat Any 2010 Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Guàrdia Urbana Tipus", "Ajuntament de Barcelona", "http://ajuntament.barcelona.cat/guardiaurbana/ca/node", "http://ajuntament.barcelona.cat/guardiaurbana/es/node", "http://ajuntament.barcelona.cat/guardiaurbana/en/node", "Llistat dels tipus d’accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Un accident pot estar tipificat com més d’un tipus ( ex: caiguda (dues rodes) i abasti).", "Listado de los tipos de accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona. Un accidente puede ser tipificado como más de un tipo (ej : caída ( dos ruedas ) y abarque ) .", "List of types of accidents handled by the police in the city of Barcelona . An accident can be classified as more than one type (eg falling ( two wheels ) and cover ) .", http://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-tipus-gu-bcn, http://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-tipus-gu-bcn, http://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-tipus-gu-bcn, S, S, N, N, N, N, N, N, N, N, N, N, N, N, N, N, S, N, N, N, N, N, N, N, S, S, S, S, S, S, S
accidents-vehicles-gu-bcn,"Vehicles implicats en accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona", "Vehículos implicados en accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona", "Vehicles involved in accidents handled by the police in the city of Barcelona ","Creative Commons Attribution 4.0", 2015-11-19, "Ciutat i serveis", "Seguretat", "ANUAL", 207, 94, " Accidentalitat Any 2010 Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Guàrdia Urbana Vehicles", "Ajuntament de Barcelona", "http://ajuntament.barcelona.cat/guardiaurbana/ca/node", "http://ajuntament.barcelona.cat/guardiaurbana/es/node", "http://ajuntament.barcelona.cat/guardiaurbana/en/node", "Llistat dels vehicles implicats en accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Un accident pot tenir associat més d’un vehicle. Inclou si la causa és del vianant, el tipus de vehicle, model, marca, color i tipus carnet i antiguitat de la persona que ho conduïa.", "Listado de los vehículos implicados en accidentes gestionados por la Guardia Urbana en la ciudad de Barcelona. Un accidente puede tener asociado más de un vehículo. Incluye si la causa es del peatón, el tipo de vehículo , modelo, marca , color y tipo carnet y antigüedad de la persona que lo conducía.", "List of vehicles involved in accidents handled by the police in the city of Barcelona . An accident may be associated with more than one vehicle. Including whether the cause is pedestrian , vehicle type , model , brand, color and license type and age of the person who was driving.", http://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accidents-vehicles-gu-bcn, http://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accidents-vehicles-gu-bcn, http://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accidents-vehicles-gu-bcn, S, S, N, N, N, N, N, N, N, N, N, N, N, N, N, N, S, N, N, N, N, N, N, N, S, S, S, S, S, S, S
accions-formatives-adrecades-al-personal,"Accions formatives adreçades al personal municipal", "Acciones formativas dirigidas al personal municipal", "Formative activities aimed at municipal employees","Creative Commons Attribution 4.0", 2017-06-08, "Administració", "Recursos humans", "BIENNAL", 99, 5, " Any 2016 Any 2017 activitats formació", "Direcció de Serveis de Desenvolupament i Atenció al Personal", "http://ajuntament.barcelona.cat/transparencia/ca/informacio-institucional-i-organitzativa#formaciovigent", "http://ajuntament.barcelona.cat/transparencia/es/informacion-institucional-y-organizativa#formacionvigente", "http://ajuntament.barcelona.cat/transparencia/es/informacion-institucional-y-organizativa#formacionvigente", "Llista de les accions de formació transversals planificades, adreçades al personal municipal, formulades d’acord amb els objectius i projectes propis de cada àmbit municipal.

Les accions formatives estan definides de la manera següent:
-	Nom de l’acció formativa
-	Àmbit d’actuació
-	Àrea i subàrea temàtica
-	Competència professional
-	Objectiu
-	Continguts
-	Durada
-	Personal destinatari:
-	Nombre de participants / edició
-	Nombre d’edicions previstes
-	Calendari previst: trimestre en què es preveu dur a terme la formació
-	Modalitat formativa
-	Coordinació del curs
", "Lista de las acciones de formación transversales planificadas, dirigidas al personal municipal, formuladas de acuerdo con los objetivos y proyectos propios de cada ámbito municipal.

Las acciones formativas están definidas de la siguiente manera:
- Nombre de la acción formativa
- Ámbito de actuación
- Área y subárea temática
- Competencia profesional
- Objetivo
- Contenidos
- Duración
- Personal destinatario
- Número de participantes / edición
- Número de ediciones previstas
- Calendario previsto: trimestre en que se prevé llevar a cabo la formación
- Modalidad formativa
- Coordinación del curso", "List of planned transversal training activities aimed at municipal employees, ie, the formation to which all municipal employees can access, regardless of their municipal area. The activities are formulated in accordance with the objectives and projects of each municipal area.

The training activities are defined as follows:
- Name of the training activity
- Area of action
- Theme and sub-theme
- Professional competence
- Goal
- Contents
- Duration
- Employees which the action is aimed at:
- Number of participants / year
- Number of editions planned
- Schedule: quarter in which the activity is expected to be held
- Training type
- Coordination of the activity", http://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=accions-formatives-adrecades-al-personal, http://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=accions-formatives-adrecades-al-personal, http://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=accions-formatives-adrecades-al-personal, N, S, N, N, N, N, N, N, N, N, N, N, N, N, N, N, S, N, N, N, N, N, N, N, N, N, N, N, N, N, S
acollida-animals,"Nombre d'entrades i sortides d'animals al CAACB", "Número de entradas y salidas de animales en el CAACB", "Number of  animals entry and adopted at Barcelona animal shelter","Creative Commons Attribution 4.0", 2015-11-20, "Ciutat i serveis", "Medi ambient", "MENSUAL", 187, 27, " Animals Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Any 2017 Gats Gossos", "Programa de gestió del CAACB", "http://www.bcn.cat/adopta", "http://ajuntament.barcelona.cat/adopta/es/", "http://ajuntament.barcelona.cat/adopta/es/", "Nombre mensual dels gossos i gats recollits a la via pública que arriben al CAACB i nombre mensual de gossos i gats que son recuperats pel seu propietari i els adoptats.", "Número mensual de los perros y gatos recogidos a la via pública que entran en el CAACB y el número mensual de los perros y gatos que son recuperados por su propietario y los adoptados.", "Monthly number of dogs and cats collected via public and entering the CAACB and the monthly number of dogs and cats that are reclaimed by its owner and the adopted.", http://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=acollida-animals, http://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=acollida-animals, http://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=acollida-animals, N, S, N, N, N, N, N, N, N, N, N, N, N, N, N, N, S, N, N, N, N, N, N, N, N, S, S, S, S, S, S
aforament-concerts-grans-auditoris,"Capacitat dels concerts als grans auditoris de la ciutat de Barcelona", "Aforo de los conciertos en los grandes auditorios de la ciudad de Barcelona", "Concert seating capacity in large auditoriums of the city of Barcelona","Creative Commons Attribution 4.0", 2014-06-25, "Ciutat i serveis", "Cultura i oci", "ANUAL", 71, 15, " Any 2010 Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Concerts Cultura Música", "Secretaria Tècnica. Institut de Cultura. Ajuntament de Barcelona", "http://barcelonadadescultura.bcn.cat", "http://barcelonadadescultura.bcn.cat/?lang=es", "http://barcelonadadescultura.bcn.cat/?lang=en", "Capacitat dels concerts celebrats als grans auditoris de Barcelona", "Aforo de los conciertos celebrados en los grandes auditorios de Barcelona", "Concert seating capacity in large Barcelona auditoriums", http://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=aforament-concerts-grans-auditoris, http://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=aforament-concerts-grans-auditoris, http://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=aforament-concerts-grans-auditoris, S, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, S, N, N, N, N, N, N, N, S, S, S, S, S, S, S
aforament-sales-arts-esceniques,"Capacitat de les sales d'arts escèniques de la ciutat de Barcelona", "Aforo de las salas de artes escénicas de la ciudad de Barcelona", "Seating capacity at performing arts spaces in the city of Barcelona","Creative Commons Attribution 4.0", 2014-06-25, "Ciutat i serveis", "Cultura i oci", "ANUAL", 64, 19, " Any 2010 Any 2011 Any 2012 Any 2013 Any 2014 Any 2015 Any 2016 Arts escèniques Cultura", "Secretaria Tècnica. Institut de Cultura. Ajuntament de Barcelona", "http://barcelonadadescultura.bcn.cat", "http://barcelonadadescultura.bcn.cat/?lang=es", "http://barcelonadadescultura.bcn.cat/?lang=en", "Capacitat de les sales d'arts escèniques de la ciutat de Barcelona", "Aforo de las salas de artes escénicas de la ciudad de Barcelona", "Seating capacity at city of Barcelona performing arts spaces", http://opendata-ajuntament.barcelona.cat/data/ca/dataset?q=&name=aforament-sales-arts-esceniques, http://opendata-ajuntament.barcelona.cat/data/es/dataset?q=&name=aforament-sales-arts-esceniques, http://opendata-ajuntament.barcelona.cat/data/en/dataset?q=&name=aforament-sales-arts-esceniques, S, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, S, N, N, N, N, N, N, N, S, S, S, S, S, S, S
